Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv3pt5-1,Bulbasaur,Pokémon,Grass,151,1,Common,https://images.pokemontcg.io/sv3pt5/1_hires.png,https://images.pokemontcg.io/sv3pt5/1.png,70,,"[{""name"": ""Leech Seed"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Heal 20 damage from this Pokémon.""}]",Leech Seed,20,Heal 20 damage from this Pokémon.,Fire:×2,,Colorless__Colorless,,Yuu Nishida,"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv3pt5-2,Ivysaur,Pokémon,Grass,151,2,Uncommon,https://images.pokemontcg.io/sv3pt5/2_hires.png,https://images.pokemontcg.io/sv3pt5/2.png,100,,"[{""name"": ""Leech Seed"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Heal 20 damage from this Pokémon.""}, {""name"": ""Vine Whip"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": """"}]",Leech Seed|Vine Whip,30|80,Heal 20 damage from this Pokémon.|,Fire:×2,,Colorless__Colorless__Colorless,Bulbasaur,Yuu Nishida,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv3pt5-3,Venusaur ex,Pokémon,Grass,151,3,Double Rare,https://images.pokemontcg.io/sv3pt5/3_hires.png,https://images.pokemontcg.io/sv3pt5/3.png,340,"[{""name"": ""Tranquil Flower"", ""text"": ""Once during your turn, if this Pokémon is in the Active Spot, you may heal 60 damage from 1 of your Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Dangerous Toxwhip"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""150"", ""text"": ""Your opponent's Active Pokémon is now Confused and Poisoned.""}]",Dangerous Toxwhip,150,Your opponent's Active Pokémon is now Confused and Poisoned.,Fire:×2,,Colorless__Colorless__Colorless__Colorless,Ivysaur,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv3pt5-4,Charmander,Pokémon,Fire,151,4,Common,https://images.pokemontcg.io/sv3pt5/4_hires.png,https://images.pokemontcg.io/sv3pt5/4.png,70,,"[{""name"": ""Blazing Destruction"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Discard a Stadium in play.""}, {""name"": ""Steady Firebreathing"", ""cost"": [""Fire"", ""Fire""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Blazing Destruction|Steady Firebreathing,|30,Discard a Stadium in play.|,Water:×2,,Colorless,,GIDORA,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv3pt5-5,Charmeleon,Pokémon,Fire,151,5,Uncommon,https://images.pokemontcg.io/sv3pt5/5_hires.png,https://images.pokemontcg.io/sv3pt5/5.png,100,,"[{""name"": ""Combustion"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Fire Blast"", ""cost"": [""Fire"", ""Fire"", ""Fire""], ""convertedEnergyCost"": 3, ""damage"": ""90"", ""text"": ""Discard an Energy from this Pokémon.""}]",Combustion|Fire Blast,20|90,|Discard an Energy from this Pokémon.,Water:×2,,Colorless__Colorless,Charmander,GIDORA,"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv3pt5-6,Charizard ex,Pokémon,Fire,151,6,Double Rare,https://images.pokemontcg.io/sv3pt5/6_hires.png,https://images.pokemontcg.io/sv3pt5/6.png,330,,"[{""name"": ""Brave Wing"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""60+"", ""text"": ""If this Pokémon has any damage counters on it, this attack does 100 more damage.""}, {""name"": ""Explosive Vortex"", ""cost"": [""Fire"", ""Fire"", ""Fire"", ""Fire""], ""convertedEnergyCost"": 4, ""damage"": ""330"", ""text"": ""Discard 3 Energy from this Pokémon.""}]",Brave Wing|Explosive Vortex,60+|330,"If this Pokémon has any damage counters on it, this attack does 100 more damage.|Discard 3 Energy from this Pokémon.",Water:×2,,Colorless__Colorless,Charmeleon,PLANETA Mochizuki,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv3pt5-7,Squirtle,Pokémon,Water,151,7,Common,https://images.pokemontcg.io/sv3pt5/7_hires.png,https://images.pokemontcg.io/sv3pt5/7.png,60,,"[{""name"": ""Withdraw"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, during your opponent's next turn, prevent all damage done to this Pokémon by attacks.""}, {""name"": ""Skull Bash"", ""cost"": [""Water"", ""Water""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Withdraw|Skull Bash,|20,"Flip a coin. If heads, during your opponent's next turn, prevent all damage done to this Pokémon by attacks.|",Lightning:×2,,Colorless,,kantaro,"When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv3pt5-8,Wartortle,Pokémon,Water,151,8,Uncommon,https://images.pokemontcg.io/sv3pt5/8_hires.png,https://images.pokemontcg.io/sv3pt5/8.png,100,,"[{""name"": ""Free Diving"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Put up to 3 Basic Water Energy cards from your discard pile into your hand.""}, {""name"": ""Spinning Attack"", ""cost"": [""Water"", ""Water""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": """"}]",Free Diving|Spinning Attack,|50,Put up to 3 Basic Water Energy cards from your discard pile into your hand.|,Lightning:×2,,Colorless__Colorless,Squirtle,kantaro,It cleverly controls its furry ears and tail to maintain its balance while swimming.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv3pt5-9,Blastoise ex,Pokémon,Water,151,9,Double Rare,https://images.pokemontcg.io/sv3pt5/9_hires.png,https://images.pokemontcg.io/sv3pt5/9.png,330,"[{""name"": ""Solid Shell"", ""text"": ""This Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance)."", ""type"": ""Ability""}]","[{""name"": ""Twin Cannons"", ""cost"": [""Water"", ""Water""], ""convertedEnergyCost"": 2, ""damage"": ""140×"", ""text"": ""Discard up to 2 Basic Water Energy cards from your hand. This attack does 140 damage for each card you discarded in this way.""}]",Twin Cannons,140×,Discard up to 2 Basic Water Energy cards from your hand. This attack does 140 damage for each card you discarded in this way.,Lightning:×2,,Colorless__Colorless__Colorless,Wartortle,PLANETA Yamashita,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv3pt5-10,Caterpie,Pokémon,Grass,151,10,Common,https://images.pokemontcg.io/sv3pt5/10_hires.png,https://images.pokemontcg.io/sv3pt5/10.png,50,,"[{""name"": ""Leaf Munch"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""If your opponent's Active Pokémon is a Grass Pokémon, this attack does 30 more damage.""}]",Leaf Munch,10+,"If your opponent's Active Pokémon is a Grass Pokémon, this attack does 30 more damage.",Fire:×2,,Colorless,,Tika Matsuno,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,,,,,,,,,,,,,,,,,,,,,,,,,
