Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,xy7-1,Oddish,Pokémon,Grass,Ancient Origins,1,Common,https://images.pokemontcg.io/xy7/1_hires.png,https://images.pokemontcg.io/xy7/1.png,50,,"[{""name"": ""Trip Over"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 10 more damage.""}]",Trip Over,10+,"Flip a coin. If heads, this attack does 10 more damage.",Fire:×2,,Colorless,,MAHOU,"Its scientific name is ""Oddium Wanderus."" At night, it is said to walk nearly 1,000 feet on its two roots.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,xy7-2,Gloom,Pokémon,Grass,Ancient Origins,2,Uncommon,https://images.pokemontcg.io/xy7/2_hires.png,https://images.pokemontcg.io/xy7/2.png,80,,"[{""name"": ""Drool"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Drool,20,,Fire:×2,,Colorless,Oddish,Masakazu Fukuda,"The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,xy7-3,Vileplume,Pokémon,Grass,Ancient Origins,3,Rare,https://images.pokemontcg.io/xy7/3_hires.png,https://images.pokemontcg.io/xy7/3.png,130,"[{""name"": ""Irritating Pollen"", ""text"": ""Each player can't play any Item cards from his or her hand."", ""type"": ""Ability""}]","[{""name"": ""Solar Beam"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": """"}]",Solar Beam,70,,Fire:×2,,Colorless__Colorless__Colorless,Gloom,Midori Harada,"It has the world's largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,xy7-4,Bellossom,Pokémon,Grass,Ancient Origins,4,Uncommon,https://images.pokemontcg.io/xy7/4_hires.png,https://images.pokemontcg.io/xy7/4.png,120,,"[{""name"": ""Windmill"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Switch this Pokémon with 1 of your Benched Pokémon.""}, {""name"": ""Flower Tornado"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""60"", ""text"": ""Move as many Grass Energy attached to your Pokémon to your other Pokémon in any way you like.""}]",Windmill|Flower Tornado,20|60,Switch this Pokémon with 1 of your Benched Pokémon.|Move as many Grass Energy attached to your Pokémon to your other Pokémon in any way you like.,Fire:×2,,Colorless,Gloom,Mizue,"When the heavy rainfall season ends, it is drawn out by warm sunlight to dance in the open.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,xy7-5,Spinarak,Pokémon,Grass,Ancient Origins,5,Common,https://images.pokemontcg.io/xy7/5_hires.png,https://images.pokemontcg.io/xy7/5.png,50,,"[{""name"": ""String Shot"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}]",String Shot,,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Fire:×2,,Colorless,,Naoyo Kimura,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,xy7-6,Ariados,Pokémon,Grass,Ancient Origins,6,Uncommon,https://images.pokemontcg.io/xy7/6_hires.png,https://images.pokemontcg.io/xy7/6.png,70,"[{""name"": ""Poisonous Nest"", ""text"": ""Once during your turn (before your attack), you may use this Ability. Both Active Pokémon (except for Grass Pokémon) are now Poisoned."", ""type"": ""Ability""}]","[{""name"": ""Impound"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""The Defending Pokémon can't retreat during your opponent's next turn.""}]",Impound,30,The Defending Pokémon can't retreat during your opponent's next turn.,Fire:×2,,Colorless,Spinarak,Hajime Kusajima,"It attaches silk to its prey and sets it free. Later, it tracks the silk to the prey and its friends.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,xy7-7,Sceptile-EX,Pokémon,Grass,Ancient Origins,7,Rare Holo EX,https://images.pokemontcg.io/xy7/7_hires.png,https://images.pokemontcg.io/xy7/7.png,170,,"[{""name"": ""Sleep Poison"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Asleep and Poisoned.""}, {""name"": ""Unseen Claw"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""60+"", ""text"": ""If your opponent's Active Pokémon is affected by a Special Condition, this attack does 70 more damage.""}]",Sleep Poison|Unseen Claw,10|60+,"Flip a coin. If heads, your opponent's Active Pokémon is now Asleep and Poisoned.|If your opponent's Active Pokémon is affected by a Special Condition, this attack does 70 more damage.",Fire:×2,,Colorless,,Eske Yoshinob,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,xy7-8,M Sceptile-EX,Pokémon,Grass,Ancient Origins,8,Rare Holo EX,https://images.pokemontcg.io/xy7/8_hires.png,https://images.pokemontcg.io/xy7/8.png,220,,"[{""name"": ""Jagged Saber"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""100"", ""text"": ""You may attach up to 2 Grass Energy cards from your hand to your Benched Pokémon in any way you like. If you attached Energy to a Pokémon in this way, heal all damage from that Pokémon.""}]",Jagged Saber,100,"You may attach up to 2 Grass Energy cards from your hand to your Benched Pokémon in any way you like. If you attached Energy to a Pokémon in this way, heal all damage from that Pokémon.",Fire:×2,,Colorless__Colorless,Sceptile-EX,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,xy7-9,Combee,Pokémon,Grass,Ancient Origins,9,Common,https://images.pokemontcg.io/xy7/9_hires.png,https://images.pokemontcg.io/xy7/9.png,40,,"[{""name"": ""Bug Bite"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Bug Bite,10,,Fire:×2,,Colorless,,Sumiyoshi Kizuki,"It collects and delivers honey to its colony. At night, they cluster to form a beehive and sleep.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,xy7-10,Vespiquen,Pokémon,Grass,Ancient Origins,10,Uncommon,https://images.pokemontcg.io/xy7/10_hires.png,https://images.pokemontcg.io/xy7/10.png,90,,"[{""name"": ""Intelligence Gathering"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""You may draw cards until you have 6 cards in your hand.""}, {""name"": ""Bee Revenge"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""This attack does 10 more damage for each Pokémon in your discard pile.""}]",Intelligence Gathering|Bee Revenge,10|20+,You may draw cards until you have 6 cards in your hand.|This attack does 10 more damage for each Pokémon in your discard pile.,Fire:×2,,,Combee,kawayoo,Its abdomen is a honeycomb for grubs. It raises its grubs on honey collected by Combee.,,,,,,,,,,,,,,,,,,,,,,,,,
