Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ecard2-1,Ampharos,Pokémon,Lightning,Aquapolis,1,Rare,https://images.pokemontcg.io/ecard2/1_hires.png,https://images.pokemontcg.io/ecard2/1.png,100,,"[{""name"": ""Thundershock"", ""cost"": [""Lightning""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}, {""name"": ""Reflect Energy"", ""cost"": [""Lightning"", ""Lightning"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""If you have any Benched Pokémon and if there are any basic Energy cards attached to Ampharos, take 1 of those Energy cards and attach it to 1 of those Pokémon.""}]",Thundershock|Reflect Energy,20|50,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.|If you have any Benched Pokémon and if there are any basic Energy cards attached to Ampharos, take 1 of those Energy cards and attach it to 1 of those Pokémon.",Fighting:×2,,Colorless__Colorless,Flaaffy,Shin-ichi Yoshida,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,ecard2-2,Arcanine,Pokémon,Fire,Aquapolis,2,Rare,https://images.pokemontcg.io/ecard2/2_hires.png,https://images.pokemontcg.io/ecard2/2.png,90,"[{""name"": ""Extreme Speed"", ""text"": ""You pay Colorless less to retreat Arcanine for each Energy attached to it."", ""type"": ""Poké-Body""}]","[{""name"": ""Fire Blow"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30+"", ""text"": ""You may discard any number of Fire Energy cards attached to Arcanine when you use this attack. If you do, flip a number of coins equal to the number of Fire Energy cards you discarded. This attack does 30 damage plus 30 more damage for each heads.""}]",Fire Blow,30+,"You may discard any number of Fire Energy cards attached to Arcanine when you use this attack. If you do, flip a number of coins equal to the number of Fire Energy cards you discarded. This attack does 30 damage plus 30 more damage for each heads.",Water:×2,,Colorless__Colorless__Colorless,Growlithe,Kyoko Umemoto,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,ecard2-3,Ariados,Pokémon,Grass,Aquapolis,3,Rare,https://images.pokemontcg.io/ecard2/3_hires.png,https://images.pokemontcg.io/ecard2/3.png,70,"[{""name"": ""Gluey Slime"", ""text"": ""As long as Ariados is in play, each player must pay an additional Colorless to retreat his or her Active Pokémon. Gluey Slime can't make a player pay more than an additional Colorless to retreat a Pokémon, even if there is more than 1 Ariados in play."", ""type"": ""Poké-Body""}]","[{""name"": ""Spider Force"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Flip a coin. If heads, this attack does 20 damage plus 10 more damage. If tails, this attack does 20 damage and the Defending Pokémon is now Paralyzed.""}]",Spider Force,20+,"Flip a coin. If heads, this attack does 20 damage plus 10 more damage. If tails, this attack does 20 damage and the Defending Pokémon is now Paralyzed.",Fire:×2,,,Spinarak,Shin-ichi Yoshida,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,ecard2-4,Azumarill,Pokémon,Water,Aquapolis,4,Rare,https://images.pokemontcg.io/ecard2/4_hires.png,https://images.pokemontcg.io/ecard2/4.png,70,"[{""name"": ""Bubble Turn"", ""text"": ""Once during your turn (before your attack), if Azumarill is on your Bench, you may flip a coin. If heads, return Azumarill and all cards attached to it to your hand."", ""type"": ""Poké-Power""}]","[{""name"": ""Aqua Sonic"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""Don't apply Resistance.""}]",Aqua Sonic,40,Don't apply Resistance.,Lightning:×2,,Colorless,Marill,Kagemaru Himeno,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,ecard2-5,Bellossom,Pokémon,Grass,Aquapolis,5,Rare,https://images.pokemontcg.io/ecard2/5_hires.png,https://images.pokemontcg.io/ecard2/5.png,90,"[{""name"": ""Flower Supplement"", ""text"": ""Once during your turn (before your attack), you may flip a coin. If heads, attach 1 basic Energy card from your hand to 1 of your Benched Pokémon. This power can't be used if Bellossom is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Knife Leaf"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30×"", ""text"": ""Flip 3 coins. This attack does 30 damage times the number of heads.""}]",Knife Leaf,30×,Flip 3 coins. This attack does 30 damage times the number of heads.,Fire:×2,Water:-30,Colorless__Colorless,Gloom,Sumiyoshi Kizuki,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,ecard2-6,Blissey,Pokémon,Colorless,Aquapolis,6,Rare,https://images.pokemontcg.io/ecard2/6_hires.png,https://images.pokemontcg.io/ecard2/6.png,120,"[{""name"": ""Happy Healing"", ""text"": ""Once during your turn (before your attack), choose 1 of your Benched Pokémon and flip a coin. If heads, count the number of Energy attached to Blissey and then remove that many damage counters from the chosen Benched Pokémon. This power can't be used if Blissey is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Smash Bomber"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Flip a coin. If tails, this attack does nothing.""}]",Smash Bomber,50,"Flip a coin. If tails, this attack does nothing.",Fighting:×2,,Colorless__Colorless,Chansey,Naoyo Kimura,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,ecard2-7,Donphan,Pokémon,Fighting,Aquapolis,7,Rare,https://images.pokemontcg.io/ecard2/7_hires.png,https://images.pokemontcg.io/ecard2/7.png,80,,"[{""name"": ""Earthquake"", ""cost"": [""Fighting""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Double Stab"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40×"", ""text"": ""Flip 2 coins. This attack does 40 damage times the number of heads.""}]",Earthquake|Double Stab,30|40×,Does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|Flip 2 coins. This attack does 40 damage times the number of heads.,Grass:×2,Lightning:-30,Colorless__Colorless,Phanpy,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,ecard2-8,Electrode,Pokémon,Lightning,Aquapolis,8,Rare,https://images.pokemontcg.io/ecard2/8_hires.png,https://images.pokemontcg.io/ecard2/8.png,70,"[{""name"": ""Super Dynamo"", ""text"": ""Once during your turn (before your attack), if Electrode is your Active Pokémon, you may flip a coin. If heads, choose a Lightning Energy card from your discard pile and attach it to 1 of your Pokémon. This power can't be used if Electrode is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Swift"", ""cost"": [""Lightning"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on the Defending Pokémon.""}]",Swift,30,"This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on the Defending Pokémon.",Fighting:×2,,Colorless,Voltorb,Shin-ichi Yoshida,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,ecard2-9,Elekid,Pokémon,Lightning,Aquapolis,9,Rare,https://images.pokemontcg.io/ecard2/9_hires.png,https://images.pokemontcg.io/ecard2/9.png,30,,"[{""name"": ""Energy Kick"", ""cost"": [""Lightning""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, choose an Energy card attached to the Defending Pokémon. Your opponent moves that card to 1 of his or her other Pokémon. (If your opponent has no Benched Pokémon, this attack does nothing.)""}]",Energy Kick,,"Flip a coin. If heads, choose an Energy card attached to the Defending Pokémon. Your opponent moves that card to 1 of his or her other Pokémon. (If your opponent has no Benched Pokémon, this attack does nothing.)",,,Colorless,,Hikaru Koike,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,ecard2-10,Entei,Pokémon,Fire,Aquapolis,10,Rare,https://images.pokemontcg.io/ecard2/10_hires.png,https://images.pokemontcg.io/ecard2/10.png,70,"[{""name"": ""Pure Body"", ""text"": ""To attach a Fire Energy card from your hand to Entei, you must discard an Energy card attached to Entei. (Attach the Fire Energy, and then discard an Energy from Entei.)"", ""type"": ""Poké-Body""}]","[{""name"": ""Burning Fang"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""You may flip a coin. If heads, discard a Fire Energy card attached to Entei and the Defending Pokémon is now Burned.""}]",Burning Fang,40,"You may flip a coin. If heads, discard a Fire Energy card attached to Entei and the Defending Pokémon is now Burned.",Water:×2,,Colorless,,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
