Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,pl4-1,Charizard,Pokémon,Fire,Arceus,1,Rare Holo,https://images.pokemontcg.io/pl4/1_hires.png,https://images.pokemontcg.io/pl4/1.png,140,"[{""name"": ""Fire Formation"", ""text"": ""Each of Charizard's attacks does 10 more damage for each Fire Pokémon on your Bench to your opponent's Active Pokémon (before applying Weakness and Resistance)."", ""type"": ""Poké-Body""}]","[{""name"": ""Fire Wing"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": """"}, {""name"": ""Burning Tail"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": ""Discard a Fire Energy attached to Charizard.""}]",Fire Wing|Burning Tail,30|80,|Discard a Fire Energy attached to Charizard.,Water:+30,Fighting:-20,Colorless__Colorless__Colorless,Charmeleon,Kagemaru Himeno,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,pl4-2,Froslass,Pokémon,Water,Arceus,2,Rare Holo,https://images.pokemontcg.io/pl4/2_hires.png,https://images.pokemontcg.io/pl4/2.png,80,"[{""name"": ""Snow Gift"", ""text"": ""Once during your turn, when you play Froslass from your hand to evolve 1 of your Pokémon, you may search your deck for any 1 card and put it into your hand. Shuffle your deck afterward."", ""type"": ""Poké-Power""}]","[{""name"": ""Ground Frost"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": ""If there is any Stadium Card in play, this attack does nothing.""}]",Ground Frost,50,"If there is any Stadium Card in play, this attack does nothing.",Metal:+20,,Colorless,Snorunt,TOKIYA,It freezes prey by blowing its -58 degrees F breath. It is said to then secretly display its prey.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,pl4-3,Heatran,Pokémon,Fire,Arceus,3,Rare Holo,https://images.pokemontcg.io/pl4/3_hires.png,https://images.pokemontcg.io/pl4/3.png,100,,"[{""name"": ""Fire Fang"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""The Defending Pokémon is now Burned.""}, {""name"": ""Magma Mantle"", ""cost"": [""Fire"", ""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""60+"", ""text"": ""Discard the top 3 cards of your deck. This attack does 60 damage plus 20 more damage for each Fire or Metal Energy card you discarded.""}]",Fire Fang|Magma Mantle,20|60+,The Defending Pokémon is now Burned.|Discard the top 3 cards of your deck. This attack does 60 damage plus 20 more damage for each Fire or Metal Energy card you discarded.,Water:×2,,Colorless__Colorless__Colorless,,Keiko Moritsugu,"Its body is made of rugged steel. However, it is partially melted in spots because of its own heat.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,pl4-4,Kabutops,Pokémon,Fighting,Arceus,4,Rare Holo,https://images.pokemontcg.io/pl4/4_hires.png,https://images.pokemontcg.io/pl4/4.png,130,,"[{""name"": ""Primal Scythe"", ""cost"": [""Fighting""], ""convertedEnergyCost"": 1, ""damage"": ""20+"", ""text"": ""You may discard Helix Fossil, Dome Fossil, or Old Amber from your hand. If you do, this attack does 20 damage plus 50 more damage.""}, {""name"": ""Rock Slide"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Does 10 damage to 2 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Primal Scythe|Rock Slide,20+|60,"You may discard Helix Fossil, Dome Fossil, or Old Amber from your hand. If you do, this attack does 20 damage plus 50 more damage.|Does 10 damage to 2 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Grass:+30,,Colorless__Colorless,Kabuto,Hajime Kusajima,It is thought that this Pokémon came onto land because its prey adapted to life on land.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,pl4-5,Luxray,Pokémon,Lightning,Arceus,5,Rare Holo,https://images.pokemontcg.io/pl4/5_hires.png,https://images.pokemontcg.io/pl4/5.png,120,,"[{""name"": ""Flash"", ""cost"": [""Lightning""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.""}, {""name"": ""Gadget Bolt"", ""cost"": [""Lightning"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""If Luxray has a Pokémon Tool card attached to it, you may do 100 damage instead of 60 to the Defending Pokémon. If you do, discard that Pokémon Tool card.""}]",Flash|Gadget Bolt,30|60,"If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.|If Luxray has a Pokémon Tool card attached to it, you may do 100 damage instead of 60 to the Defending Pokémon. If you do, discard that Pokémon Tool card.",Fighting:+30,Metal:-20,,Luxio,kawayoo,It can see clearly through walls to track down its prey and seek its lost young.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,pl4-6,Mothim,Pokémon,Grass,Arceus,6,Rare Holo,https://images.pokemontcg.io/pl4/6_hires.png,https://images.pokemontcg.io/pl4/6.png,90,,"[{""name"": ""Cloak Party"", ""cost"": [], ""convertedEnergyCost"": 0, ""damage"": """", ""text"": ""Search your deck for up to 3 in any combination of Burmy and Wormadam, show them to your opponent, and put them into your hand. Shuffle your deck afterward.""}, {""name"": ""Energy Assist"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Search your discard pile for a basic Energy card and attach it to 1 of your Benched Pokémon.""}]",Cloak Party|Energy Assist,|30,"Search your deck for up to 3 in any combination of Burmy and Wormadam, show them to your opponent, and put them into your hand. Shuffle your deck afterward.|Search your discard pile for a basic Energy card and attach it to 1 of your Benched Pokémon.",Fire:+20,Fighting:-20,,Burmy,Kagemaru Himeno,"While it loves floral honey, it won't gather any itself. Instead, it plots to steal some from Combee.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,pl4-7,Probopass,Pokémon,Metal,Arceus,7,Rare Holo,https://images.pokemontcg.io/pl4/7_hires.png,https://images.pokemontcg.io/pl4/7.png,100,"[{""name"": ""Competitiveness"", ""text"": ""If you don't have a Supporter card in play, each of Probopass's attacks does 30 more damage to the Active Pokémon (before applying Weakness and Resistance)."", ""type"": ""Poké-Body""}]","[{""name"": ""Top Chop"", ""cost"": [""Metal"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Draw a card.""}, {""name"": ""Tumbling Attack"", ""cost"": [""Metal"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""Flip a coin. If heads, this attack does 50 damage plus 30 more damage.""}]",Top Chop|Tumbling Attack,30|50+,"Draw a card.|Flip a coin. If heads, this attack does 50 damage plus 30 more damage.",Fire:+20,Psychic:-20,Colorless__Colorless__Colorless,Nosepass,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,pl4-8,Salamence,Pokémon,Colorless,Arceus,8,Rare Holo,https://images.pokemontcg.io/pl4/8_hires.png,https://images.pokemontcg.io/pl4/8.png,140,"[{""name"": ""Top Accelerator"", ""text"": ""Once during your turn (before your attack), you may reveal the top card of your deck. If that card is a basic Energy card, attach it to 1 of your Pokémon. If that card isn't a basic Energy card, discard it. This power can't be used if Salamence is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Shoot Through"", ""cost"": [""Fire"", ""Water"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Dragon Claw"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""70"", ""text"": """"}]",Shoot Through|Dragon Claw,50|70,Does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|,Colorless:+30,Fighting:-20,Colorless__Colorless,Shelgon,Shin Nagasawa,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,pl4-9,Swalot,Pokémon,Psychic,Arceus,9,Rare Holo,https://images.pokemontcg.io/pl4/9_hires.png,https://images.pokemontcg.io/pl4/9.png,100,,"[{""name"": ""Damage Roller"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Put damage counters on the Defending Pokémon until the Defending Pokémon has the same remaining HP as Swalot. (If the Defending Pokémon has the same or less remaining HP as Swalot, this attack does nothing.)""}, {""name"": ""Entangle Tackle"", ""cost"": [""Psychic"", ""Psychic"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""You may do 50 damage plus 30 more damage. If you do, this attack does 30 damage to 1 of your Pokémon, and don't apply Weakness and Resistance to this damage.""}]",Damage Roller|Entangle Tackle,|50+,"Put damage counters on the Defending Pokémon until the Defending Pokémon has the same remaining HP as Swalot. (If the Defending Pokémon has the same or less remaining HP as Swalot, this attack does nothing.)|You may do 50 damage plus 30 more damage. If you do, this attack does 30 damage to 1 of your Pokémon, and don't apply Weakness and Resistance to this damage.",Psychic:+20,,Colorless__Colorless__Colorless,Gulpin,Aya Kusube,It swallows anything whole. It sweats toxic fluids from its follicles to douse foes.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,pl4-10,Tangrowth,Pokémon,Grass,Arceus,10,Rare Holo,https://images.pokemontcg.io/pl4/10_hires.png,https://images.pokemontcg.io/pl4/10.png,110,,"[{""name"": ""Leaf Guard"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""During your opponent's next turn, any damage done to Tangrowth by attacks is reduced by 20 (after applying Weakness and Resistance).""}, {""name"": ""Swallow Up"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""50"", ""text"": ""Before doing damage, count the remaining HP of the Defending Pokémon and Tangrowth. If the Defending Pokémon has fewer remaining HP than Tangrowth's, this attack does 120 damage instead.""}]",Leaf Guard|Swallow Up,30|50,"During your opponent's next turn, any damage done to Tangrowth by attacks is reduced by 20 (after applying Weakness and Resistance).|Before doing damage, count the remaining HP of the Defending Pokémon and Tangrowth. If the Defending Pokémon has fewer remaining HP than Tangrowth's, this attack does 120 damage instead.",Fire:+30,Water:-20,Colorless__Colorless__Colorless,Tangela,Masakazu Fukuda,Its arms are made of plants that bind themselves to things. They grow back right away if cut.,,,,,,,,,,,,,,,,,,,,,,,,,
