Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,me2pt5-1,Erika's Oddish,Pokémon,Grass,Ascended Heroes,1,Common,https://images.scrydex.com/pokemon/me2pt5-1/large,https://images.scrydex.com/pokemon/me2pt5-1/small,60,,"[{""name"": ""Reckless Charge"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""This Pokémon also does 10 damage to itself.""}]",Reckless Charge,30,This Pokémon also does 10 damage to itself.,Fire:×2,,Colorless,,Yoriyuki Ikegami,"When it is woken by moonlight, it wanders about. But during the day, it stays still underground.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,me2pt5-2,Erika's Gloom,Pokémon,Grass,Ascended Heroes,2,Uncommon,https://images.scrydex.com/pokemon/me2pt5-2/large,https://images.scrydex.com/pokemon/me2pt5-2/small,90,,"[{""name"": ""Poison Spray"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": ""Your opponent's Active Pokémon is now Poisoned.""}]",Poison Spray,50,Your opponent's Active Pokémon is now Poisoned.,Fire:×2,,Colorless,Erika's Oddish,MARINA Chikazawa,"It secretes a sticky, drool-like nectar. Though sweet, it smells too repulsive to get very close.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,me2pt5-3,Erika's Vileplume ex,Pokémon,Grass,Ascended Heroes,3,Double Rare,https://images.scrydex.com/pokemon/me2pt5-3/large,https://images.scrydex.com/pokemon/me2pt5-3/small,310,"[{""name"": ""Lovely Fragrance"", ""text"": ""Once during your turn, you may use this Ability. Heal 30 damage from each of your Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Bloom Powder"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""160"", ""text"": ""Your opponent's Active Pokémon is now Asleep and Poisoned.""}]",Bloom Powder,160,Your opponent's Active Pokémon is now Asleep and Poisoned.,Fire:×2,,Colorless__Colorless,Erika's Gloom,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,me2pt5-4,Erika's Bellsprout,Pokémon,Grass,Ascended Heroes,4,Common,https://images.scrydex.com/pokemon/me2pt5-4/large,https://images.scrydex.com/pokemon/me2pt5-4/small,60,,"[{""name"": ""Vine Slap"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Vine Slap,20,,Fire:×2,,Colorless,,sui,"Even though its body is extremely skinny, it is blindingly fast when catching its prey.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,me2pt5-5,Erika's Weepinbell,Pokémon,Grass,Ascended Heroes,5,Uncommon,https://images.scrydex.com/pokemon/me2pt5-5/large,https://images.scrydex.com/pokemon/me2pt5-5/small,90,,"[{""name"": ""Melt"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": """"}, {""name"": ""Leafy Cyclone"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""70"", ""text"": ""During your next turn, this Pokémon can't use attacks.""}]",Melt|Leafy Cyclone,30|70,"|During your next turn, this Pokémon can't use attacks.",Fire:×2,,Colorless__Colorless,Erika's Bellsprout,LINNE,It spits out Poison Powder to immobilize the enemy and then finishes it with a spray of Acid.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,me2pt5-6,Erika's Victreebel,Pokémon,Grass,Ascended Heroes,6,Rare,https://images.scrydex.com/pokemon/me2pt5-6/large,https://images.scrydex.com/pokemon/me2pt5-6/small,150,,"[{""name"": ""Flower Garden Rondo"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40×"", ""text"": ""This attack does 40 damage for each of your Erika's Pokémon in play.""}, {""name"": ""Solar Beam"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""130"", ""text"": """"}]",Flower Garden Rondo|Solar Beam,40×|130,This attack does 40 damage for each of your Erika's Pokémon in play.|,Fire:×2,,Colorless__Colorless__Colorless,Erika's Weepinbell,takashi shiraishi,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,me2pt5-7,Erika's Tangela,Pokémon,Grass,Ascended Heroes,7,Common,https://images.scrydex.com/pokemon/me2pt5-7/large,https://images.scrydex.com/pokemon/me2pt5-7/small,80,"[{""name"": ""Gathering of Blossoms"", ""text"": ""Once during your turn, you may use this Ability. Search your deck for an Erika's Pokémon, reveal it, and put it into your hand. Then, shuffle your deck."", ""type"": ""Ability""}]","[{""name"": ""Bind"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}]",Bind,50,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Fire:×2,,Colorless__Colorless,,GIDORA,"Hidden beneath a tangle of vines that grows nonstop even if the vines are torn off, this Pokémon’s true appearance remains a mystery.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,me2pt5-8,Chikorita,Pokémon,Grass,Ascended Heroes,8,Common,https://images.scrydex.com/pokemon/me2pt5-8/large,https://images.scrydex.com/pokemon/me2pt5-8/small,70,,"[{""name"": ""Growl"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""During your opponent's next turn, attacks used by the Defending Pokémon do 20 less damage (before applying Weakness and Resistance).""}, {""name"": ""Seed Bomb"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Growl|Seed Bomb,|30,"During your opponent's next turn, attacks used by the Defending Pokémon do 20 less damage (before applying Weakness and Resistance).|",Fire:×2,,Colorless,,Kariya,A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up sun rays.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,me2pt5-9,Bayleef,Pokémon,Grass,Ascended Heroes,9,Uncommon,https://images.scrydex.com/pokemon/me2pt5-9/large,https://images.scrydex.com/pokemon/me2pt5-9/small,100,,"[{""name"": ""Leaf Step"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""60"", ""text"": """"}]",Leaf Step,60,,Fire:×2,,Colorless__Colorless,Chikorita,Tomomi Ozaki,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,me2pt5-10,Mega Meganium ex,Pokémon,Grass,Ascended Heroes,10,Double Rare,https://images.scrydex.com/pokemon/me2pt5-10/large,https://images.scrydex.com/pokemon/me2pt5-10/small,360,,"[{""name"": ""Giant Bouquet"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70+"", ""text"": ""This attack does 50 more damage for each Grass Energy attached to this Pokémon.""}]",Giant Bouquet,70+,This attack does 50 more damage for each Grass Energy attached to this Pokémon.,Fire:×2,,Colorless__Colorless,Bayleef,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
