Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh10tg-TG01,Abomasnow,Pokémon,Grass,Astral Radiance Trainer Gallery,TG01,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh10tg/TG01_hires.png,https://images.pokemontcg.io/swsh10tg/TG01.png,140,"[{""name"": ""Toughness Boost"", ""text"": ""Your Single Strike Pokémon in play, except any Abomasnow, get +50 HP. You can't apply more than 1 Toughness Boost Ability at a time."", ""type"": ""Ability""}]","[{""name"": ""Mega Punch"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""90"", ""text"": """"}]",Mega Punch,90,,Fire:×2,,Colorless__Colorless__Colorless,Snover,Mitsuhiro Arita,The Pokémon is known to bring blizzards. A shake of its massive body is enough to cause whiteout conditions.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh10tg-TG02,Flapple,Pokémon,Grass,Astral Radiance Trainer Gallery,TG02,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh10tg/TG02_hires.png,https://images.pokemontcg.io/swsh10tg/TG02.png,80,"[{""name"": ""Apple Drop"", ""text"": ""Once during your turn, you may put 2 damage counters on 1 of your opponent's Pokémon. If you placed any damage counters in this way, shuffle this Pokémon and all attached cards into your deck."", ""type"": ""Ability""}]","[{""name"": ""Acid Spray"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""60"", ""text"": ""Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon.""}]",Acid Spray,60,"Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon.",Fire:×2,,Colorless,Applin,Misaki Hashimoto,"It ate a sour apple, and that induced its evolution. In its cheeks, it stores an acid capable of causing chemical burns.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh10tg-TG03,Kingdra,Pokémon,Water,Astral Radiance Trainer Gallery,TG03,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh10tg/TG03_hires.png,https://images.pokemontcg.io/swsh10tg/TG03.png,150,"[{""name"": ""Deep Sea King"", ""text"": ""When your Active Pokémon is Knocked Out by damage from an attack from your opponent's Pokémon, you may move any amount of Water Energy from that Pokémon to this Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Aqua Burst"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""40×"", ""text"": ""This attack does 40 damage for each Water Energy attached to this Pokémon.""}]",Aqua Burst,40×,This attack does 40 damage for each Water Energy attached to this Pokémon.,Lightning:×2,,Colorless,Seadra,Taira Akitsu,It stores energy by sleeping at underwater depths at which no other life forms can survive.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh10tg-TG04,Frosmoth,Pokémon,Water,Astral Radiance Trainer Gallery,TG04,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh10tg/TG04_hires.png,https://images.pokemontcg.io/swsh10tg/TG04.png,90,"[{""name"": ""Ice Dance"", ""text"": ""As often as you like during your turn, you may attach a Water Energy card from your hand to 1 of your Benched Water Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Aurora Beam"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Aurora Beam,30,,Metal:×2,,Colorless__Colorless,Snom,aoki,"It shows no mercy to any who desecrate fields and mountains. It will fly around on its icy wings, causing a blizzard to chase offenders away.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh10tg-TG05,Gardevoir,Pokémon,Psychic,Astral Radiance Trainer Gallery,TG05,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh10tg/TG05_hires.png,https://images.pokemontcg.io/swsh10tg/TG05.png,140,"[{""name"": ""Shining Arcana"", ""text"": ""Once during your turn, you may look at the top 2 cards of your deck and attach any number of basic Energy cards you find there to your Pokémon in any way you like. Put the other cards into your hand."", ""type"": ""Ability""}]","[{""name"": ""Brainwave"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60+"", ""text"": ""This attack does 30 more damage for each Psychic Energy attached to this Pokémon.""}]",Brainwave,60+,This attack does 30 more damage for each Psychic Energy attached to this Pokémon.,Metal:×2,,Colorless__Colorless,Kirlia,Sanosuke Sakuma,"To protect its Trainer, it will expend all its psychic power to create a small black hole.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh10tg-TG06,Wyrdeer,Pokémon,Psychic,Astral Radiance Trainer Gallery,TG06,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh10tg/TG06_hires.png,https://images.pokemontcg.io/swsh10tg/TG06.png,140,"[{""name"": ""Hurried Gait"", ""text"": ""Once during your turn, you may draw a card."", ""type"": ""Ability""}]","[{""name"": ""Extrasensory"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40+"", ""text"": ""If you have the same number of cards in your hand as your opponent, this attack does 80 more damage.""}]",Extrasensory,40+,"If you have the same number of cards in your hand as your opponent, this attack does 80 more damage.",Darkness:×2,Fighting:-30,Colorless__Colorless,Stantler,kirisAki,The black orbs shine with an uncanny light when the Pokémon is erecting invisible barriers. The fur shed from its beard retains heat well and is a highly useful material for winter clothing.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh10tg-TG07,Falinks,Pokémon,Fighting,Astral Radiance Trainer Gallery,TG07,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh10tg/TG07_hires.png,https://images.pokemontcg.io/swsh10tg/TG07.png,110,,"[{""name"": ""Rapid Strike Squad"", ""cost"": [""Fighting"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20×"", ""text"": ""This attack does 20 damage for each of your Rapid Strike Pokémon in play.""}]",Rapid Strike Squad,20×,This attack does 20 damage for each of your Rapid Strike Pokémon in play.,Psychic:×2,,Colorless__Colorless,,Kinu Nishimura,"The six of them work together as one Pokémon. Teamwork is also their battle strategy, and they constantly change their formation as they fight.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh10tg-TG08,Kleavor,Pokémon,Fighting,Astral Radiance Trainer Gallery,TG08,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh10tg/TG08_hires.png,https://images.pokemontcg.io/swsh10tg/TG08.png,140,,"[{""name"": ""Timber Cleave"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Flip 2 coins. If both of them are heads, your opponent's Active Pokémon is Knocked Out.""}, {""name"": ""Berserker Tackle"", ""cost"": [""Fighting"", ""Fighting""], ""convertedEnergyCost"": 2, ""damage"": ""120"", ""text"": ""This Pokémon also does 30 damage to itself.""}]",Timber Cleave|Berserker Tackle,|120,"Flip 2 coins. If both of them are heads, your opponent's Active Pokémon is Knocked Out.|This Pokémon also does 30 damage to itself.",Grass:×2,,Colorless__Colorless,Scyther,Souichirou Gunjima,"A violent creature that fells towering trees with its crude axes and shields itself with hard stone. If one should chance upon this Pokémon in the wilds, one's only recourse is to flee.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh10tg-TG09,Mightyena,Pokémon,Darkness,Astral Radiance Trainer Gallery,TG09,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh10tg/TG09_hires.png,https://images.pokemontcg.io/swsh10tg/TG09.png,110,"[{""name"": ""Hustle Bark"", ""text"": ""If your opponent has any Pokémon VMAX in play, this Pokémon's attacks cost ColorlessColorlessColorless less."", ""type"": ""Ability""}]","[{""name"": ""Wild Tackle"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""160"", ""text"": ""This Pokémon also does 50 damage to itself.""}]",Wild Tackle,160,This Pokémon also does 50 damage to itself.,Grass:×2,,Colorless__Colorless,Poochyena,GOSSAN,It chases down prey in a pack of around ten. They defeat foes with perfectly coordinated teamwork.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh10tg-TG10,Galarian Obstagoon,Pokémon,Darkness,Astral Radiance Trainer Gallery,TG10,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh10tg/TG10_hires.png,https://images.pokemontcg.io/swsh10tg/TG10.png,160,"[{""name"": ""Untamed Shout"", ""text"": ""When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may put 3 damage counters on 1 of your opponent's Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Obstruct"", ""cost"": [""Darkness"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""90"", ""text"": ""During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Basic Pokémon.""}]",Obstruct,90,"During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Basic Pokémon.",Grass:×2,,Colorless__Colorless,Galarian Linoone,GOSSAN,"It evolved after experiencing numerous fights. While crossing its arms, it lets out a shout that would make any opponent flinch.",,,,,,,,,,,,,,,,,,,,,,,,,
