Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh10-1,Beedrill V,Pokémon,Grass,Astral Radiance,1,Rare Holo V,https://images.pokemontcg.io/swsh10/1_hires.png,https://images.pokemontcg.io/swsh10/1.png,210,,"[{""name"": ""Twineedle"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""40×"", ""text"": ""Flip 2 coins. This attack does 40 damage for each heads.""}, {""name"": ""Swarming Sting"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""This attack does 50 damage to 1 of your opponent's Pokémon for each of your Beedrill V in play. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Twineedle|Swarming Sting,40×|,Flip 2 coins. This attack does 40 damage for each heads.|This attack does 50 damage to 1 of your opponent's Pokémon for each of your Beedrill V in play. (Don't apply Weakness and Resistance for Benched Pokémon.),Fire:×2,,Colorless,,Ayaka Yoshida,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh10-2,Hisuian Voltorb,Pokémon,Grass,Astral Radiance,2,Common,https://images.pokemontcg.io/swsh10/2_hires.png,https://images.pokemontcg.io/swsh10/2.png,50,,"[{""name"": ""Cheerful Charge"", ""cost"": [], ""convertedEnergyCost"": 0, ""damage"": """", ""text"": ""You can use this attack only if you go second, and only during your first turn. Choose up to 2 of your Benched Pokémon. For each of those Pokémon, search your deck for a basic Energy card and attach it to that Pokémon. Then, shuffle your deck.""}, {""name"": ""Ram"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Cheerful Charge|Ram,|10,"You can use this attack only if you go second, and only during your first turn. Choose up to 2 of your Benched Pokémon. For each of those Pokémon, search your deck for a basic Energy card and attach it to that Pokémon. Then, shuffle your deck.|",Fire:×2,,Colorless,,nagimiso,"An enigmatic Pokémon that happens to bear a resemblance to a Poké Ball. When excited, it discharges the electric current it has stored in its belly, then lets out a great, uproarious laugh.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh10-3,Hisuian Electrode,Pokémon,Grass,Astral Radiance,3,Uncommon,https://images.pokemontcg.io/swsh10/3_hires.png,https://images.pokemontcg.io/swsh10/3.png,90,,"[{""name"": ""Triple Draw"", ""cost"": [], ""convertedEnergyCost"": 0, ""damage"": """", ""text"": ""Draw 3 cards.""}, {""name"": ""Irritated Bomb"", ""cost"": [], ""convertedEnergyCost"": 0, ""damage"": ""50"", ""text"": """"}]",Triple Draw|Irritated Bomb,|50,Draw 3 cards.|,Fire:×2,,Colorless,Hisuian Voltorb,Akira Komayama,"The tissue on the surface of its body is curiously similar in composition to an Apricorn. When irritated, this Pokémon lets loose an electric current equal to 20 lightning bolts.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh10-4,Scyther,Pokémon,Grass,Astral Radiance,4,Common,https://images.pokemontcg.io/swsh10/4_hires.png,https://images.pokemontcg.io/swsh10/4.png,90,,"[{""name"": ""Blinding Scythe"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Blinding Scythe,20,,Fire:×2,,Colorless,,GIDORA,"The large, wickedly sharp scythes on its forearms are truly fearsome weapons. Prey's attempts to flee are unfailingly thwarted by this Pokémon's nimble motions.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh10-5,Scyther,Pokémon,Grass,Astral Radiance,5,Common,https://images.pokemontcg.io/swsh10/5_hires.png,https://images.pokemontcg.io/swsh10/5.png,80,,"[{""name"": ""Quick Blow"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""Flip a coin. If heads, this attack does 30 more damage.""}]",Quick Blow,30+,"Flip a coin. If heads, this attack does 30 more damage.",Fire:×2,,Colorless,,Uta,"The large, wickedly sharp scythes on its forearms are truly fearsome weapons. Prey's attempts to flee are unfailingly thwarted by this Pokémon's nimble motions.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh10-6,Yanma,Pokémon,Grass,Astral Radiance,6,Common,https://images.pokemontcg.io/swsh10/6_hires.png,https://images.pokemontcg.io/swsh10/6.png,60,,"[{""name"": ""Speed Dive"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Speed Dive,20,,Fire:×2,,,,OKACHEKE,"Its frail wings are so thin that one can see clear through them. However, during flight these wings exhibit the power to churn air with force enough to launch a house skyward.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh10-7,Yanmega,Pokémon,Grass,Astral Radiance,7,Uncommon,https://images.pokemontcg.io/swsh10/7_hires.png,https://images.pokemontcg.io/swsh10/7.png,120,,"[{""name"": ""Razor Wing"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": """"}, {""name"": ""Wide Wing"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40+"", ""text"": ""If you have more cards in your hand than your opponent, this attack does 80 more damage.""}]",Razor Wing|Wide Wing,30|40+,"|If you have more cards in your hand than your opponent, this attack does 80 more damage.",Fire:×2,,,Yanma,Masakazu Fukuda,This six-legged Pokémon is easily capable of transporting an adult in flight. The wings on its tail help it stay balanced.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh10-8,Heracross,Pokémon,Grass,Astral Radiance,8,Common,https://images.pokemontcg.io/swsh10/8_hires.png,https://images.pokemontcg.io/swsh10/8.png,110,,"[{""name"": ""Horn Attack"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": """"}, {""name"": ""Overhead Throw"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""120"", ""text"": ""This attack also does 30 damage to 1 of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Horn Attack|Overhead Throw,40|120,|This attack also does 30 damage to 1 of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Fire:×2,,Colorless__Colorless,,aoki,This Pokémon has an unparalleled horn. Heracross itself demonstrates tremendous power—it's capable of throwing several people trained in the traditional arts of war at once.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh10-9,Kricketot,Pokémon,Grass,Astral Radiance,9,Common,https://images.pokemontcg.io/swsh10/9_hires.png,https://images.pokemontcg.io/swsh10/9.png,60,,"[{""name"": ""Trip Over"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 20 more damage.""}]",Trip Over,10+,"Flip a coin. If heads, this attack does 20 more damage.",Fire:×2,,Colorless,,Masakazu Fukuda,"When its antennae hit each other, it sounds like the music of a xylophone.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh10-10,Kricketune,Pokémon,Grass,Astral Radiance,10,Uncommon,https://images.pokemontcg.io/swsh10/10_hires.png,https://images.pokemontcg.io/swsh10/10.png,90,"[{""name"": ""Swelling Tune"", ""text"": ""Your Grass Pokémon in play, except any Kricketune, get +40 HP. You can't apply more than 1 Swelling Tune Ability at a time."", ""type"": ""Ability""}]","[{""name"": ""Slash"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": """"}]",Slash,50,,Fire:×2,,Colorless,Kricketot,Mitsuhiro Arita,"It uses its cutlass-like arms to produce sound, the melody of which varies from individual to individual. It is a worthwhile endeavor to seek out one's favorite tunes.",,,,,,,,,,,,,,,,,,,,,,,,,
