Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,xy9-1,Chikorita,Pokémon,Grass,BREAKpoint,1,Common,https://images.pokemontcg.io/xy9/1_hires.png,https://images.pokemontcg.io/xy9/1.png,60,,"[{""name"": ""Tackle"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Blot"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10"", ""text"": ""Heal 10 damage from this Pokémon.""}]",Tackle|Blot,10|10,|Heal 10 damage from this Pokémon.,Fire:×2,,Colorless,,Akira Komayama,It uses the leaf on its head to determine the temperature and humidity. It loves to sunbathe.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,xy9-2,Bayleef,Pokémon,Grass,BREAKpoint,2,Uncommon,https://images.pokemontcg.io/xy9/2_hires.png,https://images.pokemontcg.io/xy9/2.png,90,,"[{""name"": ""Body Slam"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, your opponent's active Pokémon is now Paralyzed.""}, {""name"": ""Vine Whip"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Body Slam|Vine Whip,20|30,"Flip a coin. If heads, your opponent's active Pokémon is now Paralyzed.|",Fire:×2,,Colorless__Colorless,Chikorita,Mizue,The buds that ring its neck give off a spicy aroma that perks people up.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,xy9-3,Meganium,Pokémon,Grass,BREAKpoint,3,Rare Holo,https://images.pokemontcg.io/xy9/3_hires.png,https://images.pokemontcg.io/xy9/3.png,150,"[{""name"": ""Overgrow"", ""text"": ""If this Pokémon's remaining HP is 50 or less, its attacks do 70 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance)."", ""type"": ""Ability""}]","[{""name"": ""Green Force"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.""}]",Green Force,50,Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.,Fire:×2,,Colorless__Colorless__Colorless,Bayleef,kawayoo,Meganium's breath has the power to revive dead grass and plants. It can make them healthy again.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,xy9-4,Seedot,Pokémon,Grass,BREAKpoint,4,Common,https://images.pokemontcg.io/xy9/4_hires.png,https://images.pokemontcg.io/xy9/4.png,50,,"[{""name"": ""Ram"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Ram,10,,Fire:×2,,Colorless,,Kanako Eo,"When it dangles from a tree branch, it looks just like an acorn. It enjoys scaring other Pokémon.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,xy9-5,Kricketot,Pokémon,Grass,BREAKpoint,5,Common,https://images.pokemontcg.io/xy9/5_hires.png,https://images.pokemontcg.io/xy9/5.png,60,,"[{""name"": ""Bug Hunch"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for up to 3 Grass Pokémon, reveal them, and put them into your hand. Shuffle your deck afterward.""}]",Bug Hunch,,"Search your deck for up to 3 Grass Pokémon, reveal them, and put them into your hand. Shuffle your deck afterward.",Fire:×2,,Colorless,,Sumiyoshi Kizuki,"When its antennae hit each other, it sounds like the music of a xylophone.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,xy9-6,Kricketune,Pokémon,Grass,BREAKpoint,6,Uncommon,https://images.pokemontcg.io/xy9/6_hires.png,https://images.pokemontcg.io/xy9/6.png,90,,"[{""name"": ""Screech"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""During your next turn, any damage done to the Defending Pokémon by attacks is increased by 60 (after applying Weakness and Resistance).""}, {""name"": ""Slash"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""40"", ""text"": """"}]",Screech|Slash,|40,"During your next turn, any damage done to the Defending Pokémon by attacks is increased by 60 (after applying Weakness and Resistance).|",Fire:×2,,Colorless,Kricketot,Suwama Chiaki,It signals its emotions with its melodies. Scientists are studying these melodic patterns.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,xy9-7,Petilil,Pokémon,Grass,BREAKpoint,7,Common,https://images.pokemontcg.io/xy9/7_hires.png,https://images.pokemontcg.io/xy9/7.png,50,,"[{""name"": ""Aromatherapy"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal 10 damage from each of your Pokémon.""}]",Aromatherapy,,Heal 10 damage from each of your Pokémon.,Fire:×2,,Colorless,,Naoyo Kimura,"Since they prefer moist, nutrient-rich soil, the areas where Petilil live are known to be good for growing plants.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,xy9-8,Lilligant,Pokémon,Grass,BREAKpoint,8,Rare,https://images.pokemontcg.io/xy9/8_hires.png,https://images.pokemontcg.io/xy9/8.png,80,,"[{""name"": ""Boo-Hoo"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""If your opponent attaches an Energy card from his or her hand to the Defending Pokémon during his or her next turn, that Pokémon will be Asleep.""}, {""name"": ""Leaf Slice"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30×"", ""text"": ""Flip 2 coins. This attack does 30 damage times the number of heads.""}]",Boo-Hoo|Leaf Slice,20|30×,"If your opponent attaches an Energy card from his or her hand to the Defending Pokémon during his or her next turn, that Pokémon will be Asleep.|Flip 2 coins. This attack does 30 damage times the number of heads.",Fire:×2,,Colorless,Petilil,Shin Nagasawa,Even veteran Trainers face a challenge in getting its beautiful flower to bloom. This Pokémon is popular with celebrities.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,xy9-9,Durant,Pokémon,Grass,BREAKpoint,9,Uncommon,https://images.pokemontcg.io/xy9/9_hires.png,https://images.pokemontcg.io/xy9/9.png,70,,"[{""name"": ""Mountain Munch"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Discard the top card of your opponent's deck.""}, {""name"": ""Scrape Down"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""If this Pokémon has any damage counters on it, discard the top 4 cards of your opponent's deck.""}]",Mountain Munch|Scrape Down,10|,"Discard the top card of your opponent's deck.|If this Pokémon has any damage counters on it, discard the top 4 cards of your opponent's deck.",Fire:×2,,Colorless,,Kouki Saitou,"They attack in groups, covering themselves in steel armor to protect themselves from Heatmor.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,xy9-10,Growlithe,Pokémon,Fire,BREAKpoint,10,Common,https://images.pokemontcg.io/xy9/10_hires.png,https://images.pokemontcg.io/xy9/10.png,70,,"[{""name"": ""Bite"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Bite,20,,Water:×2,,Colorless__Colorless,,match,It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.,,,,,,,,,,,,,,,,,,,,,,,,,
