Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,xy8-1,Paras,Pokémon,Grass,BREAKthrough,1,Common,https://images.pokemontcg.io/xy8/1_hires.png,https://images.pokemontcg.io/xy8/1.png,60,,"[{""name"": ""Blot"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Heal 10 damage from this Pokémon.""}]",Blot,10,Heal 10 damage from this Pokémon.,Fire:×2,,Colorless,,Hajime Kusajima,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,xy8-2,Parasect,Pokémon,Grass,BREAKthrough,2,Rare,https://images.pokemontcg.io/xy8/2_hires.png,https://images.pokemontcg.io/xy8/2.png,100,,"[{""name"": ""Colorful Spores"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Choose 3 of your Pokémon. For each of those Pokémon, search your deck for a different type of basic Energy card and attach it to that Pokémon. Shuffle your deck afterward.""}, {""name"": ""X-Scissor"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""Flip a coin. If heads, this attack does 30 more damage.""}]",Colorful Spores|X-Scissor,|30+,"Choose 3 of your Pokémon. For each of those Pokémon, search your deck for a different type of basic Energy card and attach it to that Pokémon. Shuffle your deck afterward.|Flip a coin. If heads, this attack does 30 more damage.",Fire:×2,,Colorless__Colorless,Paras,Sumiyoshi Kizuki,"The larger the mushroom on its back grows, the stronger the mushroom spores it scatters.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,xy8-3,Pinsir,Pokémon,Grass,BREAKthrough,3,Uncommon,https://images.pokemontcg.io/xy8/3_hires.png,https://images.pokemontcg.io/xy8/3.png,100,,"[{""name"": ""Overhead Throw"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""This attack does 20 damage to 1 of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Heavy Suplex"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""This attack does 20 more damage for each Colorless in your opponent's Active Pokémon's Retreat Cost.""}]",Overhead Throw|Heavy Suplex,30|40+,This attack does 20 damage to 1 of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|This attack does 20 more damage for each Colorless in your opponent's Active Pokémon's Retreat Cost.,Fire:×2,,Colorless__Colorless,,Satoshi Shirai,"It swings its long antlers wildly to attack. During cold periods, it hides deep in forests.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,xy8-4,Cacnea,Pokémon,Grass,BREAKthrough,4,Common,https://images.pokemontcg.io/xy8/4_hires.png,https://images.pokemontcg.io/xy8/4.png,60,,"[{""name"": ""Swagger"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, discard an Energy attached to your opponent's Active Pokémon.""}]",Swagger,10,"Flip a coin. If heads, discard an Energy attached to your opponent's Active Pokémon.",Fire:×2,,Colorless,,Yuka Morii,It prefers harsh environments such as deserts. It can survive for 30 days on water stored in its body.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,xy8-5,Pansage,Pokémon,Grass,BREAKthrough,5,Common,https://images.pokemontcg.io/xy8/5_hires.png,https://images.pokemontcg.io/xy8/5.png,60,,"[{""name"": ""Fury Swipes"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Flip 3 coins. This attack does 10 damage times the number of heads.""}]",Fury Swipes,10×,Flip 3 coins. This attack does 10 damage times the number of heads.,Fire:×2,,Colorless,,Hajime Kusajima,It's good at finding berries and gathers them from all over. It's kind enough to share them with friends.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,xy8-6,Simisage,Pokémon,Grass,BREAKthrough,6,Rare,https://images.pokemontcg.io/xy8/6_hires.png,https://images.pokemontcg.io/xy8/6.png,90,,"[{""name"": ""Fire Fling"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Put 3 Fire Energy cards from your discard pile into your hand.""}, {""name"": ""Hand Fling"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10×"", ""text"": ""This attack does 10 damage times the number of cards in your hand.""}]",Fire Fling|Hand Fling,|10×,Put 3 Fire Energy cards from your discard pile into your hand.|This attack does 10 damage times the number of cards in your hand.,Fire:×2,,Colorless,Pansage,Kagemaru Himeno,"Ill tempered, it fights by swinging its barbed tail around wildly. The leaf growing on its head is very bitter.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,xy8-7,Chespin,Pokémon,Grass,BREAKthrough,7,Common,https://images.pokemontcg.io/xy8/7_hires.png,https://images.pokemontcg.io/xy8/7.png,60,,"[{""name"": ""Nosh"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal 20 damage from this Pokémon.""}, {""name"": ""Seed Bomb"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": """"}]",Nosh|Seed Bomb,|30,Heal 20 damage from this Pokémon.|,Fire:×2,,Colorless,,Megumi Mizutani,Such a thick shell of wood covers its head and back that even a direct hit from a truck wouldn't faze it.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,xy8-8,Chespin,Pokémon,Grass,BREAKthrough,8,Common,https://images.pokemontcg.io/xy8/8_hires.png,https://images.pokemontcg.io/xy8/8.png,60,,"[{""name"": ""Work"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Seed Bomb"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": """"}]",Work|Seed Bomb,10|30,|,Fire:×2,,Colorless,,Megumi Mizutani,Such a thick shell of wood covers its head and back that even a direct hit from a truck wouldn't faze it.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,xy8-9,Chespin,Pokémon,Grass,BREAKthrough,9,Common,https://images.pokemontcg.io/xy8/9_hires.png,https://images.pokemontcg.io/xy8/9.png,60,,"[{""name"": ""Tree Climb"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Grass Energy card, reveal it, and put it into your hand. Shuffle your deck afterward.""}, {""name"": ""Seed Bomb"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": """"}]",Tree Climb|Seed Bomb,|30,"Search your deck for a Grass Energy card, reveal it, and put it into your hand. Shuffle your deck afterward.|",Fire:×2,,Colorless,,Kouki Saitou,"The quills on its head are usually soft. When it flexes them, the points become so hard and sharp that they can pierce rock.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,xy8-10,Quilladin,Pokémon,Grass,BREAKthrough,10,Uncommon,https://images.pokemontcg.io/xy8/10_hires.png,https://images.pokemontcg.io/xy8/10.png,90,,"[{""name"": ""Tackle"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}, {""name"": ""Pin Missile"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40×"", ""text"": ""Flip 4 coins. This attack does 40 damage times the number of heads.""}]",Tackle|Pin Missile,20|40×,|Flip 4 coins. This attack does 40 damage times the number of heads.,Fire:×2,,Colorless__Colorless__Colorless,Chespin,Miki Tanaka,They strengthen their lower bodies by running into one another. They are very kind and won't start fights.,,,,,,,,,,,,,,,,,,,,,,,,,
