Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,bwp-BW01,Snivy,Pokémon,Grass,BW Black Star Promos,BW01,Promo,https://images.pokemontcg.io/bwp/BW01_hires.png,https://images.pokemontcg.io/bwp/BW01.png,60,,"[{""name"": ""Slam"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20×"", ""text"": ""Flip 2 coins. This attack does 20 damage times the number of heads.""}]",Slam,20×,Flip 2 coins. This attack does 20 damage times the number of heads.,Fire:×2,Water:-20,Colorless,,Ken Sugimori,It is very intelligent and calm. Being exposed to lots of sunlight makes its movements swifter.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,bwp-BW02,Tepig,Pokémon,Fire,BW Black Star Promos,BW02,Promo,https://images.pokemontcg.io/bwp/BW02_hires.png,https://images.pokemontcg.io/bwp/BW02.png,70,,"[{""name"": ""Ember"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Discard an Energy attached to this Pokémon.""}]",Ember,30,Discard an Energy attached to this Pokémon.,Water:×2,,Colorless__Colorless,,Ken Sugimori,"It blows fire through its nose. When it catches a cold, the fire becomes pitch-black smoke instead.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,bwp-BW03,Oshawott,Pokémon,Water,BW Black Star Promos,BW03,Promo,https://images.pokemontcg.io/bwp/BW03_hires.png,https://images.pokemontcg.io/bwp/BW03.png,60,,"[{""name"": ""Water Pulse"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Asleep.""}]",Water Pulse,20,"Flip a coin. If heads, the Defending Pokémon is now Asleep.",Lightning:×2,,Colorless,,Ken Sugimori,"It fights using the scalchop on its stomach. In response to an attack, it retaliates immediately by slashing.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,bwp-BW004,Reshiram,Pokémon,Fire,BW Black Star Promos,BW004,Promo,https://images.pokemontcg.io/bwp/BW004_hires.png,https://images.pokemontcg.io/bwp/BW004.png,130,,"[{""name"": ""Outrage"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Does 10 more damage for each damage counter on this Pokémon.""}, {""name"": ""Blue Flare"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""120"", ""text"": ""Discard 2 Fire Energy attached to this Pokémon.""}]",Outrage|Blue Flare,20+|120,Does 10 more damage for each damage counter on this Pokémon.|Discard 2 Fire Energy attached to this Pokémon.,Water:×2,,Colorless__Colorless,,5ban Graphics,"This Pokémon appears in legends. It sends flames into the air from its tail, burning up everything around it.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,bwp-BW005,Zekrom,Pokémon,Lightning,BW Black Star Promos,BW005,Promo,https://images.pokemontcg.io/bwp/BW005_hires.png,https://images.pokemontcg.io/bwp/BW005.png,130,,"[{""name"": ""Outrage"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Does 10 more damage for each damage counter on this Pokémon.""}, {""name"": ""Bolt Strike"", ""cost"": [""Lightning"", ""Lightning"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""120"", ""text"": ""This Pokémon does 40 damage to itself.""}]",Outrage|Bolt Strike,20+|120,Does 10 more damage for each damage counter on this Pokémon.|This Pokémon does 40 damage to itself.,Fighting:×2,,Colorless__Colorless,,5ban Graphics,"This Pokémon appears in legends. In its tail, it has a giant generator that creates electricity.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,bwp-BW06,Snivy,Pokémon,Grass,BW Black Star Promos,BW06,Promo,https://images.pokemontcg.io/bwp/BW06_hires.png,https://images.pokemontcg.io/bwp/BW06.png,60,,"[{""name"": ""Paralyzing Gaze"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}, {""name"": ""Tail Smack"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Paralyzing Gaze|Tail Smack,|20,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.|",Fire:×2,Water:-20,Colorless,,Shizurow,"They photosynthesize by bathing their tails in sunlight. When they are not feeling well, their tails droop.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,bwp-BW07,Tepig,Pokémon,Fire,BW Black Star Promos,BW07,Promo,https://images.pokemontcg.io/bwp/BW07_hires.png,https://images.pokemontcg.io/bwp/BW07.png,60,,"[{""name"": ""Singe"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Burned.""}, {""name"": ""Firebreathing"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 20 more damage.""}]",Singe|Firebreathing,|10+,"Flip a coin. If heads, the Defending Pokémon is now Burned.|Flip a coin. If heads, this attack does 20 more damage.",Water:×2,,Colorless,,Shin Nagasawa,It can deftly dodge its foe's attacks while shooting fireballs from its nose. It roasts berries before it eats them.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,bwp-BW08,Oshawott,Pokémon,Water,BW Black Star Promos,BW08,Promo,https://images.pokemontcg.io/bwp/BW08_hires.png,https://images.pokemontcg.io/bwp/BW08.png,60,,"[{""name"": ""Sleep Pulse"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Asleep.""}, {""name"": ""Surprise Attack"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Flip a coin. If tails, this attack does nothing.""}]",Sleep Pulse|Surprise Attack,|30,"Flip a coin. If heads, the Defending Pokémon is now Asleep.|Flip a coin. If tails, this attack does nothing.",Lightning:×2,,Colorless,,Mitsuhiro Arita,The scalchop on its stomach is made from the same elements as claws. It detaches the scalchop for use as a blade.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,bwp-BW09,Zoroark,Pokémon,Darkness,BW Black Star Promos,BW09,Promo,https://images.pokemontcg.io/bwp/BW09_hires.png,https://images.pokemontcg.io/bwp/BW09.png,100,,"[{""name"": ""Nasty Plot"", ""cost"": [""Darkness""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a card and put it into your hand. Shuffle your deck afterward.""}, {""name"": ""Foul Play"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Choose 1 of the Defending Pokémon's attacks and use it as this attack.""}]",Nasty Plot|Foul Play,|,Search your deck for a card and put it into your hand. Shuffle your deck afterward.|Choose 1 of the Defending Pokémon's attacks and use it as this attack.,Fighting:×2,Psychic:-20,Colorless,Zorua,Naoki Saito,Each has the ability to fool a large group of people simultaneously. They protect their lair with illusory scenery.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,bwp-BW10,Axew,Pokémon,Colorless,BW Black Star Promos,BW10,Promo,https://images.pokemontcg.io/bwp/BW10_hires.png,https://images.pokemontcg.io/bwp/BW10.png,50,,"[{""name"": ""Dragon Rage"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": ""Flip 2 coins. If either of them is tails, this attack does nothing.""}]",Dragon Rage,50,"Flip 2 coins. If either of them is tails, this attack does nothing.",,,Colorless,,Masakazu Fukuda,They use their tusks to crush the berries they eat. Repeated regrowth makes their tusks strong and sharp.,,,,,,,,,,,,,,,,,,,,,,,,,
