Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,base4-1,Alakazam,Pokémon,Psychic,Base Set 2,1,Rare Holo,https://images.pokemontcg.io/base4/1_hires.png,https://images.pokemontcg.io/base4/1.png,,,,,,8.0,15.75,159.99,20.6,6.64,,,,,,,,,,,,,,,
001.jpg,base4-2,Blastoise,Pokémon,Water,Base Set 2,2,Rare Holo,https://images.pokemontcg.io/base4/2_hires.png,https://images.pokemontcg.io/base4/2.png,,,,,,51.0,67.5,123.19,97.23,36.98,,,,,,,,,,,,,,,
002.jpg,base4-3,Chansey,Pokémon,Colorless,Base Set 2,3,Rare Holo,https://images.pokemontcg.io/base4/3_hires.png,https://images.pokemontcg.io/base4/3.png,,,,,,3.78,9.0,25.0,9.05,3.01,,,,,,,,,,,,,,,
003.jpg,base4-4,Charizard,Pokémon,Fire,Base Set 2,4,Rare Holo,https://images.pokemontcg.io/base4/4_hires.png,https://images.pokemontcg.io/base4/4.png,,,,,,122.0,234.44,673.48,285.26,,,,,,,,,,,,,,,,
004.jpg,base4-5,Clefable,Pokémon,Colorless,Base Set 2,5,Rare Holo,https://images.pokemontcg.io/base4/5_hires.png,https://images.pokemontcg.io/base4/5.png,,,,,,5.0,9.84,40.59,11.23,6.24,,,,,,,,,,,,,,,
005.jpg,base4-6,Clefairy,Pokémon,Colorless,Base Set 2,6,Rare Holo,https://images.pokemontcg.io/base4/6_hires.png,https://images.pokemontcg.io/base4/6.png,,,,,,3.45,8.61,47.99,8.97,2.92,,,,,,,,,,,,,,,
006.jpg,base4-7,Gyarados,Pokémon,Water,Base Set 2,7,Rare Holo,https://images.pokemontcg.io/base4/7_hires.png,https://images.pokemontcg.io/base4/7.png,,,,,,8.0,18.0,39.99,18.39,7.35,,,,,,,,,,,,,,,
007.jpg,base4-8,Hitmonchan,Pokémon,Fighting,Base Set 2,8,Rare Holo,https://images.pokemontcg.io/base4/8_hires.png,https://images.pokemontcg.io/base4/8.png,,,,,,7.5,11.47,29.99,13.67,3.8,,,,,,,,,,,,,,,
008.jpg,base4-9,Magneton,Pokémon,Lightning,Base Set 2,9,Rare Holo,https://images.pokemontcg.io/base4/9_hires.png,https://images.pokemontcg.io/base4/9.png,,,,,,4.25,8.0,69.99,11.62,3.89,,,,,,,,,,,,,,,
009.jpg,base4-10,Mewtwo,Pokémon,Psychic,Base Set 2,10,Rare Holo,https://images.pokemontcg.io/base4/10_hires.png,https://images.pokemontcg.io/base4/10.png,,,,,,11.01,21.89,74.99,28.82,7.49,,,,,,,,,,,,,,,
