Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh5-1,Bellsprout,Pokémon,Grass,Battle Styles,1,Common,https://images.pokemontcg.io/swsh5/1_hires.png,https://images.pokemontcg.io/swsh5/1.png,50,,"[{""name"": ""Venoshock"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""If your opponent's Active Pokémon is Poisoned, this attack does 40 more damage.""}]",Venoshock,10+,"If your opponent's Active Pokémon is Poisoned, this attack does 40 more damage.",Fire:×2,,Colorless,,Sekio,"Its bud looks like a human face. Because of the bud, it is rumored to be a type of legendary mandrake plant.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh5-2,Weepinbell,Pokémon,Grass,Battle Styles,2,Uncommon,https://images.pokemontcg.io/swsh5/2_hires.png,https://images.pokemontcg.io/swsh5/2.png,80,"[{""name"": ""Dangerous Mucus"", ""text"": ""When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may make your opponent's Active Pokémon Burned and Poisoned."", ""type"": ""Ability""}]","[{""name"": ""Vine Whip"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": """"}]",Vine Whip,40,,Fire:×2,,Colorless__Colorless,Bellsprout,Shibuzoh.,It spits out Poison Powder to immobilize the enemy and then finishes it with a spray of Acid.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh5-3,Victreebel,Pokémon,Grass,Battle Styles,3,Rare,https://images.pokemontcg.io/swsh5/3_hires.png,https://images.pokemontcg.io/swsh5/3.png,150,,"[{""name"": ""Panic Vine"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""40"", ""text"": ""Your opponent's Active Pokémon is now Confused. During your opponent's next turn, that Pokémon can't retreat.""}, {""name"": ""Solar Beam"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""120"", ""text"": """"}]",Panic Vine|Solar Beam,40|120,"Your opponent's Active Pokémon is now Confused. During your opponent's next turn, that Pokémon can't retreat.|",Fire:×2,,Colorless__Colorless__Colorless,Weepinbell,Tika Matsuno,"Once ingested into this Pokémon's body, even the hardest object will melt into nothing.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh5-4,Cacnea,Pokémon,Grass,Battle Styles,4,Common,https://images.pokemontcg.io/swsh5/4_hires.png,https://images.pokemontcg.io/swsh5/4.png,70,,"[{""name"": ""Zzzt"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Beat"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Zzzt|Beat,10|20,|,Fire:×2,,Colorless__Colorless,,Kazuma Koda,It prefers harsh environments such as deserts. It can survive for 30 days on water stored in its body.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh5-5,Cacturne,Pokémon,Grass,Battle Styles,5,Uncommon,https://images.pokemontcg.io/swsh5/5_hires.png,https://images.pokemontcg.io/swsh5/5.png,120,,"[{""name"": ""Pull"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Switch 1 of your opponent's Benched Pokémon with their Active Pokémon.""}, {""name"": ""Spiny Punch"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""60+"", ""text"": ""If this Pokémon has any Darkness Energy attached, this attack does 70 more damage.""}]",Pull|Spiny Punch,|60+,"Switch 1 of your opponent's Benched Pokémon with their Active Pokémon.|If this Pokémon has any Darkness Energy attached, this attack does 70 more damage.",Fire:×2,,Colorless__Colorless,Cacnea,Tomokazu Komiya,Packs of them follow travelers through the desert until the travelers can no longer move.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh5-6,Kricketune V,Pokémon,Grass,Battle Styles,6,Rare Holo V,https://images.pokemontcg.io/swsh5/6_hires.png,https://images.pokemontcg.io/swsh5/6.png,180,"[{""name"": ""Exciting Stage"", ""text"": ""Once during your turn, you may draw cards until you have 3 cards in your hand. If this Pokémon is in the Active Spot, you may draw cards until you have 4 cards in your hand instead. You can't use more than 1 Exciting Stage Ability each turn."", ""type"": ""Ability""}]","[{""name"": ""X-Scissor"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80+"", ""text"": ""Flip a coin. If heads, this attack does 80 more damage.""}]",X-Scissor,80+,"Flip a coin. If heads, this attack does 80 more damage.",Fire:×2,,Colorless,,Satoshi Shirai,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh5-7,Cherubi,Pokémon,Grass,Battle Styles,7,Common,https://images.pokemontcg.io/swsh5/7_hires.png,https://images.pokemontcg.io/swsh5/7.png,50,,"[{""name"": ""Leafage"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Leafage,10,,Fire:×2,,Colorless,,Akira Komayama,"The deeper a Cherubi's red, the more nutrients it has stockpiled in its body. And the sweeter and tastier its small ball!",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh5-8,Cherrim,Pokémon,Grass,Battle Styles,8,Rare Holo,https://images.pokemontcg.io/swsh5/8_hires.png,https://images.pokemontcg.io/swsh5/8.png,80,"[{""name"": ""Spring Bloom"", ""text"": ""As often as you like during your turn, you may attach a Grass Energy card from your hand to 1 of your Pokémon that doesn't have a Rule Box (Pokémon V, Pokémon-GX, etc. have Rule Boxes)."", ""type"": ""Ability""}]","[{""name"": ""Seed Bomb"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": """"}]",Seed Bomb,70,,Fire:×2,,Colorless__Colorless,Cherubi,Mina Nakai,The faint scent that emanates from its full blossom entices bug Pokémon to it.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh5-9,Carnivine,Pokémon,Grass,Battle Styles,9,Uncommon,https://images.pokemontcg.io/swsh5/9_hires.png,https://images.pokemontcg.io/swsh5/9.png,110,,"[{""name"": ""Big Bite"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""During your opponent's next turn, the Defending Pokémon can't retreat.""}, {""name"": ""Triple Whip"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60×"", ""text"": ""Flip 3 coins. This attack does 60 damage for each heads.""}]",Big Bite|Triple Whip,30|60×,"During your opponent's next turn, the Defending Pokémon can't retreat.|Flip 3 coins. This attack does 60 damage for each heads.",Fire:×2,,Colorless__Colorless,,AKIRA EGAWA,It binds itself to trees in marshes. It attracts prey with its sweet-smelling drool and gulps them down.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh5-10,Durant,Pokémon,Grass,Battle Styles,10,Uncommon,https://images.pokemontcg.io/swsh5/10_hires.png,https://images.pokemontcg.io/swsh5/10.png,90,,"[{""name"": ""Vise Grip"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Devour"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""For each of your Durant in play, discard the top card of your opponent's deck.""}]",Vise Grip|Devour,20|,"|For each of your Durant in play, discard the top card of your opponent's deck.",Fire:×2,,Colorless,,kodama,"With their large mandibles, these Pokémon can crunch their way through rock. They work together to protect their eggs from Sandaconda.",,,,,,,,,,,,,,,,,,,,,,,,,
