Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,bw1-1,Snivy,Pokémon,Grass,Black & White,1,Common,https://images.pokemontcg.io/bw1/1_hires.png,https://images.pokemontcg.io/bw1/1.png,60,,"[{""name"": ""Tackle"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Vine Whip"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Tackle|Vine Whip,10|20,|,Fire:×2,Water:-20,Colorless,,Kagemaru Himeno,"They photosynthesize by bathing their tails in sunlight. When they are not feeling well, their tails droop.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,bw1-2,Snivy,Pokémon,Grass,Black & White,2,Common,https://images.pokemontcg.io/bw1/2_hires.png,https://images.pokemontcg.io/bw1/2.png,60,,"[{""name"": ""Leaf Blade"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 30 more damage.""}]",Leaf Blade,10+,"Flip a coin. If heads, this attack does 30 more damage.",Fire:×2,Water:-20,Colorless,,5ban Graphics,"They photosynthesize by bathing their tails in sunlight. When they are not feeling well, their tails droop.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,bw1-3,Servine,Pokémon,Grass,Black & White,3,Uncommon,https://images.pokemontcg.io/bw1/3_hires.png,https://images.pokemontcg.io/bw1/3.png,80,,"[{""name"": ""Wrap"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}, {""name"": ""Tackle"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Wrap|Tackle,20|30,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.|",Fire:×2,Water:-20,Colorless,Snivy,Kagemaru Himeno,They avoid attacks by sinking into the shadows of thick foliage. They retaliate with masterful whipping techniques.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,bw1-4,Servine,Pokémon,Grass,Black & White,4,Uncommon,https://images.pokemontcg.io/bw1/4_hires.png,https://images.pokemontcg.io/bw1/4.png,80,,"[{""name"": ""Wring Out"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed and discard an Energy attached to the Defending Pokémon.""}]",Wring Out,30,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed and discard an Energy attached to the Defending Pokémon.",Fire:×2,Water:-20,Colorless,Snivy,5ban Graphics,They avoid attacks by sinking into the shadows of thick foliage. They retaliate with masterful whipping techniques.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,bw1-5,Serperior,Pokémon,Grass,Black & White,5,Rare Holo,https://images.pokemontcg.io/bw1/5_hires.png,https://images.pokemontcg.io/bw1/5.png,130,,"[{""name"": ""Vine Whip"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": """"}, {""name"": ""Leaf Storm"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""60"", ""text"": ""Heal 20 damage from each of your Grass Pokémon.""}]",Vine Whip|Leaf Storm,40|60,|Heal 20 damage from each of your Grass Pokémon.,Fire:×2,Water:-20,,Servine,Kagemaru Himeno,They raise their heads to intimidate opponents but only give it their all when fighting a powerful opponent.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,bw1-6,Serperior,Pokémon,Grass,Black & White,6,Rare Holo,https://images.pokemontcg.io/bw1/6_hires.png,https://images.pokemontcg.io/bw1/6.png,130,"[{""name"": ""Royal Heal"", ""text"": ""At any time between turns, heal 10 damage from each of your Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Leaf Tornado"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""60"", ""text"": ""Move as many Grass Energy attached to your Pokémon to your other Pokémon in any way you like.""}]",Leaf Tornado,60,Move as many Grass Energy attached to your Pokémon to your other Pokémon in any way you like.,Fire:×2,Water:-20,Colorless,Servine,5ban Graphics,They raise their heads to intimidate opponents but only give it their all when fighting a powerful opponent.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,bw1-7,Pansage,Pokémon,Grass,Black & White,7,Common,https://images.pokemontcg.io/bw1/7_hires.png,https://images.pokemontcg.io/bw1/7.png,60,,"[{""name"": ""Scratch"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Vine Whip"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": """"}]",Scratch|Vine Whip,10|30,|,Fire:×2,Water:-20,Colorless,,sui,It shares the leaf on its head with weary-looking Pokémon. These leaves are known to relieve stress.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,bw1-8,Simisage,Pokémon,Grass,Black & White,8,Uncommon,https://images.pokemontcg.io/bw1/8_hires.png,https://images.pokemontcg.io/bw1/8.png,90,,"[{""name"": ""Seed Bomb"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": """"}, {""name"": ""Fury Swipes"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40×"", ""text"": ""Flip 3 coins. This attack does 40 damage times the number of heads.""}]",Seed Bomb|Fury Swipes,30|40×,|Flip 3 coins. This attack does 40 damage times the number of heads.,Fire:×2,Water:-20,Colorless__Colorless,Pansage,Masakazu Fukuda,It attacks enemies with strikes of its thorn-covered tail. This Pokémon is wild tempered.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,bw1-9,Petilil,Pokémon,Grass,Black & White,9,Common,https://images.pokemontcg.io/bw1/9_hires.png,https://images.pokemontcg.io/bw1/9.png,50,,"[{""name"": ""Magical Leaf"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 10 more damage and heal 10 damage from this Pokémon.""}]",Magical Leaf,10+,"Flip a coin. If heads, this attack does 10 more damage and heal 10 damage from this Pokémon.",Fire:×2,Water:-20,Colorless,,Kagemaru Himeno,"Since they prefer moist, nutrient-rich soil, the areas where Petilil live are known to be good for growing plants.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,bw1-10,Lilligant,Pokémon,Grass,Black & White,10,Rare,https://images.pokemontcg.io/bw1/10_hires.png,https://images.pokemontcg.io/bw1/10.png,80,,"[{""name"": ""Petal Dance"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30×"", ""text"": ""Flip 3 coins. This attack does 30 damage times the number of heads. This Pokémon is now confused.""}, {""name"": ""Leaf Storm"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Heal 20 damage from each of your Grass Pokémon.""}]",Petal Dance|Leaf Storm,30×|30,Flip 3 coins. This attack does 30 damage times the number of heads. This Pokémon is now confused.|Heal 20 damage from each of your Grass Pokémon.,Fire:×2,Water:-20,Colorless,Petilil,Atsuko Nishida,The fragrance of the garland on its head has a relaxing effect. It withers if a Trainer does not take good care of it.,,,,,,,,,,,,,,,,,,,,,,,,,
