Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,zsv10pt5-1,Snivy,Pokémon,Grass,Black Bolt,1,Common,https://images.pokemontcg.io/zsv10pt5/1_hires.png,https://images.pokemontcg.io/zsv10pt5/1.png,70,,"[{""name"": ""Tackle"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Vine Whip"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Tackle|Vine Whip,10|30,|,Fire:×2,,Colorless,,Susumu Maeya,It is very intelligent and calm. Being exposed to lots of sunlight makes its movements swifter.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,zsv10pt5-2,Servine,Pokémon,Grass,Black Bolt,2,Common,https://images.pokemontcg.io/zsv10pt5/2_hires.png,https://images.pokemontcg.io/zsv10pt5/2.png,100,,"[{""name"": ""Wrap"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}, {""name"": ""Vine Whip"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Wrap|Vine Whip,20|60,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.|",Fire:×2,,Colorless,Snivy,Susumu Maeya,"It moves along the ground as if sliding. Its swift movements befuddle its foes, and it then attacks with a vine whip.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,zsv10pt5-3,Serperior ex,Pokémon,Grass,Black Bolt,3,Double Rare,https://images.pokemontcg.io/zsv10pt5/3_hires.png,https://images.pokemontcg.io/zsv10pt5/3.png,320,"[{""name"": ""Regal Cheer"", ""text"": ""Attacks used by your Pokémon do 20 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance)."", ""type"": ""Ability""}]","[{""name"": ""Command the Grass"", ""cost"": [""Grass"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""150"", ""text"": ""You may search your deck for up to 3 cards and put them into your hand. Then, shuffle your deck.""}]",Command the Grass,150,"You may search your deck for up to 3 cards and put them into your hand. Then, shuffle your deck.",Fire:×2,,Colorless__Colorless,Servine,PLANETA Igarashi,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,zsv10pt5-4,Pansage,Pokémon,Grass,Black Bolt,4,Common,https://images.pokemontcg.io/zsv10pt5/4_hires.png,https://images.pokemontcg.io/zsv10pt5/4.png,70,,"[{""name"": ""Collect"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw a card.""}, {""name"": ""Scratch"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Collect|Scratch,|30,Draw a card.|,Fire:×2,,Colorless,,kurumitsu,This Pokémon dwells deep in the forest. Eating a leaf from its head whisks weariness away as if by magic.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,zsv10pt5-5,Simisage,Pokémon,Grass,Black Bolt,5,Uncommon,https://images.pokemontcg.io/zsv10pt5/5_hires.png,https://images.pokemontcg.io/zsv10pt5/5.png,100,,"[{""name"": ""Gentle Slap"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""70"", ""text"": """"}]",Gentle Slap,70,,Fire:×2,,Colorless,Pansage,kurumitsu,"Ill tempered, it fights by swinging its barbed tail around wildly. The leaf growing on its head is very bitter.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,zsv10pt5-6,Petilil,Pokémon,Grass,Black Bolt,6,Common,https://images.pokemontcg.io/zsv10pt5/6_hires.png,https://images.pokemontcg.io/zsv10pt5/6.png,60,,"[{""name"": ""Hide"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.""}, {""name"": ""Leafage"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Hide|Leafage,|10,"Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.|",Fire:×2,,Colorless,,mele,The leaves on its head are very bitter. Eating one of these leaves is known to refresh a tired body.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,zsv10pt5-7,Lilligant,Pokémon,Grass,Black Bolt,7,Uncommon,https://images.pokemontcg.io/zsv10pt5/7_hires.png,https://images.pokemontcg.io/zsv10pt5/7.png,100,,"[{""name"": ""Bemusing Aroma"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed and Poisoned. If tails, your opponent's Active Pokémon is now Confused.""}, {""name"": ""Cut"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": """"}]",Bemusing Aroma|Cut,30|70,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed and Poisoned. If tails, your opponent's Active Pokémon is now Confused.|",Fire:×2,,Colorless,Petilil,mele,Even veteran Trainers face a challenge in getting its beautiful flower to bloom. This Pokémon is popular with celebrities.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,zsv10pt5-8,Maractus,Pokémon,Grass,Black Bolt,8,Common,https://images.pokemontcg.io/zsv10pt5/8_hires.png,https://images.pokemontcg.io/zsv10pt5/8.png,100,,"[{""name"": ""Lively Needles"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20+"", ""text"": ""If this Pokémon was healed during this turn, this attack does 100 more damage.""}, {""name"": ""Pierce"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": """"}]",Lively Needles|Pierce,20+|50,"If this Pokémon was healed during this turn, this attack does 100 more damage.|",Fire:×2,,Colorless,,mingo,It uses an up-tempo song and dance to drive away the bird Pokémon that prey on its flower seeds.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,zsv10pt5-9,Karrablast,Pokémon,Grass,Black Bolt,9,Common,https://images.pokemontcg.io/zsv10pt5/9_hires.png,https://images.pokemontcg.io/zsv10pt5/9.png,60,"[{""name"": ""Stimulated Evolution"", ""text"": ""If you have Shelmet in play, this Pokémon can evolve during your first turn or the turn you play it."", ""type"": ""Ability""}]","[{""name"": ""Horn Attack"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Horn Attack,10,,Fire:×2,,Colorless,,DOM,These mysterious Pokémon evolve when they receive electrical stimulation while they are in the same place as Shelmet.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,zsv10pt5-10,Foongus,Pokémon,Grass,Black Bolt,10,Common,https://images.pokemontcg.io/zsv10pt5/10_hires.png,https://images.pokemontcg.io/zsv10pt5/10.png,50,,"[{""name"": ""Toxic Spore"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Poisoned.""}]",Toxic Spore,,Your opponent's Active Pokémon is now Poisoned.,Fire:×2,,Colorless,,Kurata So,"It lures people in with its Poké Ball pattern, then releases poison spores. Why it resembles a Poké Ball is unknown.",,,,,,,,,,,,,,,,,,,,,,,,,
