Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,bw7-1,Oddish,Pokémon,Grass,Boundaries Crossed,1,Common,https://images.pokemontcg.io/bw7/1_hires.png,https://images.pokemontcg.io/bw7/1.png,50,,"[{""name"": ""Absorb"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Heal 10 damage from this Pokémon.""}, {""name"": ""Acid"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Absorb|Acid,10|20,Heal 10 damage from this Pokémon.|,Fire:×2,Water:-20,Colorless,,Kanako Eo,It often plants its root feet in the ground during the day and sows seeds as it walks about at night.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,bw7-2,Gloom,Pokémon,Grass,Boundaries Crossed,2,Uncommon,https://images.pokemontcg.io/bw7/2_hires.png,https://images.pokemontcg.io/bw7/2.png,80,,"[{""name"": ""Foul Odor"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Both this Pokémon and the Defending Pokémon are now Confused.""}, {""name"": ""Poison Powder"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""The Defending Pokémon is now Poisoned.""}]",Foul Odor|Poison Powder,|40,Both this Pokémon and the Defending Pokémon are now Confused.|The Defending Pokémon is now Poisoned.,Fire:×2,Water:-20,Colorless,Oddish,Atsuko Nishida,"The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,bw7-3,Vileplume,Pokémon,Grass,Boundaries Crossed,3,Rare Holo,https://images.pokemontcg.io/bw7/3_hires.png,https://images.pokemontcg.io/bw7/3.png,140,"[{""name"": ""Allergy Panic"", ""text"": ""Apply Weakness for each Pokémon (both yours and your opponent's) as ×4 instead."", ""type"": ""Ability""}]","[{""name"": ""Pollen Spray"", ""cost"": [""Grass"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""50"", ""text"": ""The Defending Pokémon is now Asleep and Poisoned.""}]",Pollen Spray,50,The Defending Pokémon is now Asleep and Poisoned.,Fire:×2,Water:-20,Colorless__Colorless__Colorless,Gloom,Shin Nagasawa,"Its petals are the largest in the world. As it walks, it scatters extremely allergenic pollen.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,bw7-4,Bellossom,Pokémon,Grass,Boundaries Crossed,4,Rare,https://images.pokemontcg.io/bw7/4_hires.png,https://images.pokemontcg.io/bw7/4.png,110,,"[{""name"": ""Grass Knot"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Does 20 more damage for each Colorless in the Defending Pokémon's Retreat Cost.""}, {""name"": ""Petal Dance"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50×"", ""text"": ""Flip 3 coins. This attack does 50 damage times the number of heads. This Pokémon is now Confused.""}]",Grass Knot|Petal Dance,10+|50×,Does 20 more damage for each Colorless in the Defending Pokémon's Retreat Cost.|Flip 3 coins. This attack does 50 damage times the number of heads. This Pokémon is now Confused.,Fire:×2,Water:-20,Colorless,Gloom,Mizue,"When the heavy rainfall season ends, it is drawn out by warm sunlight to dance in the open.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,bw7-5,Tangela,Pokémon,Grass,Boundaries Crossed,5,Common,https://images.pokemontcg.io/bw7/5_hires.png,https://images.pokemontcg.io/bw7/5.png,80,,"[{""name"": ""Nap"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal 30 damage from this Pokémon.""}, {""name"": ""Vine Whip"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Nap|Vine Whip,|50,Heal 30 damage from this Pokémon.|,Fire:×2,Water:-20,Colorless__Colorless,,MAHOU,"Many writhing vines cover it, so its true identity remains unknown. The blue vines grow its whole life long.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,bw7-6,Tangrowth,Pokémon,Grass,Boundaries Crossed,6,Rare Holo,https://images.pokemontcg.io/bw7/6_hires.png,https://images.pokemontcg.io/bw7/6.png,130,,"[{""name"": ""Hundred Furious Lashes"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30×"", ""text"": ""Does 30 damage times the amount of Grass Energy attached to this Pokémon. This Pokémon can't use Hundred Furious Lashes during your next turn.""}, {""name"": ""Mega Drain"", ""cost"": [""Grass"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""70"", ""text"": ""Heal 30 damage from this Pokémon.""}]",Hundred Furious Lashes|Mega Drain,30×|70,Does 30 damage times the amount of Grass Energy attached to this Pokémon. This Pokémon can't use Hundred Furious Lashes during your next turn.|Heal 30 damage from this Pokémon.,Fire:×2,Water:-20,Colorless__Colorless__Colorless__Colorless,Tangela,TOKIYA,"Even if one of its arms is eaten, it's fine. The Pokémon regenerates quickly and will go right back to normal.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,bw7-7,Scyther,Pokémon,Grass,Boundaries Crossed,7,Common,https://images.pokemontcg.io/bw7/7_hires.png,https://images.pokemontcg.io/bw7/7.png,70,,"[{""name"": ""Slash"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Sharp Scythe"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Slash|Sharp Scythe,10|20,|,Fire:×2,,Colorless,,kawayoo,The sharp scythes on its forearms become increasingly sharp by cutting through hard objects.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,bw7-8,Heracross,Pokémon,Grass,Boundaries Crossed,8,Uncommon,https://images.pokemontcg.io/bw7/8_hires.png,https://images.pokemontcg.io/bw7/8.png,100,,"[{""name"": ""Horn Attack"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Giga Horn"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": ""Flip 2 coins. If both of them are tails, this attack does nothing.""}]",Horn Attack|Giga Horn,20|80,"|Flip 2 coins. If both of them are tails, this attack does nothing.",Fire:×2,,Colorless__Colorless,,Naoki Saito,"No matter how heavy its opponents, it flings them far away with its prized horn.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,bw7-9,Celebi-EX,Pokémon,Grass,Boundaries Crossed,9,Rare Holo EX,https://images.pokemontcg.io/bw7/9_hires.png,https://images.pokemontcg.io/bw7/9.png,110,"[{""name"": ""Time Recall"", ""text"": ""Each of your evolved Pokémon can use any attack from its previous Evolutions. (You still need the necessary Energy to use each attack.)"", ""type"": ""Ability""}]","[{""name"": ""Wind Whisk"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Switch this Pokémon with 1 of your Benched Pokémon.""}]",Wind Whisk,60,Switch this Pokémon with 1 of your Benched Pokémon.,Fire:×2,Water:-20,Colorless,,Toyste Beach,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,bw7-10,Shaymin,Pokémon,Grass,Boundaries Crossed,10,Rare,https://images.pokemontcg.io/bw7/10_hires.png,https://images.pokemontcg.io/bw7/10.png,70,,"[{""name"": ""Call for Family"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for 2 Basic Pokémon and put them onto your Bench. Shuffle your deck afterward.""}, {""name"": ""Leaf Drain"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, heal 30 damage from this Pokémon.""}]",Call for Family|Leaf Drain,|30,"Search your deck for 2 Basic Pokémon and put them onto your Bench. Shuffle your deck afterward.|Flip a coin. If heads, heal 30 damage from this Pokémon.",Fire:×2,,Colorless,,Kagemaru Himeno,The flowers all over its body burst into bloom if it is lovingly hugged and senses gratitude.,,,,,,,,,,,,,,,,,,,,,,,,,
