Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh9tg-TG01,Flareon,Pokémon,Fire,Brilliant Stars Trainer Gallery,TG01,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh9tg/TG01_hires.png,https://images.pokemontcg.io/swsh9tg/TG01.png,110,"[{""name"": ""Incandescent Awakening"", ""text"": ""If this Pokémon has a Memory Capsule attached, Grass Pokémon in play (both yours and your opponent's) have no Abilities."", ""type"": ""Ability""}]","[{""name"": ""Fire Mane"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""100"", ""text"": """"}]",Fire Mane,100,,Water:×2,,Colorless__Colorless,Eevee,You Iribi,"Once it has stored up enough heat, this Pokémon's body temperature can reach up to 1,700 degrees Fahrenheit.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh9tg-TG02,Vaporeon,Pokémon,Water,Brilliant Stars Trainer Gallery,TG02,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh9tg/TG02_hires.png,https://images.pokemontcg.io/swsh9tg/TG02.png,110,"[{""name"": ""Torrential Awakening"", ""text"": ""If this Pokémon has a Memory Capsule attached, Fire Pokémon in play (both yours and your opponent's) have no Abilities."", ""type"": ""Ability""}]","[{""name"": ""Aurora Beam"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""70"", ""text"": """"}]",Aurora Beam,70,,Lightning:×2,,Colorless__Colorless,Eevee,Jiro Sasumo,"When Vaporeon's fins begin to vibrate, it is a sign that rain will come within a few hours.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh9tg-TG03,Octillery,Pokémon,Water,Brilliant Stars Trainer Gallery,TG03,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh9tg/TG03_hires.png,https://images.pokemontcg.io/swsh9tg/TG03.png,110,"[{""name"": ""Rapid Strike Search"", ""text"": ""Once during your turn, you may search your deck for a Rapid Strike card, reveal it, and put it into your hand. Then, shuffle your deck. You can't use more than 1 Rapid Strike Search Ability each turn."", ""type"": ""Ability""}]","[{""name"": ""Waterfall"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Waterfall,50,,Lightning:×2,,Colorless__Colorless,Remoraid,Shinya Komatsu,"It traps enemies with its suction-cupped tentacles, then smashes them with its rock-hard head.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh9tg-TG04,Jolteon,Pokémon,Lightning,Brilliant Stars Trainer Gallery,TG04,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh9tg/TG04_hires.png,https://images.pokemontcg.io/swsh9tg/TG04.png,100,"[{""name"": ""Thunderous Awakening"", ""text"": ""If this Pokémon has a Memory Capsule attached, Water Pokémon in play (both yours and your opponent's) have no Abilities."", ""type"": ""Ability""}]","[{""name"": ""Electric Ball"", ""cost"": [""Lightning"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""90"", ""text"": """"}]",Electric Ball,90,,Fighting:×2,,Colorless,Eevee,DOM,"If it is angered or startled, the fur all over its body bristles like sharp needles that pierce foes.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh9tg-TG05,Zekrom,Pokémon,Lightning,Brilliant Stars Trainer Gallery,TG05,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh9tg/TG05_hires.png,https://images.pokemontcg.io/swsh9tg/TG05.png,130,,"[{""name"": ""Slash"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}, {""name"": ""Wild Shock"", ""cost"": [""Lightning"", ""Lightning"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""130"", ""text"": ""This Pokémon also does 60 damage to itself. Your opponent's Active Pokémon is now Paralyzed.""}]",Slash|Wild Shock,30|130,|This Pokémon also does 60 damage to itself. Your opponent's Active Pokémon is now Paralyzed.,Fighting:×2,,Colorless__Colorless__Colorless,,AKIRA EGAWA,"When the interior part of its tail spins like a motor, Zekrom can generate many bolts of lightning to blast its surroundings.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh9tg-TG06,Dusknoir,Pokémon,Psychic,Brilliant Stars Trainer Gallery,TG06,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh9tg/TG06_hires.png,https://images.pokemontcg.io/swsh9tg/TG06.png,150,"[{""name"": ""Spectral Breach"", ""text"": ""All Special Energy attached to Pokémon (both yours and your opponent's) provide Colorless Energy and have no other effect."", ""type"": ""Ability""}]","[{""name"": ""Spooky Shot"", ""cost"": [""Psychic"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""120"", ""text"": """"}]",Spooky Shot,120,,Darkness:×2,Fighting:-30,Colorless__Colorless,Dusclops,Megumi Higuchi,"At the bidding of transmissions from the spirit world, it steals people and Pokémon away. No one knows whether it has a will of its own.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh9tg-TG07,Dedenne,Pokémon,Psychic,Brilliant Stars Trainer Gallery,TG07,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh9tg/TG07_hires.png,https://images.pokemontcg.io/swsh9tg/TG07.png,70,,"[{""name"": ""Dede-Flash"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": ""20+"", ""text"": ""If your opponent has exactly 1 Prize card remaining, this attack does 60 more damage, and your opponent's Active Pokémon is now Confused.""}]",Dede-Flash,20+,"If your opponent has exactly 1 Prize card remaining, this attack does 60 more damage, and your opponent's Active Pokémon is now Confused.",Metal:×2,,Colorless,,kurumitsu,"Since Dedenne can't generate as much electricity on its own, it steals electricity from outlets or other electric Pokémon.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh9tg-TG08,Alcremie,Pokémon,Psychic,Brilliant Stars Trainer Gallery,TG08,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh9tg/TG08_hires.png,https://images.pokemontcg.io/swsh9tg/TG08.png,90,"[{""name"": ""Additional Order"", ""text"": ""As long as this Pokémon is in the Active Spot, your turn does not end when you use Café Master."", ""type"": ""Ability""}]","[{""name"": ""Rainbow Flavor"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""This attack does 40 more damage for each type of basic Energy attached to all of your Pokémon.""}]",Rainbow Flavor,10+,This attack does 40 more damage for each type of basic Energy attached to all of your Pokémon.,Metal:×2,,Colorless,Milcery,OKACHEKE,"When Alcremie is content, the cream it secretes from its hands becomes sweeter and richer.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh9tg-TG09,Ariados,Pokémon,Darkness,Brilliant Stars Trainer Gallery,TG09,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh9tg/TG09_hires.png,https://images.pokemontcg.io/swsh9tg/TG09.png,110,"[{""name"": ""Spider Net"", ""text"": ""When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may switch 1 of your opponent's Benched Evolution Pokémon with their Active Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Poison Sting"", ""cost"": [""Darkness"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Your opponent's Active Pokémon is now Poisoned.""}]",Poison Sting,30,Your opponent's Active Pokémon is now Poisoned.,Fighting:×2,,Colorless__Colorless,Spinarak,Shiburingaru,"It spews threads from its mouth to catch its prey. When night falls, it leaves its web to go hunt aggressively.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh9tg-TG10,Houndoom,Pokémon,Darkness,Brilliant Stars Trainer Gallery,TG10,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh9tg/TG10_hires.png,https://images.pokemontcg.io/swsh9tg/TG10.png,130,"[{""name"": ""Single Strike Roar"", ""text"": ""Once during your turn, you may search your deck for a Single Strike Energy card and attach it to 1 of your Single Strike Pokémon. Then, shuffle your deck. If you attached Energy to a Pokémon in this way, put 2 damage counters on that Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Darkness Fang"", ""cost"": [""Darkness"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": """"}]",Darkness Fang,50,,Grass:×2,,Colorless__Colorless,Houndour,NC Empire,"Identifiable by its eerie howls, people a long time ago thought it was the grim reaper and feared it.",,,,,,,,,,,,,,,,,,,,,,,,,
