Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh9-1,Exeggcute,Pokémon,Grass,Brilliant Stars,1,Common,https://images.pokemontcg.io/swsh9/1_hires.png,https://images.pokemontcg.io/swsh9/1.png,50,,"[{""name"": ""Ram"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Seed Bomb"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Ram|Seed Bomb,10|20,|,Fire:×2,,Colorless,,0313,"Though it may look like it's just a bunch of eggs, it's a proper Pokémon. Exeggcute communicates with others of its kind via telepathy, apparently.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh9-2,Exeggutor,Pokémon,Grass,Brilliant Stars,2,Uncommon,https://images.pokemontcg.io/swsh9/2_hires.png,https://images.pokemontcg.io/swsh9/2.png,140,,"[{""name"": ""Mega Drain"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": ""Heal 30 damage from this Pokémon.""}, {""name"": ""Seed Bomb"", ""cost"": [""Grass"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""130"", ""text"": """"}]",Mega Drain|Seed Bomb,70|130,Heal 30 damage from this Pokémon.|,Fire:×2,,Colorless__Colorless__Colorless,Exeggcute,Naoyo Kimura,Each of Exeggutor's three heads is thinking different thoughts. The three don't seem to be very interested in one another.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh9-3,Shroomish,Pokémon,Grass,Brilliant Stars,3,Common,https://images.pokemontcg.io/swsh9/3_hires.png,https://images.pokemontcg.io/swsh9/3.png,50,,"[{""name"": ""Headbutt"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Headbutt,20,,Fire:×2,,Colorless,,Shigenori Negishi,It spouts poison spores from the top of its head. These spores cause pain all over if inhaled.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh9-4,Breloom,Pokémon,Grass,Brilliant Stars,4,Rare,https://images.pokemontcg.io/swsh9/4_hires.png,https://images.pokemontcg.io/swsh9/4.png,110,,"[{""name"": ""Spore Ball"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Your opponent's Active Pokémon is now Asleep.""}, {""name"": ""Powdery Uppercut"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""130"", ""text"": ""You can use this attack only if this Pokémon used Spore Ball during your last turn.""}]",Spore Ball|Powdery Uppercut,30|130,Your opponent's Active Pokémon is now Asleep.|You can use this attack only if this Pokémon used Spore Ball during your last turn.,Fire:×2,,Colorless,Shroomish,Sekio,It scatters poisonous spores and throws powerful punches while its foe is hampered by inhaled spores.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh9-5,Tropius,Pokémon,Grass,Brilliant Stars,5,Uncommon,https://images.pokemontcg.io/swsh9/5_hires.png,https://images.pokemontcg.io/swsh9/5.png,110,"[{""name"": ""Curative Bower"", ""text"": ""All of your Pokémon that have Grass Energy attached can't be Confused, and if they are already Confused, they recover from that Special Condition."", ""type"": ""Ability""}]","[{""name"": ""Slicing Blade"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""100"", ""text"": """"}]",Slicing Blade,100,,Fire:×2,,Colorless,,Shin Nagasawa,"Bunches of delicious fruit grow around its neck. In warm areas, many ranches raise Tropius.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh9-6,Turtwig,Pokémon,Grass,Brilliant Stars,6,Common,https://images.pokemontcg.io/swsh9/6_hires.png,https://images.pokemontcg.io/swsh9/6.png,80,,"[{""name"": ""Bite"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Headbutt Bounce"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Bite|Headbutt Bounce,10|20,|,Fire:×2,,Colorless__Colorless,,Narumi Sato,"It undertakes photosynthesis with its body, making oxygen. The leaf on its head wilts if it is thirsty.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh9-7,Grotle,Pokémon,Grass,Brilliant Stars,7,Uncommon,https://images.pokemontcg.io/swsh9/7_hires.png,https://images.pokemontcg.io/swsh9/7.png,100,"[{""name"": ""Sun-Drenched Shell"", ""text"": ""Once during your turn, you may search your deck for a Grass Pokémon, reveal it, and put it into your hand. Then, shuffle your deck."", ""type"": ""Ability""}]","[{""name"": ""Razor Leaf"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Razor Leaf,50,,Fire:×2,,Colorless__Colorless__Colorless,Turtwig,Nisota Niso,It knows where pure water wells up. It carries fellow Pokémon there on its back.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh9-8,Torterra,Pokémon,Grass,Brilliant Stars,8,Rare Holo,https://images.pokemontcg.io/swsh9/8_hires.png,https://images.pokemontcg.io/swsh9/8.png,190,,"[{""name"": ""Evopress"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50×"", ""text"": ""This attack does 50 damage for each of your Evolution Pokémon in play.""}, {""name"": ""Hammer In"", ""cost"": [""Grass"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""160"", ""text"": """"}]",Evopress|Hammer In,50×|160,This attack does 50 damage for each of your Evolution Pokémon in play.|,Fire:×2,,Colorless__Colorless__Colorless__Colorless,Grotle,Oswaldo KATO,Small Pokémon occasionally gather on its unmoving back to begin building their nests.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh9-9,Burmy,Pokémon,Grass,Brilliant Stars,9,Common,https://images.pokemontcg.io/swsh9/9_hires.png,https://images.pokemontcg.io/swsh9/9.png,60,,"[{""name"": ""Hang Down"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Hang Down,20,,Fire:×2,,Colorless,,Miki Tanaka,"If its cloak is broken in battle, it quickly remakes the cloak with materials nearby.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh9-10,Wormadam,Pokémon,Grass,Brilliant Stars,10,Rare,https://images.pokemontcg.io/swsh9/10_hires.png,https://images.pokemontcg.io/swsh9/10.png,110,,"[{""name"": ""Matron's Anger"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""This attack does 10 more damage for each Pokémon in your discard pile.""}, {""name"": ""Leaf Drain"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": ""Heal 30 damage from this Pokémon.""}]",Matron's Anger|Leaf Drain,30+|80,This attack does 10 more damage for each Pokémon in your discard pile.|Heal 30 damage from this Pokémon.,Fire:×2,,Colorless__Colorless,Burmy,Yuka Morii,"When Burmy evolved, its cloak became a part of this Pokémon's body. The cloak is never shed.",,,,,,,,,,,,,,,,,,,,,,,,,
