Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm3-1,Caterpie,Pokémon,Grass,Burning Shadows,1,Common,https://images.pokemontcg.io/sm3/1_hires.png,https://images.pokemontcg.io/sm3/1.png,50,,"[{""name"": ""Surprise Attack"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Flip a coin. If tails, this attack does nothing.""}]",Surprise Attack,20,"Flip a coin. If tails, this attack does nothing.",Fire:×2,,Colorless,,Sekio,"When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sm3-2,Metapod,Pokémon,Grass,Burning Shadows,2,Uncommon,https://images.pokemontcg.io/sm3/2_hires.png,https://images.pokemontcg.io/sm3/2.png,80,,"[{""name"": ""Ram"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Shed Skin"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Heal 40 damage from this Pokémon.""}]",Ram|Shed Skin,20|,|Heal 40 damage from this Pokémon.,Fire:×2,,Colorless__Colorless,Caterpie,Suwama Chiaki,Its shell is filled with its soft innards. It doesn't move much because of the risk it might carelessly spill its innards out.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sm3-3,Butterfree,Pokémon,Grass,Burning Shadows,3,Rare,https://images.pokemontcg.io/sm3/3_hires.png,https://images.pokemontcg.io/sm3/3.png,120,,"[{""name"": ""Bye-Bye Heal"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal all damage from all of your Pokémon. Shuffle this Pokémon and all cards attached to it into your deck.""}, {""name"": ""Stun Spore"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}]",Bye-Bye Heal|Stun Spore,|60,"Heal all damage from all of your Pokémon. Shuffle this Pokémon and all cards attached to it into your deck.|Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Fire:×2,,Colorless,Metapod,Shin Nagasawa,Close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sm3-4,Oddish,Pokémon,Grass,Burning Shadows,4,Common,https://images.pokemontcg.io/sm3/4_hires.png,https://images.pokemontcg.io/sm3/4.png,50,,"[{""name"": ""Poison Powder"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Poisoned.""}]",Poison Powder,,Your opponent's Active Pokémon is now Poisoned.,Fire:×2,,Colorless,,Sumiyoshi Kizuki,"During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sm3-5,Gloom,Pokémon,Grass,Burning Shadows,5,Uncommon,https://images.pokemontcg.io/sm3/5_hires.png,https://images.pokemontcg.io/sm3/5.png,80,,"[{""name"": ""Stinky Scent"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Confused.""}, {""name"": ""Razor Leaf"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Stinky Scent|Razor Leaf,|30,Your opponent's Active Pokémon is now Confused.|,Fire:×2,,Colorless__Colorless,Oddish,Shibuzoh.,"Smells incredibly foul! However, around one out of a thousand people enjoy sniffing its nose-bending stink.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sm3-6,Vileplume,Pokémon,Grass,Burning Shadows,6,Rare Holo,https://images.pokemontcg.io/sm3/6_hires.png,https://images.pokemontcg.io/sm3/6.png,140,"[{""name"": ""Disgusting Pollen"", ""text"": ""As long as this Pokémon is your Active Pokémon, your opponent's Basic Pokémon can't attack."", ""type"": ""Ability""}]","[{""name"": ""Downer Shock"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Asleep. If tails, your opponent's Active Pokémon is now Confused.""}]",Downer Shock,60,"Flip a coin. If heads, your opponent's Active Pokémon is now Asleep. If tails, your opponent's Active Pokémon is now Confused.",Fire:×2,,Colorless__Colorless__Colorless,Gloom,chibi,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sm3-7,Tangela,Pokémon,Grass,Burning Shadows,7,Common,https://images.pokemontcg.io/sm3/7_hires.png,https://images.pokemontcg.io/sm3/7.png,80,,"[{""name"": ""Bind Down"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""The Defending Pokémon can't retreat during your opponent's next turn.""}]",Bind Down,10,The Defending Pokémon can't retreat during your opponent's next turn.,Fire:×2,,Colorless__Colorless,,Shibuzoh.,"Many writhing vines cover it, so its true identity remains unknown. The blue vines grow its whole life long.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sm3-8,Tangrowth,Pokémon,Grass,Burning Shadows,8,Rare,https://images.pokemontcg.io/sm3/8_hires.png,https://images.pokemontcg.io/sm3/8.png,140,,"[{""name"": ""Giga Drain"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.""}, {""name"": ""Crosswise Whip"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""50×"", ""text"": ""Flip 4 coins. This attack does 50 damage for each heads.""}]",Giga Drain|Crosswise Whip,30|50×,Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.|Flip 4 coins. This attack does 50 damage for each heads.,Fire:×2,,Colorless__Colorless__Colorless__Colorless,Tangela,tetsuya koizumi,It ensnares prey by extending arms made of vines. Losing arms to predators does not trouble it.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sm3-9,Ledyba,Pokémon,Grass,Burning Shadows,9,Common,https://images.pokemontcg.io/sm3/9_hires.png,https://images.pokemontcg.io/sm3/9.png,60,,"[{""name"": ""Agility"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.""}]",Agility,10,"Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.",Fire:×2,,Colorless,,Ayaka Yoshida,They are timid and grow uneasy when not in a swarm with others of their kind. The pattern on their backs differs slightly from one to another.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sm3-10,Ledian,Pokémon,Grass,Burning Shadows,10,Rare,https://images.pokemontcg.io/sm3/10_hires.png,https://images.pokemontcg.io/sm3/10.png,90,,"[{""name"": ""Swift"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""This attack's damage isn't affected by Weakness, Resistance, or any other effects on your opponent's Active Pokémon.""}, {""name"": ""Comet Punch"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40×"", ""text"": ""Flip 4 coins. This attack does 40 damage for each heads.""}]",Swift|Comet Punch,30|40×,"This attack's damage isn't affected by Weakness, Resistance, or any other effects on your opponent's Active Pokémon.|Flip 4 coins. This attack does 40 damage for each heads.",Fire:×2,,Colorless,Ledyba,Atsuko Nishida,"While it's believed that starlight provides it with energy, this Pokémon also loves to eat berries. In the daytime, it curls up in the grass to sleep.",,,,,,,,,,,,,,,,,,,,,,,,,
