Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,col1-1,Clefable,Pokémon,Colorless,Call of Legends,1,Rare Holo,https://images.pokemontcg.io/col1/1_hires.png,https://images.pokemontcg.io/col1/1.png,80,,"[{""name"": ""Fairy Power"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Return 1 of your Pokémon and all cards attached to it in your hand.""}, {""name"": ""Moon Impact"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": """"}]",Fairy Power|Moon Impact,|40,Return 1 of your Pokémon and all cards attached to it in your hand.|,Fighting:×2,,Colorless,Clefairy,sui,"With its acute hearing, it can pick up sounds from far away. It usually hides in quiet places.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,col1-2,Deoxys,Pokémon,Psychic,Call of Legends,2,Rare Holo,https://images.pokemontcg.io/col1/2_hires.png,https://images.pokemontcg.io/col1/2.png,80,,"[{""name"": ""Cell Storm"", ""cost"": [""Psychic"", ""Psychic"", ""Psychic""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Discard 2 Psychic Energy attached to Deoxys and remove 6 damage counters from Deoxys.""}]",Cell Storm,60,Discard 2 Psychic Energy attached to Deoxys and remove 6 damage counters from Deoxys.,Psychic:×2,,Colorless,,Ryo Ueda,DNA from a space virus mutated and became a Pokémon. It appears where auroras are seen.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,col1-3,Dialga,Pokémon,Metal,Call of Legends,3,Rare Holo,https://images.pokemontcg.io/col1/3_hires.png,https://images.pokemontcg.io/col1/3.png,100,,"[{""name"": ""Time Rewind"", ""cost"": [""Metal"", ""Metal"", ""Metal"", ""Metal""], ""convertedEnergyCost"": 4, ""damage"": ""70"", ""text"": ""Shuffle your hand into your deck.""}]",Time Rewind,70,Shuffle your hand into your deck.,Fire:×2,Psychic:-20,Colorless__Colorless__Colorless,,Ayaka Yoshida,This Pokémon completely controls the flow of time. It uses its power to travel at will through the past and future.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,col1-4,Espeon,Pokémon,Psychic,Call of Legends,4,Rare Holo,https://images.pokemontcg.io/col1/4_hires.png,https://images.pokemontcg.io/col1/4.png,90,,"[{""name"": ""Solar Suggestion"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Move up to 4 damage counters from any of your Pokémon to any of your opponent's Pokémon in any way you like.""}, {""name"": ""Psybeam"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Confused.""}]",Solar Suggestion|Psybeam,|30,"Move up to 4 damage counters from any of your Pokémon to any of your opponent's Pokémon in any way you like.|Flip a coin. If heads, the Defending Pokémon is now Confused.",Psychic:×2,,Colorless,Eevee,match,It uses the fine hair that covers its body to sense air currents and predict its enemy's actions.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,col1-5,Forretress,Pokémon,Metal,Call of Legends,5,Rare Holo,https://images.pokemontcg.io/col1/5_hires.png,https://images.pokemontcg.io/col1/5.png,90,,"[{""name"": ""Mirror Shot"", ""cost"": [""Metal"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, this attack does nothing.""}, {""name"": ""Everyone Explode Now"", ""cost"": [""Metal"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30×"", ""text"": ""Does 30 damage times the number of Pineco and Forretress you have in play. This attack does 30 damage to each of your Pineco and Forretress in play.""}]",Mirror Shot|Everyone Explode Now,30|30×,"If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, this attack does nothing.|Does 30 damage times the number of Pineco and Forretress you have in play. This attack does 30 damage to each of your Pineco and Forretress in play.",Fire:×2,Psychic:-20,Colorless__Colorless__Colorless,Pineco,Kyoko Umemoto,Its entire body is shielded by a steel-hard shell. What lurks inside this shell is a total mystery.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,col1-6,Groudon,Pokémon,Fighting,Call of Legends,6,Rare Holo,https://images.pokemontcg.io/col1/6_hires.png,https://images.pokemontcg.io/col1/6.png,100,,"[{""name"": ""Volcano Stomp"", ""cost"": [""Fighting"", ""Fighting"", ""Fighting"", ""Fighting""], ""convertedEnergyCost"": 4, ""damage"": ""80"", ""text"": ""Flip a coin. If heads, discard the top 4 cards of your opponent's deck. If tails, discard the top 4 cards of your deck.""}]",Volcano Stomp,80,"Flip a coin. If heads, discard the top 4 cards of your opponent's deck. If tails, discard the top 4 cards of your deck.",Grass:×2,,Colorless__Colorless__Colorless__Colorless,,Ryo Ueda,Said to have expanded the lands by evaporating water with raging heat. It battled titanically with Kyogre.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,col1-7,Gyarados,Pokémon,Water,Call of Legends,7,Rare Holo,https://images.pokemontcg.io/col1/7_hires.png,https://images.pokemontcg.io/col1/7.png,130,,"[{""name"": ""Hydro Splash"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}, {""name"": ""Hyper Beam"", ""cost"": [""Water"", ""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80"", ""text"": ""Discard an Energy card attached to the Defending Pokémon.""}]",Hydro Splash|Hyper Beam,50|80,|Discard an Energy card attached to the Defending Pokémon.,Lightning:×2,Fighting:-20,Colorless__Colorless__Colorless,Magikarp,Mitsuhiro Arita,"Once it appears, it goes on a rampage. It remains enraged until it demolishes everything around it.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,col1-8,Hitmontop,Pokémon,Fighting,Call of Legends,8,Rare Holo,https://images.pokemontcg.io/col1/8_hires.png,https://images.pokemontcg.io/col1/8.png,60,,"[{""name"": ""Triple Kick"", ""cost"": [""Fighting""], ""convertedEnergyCost"": 1, ""damage"": ""20×"", ""text"": ""Flip 3 coins. This attack does 20 damage times the number of heads.""}, {""name"": ""Close Combat"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""During your opponent's next turn, any damage done to Hitmontop by attacks is increased by 20 (after applying Weakness and Resistance).""}]",Triple Kick|Close Combat,20×|60,"Flip 3 coins. This attack does 20 damage times the number of heads.|During your opponent's next turn, any damage done to Hitmontop by attacks is increased by 20 (after applying Weakness and Resistance).",Psychic:×2,,Colorless,,Shigenori Negishi,"It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,col1-9,Ho-Oh,Pokémon,Fire,Call of Legends,9,Rare Holo,https://images.pokemontcg.io/col1/9_hires.png,https://images.pokemontcg.io/col1/9.png,100,,"[{""name"": ""Combustion"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}, {""name"": ""Scorching Wing"", ""cost"": [""Fire"", ""Fire"", ""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 5, ""damage"": ""100"", ""text"": ""Flip a coin. If tails, discard all Fire Energy attached to Ho-Oh.""}]",Combustion|Scorching Wing,50|100,"|Flip a coin. If tails, discard all Fire Energy attached to Ho-Oh.",Water:×2,Fighting:-20,Colorless__Colorless__Colorless,,Ryo Ueda,Legends claim this Pokémon flies the world's skies continuously on its magnificent seven-colored wings.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,col1-10,Houndoom,Pokémon,Darkness,Call of Legends,10,Rare Holo,https://images.pokemontcg.io/col1/10_hires.png,https://images.pokemontcg.io/col1/10.png,90,,"[{""name"": ""Fire Counterattack"", ""cost"": [""Darkness""], ""convertedEnergyCost"": 1, ""damage"": ""20+"", ""text"": ""If your opponent has any Fighting Pokémon in play, this attack does 20 damage plus 60 more damage.""}, {""name"": ""Dark Roar"", ""cost"": [""Darkness"", ""Darkness""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": ""Your opponent discards a card from his or her hand.""}]",Fire Counterattack|Dark Roar,20+|50,"If your opponent has any Fighting Pokémon in play, this attack does 20 damage plus 60 more damage.|Your opponent discards a card from his or her hand.",Fighting:×2,Psychic:-20,Colorless,Houndour,Kagemaru Himeno,"Upon hearing its eerie howls, other Pokémon get the shivers and head straight back to their nests.",,,,,,,,,,,,,,,,,,,,,,,,,
