Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm7-1,Bellsprout,Pokémon,Grass,Celestial Storm,1,Common,https://images.pokemontcg.io/sm7/1_hires.png,https://images.pokemontcg.io/sm7/1.png,60,,"[{""name"": ""Blot"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Heal 10 damage from this Pokémon.""}]",Blot,20,Heal 10 damage from this Pokémon.,Fire:×2,,Colorless,,Masako Yamashita,"Its bud looks like a human face. Because of the bud, it is rumored to be a type of legendary mandrake plant.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sm7-2,Weepinbell,Pokémon,Grass,Celestial Storm,2,Uncommon,https://images.pokemontcg.io/sm7/2_hires.png,https://images.pokemontcg.io/sm7/2.png,80,,"[{""name"": ""Growth"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Attach up to 2 Grass Energy cards from your hand to this Pokémon.""}, {""name"": ""Double Razor Leaf"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30×"", ""text"": ""Flip 2 coins. This attack does 30 damage for each heads.""}]",Growth|Double Razor Leaf,|30×,Attach up to 2 Grass Energy cards from your hand to this Pokémon.|Flip 2 coins. This attack does 30 damage for each heads.,Fire:×2,,Colorless,Bellsprout,Miki Tanaka,It spits out Poison Powder to immobilize the enemy and then finishes it with a spray of Acid.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sm7-3,Victreebel,Pokémon,Grass,Celestial Storm,3,Rare Holo,https://images.pokemontcg.io/sm7/3_hires.png,https://images.pokemontcg.io/sm7/3.png,140,"[{""name"": ""Fragrance Trap"", ""text"": ""Once during your turn (before your attack), you may flip a coin. If heads, switch 1 of your opponent's Benched Pokémon with their Active Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Corrosive Acid"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Burned.""}]",Corrosive Acid,80,"Flip a coin. If heads, your opponent's Active Pokémon is now Burned.",Fire:×2,,Colorless__Colorless,Weepinbell,Miki Tanaka,"Once ingested into this Pokémon's body, even the hardest object will melt into nothing.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sm7-4,Scyther,Pokémon,Grass,Celestial Storm,4,Uncommon,https://images.pokemontcg.io/sm7/4_hires.png,https://images.pokemontcg.io/sm7/4.png,70,,"[{""name"": ""Twin Play"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for up to 2 Scyther and put them onto your Bench. Then, shuffle your deck.""}, {""name"": ""Agility"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.""}]",Twin Play|Agility,|20,"Search your deck for up to 2 Scyther and put them onto your Bench. Then, shuffle your deck.|Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.",Fire:×2,,Colorless,,Hajime Kusajima,"While young, they live together deep in the mountains, training themselves in how to fight with their scythes and move at high speeds.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sm7-5,Spinarak,Pokémon,Grass,Celestial Storm,5,Common,https://images.pokemontcg.io/sm7/5_hires.png,https://images.pokemontcg.io/sm7/5.png,50,,"[{""name"": ""Stun Poison"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed and Poisoned.""}, {""name"": ""Pierce"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Stun Poison|Pierce,|20,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed and Poisoned.|",Fire:×2,,Colorless,,Sachiko Adachi,Some fishermen weave its sturdy thread into nets to catch fish Pokémon.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sm7-6,Ariados,Pokémon,Grass,Celestial Storm,6,Rare Holo,https://images.pokemontcg.io/sm7/6_hires.png,https://images.pokemontcg.io/sm7/6.png,70,,"[{""name"": ""Reactive Poison"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20+"", ""text"": ""This attack does 50 more damage for each Special Condition affecting your opponent's Active Pokémon.""}, {""name"": ""Spider Trap"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""You may switch 1 of your opponent's Benched Pokémon with their Active Pokémon. Your opponent's Active Pokémon is now Asleep and Poisoned.""}]",Reactive Poison|Spider Trap,20+|,This attack does 50 more damage for each Special Condition affecting your opponent's Active Pokémon.|You may switch 1 of your opponent's Benched Pokémon with their Active Pokémon. Your opponent's Active Pokémon is now Asleep and Poisoned.,Fire:×2,,Colorless,Spinarak,Mitsuhiro Arita,It spins thread from both its rear and its mouth. Then it wraps its prey up in thread and sips their bodily fluids at its leisure.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sm7-7,Treecko,Pokémon,Grass,Celestial Storm,7,Common,https://images.pokemontcg.io/sm7/7_hires.png,https://images.pokemontcg.io/sm7/7.png,50,,"[{""name"": ""Sleep Poison"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Asleep and Poisoned.""}]",Sleep Poison,,Your opponent's Active Pokémon is now Asleep and Poisoned.,Fire:×2,,Colorless,,Sekio,Small hooks on the bottom of its feet catch on walls and ceilings. That is how it can hang from above.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sm7-8,Treecko,Pokémon,Grass,Celestial Storm,8,Common,https://images.pokemontcg.io/sm7/8_hires.png,https://images.pokemontcg.io/sm7/8.png,70,,"[{""name"": ""Smack"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Tail Whap"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Smack|Tail Whap,10|20,|,Fire:×2,,Colorless,,tetsuya koizumi,Small hooks on the bottom of its feet catch on walls and ceilings. That is how it can hang from above.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sm7-9,Grovyle,Pokémon,Grass,Celestial Storm,9,Uncommon,https://images.pokemontcg.io/sm7/9_hires.png,https://images.pokemontcg.io/sm7/9.png,80,,"[{""name"": ""Leaf Blade"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20+"", ""text"": ""Flip a coin. If heads, this attack does 40 more damage.""}]",Leaf Blade,20+,"Flip a coin. If heads, this attack does 40 more damage.",Fire:×2,,Colorless,Treecko,Shin Nagasawa,"It lives in dense jungles. While closing in on its prey, it leaps from branch to branch.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sm7-10,Sceptile,Pokémon,Grass,Celestial Storm,10,Rare,https://images.pokemontcg.io/sm7/10_hires.png,https://images.pokemontcg.io/sm7/10.png,140,"[{""name"": ""Power of Nature"", ""text"": ""Prevent all damage done to your Pokémon that have any Grass Energy attached to them by attacks from your opponent's Ultra Beasts."", ""type"": ""Ability""}]","[{""name"": ""Powerful Storm"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20×"", ""text"": ""This attack does 20 damage times the amount of Energy attached to all of your Pokémon.""}]",Powerful Storm,20×,This attack does 20 damage times the amount of Energy attached to all of your Pokémon.,Fire:×2,,Colorless,Grovyle,Mitsuhiro Arita,It agilely leaps about the jungle and uses the sharp leaves on its arms to strike its prey.,,,,,,,,,,,,,,,,,,,,,,,,,
