Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh35-1,Venusaur V,Pokémon,Grass,Champion's Path,1,Rare Holo V,https://images.pokemontcg.io/swsh35/1_hires.png,https://images.pokemontcg.io/swsh35/1.png,220,,"[{""name"": ""Pollen Bomb"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": ""Your opponent's Active Pokémon is now Asleep and Poisoned.""}, {""name"": ""Solar Typhoon"", ""cost"": [""Grass"", ""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""220"", ""text"": ""During your next turn, this Pokémon can't use Solar Typhoon.""}]",Pollen Bomb|Solar Typhoon,80|220,"Your opponent's Active Pokémon is now Asleep and Poisoned.|During your next turn, this Pokémon can't use Solar Typhoon.",Fire:×2,,Colorless__Colorless__Colorless,,PLANETA Mochizuki,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh35-2,Weedle,Pokémon,Grass,Champion's Path,2,Common,https://images.pokemontcg.io/swsh35/2_hires.png,https://images.pokemontcg.io/swsh35/2.png,60,,"[{""name"": ""Call for Family"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck.""}]",Call for Family,,"Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck.",Fire:×2,,Colorless,,Yuka Morii,Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh35-3,Kakuna,Pokémon,Grass,Champion's Path,3,Common,https://images.pokemontcg.io/swsh35/3_hires.png,https://images.pokemontcg.io/swsh35/3.png,80,,"[{""name"": ""Bug Bite"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": """"}]",Bug Bite,30,,Fire:×2,,Colorless__Colorless__Colorless,Weedle,Miki Tanaka,"While awaiting evolution, it hides from predators under leaves and in nooks of branches.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh35-4,Beedrill,Pokémon,Grass,Champion's Path,4,Uncommon,https://images.pokemontcg.io/swsh35/4_hires.png,https://images.pokemontcg.io/swsh35/4.png,140,,"[{""name"": ""Poison Jab"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""80"", ""text"": ""Your opponent's Active Pokémon is now Poisoned.""}]",Poison Jab,80,Your opponent's Active Pokémon is now Poisoned.,Fire:×2,,Colorless,Kakuna,Hideki Ishikawa,"May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh35-5,Eldegoss V,Pokémon,Grass,Champion's Path,5,Rare Holo V,https://images.pokemontcg.io/swsh35/5_hires.png,https://images.pokemontcg.io/swsh35/5.png,180,"[{""name"": ""Happy Match"", ""text"": ""When you play this Pokémon from your hand onto your Bench during your turn, you may put a Supporter card from your discard pile into your hand."", ""type"": ""Ability""}]","[{""name"": ""Float Up"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": ""You may shuffle this Pokémon and all cards attached to it into your deck.""}]",Float Up,50,You may shuffle this Pokémon and all cards attached to it into your deck.,Fire:×2,,Colorless,,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh35-6,Vulpix,Pokémon,Fire,Champion's Path,6,Common,https://images.pokemontcg.io/swsh35/6_hires.png,https://images.pokemontcg.io/swsh35/6.png,60,,"[{""name"": ""Gnaw"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Singe"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Burned.""}]",Gnaw|Singe,10|,|Your opponent's Active Pokémon is now Burned.,Water:×2,,Colorless,,Shibuzoh.,"While young, it has six gorgeous tails. When it grows, several new tails are sprouted.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh35-7,Victini,Pokémon,Fire,Champion's Path,7,Uncommon,https://images.pokemontcg.io/swsh35/7_hires.png,https://images.pokemontcg.io/swsh35/7.png,70,,"[{""name"": ""Quick Draw"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw a card.""}, {""name"": ""Combustion"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Quick Draw|Combustion,|30,Draw a card.|,Water:×2,,Colorless,,Taira Akitsu,"When it shares the infinite energy it creates, that being's entire body will be overflowing with power.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh35-8,Incineroar V,Pokémon,Fire,Champion's Path,8,Rare Holo V,https://images.pokemontcg.io/swsh35/8_hires.png,https://images.pokemontcg.io/swsh35/8.png,220,,"[{""name"": ""Grand Flame"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""90"", ""text"": ""Attach up to 2 Fire Energy cards from your discard pile to 1 of your Benched Pokémon.""}, {""name"": ""Flare Blitzer"", ""cost"": [""Fire"", ""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""220"", ""text"": ""This Pokémon also does 30 damage to itself.""}]",Grand Flame|Flare Blitzer,90|220,Attach up to 2 Fire Energy cards from your discard pile to 1 of your Benched Pokémon.|This Pokémon also does 30 damage to itself.,Water:×2,,Colorless__Colorless__Colorless,,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh35-9,Sizzlipede,Pokémon,Fire,Champion's Path,9,Common,https://images.pokemontcg.io/swsh35/9_hires.png,https://images.pokemontcg.io/swsh35/9.png,70,,"[{""name"": ""Bite"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Combustion"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Bite|Combustion,10|50,|,Water:×2,,Colorless,,Akira Komayama,It stores flammable gas in its body and uses it to generate heat. The yellow sections on its belly get particularly hot.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh35-10,Centiskorch,Pokémon,Fire,Champion's Path,10,Rare Holo,https://images.pokemontcg.io/swsh35/10_hires.png,https://images.pokemontcg.io/swsh35/10.png,130,,"[{""name"": ""Searing Flame"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Your opponent's Active Pokémon is now Burned.""}, {""name"": ""Heat Crawler"", ""cost"": [""Fire"", ""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""140"", ""text"": """"}]",Searing Flame|Heat Crawler,50|140,Your opponent's Active Pokémon is now Burned.|,Water:×2,,Colorless__Colorless__Colorless,Sizzlipede,Shin Nagasawa,"When it heats up, its body temperature reaches about 1,500 degrees Fahrenheit. It lashes its body like a whip and launches itself at enemies.",,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,swsh35-11,Carvanha,Pokémon,Water,Champion's Path,11,Common,https://images.pokemontcg.io/swsh35/11_hires.png,https://images.pokemontcg.io/swsh35/11.png,60,,"[{""name"": ""Bite"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Bite,10,,Lightning:×2,,Colorless,,Shigenori Negishi,"With its sturdy jaws and fangs, it can easily chomp wooden boats to splinters. It fights with Basculin over food.",,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,swsh35-12,Sharpedo,Pokémon,Water,Champion's Path,12,Uncommon,https://images.pokemontcg.io/swsh35/12_hires.png,https://images.pokemontcg.io/swsh35/12.png,110,,"[{""name"": ""Aqua Jet"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""50"", ""text"": ""This attack also does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Aqua Jet,50,This attack also does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Lightning:×2,,Colorless,Carvanha,Ryuta Fuse,It drinks in seawater and jets it from its rear to propel itself. It's very sensitive to the scent of blood.,,,,,,,,,,,,,,,,,,,,,,,,,
