Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,me4-1,Weedle,Pokémon,Grass,Chaos Rising,1,Common,https://images.scrydex.com/pokemon/me4-1/large,https://images.scrydex.com/pokemon/me4-1/small,50,,"[{""name"": ""Surprise Attack"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Flip a coin. If tails, this attack does nothing.""}]",Surprise Attack,30,"Flip a coin. If tails, this attack does nothing.",Fire:×2,,Colorless,,sowsow,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,me4-2,Kakuna,Pokémon,Grass,Chaos Rising,2,Common,https://images.scrydex.com/pokemon/me4-2/large,https://images.scrydex.com/pokemon/me4-2/small,80,"[{""name"": ""Exoskeleton"", ""text"": ""This Pokémon takes 20 less damage from attacks (after applying Weakness and Resistance)."", ""type"": ""Ability""}]","[{""name"": ""Hang Down"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Hang Down,20,,Fire:×2,,Colorless__Colorless__Colorless,Weedle,Mugi Hamada,"Almost incapable of moving, this Pokémon can only harden its shell to protect itself when it is in danger.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,me4-3,Beedrill ex,Pokémon,Grass,Chaos Rising,3,Double Rare,https://images.scrydex.com/pokemon/me4-3/large,https://images.scrydex.com/pokemon/me4-3/small,310,,"[{""name"": ""Rumbling Bees"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""110×"", ""text"": ""This attack does 110 damage for each of your Beedrill and Beedrill ex in play.""}]",Rumbling Bees,110×,This attack does 110 damage for each of your Beedrill and Beedrill ex in play.,Fire:×2,,Colorless,Kakuna,toriyufu,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,me4-4,Carnivine,Pokémon,Grass,Chaos Rising,4,Common,https://images.scrydex.com/pokemon/me4-4/large,https://images.scrydex.com/pokemon/me4-4/small,110,,"[{""name"": ""Chomp Whole"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80+"", ""text"": ""If your opponent's Active Pokémon has no Retreat Cost, this attack does 80 more damage.""}]",Chomp Whole,80+,"If your opponent's Active Pokémon has no Retreat Cost, this attack does 80 more damage.",Fire:×2,,Colorless__Colorless,,Heisuke Kitazawa,"It attracts prey with its sweet-smelling saliva, then chomps down. It takes a whole day to eat prey.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,me4-5,Chespin,Pokémon,Grass,Chaos Rising,5,Common,https://images.scrydex.com/pokemon/me4-5/large,https://images.scrydex.com/pokemon/me4-5/small,70,,"[{""name"": ""Beat"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Spike Sting"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Beat|Spike Sting,10|30,|,Fire:×2,,Colorless__Colorless,,HACCAN,"The quills on its head are usually soft. When it flexes them, the points become so hard and sharp that they can pierce rock.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,me4-6,Quilladin,Pokémon,Grass,Chaos Rising,6,Common,https://images.scrydex.com/pokemon/me4-6/large,https://images.scrydex.com/pokemon/me4-6/small,100,,"[{""name"": ""Leafy Charge"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Search your deck for a Basic Grass Energy card and attach it to this Pokémon. Then, shuffle your deck.""}, {""name"": ""Vine Whip"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": """"}]",Leafy Charge|Vine Whip,20|80,"Search your deck for a Basic Grass Energy card and attach it to this Pokémon. Then, shuffle your deck.|",Fire:×2,,Colorless__Colorless__Colorless,Chespin,Hideki Ishikawa,They strengthen their lower bodies by running into one another. They are very kind and won't start fights.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,me4-7,Chesnaught,Pokémon,Grass,Chaos Rising,7,Rare,https://images.scrydex.com/pokemon/me4-7/large,https://images.scrydex.com/pokemon/me4-7/small,180,"[{""name"": ""Needly Armor"", ""text"": ""If this Pokémon is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), place 3 damage counters on the Attacking Pokémon for each Grass Energy attached to this Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Impound"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""160"", ""text"": ""During your opponent's next turn, the Defending Pokémon can't retreat.""}]",Impound,160,"During your opponent's next turn, the Defending Pokémon can't retreat.",Fire:×2,,Colorless__Colorless__Colorless__Colorless,Quilladin,Uta,Its tackle is forceful enough to flip a 50-ton tank. It shields its allies from danger with its own body.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,me4-8,Vulpix,Pokémon,Fire,Chaos Rising,8,Common,https://images.scrydex.com/pokemon/me4-8/large,https://images.scrydex.com/pokemon/me4-8/small,70,,"[{""name"": ""Singe"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Burned.""}]",Singe,,Your opponent's Active Pokémon is now Burned.,Water:×2,,Colorless,,Yoshimoto Yoshimon,"As its body grows larger, its six warm tails become more beautiful, with a more luxurious coat of fur.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,me4-9,Ninetales,Pokémon,Fire,Chaos Rising,9,Uncommon,https://images.scrydex.com/pokemon/me4-9/large,https://images.scrydex.com/pokemon/me4-9/small,120,,"[{""name"": ""Nine-Tailed Transfer"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Move all damage counters from 1 of your Benched Pokémon to your opponent's Active Pokémon.""}, {""name"": ""Will-O-Wisp"", ""cost"": [""Fire"", ""Fire""], ""convertedEnergyCost"": 2, ""damage"": ""70"", ""text"": """"}]",Nine-Tailed Transfer|Will-O-Wisp,|70,Move all damage counters from 1 of your Benched Pokémon to your opponent's Active Pokémon.|,Water:×2,,Colorless,Vulpix,Ryuta Fuse,"It has nine long tails and fur that gleams gold. It is said to live for 1,000 years.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,me4-10,Ho-Oh,Pokémon,Fire,Chaos Rising,10,Rare,https://images.scrydex.com/pokemon/me4-10/large,https://images.scrydex.com/pokemon/me4-10/small,130,,"[{""name"": ""Flames of Revival"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Put up to 3 Basic Pokémon from your discard pile onto your Bench.""}, {""name"": ""Bright Wing"", ""cost"": [""Fire"", ""Fire"", ""Fire""], ""convertedEnergyCost"": 3, ""damage"": ""130"", ""text"": ""Discard a Fire Energy from this Pokémon.""}]",Flames of Revival|Bright Wing,|130,Put up to 3 Basic Pokémon from your discard pile onto your Bench.|Discard a Fire Energy from this Pokémon.,Water:×2,,Colorless__Colorless,,Takumi Wada,A legend says that its body glows in seven colors. A rainbow is said to form behind it when it flies.,,,,,,,,,,,,,,,,,,,,,,,,,
