Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh6-1,Weedle,Pokémon,Grass,Chilling Reign,1,Common,https://images.pokemontcg.io/swsh6/1_hires.png,https://images.pokemontcg.io/swsh6/1.png,40,,"[{""name"": ""Pierce"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Pierce,20,,Fire:×2,,Colorless,,Sanosuke Sakuma,Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh6-2,Kakuna,Pokémon,Grass,Chilling Reign,2,Uncommon,https://images.pokemontcg.io/swsh6/2_hires.png,https://images.pokemontcg.io/swsh6/2.png,80,,"[{""name"": ""Stiffen"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""During your opponent's next turn, this Pokémon takes 40 less damage from attacks (after applying Weakness and Resistance).""}]",Stiffen,,"During your opponent's next turn, this Pokémon takes 40 less damage from attacks (after applying Weakness and Resistance).",Fire:×2,,Colorless__Colorless__Colorless,Weedle,nagimiso,"While awaiting evolution, it hides from predators under leaves and in nooks of branches.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh6-3,Beedrill,Pokémon,Grass,Chilling Reign,3,Rare Holo,https://images.pokemontcg.io/swsh6/3_hires.png,https://images.pokemontcg.io/swsh6/3.png,130,,"[{""name"": ""Persist Sting"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""If your opponent's Active Pokémon has any Special Energy attached, it is Knocked Out.""}, {""name"": ""Jet Spear"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""110"", ""text"": ""Discard an Energy from this Pokémon.""}]",Persist Sting|Jet Spear,|110,"If your opponent's Active Pokémon has any Special Energy attached, it is Knocked Out.|Discard an Energy from this Pokémon.",Fire:×2,,Colorless,Kakuna,Misa Tsutsui,"May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh6-4,Ledyba,Pokémon,Grass,Chilling Reign,4,Common,https://images.pokemontcg.io/swsh6/4_hires.png,https://images.pokemontcg.io/swsh6/4.png,60,,"[{""name"": ""Collect"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw a card.""}, {""name"": ""Punch"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Collect|Punch,|20,Draw a card.|,Fire:×2,,Colorless,,Naoyo Kimura,These very cowardly Pokémon join together and use Reflect to protect their nest.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh6-5,Ledian,Pokémon,Grass,Chilling Reign,5,Uncommon,https://images.pokemontcg.io/swsh6/5_hires.png,https://images.pokemontcg.io/swsh6/5.png,90,,"[{""name"": ""Rapid Draw"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Draw 2 cards.""}, {""name"": ""Air Slash"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""100"", ""text"": ""Discard an Energy from this Pokémon.""}]",Rapid Draw|Air Slash,20|100,Draw 2 cards.|Discard an Energy from this Pokémon.,Fire:×2,,Colorless,Ledyba,Sekio,"It flies through the night sky, sprinkling sparkly dust. According to some, if that dust sticks to you, good things will happen to you.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh6-6,Heracross,Pokémon,Grass,Chilling Reign,6,Common,https://images.pokemontcg.io/swsh6/6_hires.png,https://images.pokemontcg.io/swsh6/6.png,120,,"[{""name"": ""Horn Attack"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Single-Horn Throw"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40+"", ""text"": ""Flip 2 coins. If both of them are heads, this attack does 160 more damage.""}]",Horn Attack|Single-Horn Throw,20|40+,"|Flip 2 coins. If both of them are heads, this attack does 160 more damage.",Fire:×2,,Colorless__Colorless,,Hasuno,"It roams through forests searching for sweet nectar. Although it boasts fantastic physical strength, it's not that good at flying.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh6-7,Celebi V,Pokémon,Grass,Chilling Reign,7,Rare Holo V,https://images.pokemontcg.io/swsh6/7_hires.png,https://images.pokemontcg.io/swsh6/7.png,190,,"[{""name"": ""Leaflet Dance"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Attach any number of Grass Energy cards from your hand to your Pokémon in any way you like.""}, {""name"": ""Slash Back"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""60"", ""text"": ""Switch this Pokémon with 1 of your Benched Pokémon.""}]",Leaflet Dance|Slash Back,|60,Attach any number of Grass Energy cards from your hand to your Pokémon in any way you like.|Switch this Pokémon with 1 of your Benched Pokémon.,Fire:×2,,Colorless,,AKIRA EGAWA,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh6-8,Celebi VMAX,Pokémon,Grass,Chilling Reign,8,Rare Holo VMAX,https://images.pokemontcg.io/swsh6/8_hires.png,https://images.pokemontcg.io/swsh6/8.png,310,"[{""name"": ""Curative Forest"", ""text"": ""Once during your turn, you may heal 20 damage from each of your Grass Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Max Plant"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""130"", ""text"": ""Search your deck for up to 2 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck.""}]",Max Plant,130,"Search your deck for up to 2 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck.",Fire:×2,,Colorless,Celebi V,PLANETA Tsuji,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh6-9,Snover,Pokémon,Grass,Chilling Reign,9,Common,https://images.pokemontcg.io/swsh6/9_hires.png,https://images.pokemontcg.io/swsh6/9.png,80,,"[{""name"": ""Whap Down"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Whap Down,60,,Fire:×2,,Colorless__Colorless,,Naoki Saito,The berries that grow around its belly are like ice pops. Galarian Darumaka absolutely love these berries.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh6-10,Abomasnow,Pokémon,Grass,Chilling Reign,10,Rare,https://images.pokemontcg.io/swsh6/10_hires.png,https://images.pokemontcg.io/swsh6/10.png,140,"[{""name"": ""Toughness Boost"", ""text"": ""Your Single Strike Pokémon in play, except any Abomasnow, get +50 HP. You can't apply more than 1 Toughness Boost Ability at a time."", ""type"": ""Ability""}]","[{""name"": ""Mega Punch"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""90"", ""text"": """"}]",Mega Punch,90,,Fire:×2,,Colorless__Colorless__Colorless,Snover,Akira Komayama,This Pokémon is known to bring blizzards. A shake of its massive body is enough to cause whiteout conditions.,,,,,,,,,,,,,,,,,,,,,,,,,
