Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm12-1,Venusaur & Snivy-GX,Pokémon,Grass,Cosmic Eclipse,1,Rare Holo GX,https://images.pokemontcg.io/sm12/1_hires.png,https://images.pokemontcg.io/sm12/1.png,270,"[{""name"": ""Shining Vine"", ""text"": ""Once during your turn, if this Pokémon is your Active Pokémon, when you attach a Grass Energy card from your hand to it, you may switch 1 of your opponent's Benched Pokémon with their Active Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Forest Dump"", ""cost"": [""Grass"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""160"", ""text"": """"}, {""name"": ""Solar Plant-GX"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""This attack does 50 damage to each of your opponent's Pokémon. If this Pokémon has at least 2 extra Energy attached to it (in addition to this attack's cost), heal all damage from all of your Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) (You can't use more than 1 GX attack in a game.)""}]",Forest Dump|Solar Plant-GX,160|,"|This attack does 50 damage to each of your opponent's Pokémon. If this Pokémon has at least 2 extra Energy attached to it (in addition to this attack's cost), heal all damage from all of your Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) (You can't use more than 1 GX attack in a game.)",Fire:×2,,Colorless__Colorless__Colorless,,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sm12-2,Oddish,Pokémon,Grass,Cosmic Eclipse,2,Common,https://images.pokemontcg.io/sm12/2_hires.png,https://images.pokemontcg.io/sm12/2.png,60,,"[{""name"": ""Sweet Scent"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal 30 damage from 1 of your Pokémon.""}]",Sweet Scent,,Heal 30 damage from 1 of your Pokémon.,Fire:×2,,Colorless,,Yumi,"During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sm12-3,Gloom,Pokémon,Grass,Cosmic Eclipse,3,Uncommon,https://images.pokemontcg.io/sm12/3_hires.png,https://images.pokemontcg.io/sm12/3.png,80,,"[{""name"": ""Sleep Powder"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Your opponent's Active Pokémon is now Asleep.""}]",Sleep Powder,20,Your opponent's Active Pokémon is now Asleep.,Fire:×2,,Colorless__Colorless,Oddish,sui,"Smells incredibly foul! However, around one out of a thousand people enjoy sniffing its nose-bending stink.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sm12-4,Vileplume-GX,Pokémon,Grass,Cosmic Eclipse,4,Rare Holo GX,https://images.pokemontcg.io/sm12/4_hires.png,https://images.pokemontcg.io/sm12/4.png,240,"[{""name"": ""Fragrant Flower Garden"", ""text"": ""Once during your turn (before your attack), you may heal 30 damage from each of your Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Massive Bloom"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""180-"", ""text"": ""This attack does 10 less damage for each damage counter on this Pokémon.""}, {""name"": ""Allergic Explosion-GX"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""50"", ""text"": ""Your opponent's Active Pokémon is now Burned, Paralyzed, and Poisoned. (You can't use more than 1 GX attack in a game.)""}]",Massive Bloom|Allergic Explosion-GX,180-|50,"This attack does 10 less damage for each damage counter on this Pokémon.|Your opponent's Active Pokémon is now Burned, Paralyzed, and Poisoned. (You can't use more than 1 GX attack in a game.)",Fire:×2,,Colorless__Colorless,Gloom,Kagemaru Himeno,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sm12-5,Tangela,Pokémon,Grass,Cosmic Eclipse,5,Common,https://images.pokemontcg.io/sm12/5_hires.png,https://images.pokemontcg.io/sm12/5.png,70,,"[{""name"": ""Toxic"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Poisoned. Put 2 damage counters instead of 1 on that Pokémon between turns.""}]",Toxic,,Your opponent's Active Pokémon is now Poisoned. Put 2 damage counters instead of 1 on that Pokémon between turns.,Fire:×2,,Colorless__Colorless,,otumami,"Many writhing vines cover it, so its true identity remains unknown. The blue vines grow its whole life long.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sm12-6,Tangrowth,Pokémon,Grass,Cosmic Eclipse,6,Uncommon,https://images.pokemontcg.io/sm12/6_hires.png,https://images.pokemontcg.io/sm12/6.png,140,,"[{""name"": ""Grass Knot"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""This attack does 30 more damage for each Colorless in your opponent's Active Pokémon's Retreat Cost.""}, {""name"": ""Slam"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80×"", ""text"": ""Flip 2 coins. This attack does 80 damage for each heads.""}]",Grass Knot|Slam,10+|80×,This attack does 30 more damage for each Colorless in your opponent's Active Pokémon's Retreat Cost.|Flip 2 coins. This attack does 80 damage for each heads.,Fire:×2,,Colorless__Colorless__Colorless,Tangela,nagimiso,It ensnares prey by extending arms made of vines. Losing arms to predators does not trouble it.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sm12-7,Sunkern,Pokémon,Grass,Cosmic Eclipse,7,Common,https://images.pokemontcg.io/sm12/7_hires.png,https://images.pokemontcg.io/sm12/7.png,50,,"[{""name"": ""Leech Seed"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Heal 10 damage from this Pokémon.""}]",Leech Seed,10,Heal 10 damage from this Pokémon.,Fire:×2,,Colorless,,0313,"It may plummet from the sky. If attacked by a Spearow, it will violently shake its leaves.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sm12-8,Sunflora,Pokémon,Grass,Cosmic Eclipse,8,Rare,https://images.pokemontcg.io/sm12/8_hires.png,https://images.pokemontcg.io/sm12/8.png,90,,"[{""name"": ""Solar Power"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""During your next turn, ignore all Energy in the attack costs of Grass Pokémon and Fire Pokémon. (This includes Pokémon that come into play on that turn.)""}, {""name"": ""Solar Beam"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": """"}]",Solar Power|Solar Beam,|80,"During your next turn, ignore all Energy in the attack costs of Grass Pokémon and Fire Pokémon. (This includes Pokémon that come into play on that turn.)|",Fire:×2,,Colorless,Sunkern,Yumi,"As the hot season approaches, the petals on this Pokémon's face become more vivid and lively.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sm12-9,Heracross,Pokémon,Grass,Cosmic Eclipse,9,Uncommon,https://images.pokemontcg.io/sm12/9_hires.png,https://images.pokemontcg.io/sm12/9.png,130,,"[{""name"": ""Lunge Out"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Riled Horn"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""If your opponent has any TAG TEAM Pokémon in play, this attack does 70 more damage.""}]",Lunge Out|Riled Horn,20|50+,"|If your opponent has any TAG TEAM Pokémon in play, this attack does 70 more damage.",Fire:×2,,Colorless__Colorless__Colorless,,Satoshi Shirai,"It's proud of its thick horn. In Alola, its biggest rival is Vikavolt, which it's always fighting with.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sm12-10,Lileep,Pokémon,Grass,Cosmic Eclipse,10,Uncommon,https://images.pokemontcg.io/sm12/10_hires.png,https://images.pokemontcg.io/sm12/10.png,90,,"[{""name"": ""Confuse Ray"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Confused.""}, {""name"": ""Seed Bomb"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Confuse Ray|Seed Bomb,|60,Your opponent's Active Pokémon is now Confused.|,Fire:×2,,Colorless__Colorless,Unidentified Fossil,Misa Tsutsui,"In ancient times, it lived in warm seas. It disguised itself as seaweed to ambush its prey and devoured them whole when they got close.",,,,,,,,,,,,,,,,,,,,,,,,,
