Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm4-1,Weedle,Pokémon,Grass,Crimson Invasion,1,Common,https://images.pokemontcg.io/sm4/1_hires.png,https://images.pokemontcg.io/sm4/1.png,50,,"[{""name"": ""Poison Sting"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Poisoned.""}]",Poison Sting,,Your opponent's Active Pokémon is now Poisoned.,Fire:×2,,Colorless,,Yukiko Baba,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sm4-2,Kakuna,Pokémon,Grass,Crimson Invasion,2,Uncommon,https://images.pokemontcg.io/sm4/2_hires.png,https://images.pokemontcg.io/sm4/2.png,80,,"[{""name"": ""Multiply"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for up to 3 Kakuna and put them onto your Bench. Then, shuffle your deck.""}]",Multiply,,"Search your deck for up to 3 Kakuna and put them onto your Bench. Then, shuffle your deck.",Fire:×2,,Colorless__Colorless,Weedle,miki kudo,"Almost incapable of moving, this Pokémon can only harden its shell to protect itself when it is in danger.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sm4-3,Beedrill,Pokémon,Grass,Crimson Invasion,3,Rare,https://images.pokemontcg.io/sm4/3_hires.png,https://images.pokemontcg.io/sm4/3.png,120,,"[{""name"": ""Sudden Sting"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""If this Pokémon evolved from Kakuna during this turn, your opponent's Active Pokémon is now Paralyzed and Poisoned.""}, {""name"": ""Sharp Sting"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""60"", ""text"": """"}]",Sudden Sting|Sharp Sting,10|60,"If this Pokémon evolved from Kakuna during this turn, your opponent's Active Pokémon is now Paralyzed and Poisoned.|",Fire:×2,,,Kakuna,kirisAki,"May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sm4-4,Exeggcute,Pokémon,Grass,Crimson Invasion,4,Common,https://images.pokemontcg.io/sm4/4_hires.png,https://images.pokemontcg.io/sm4/4.png,50,,"[{""name"": ""Hypnosis"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Asleep.""}, {""name"": ""Ram"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Hypnosis|Ram,|10,Your opponent's Active Pokémon is now Asleep.|,Fire:×2,,Colorless,,Kouki Saitou,Its six eggs use telepathy to communicate among themselves. It is believed to carry plant genes and the genes of other species.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sm4-5,Cacnea,Pokémon,Grass,Crimson Invasion,5,Common,https://images.pokemontcg.io/sm4/5_hires.png,https://images.pokemontcg.io/sm4/5.png,60,,"[{""name"": ""Sucker Punch"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""If this Pokémon has any Darkness Energy attached to it, this attack does 30 more damage.""}]",Sucker Punch,10+,"If this Pokémon has any Darkness Energy attached to it, this attack does 30 more damage.",Fire:×2,,Colorless,,Anesaki Dynamic,It lives in arid locations. Its yellow flowers bloom once a year.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sm4-6,Cacturne,Pokémon,Grass,Crimson Invasion,6,Rare,https://images.pokemontcg.io/sm4/6_hires.png,https://images.pokemontcg.io/sm4/6.png,110,,"[{""name"": ""Spike Rend"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30+"", ""text"": ""If your opponent's Active Pokémon already has any damage counters on it, this attack does 60 more damage.""}, {""name"": ""Hunt"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Switch 1 of your opponent's Benched Pokémon with their Active Pokémon. This attack does 40 damage to the new Active Pokémon.""}]",Spike Rend|Hunt,30+|,"If your opponent's Active Pokémon already has any damage counters on it, this attack does 60 more damage.|Switch 1 of your opponent's Benched Pokémon with their Active Pokémon. This attack does 40 damage to the new Active Pokémon.",Fire:×2,,Colorless__Colorless,Cacnea,Mina Nakai,"It becomes active at night, seeking prey that is exhausted from the day's desert heat.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sm4-7,Karrablast,Pokémon,Grass,Crimson Invasion,7,Common,https://images.pokemontcg.io/sm4/7_hires.png,https://images.pokemontcg.io/sm4/7.png,60,"[{""name"": ""Shell On"", ""text"": ""Once during your turn (before your attack), you may discard a Shelmet from your hand. If you do, search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck."", ""type"": ""Ability""}]","[{""name"": ""Peck"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": """"}]",Peck,30,,Fire:×2,,Colorless__Colorless,,OOYAMA,These mysterious Pokémon evolve when they receive electrical stimulation while they are in the same place as Shelmet.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sm4-8,Shelmet,Pokémon,Grass,Crimson Invasion,8,Common,https://images.pokemontcg.io/sm4/8_hires.png,https://images.pokemontcg.io/sm4/8.png,60,,"[{""name"": ""Absorb"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Heal 10 damage from this Pokémon.""}]",Absorb,10,Heal 10 damage from this Pokémon.,Fire:×2,,Colorless__Colorless__Colorless,,OOYAMA,"When it and Karrablast are together, and both receive electrical stimulation, they both evolve.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sm4-9,Accelgor,Pokémon,Grass,Crimson Invasion,9,Uncommon,https://images.pokemontcg.io/sm4/9_hires.png,https://images.pokemontcg.io/sm4/9.png,90,,"[{""name"": ""Recover"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Discard an Energy from this Pokémon and heal all damage from it.""}, {""name"": ""Speed Attack"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""70"", ""text"": """"}]",Recover|Speed Attack,|70,Discard an Energy from this Pokémon and heal all damage from it.|,Fire:×2,,Colorless,Shelmet,tetsuya koizumi,"Having removed its heavy shell, it becomes very light and can fight with ninja-like movements.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sm4-10,Skiddo,Pokémon,Grass,Crimson Invasion,10,Common,https://images.pokemontcg.io/sm4/10_hires.png,https://images.pokemontcg.io/sm4/10.png,70,,"[{""name"": ""Seed Bomb"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Seed Bomb,20,,Fire:×2,,Colorless,,Naoki Saito,"Thought to be one of the first Pokémon to live in harmony with humans, it has a placid disposition.",,,,,,,,,,,,,,,,,,,,,,,,,
