Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh12pt5gg-GG01,Hisuian Voltorb,Pokémon,Grass,Crown Zenith Galarian Gallery,GG01,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12pt5gg/GG01_hires.png,https://images.pokemontcg.io/swsh12pt5gg/GG01.png,50,,"[{""name"": ""Cheerful Charge"", ""cost"": [], ""convertedEnergyCost"": 0, ""damage"": """", ""text"": ""You can use this attack only if you go second, and only during your first turn. Choose up to 2 of your Benched Pokémon. For each of those Pokémon, search your deck for a basic Energy card and attach it to that Pokémon. Then, shuffle your deck.""}, {""name"": ""Ram"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Cheerful Charge|Ram,|10,"You can use this attack only if you go second, and only during your first turn. Choose up to 2 of your Benched Pokémon. For each of those Pokémon, search your deck for a basic Energy card and attach it to that Pokémon. Then, shuffle your deck.|",Fire:×2,,Colorless,,HYOGONOSUKE,"An enigmatic Pokémon that happens to bear a resemblance to a Poké Ball. When excited, it discharges the electric current it has stored in its belly, then lets out a great, uproarious laugh.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh12pt5gg-GG02,Kricketune,Pokémon,Grass,Crown Zenith Galarian Gallery,GG02,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12pt5gg/GG02_hires.png,https://images.pokemontcg.io/swsh12pt5gg/GG02.png,90,"[{""name"": ""Swelling Tune"", ""text"": ""Your Grass Pokémon in play, except any Kricketune, get +40 HP. You can't apply more than 1 Swelling Tune Ability at a time."", ""type"": ""Ability""}]","[{""name"": ""Slash"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": """"}]",Slash,50,,Fire:×2,,Colorless,Kricketot,Nurikabe,It signals its emotions with its melodies. Scientists are studying these melodic patterns.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh12pt5gg-GG03,Magmortar,Pokémon,Fire,Crown Zenith Galarian Gallery,GG03,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12pt5gg/GG03_hires.png,https://images.pokemontcg.io/swsh12pt5gg/GG03.png,140,,"[{""name"": ""Mega Punch"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": """"}, {""name"": ""Boltsplosion"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""120+"", ""text"": ""If Electivire is on your Bench, this attack does 120 more damage.""}]",Mega Punch|Boltsplosion,50|120+,"|If Electivire is on your Bench, this attack does 120 more damage.",Water:×2,,Colorless__Colorless__Colorless,Magmar,Saya Tsuruta,"When Magmortar inhales deeply, the fire burning in its belly intensifies, rising in temperature to over 3,600 degrees Fahrenheit.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh12pt5gg-GG04,Oricorio,Pokémon,Fire,Crown Zenith Galarian Gallery,GG04,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12pt5gg/GG04_hires.png,https://images.pokemontcg.io/swsh12pt5gg/GG04.png,90,"[{""name"": ""Lesson in Zeal"", ""text"": ""All of your Fusion Strike Pokémon take 20 less damage from attacks from your opponent's Pokémon (after applying Weakness and Resistance). You can't apply more than 1 Lesson in Zeal Ability at a time."", ""type"": ""Ability""}]","[{""name"": ""Glistening Droplets"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Put 5 damage counters on your opponent's Pokémon in any way you like.""}]",Glistening Droplets,,Put 5 damage counters on your opponent's Pokémon in any way you like.,Water:×2,,Colorless,,Tomokazu Komiya,"This Oricorio has drunk red nectar. If its Trainer gives the wrong order, this passionate Pokémon becomes fiercely angry.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh12pt5gg-GG05,Lapras,Pokémon,Water,Crown Zenith Galarian Gallery,GG05,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12pt5gg/GG05_hires.png,https://images.pokemontcg.io/swsh12pt5gg/GG05.png,130,,"[{""name"": ""Raging Freeze"", ""cost"": [""Water"", ""Water"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""110"", ""text"": ""If any of your Pokémon were Knocked Out by damage from an attack from your opponent's Pokémon during their last turn, your opponent's Active Pokémon is now Paralyzed.""}]",Raging Freeze,110,"If any of your Pokémon were Knocked Out by damage from an attack from your opponent's Pokémon during their last turn, your opponent's Active Pokémon is now Paralyzed.",Lightning:×2,,Colorless__Colorless,,zig,"A smart and kindhearted Pokémon, it glides across the surface of the sea while its beautiful song echoes around it.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh12pt5gg-GG06,Manaphy,Pokémon,Water,Crown Zenith Galarian Gallery,GG06,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12pt5gg/GG06_hires.png,https://images.pokemontcg.io/swsh12pt5gg/GG06.png,70,"[{""name"": ""Wave Veil"", ""text"": ""Prevent all damage done to your Benched Pokémon by attacks from your opponent's Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Rain Splash"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Rain Splash,20,,Lightning:×2,,Colorless,,Taira Akitsu,It starts its life with a wondrous power that permits it to bond with any kind of Pokémon.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh12pt5gg-GG07,Keldeo,Pokémon,Water,Crown Zenith Galarian Gallery,GG07,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12pt5gg/GG07_hires.png,https://images.pokemontcg.io/swsh12pt5gg/GG07.png,110,,"[{""name"": ""Smash Kick"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Line Force"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""This attack does 20 more damage for each of your Benched Pokémon.""}]",Smash Kick|Line Force,20|10+,|This attack does 20 more damage for each of your Benched Pokémon.,Lightning:×2,,Colorless,,KEIICHIRO ITO,"When it is resolute, its body fills with power and it becomes swifter. Its jumps are then too fast to follow.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh12pt5gg-GG08,Electivire,Pokémon,Lightning,Crown Zenith Galarian Gallery,GG08,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12pt5gg/GG08_hires.png,https://images.pokemontcg.io/swsh12pt5gg/GG08.png,140,,"[{""name"": ""Explosive Bolt"", ""cost"": [""Lightning""], ""convertedEnergyCost"": 1, ""damage"": ""30+"", ""text"": ""If any of your Benched Magmortar have any damage counters on them, this attack does 90 more damage.""}, {""name"": ""High-Voltage Current"", ""cost"": [""Lightning"", ""Lightning"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""This attack does 50 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Explosive Bolt|High-Voltage Current,30+|,"If any of your Benched Magmortar have any damage counters on them, this attack does 90 more damage.|This attack does 50 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fighting:×2,,Colorless__Colorless__Colorless,Electabuzz,Mina Nakai,The amount of electrical energy this Pokémon produces is proportional to the rate of its pulse. The voltage jumps while Electivire is battling.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh12pt5gg-GG09,Toxtricity,Pokémon,Lightning,Crown Zenith Galarian Gallery,GG09,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12pt5gg/GG09_hires.png,https://images.pokemontcg.io/swsh12pt5gg/GG09.png,120,"[{""name"": ""Maximum Downer"", ""text"": ""If all your Pokémon in play are Fusion Strike Pokémon, your opponent's Pokémon VMAX in play get -30 HP."", ""type"": ""Ability""}]","[{""name"": ""Head Bolt"", ""cost"": [""Lightning"", ""Lightning"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""90"", ""text"": """"}]",Head Bolt,90,,Fighting:×2,,Colorless__Colorless,Toxel,Nelnal,"It has an electrical organ on its chest. While generating electricity, it fills its surroundings with what sounds like the strumming of a bass guitar.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh12pt5gg-GG10,Mew,Pokémon,Psychic,Crown Zenith Galarian Gallery,GG10,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12pt5gg/GG10_hires.png,https://images.pokemontcg.io/swsh12pt5gg/GG10.png,60,"[{""name"": ""Mysterious Tail"", ""text"": ""Once during your turn, if this Pokémon is in the Active Spot, you may look at the top 6 cards of your deck, reveal an Item card you find there, and put it into your hand. Shuffle the other cards back into your deck."", ""type"": ""Ability""}]","[{""name"": ""Psyshot"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Psyshot,30,,Darkness:×2,Fighting:-30,Colorless,,Ryota Murayama,"Its DNA is said to contain the genetic codes of all Pokémon, so it can use all kinds of techniques.",,,,,,,,,,,,,,,,,,,,,,,,,
