Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh12pt5-1,Oddish,Pokémon,Grass,Crown Zenith,1,Common,https://images.pokemontcg.io/swsh12pt5/1_hires.png,https://images.pokemontcg.io/swsh12pt5/1.png,50,,"[{""name"": ""Leaf Boomerang"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Flip 2 coins. This attack does 10 damage for each heads.""}]",Leaf Boomerang,10×,Flip 2 coins. This attack does 10 damage for each heads.,Fire:×2,,Colorless,,ryoma uratsuka,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh12pt5-2,Gloom,Pokémon,Grass,Crown Zenith,2,Uncommon,https://images.pokemontcg.io/swsh12pt5/2_hires.png,https://images.pokemontcg.io/swsh12pt5/2.png,70,,"[{""name"": ""Offensive Scent"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Your opponent's Active Pokémon is now Confused and Poisoned.""}]",Offensive Scent,20,Your opponent's Active Pokémon is now Confused and Poisoned.,Fire:×2,,Colorless,Oddish,Kyoko Umemoto,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh12pt5-3,Bellossom,Pokémon,Grass,Crown Zenith,3,Rare,https://images.pokemontcg.io/swsh12pt5/3_hires.png,https://images.pokemontcg.io/swsh12pt5/3.png,120,,"[{""name"": ""Flower Spin"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""80×"", ""text"": ""Flip 3 coins. This attack does 80 damage for each heads. Switch this Pokémon with 1 of your Benched Pokémon.""}]",Flower Spin,80×,Flip 3 coins. This attack does 80 damage for each heads. Switch this Pokémon with 1 of your Benched Pokémon.,Fire:×2,,Colorless,Gloom,Nagomi Nijo,"Plentiful in the tropics. When it dances, its petals rub together and make a pleasant ringing sound.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh12pt5-4,Tangela,Pokémon,Grass,Crown Zenith,4,Common,https://images.pokemontcg.io/swsh12pt5/4_hires.png,https://images.pokemontcg.io/swsh12pt5/4.png,80,,"[{""name"": ""Beat"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Vine Whip"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Beat|Vine Whip,10|60,|,Fire:×2,,Colorless__Colorless,,kurumitsu,"Hidden beneath a tangle of vines that grows nonstop even if the vines are torn off, this Pokémon's true appearance remains a mystery.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh12pt5-5,Tangrowth,Pokémon,Grass,Crown Zenith,5,Rare,https://images.pokemontcg.io/swsh12pt5/5_hires.png,https://images.pokemontcg.io/swsh12pt5/5.png,150,,"[{""name"": ""Suctioning Vines"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": ""Heal 30 damage from this Pokémon.""}, {""name"": ""Hammer In"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""130"", ""text"": """"}]",Suctioning Vines|Hammer In,50|130,Heal 30 damage from this Pokémon.|,Fire:×2,,Colorless__Colorless__Colorless__Colorless,Tangela,zig,"Tangrowth has two arms that it can extend as it pleases. Recent research has shown that these arms are, in fact, bundles of vines.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh12pt5-6,Scyther,Pokémon,Grass,Crown Zenith,6,Common,https://images.pokemontcg.io/swsh12pt5/6_hires.png,https://images.pokemontcg.io/swsh12pt5/6.png,80,,"[{""name"": ""Mach Cut"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Discard a Special Energy from your opponent's Active Pokémon.""}]",Mach Cut,10,Discard a Special Energy from your opponent's Active Pokémon.,Fire:×2,,Colorless,,Narumi Sato,"As Scyther fights more and more battles, its scythes become sharper and sharper. With a single slice, Scyther can fell a massive tree.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh12pt5-7,Sunkern,Pokémon,Grass,Crown Zenith,7,Common,https://images.pokemontcg.io/swsh12pt5/7_hires.png,https://images.pokemontcg.io/swsh12pt5/7.png,40,,"[{""name"": ""Seed Bomb"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Seed Bomb,20,,Fire:×2,,Colorless,,ryoma uratsuka,It lives by drinking only dewdrops from under the leaves of plants. It is said that it eats nothing else.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh12pt5-8,Yanma,Pokémon,Grass,Crown Zenith,8,Common,https://images.pokemontcg.io/swsh12pt5/8_hires.png,https://images.pokemontcg.io/swsh12pt5/8.png,70,,"[{""name"": ""Swoop Across"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""This attack does 10 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Cutting Wind"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": """"}]",Swoop Across|Cutting Wind,|70,This attack does 10 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|,Fire:×2,,Colorless,,Shin Nagasawa,"If it flaps its wings really fast, it can generate shock waves that will shatter windows in the area.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh12pt5-9,Yanmega,Pokémon,Grass,Crown Zenith,9,Rare,https://images.pokemontcg.io/swsh12pt5/9_hires.png,https://images.pokemontcg.io/swsh12pt5/9.png,130,,"[{""name"": ""Shoot Through"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""This attack also does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Jet Wing"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""160"", ""text"": ""During your next turn, this Pokémon can't attack.""}]",Shoot Through|Jet Wing,20|160,"This attack also does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|During your next turn, this Pokémon can't attack.",Fire:×2,,,Yanma,KIYOTAKA OSHIYAMA,This six-legged Pokémon is easily capable of transporting an adult in flight. The wings on its tail help it stay balanced.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh12pt5-10,Kricketot,Pokémon,Grass,Crown Zenith,10,Common,https://images.pokemontcg.io/swsh12pt5/10_hires.png,https://images.pokemontcg.io/swsh12pt5/10.png,60,,"[{""name"": ""Trip Over"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 20 more damage.""}]",Trip Over,10+,"Flip a coin. If heads, this attack does 20 more damage.",Fire:×2,,Colorless,,Shigenori Negishi,"When its antennae hit each other, it sounds like the music of a xylophone.",,,,,,,,,,,,,,,,,,,,,,,,,
