Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex14-1,Banette,Pokémon,Psychic,Crystal Guardians,1,Rare Holo,https://images.pokemontcg.io/ex14/1_hires.png,https://images.pokemontcg.io/ex14/1.png,70,"[{""name"": ""Safeguard"", ""text"": ""Prevent all effects of attacks, including damage, done to Banette by your opponent's Pokémon-ex."", ""type"": ""Poké-Body""}]","[{""name"": ""Night Murmurs"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""If the Defending Pokémon is a Basic Pokémon, that Pokémon is now Confused.""}]",Night Murmurs,30,"If the Defending Pokémon is a Basic Pokémon, that Pokémon is now Confused.",Darkness:×2,Fighting:-30,Colorless,Shuppet,Kyoko Umemoto,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,ex14-2,Blastoise δ,Pokémon,Fighting__Metal,Crystal Guardians,2,Rare Holo,https://images.pokemontcg.io/ex14/2_hires.png,https://images.pokemontcg.io/ex14/2.png,110,"[{""name"": ""Shield Veil"", ""text"": ""Each of your Active Pokémon has no Weakness."", ""type"": ""Poké-Body""}]","[{""name"": ""Enraged Linear Attack"", ""cost"": [""Fighting"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon. This attack does 10 damage for each damage counter on Blastoise to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Skull Bash"", ""cost"": [""Metal"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Enraged Linear Attack|Skull Bash,|60,Choose 1 of your opponent's Pokémon. This attack does 10 damage for each damage counter on Blastoise to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|,Lightning:×2,,Colorless__Colorless__Colorless,Wartortle,Masakazu Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,ex14-3,Camerupt,Pokémon,Fire,Crystal Guardians,3,Rare Holo,https://images.pokemontcg.io/ex14/3_hires.png,https://images.pokemontcg.io/ex14/3.png,80,"[{""name"": ""Delta Protection"", ""text"": ""Any damage done to Camerupt by attacks from your opponent's Pokémon that has δ on its card is reduced by 40 (after applying Weakness and Resistance)."", ""type"": ""Poké-Body""}]","[{""name"": ""Linear Attack"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon. This attack does 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Combustion"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Linear Attack|Combustion,|50,Choose 1 of your opponent's Pokémon. This attack does 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|,Water:×2,,Colorless__Colorless,Numel,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,ex14-4,Charizard δ,Pokémon,Lightning__Metal,Crystal Guardians,4,Rare Holo,https://images.pokemontcg.io/ex14/4_hires.png,https://images.pokemontcg.io/ex14/4.png,120,"[{""name"": ""Peal of Thunder"", ""text"": ""Once during your turn, when you play Charizard from your hand to evolve 1 of your Pokémon, you may look at the top 5 cards of your deck, choose as many Energy cards as you like, and attach them to 1 of your Pokémon. Discard the other cards."", ""type"": ""Poké-Power""}]","[{""name"": ""Metal Burn"", ""cost"": [""Lightning"", ""Metal"", ""Metal"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""120"", ""text"": ""Discard all Metal Energy attached to Charizard.""}]",Metal Burn,120,Discard all Metal Energy attached to Charizard.,Water:×2,,Colorless__Colorless,Charmeleon,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,ex14-5,Dugtrio,Pokémon,Fighting,Crystal Guardians,5,Rare Holo,https://images.pokemontcg.io/ex14/5_hires.png,https://images.pokemontcg.io/ex14/5.png,70,"[{""name"": ""Sand Veil"", ""text"": ""Prevent all damage done to your Benched Pokémon by your opponent's attacks."", ""type"": ""Poké-Body""}]","[{""name"": ""Dig Under"", ""cost"": [""Fighting"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon. This attack does 30 damage to that Pokémon. This attack's damage isn't affected by Weakness or Resistance.""}, {""name"": ""Double-edge"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Dugtrio does 10 damage to itself.""}]",Dig Under|Double-edge,|60,Choose 1 of your opponent's Pokémon. This attack does 30 damage to that Pokémon. This attack's damage isn't affected by Weakness or Resistance.|Dugtrio does 10 damage to itself.,Grass:×2,,Colorless,Diglett,Tomokazu Komiya,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,ex14-6,Ludicolo δ,Pokémon,Fire,Crystal Guardians,6,Rare Holo,https://images.pokemontcg.io/ex14/6_hires.png,https://images.pokemontcg.io/ex14/6.png,100,"[{""name"": ""Overzealous"", ""text"": ""If your opponent has any Pokémon-ex in play, each of Ludicolo's attacks does 30 more damage to the Defending Pokémon."", ""type"": ""Poké-Body""}]","[{""name"": ""Knock Off"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Choose 1 card from your opponent's hand without looking and discard it.""}, {""name"": ""Fire Punch"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Knock Off|Fire Punch,30|60,Choose 1 card from your opponent's hand without looking and discard it.|,Lightning:×2,,Colorless__Colorless,Lombre,Masakazu Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,ex14-7,Luvdisc,Pokémon,Water,Crystal Guardians,7,Rare Holo,https://images.pokemontcg.io/ex14/7_hires.png,https://images.pokemontcg.io/ex14/7.png,60,,"[{""name"": ""Even Game"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Count the number of your opponent's Pokémon. Search your deck for up to that number of Basic Pokémon and put them onto your Bench. Shuffle your deck afterward.""}, {""name"": ""Stadium Play"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""If you have a Stadium card in play, remove 1 damage counter from each of your Pokémon. If your opponent has a Stadium card in play, this attack does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Even Game|Stadium Play,|10,"Count the number of your opponent's Pokémon. Search your deck for up to that number of Basic Pokémon and put them onto your Bench. Shuffle your deck afterward.|If you have a Stadium card in play, remove 1 damage counter from each of your Pokémon. If your opponent has a Stadium card in play, this attack does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Lightning:×2,,Colorless,,Kyoko Umemoto,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,ex14-8,Manectric,Pokémon,Lightning,Crystal Guardians,8,Rare Holo,https://images.pokemontcg.io/ex14/8_hires.png,https://images.pokemontcg.io/ex14/8.png,80,,"[{""name"": ""Kick Away"", ""cost"": [""Lightning"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Your opponent switches the Defending Pokémon with 1 of his or her Benched Pokémon, if any.""}, {""name"": ""Strong Current"", ""cost"": [""Lightning"", ""Lightning"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""If Manectric has a Pokémon Tool card attached to it, this attack does 20 damage to each of your opponent's Benched Pokémon-ex. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Kick Away|Strong Current,30|50,"Your opponent switches the Defending Pokémon with 1 of his or her Benched Pokémon, if any.|If Manectric has a Pokémon Tool card attached to it, this attack does 20 damage to each of your opponent's Benched Pokémon-ex. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fighting:×2,Metal:-30,Colorless,Electrike,Hisao Nakamura,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,ex14-9,Mawile,Pokémon,Metal,Crystal Guardians,9,Rare Holo,https://images.pokemontcg.io/ex14/9_hires.png,https://images.pokemontcg.io/ex14/9.png,60,,"[{""name"": ""Mining"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Trainer card, show it to your opponent, and put it into your hand. If that card is a Pokémon Tool card, you may attach it to 1 of your Pokémon instead. Shuffle your deck afterward.""}, {""name"": ""Bite Off"", ""cost"": [""Metal"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""If the Defending Pokémon is Pokémon-ex, this attack does 20 damage plus 30 more damage.""}]",Mining|Bite Off,|20+,"Search your deck for a Trainer card, show it to your opponent, and put it into your hand. If that card is a Pokémon Tool card, you may attach it to 1 of your Pokémon instead. Shuffle your deck afterward.|If the Defending Pokémon is Pokémon-ex, this attack does 20 damage plus 30 more damage.",Fire:×2,Grass:-30,Colorless,,Kagemaru Himeno,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,ex14-10,Sableye,Pokémon,Darkness,Crystal Guardians,10,Rare Holo,https://images.pokemontcg.io/ex14/10_hires.png,https://images.pokemontcg.io/ex14/10.png,60,"[{""name"": ""Excavate"", ""text"": ""Once during your turn (before your attack), you may look at the top card of your deck. Put that card back on top of your deck, or discard that card. This power can't be used if Sableye is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Disable"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.""}]",Disable,10,Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.,,Colorless:-30,Colorless,,Yukiko Baba,,,,,,,,,,,,,,,,,,,,,,,,,,
