Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,dpp-DP01,Turtwig,Pokémon,Grass,DP Black Star Promos,DP01,Promo,https://images.pokemontcg.io/dpp/DP01_hires.png,https://images.pokemontcg.io/dpp/DP01.png,60,,"[{""name"": ""Tackle"", ""cost"": [], ""convertedEnergyCost"": 0, ""damage"": ""10"", ""text"": """"}, {""name"": ""Razor Leaf"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Tackle|Razor Leaf,10|20,|,Fire:+10,Water:-20,Colorless__Colorless,,Masakazu Fukuda,"Made from soil, the shell on its back hardens when it drinks water. It lives along lakes.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,dpp-DP02,Chimchar,Pokémon,Fire,DP Black Star Promos,DP02,Promo,https://images.pokemontcg.io/dpp/DP02_hires.png,https://images.pokemontcg.io/dpp/DP02.png,50,,"[{""name"": ""Scratch"", ""cost"": [], ""convertedEnergyCost"": 0, ""damage"": ""10"", ""text"": """"}, {""name"": ""Ember"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Flip a coin. If tails, discard a Fire Energy attached to Chimchar.""}]",Scratch|Ember,10|30,"|Flip a coin. If tails, discard a Fire Energy attached to Chimchar.",Water:+10,,Colorless,,Kagemaru Himeno,It agilely scales sheer cliffs to live atop craggy mountains. Its fire is put out when it sleeps.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,dpp-DP03,Piplup,Pokémon,Water,DP Black Star Promos,DP03,Promo,https://images.pokemontcg.io/dpp/DP03_hires.png,https://images.pokemontcg.io/dpp/DP03.png,60,,"[{""name"": ""Peck"", ""cost"": [], ""convertedEnergyCost"": 0, ""damage"": ""10"", ""text"": """"}, {""name"": ""Water Splash"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Flip a coin. If heads, this attack does 20 damage plus 10 more damage.""}]",Peck|Water Splash,10|20+,"|Flip a coin. If heads, this attack does 20 damage plus 10 more damage.",Lightning:+10,,Colorless,,Atsuko Nishida,"Because it is very proud, it hates accepting food from people. Its thick down guards it from cold.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,dpp-DP04,Pachirisu,Pokémon,Lightning,DP Black Star Promos,DP04,Promo,https://images.pokemontcg.io/dpp/DP04_hires.png,https://images.pokemontcg.io/dpp/DP04.png,70,,"[{""name"": ""Minor Errand-Running"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a basic Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.""}, {""name"": ""Thunder Jolt"", ""cost"": [""Lightning""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Flip a coin. If tails, Pachirisu does 10 damage to itself.""}]",Minor Errand-Running|Thunder Jolt,|20,"Search your deck for a basic Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.|Flip a coin. If tails, Pachirisu does 10 damage to itself.",Fighting:+20,Metal:-20,Colorless,,Atsuko Nishida,It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,dpp-DP05,Tropical Wind,Trainer,,DP Black Star Promos,DP05,Promo,https://images.pokemontcg.io/dpp/DP05_hires.png,https://images.pokemontcg.io/dpp/DP05.png,,,,,,,,,,,Sumiyoshi Kizuki,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,dpp-DP06,Buneary,Pokémon,Colorless,DP Black Star Promos,DP06,Promo,https://images.pokemontcg.io/dpp/DP06_hires.png,https://images.pokemontcg.io/dpp/DP06.png,50,,"[{""name"": ""Splash"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Jump Kick"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10"", ""text"": ""Does 10 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Splash|Jump Kick,10|10,|Does 10 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Fighting:+10,,Colorless,,Kagemaru Himeno,It slams foes by sharply uncoiling its rolled ears. It stings enough to make a grown-up cry in pain.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,dpp-DP07,Cranidos,Pokémon,Fighting,DP Black Star Promos,DP07,Promo,https://images.pokemontcg.io/dpp/DP07_hires.png,https://images.pokemontcg.io/dpp/DP07.png,70,,"[{""name"": ""Headbutt"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Steamroll"", ""cost"": [""Fighting"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Headbutt|Steamroll,20|30,|Does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Grass:+20,,Colorless,Skull Fossil,Mitsuhiro Arita,It lived in jungles around 100 million years ago. Its skull is as hard as iron.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,dpp-DP08,Shieldon,Pokémon,Metal,DP Black Star Promos,DP08,Promo,https://images.pokemontcg.io/dpp/DP08_hires.png,https://images.pokemontcg.io/dpp/DP08.png,80,,"[{""name"": ""Hard Face"", ""cost"": [""Metal"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""During your opponent's next turn, any damage done to Shieldon by attacks is reduced by 20 (after applying Weakness and Resistance).""}, {""name"": ""Shield Attack"", ""cost"": [""Metal"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""Flip a coin. If heads, this attack does 40 damage plus 20 more damage.""}]",Hard Face|Shield Attack,20|40+,"During your opponent's next turn, any damage done to Shieldon by attacks is reduced by 20 (after applying Weakness and Resistance).|Flip a coin. If heads, this attack does 40 damage plus 20 more damage.",Fire:+20,Psychic:-20,Colorless__Colorless,Armor Fossil,Kouki Saitou,A Pokémon that lived in jungles around 100 million years ago. Its facial hide is extremely hard.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,dpp-DP09,Torterra LV.X,Pokémon,Grass,DP Black Star Promos,DP09,Promo,https://images.pokemontcg.io/dpp/DP09_hires.png,https://images.pokemontcg.io/dpp/DP09.png,160,"[{""name"": ""Forest Murmurs"", ""text"": ""Once during your turn (before your attack), if you have more Prize cards left than your opponent, you may choose 1 of your opponent's Benched Pokémon and switch it with 1 of the Defending Pokémon. This power can't be used if Torterra is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Vigorous Dash"", ""cost"": [""Grass"", ""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""100"", ""text"": ""Does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) Torterra does 30 damage to itself.""}]",Vigorous Dash,100,Does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) Torterra does 30 damage to itself.,Fire:+30,,Colorless__Colorless__Colorless__Colorless,Torterra,Shizurow,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,dpp-DP10,Infernape LV.X,Pokémon,Fire,DP Black Star Promos,DP10,Promo,https://images.pokemontcg.io/dpp/DP10_hires.png,https://images.pokemontcg.io/dpp/DP10.png,120,"[{""name"": ""Burning Head"", ""text"": ""Once during your turn (before your attack), you may look at the top 3 cards of your deck, choose 1 of them, and put it into your hand. Discard the other 2 cards. This power can't be used if Infernape is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Flare Up"", ""cost"": [""Fire"", ""Fire""], ""convertedEnergyCost"": 2, ""damage"": ""150"", ""text"": ""Search your discard pile for 8 Fire Energy cards, show them to your opponent, and shuffle them into your deck. (This attack does nothing if you don't have 8 Fire Energy cards in your discard pile.)""}]",Flare Up,150,"Search your discard pile for 8 Fire Energy cards, show them to your opponent, and shuffle them into your deck. (This attack does nothing if you don't have 8 Fire Energy cards in your discard pile.)",Water:+30,,,Infernape,Shizurow,,,,,,,,,,,,,,,,,,,,,,,,,,
