Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,bw5-1,Bulbasaur,Pokémon,Grass,Dark Explorers,1,Common,https://images.pokemontcg.io/bw5/1_hires.png,https://images.pokemontcg.io/bw5/1.png,60,,"[{""name"": ""Tackle"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Razor Leaf"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": """"}]",Tackle|Razor Leaf,10|30,|,Fire:×2,Water:-20,Colorless__Colorless,,Mitsuhiro Arita,"For some time after its birth, it grows by gaining nourishment from the seed on its back.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,bw5-2,Ivysaur,Pokémon,Grass,Dark Explorers,2,Uncommon,https://images.pokemontcg.io/bw5/2_hires.png,https://images.pokemontcg.io/bw5/2.png,90,,"[{""name"": ""Sleep Powder"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""The Defending Pokémon is now Asleep.""}, {""name"": ""Poison Powder"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""The Defending Pokémon is now Poisoned.""}]",Sleep Powder|Poison Powder,20|50,The Defending Pokémon is now Asleep.|The Defending Pokémon is now Poisoned.,Fire:×2,Water:-20,Colorless__Colorless__Colorless,Bulbasaur,sui,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower's coming bloom.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,bw5-3,Venusaur,Pokémon,Grass,Dark Explorers,3,Rare Holo,https://images.pokemontcg.io/bw5/3_hires.png,https://images.pokemontcg.io/bw5/3.png,140,"[{""name"": ""Floral Fragrance"", ""text"": ""Once during your turn (before your attack), you may search your deck for a Pokémon, reveal it, and put it into your hand. Shuffle your deck afterward."", ""type"": ""Ability""}]","[{""name"": ""Poison Powder"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""70"", ""text"": ""The Defending Pokémon is now Poisoned.""}]",Poison Powder,70,The Defending Pokémon is now Poisoned.,Fire:×2,Water:-20,Colorless__Colorless__Colorless__Colorless,Ivysaur,Masakazu Fukuda,"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,bw5-4,Scyther,Pokémon,Grass,Dark Explorers,4,Uncommon,https://images.pokemontcg.io/bw5/4_hires.png,https://images.pokemontcg.io/bw5/4.png,80,,"[{""name"": ""Air Slash"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Discard an Energy attached to this Pokémon.""}]",Air Slash,60,Discard an Energy attached to this Pokémon.,Fire:×2,,Colorless,,Naoki Saito,The sharp scythes on its forearms become increasingly sharp by cutting through hard objects.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,bw5-5,Carnivine,Pokémon,Grass,Dark Explorers,5,Rare,https://images.pokemontcg.io/bw5/5_hires.png,https://images.pokemontcg.io/bw5/5.png,90,,"[{""name"": ""Lure Poison"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Switch the Defending Pokémon with 1 of your opponent's Benched Pokémon. The new Defending Pokémon is now Poisoned.""}, {""name"": ""Spit Squall"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""Your opponent puts the Defending Pokémon and all cards attached to it into his or her hand.""}]",Lure Poison|Spit Squall,|,Switch the Defending Pokémon with 1 of your opponent's Benched Pokémon. The new Defending Pokémon is now Poisoned.|Your opponent puts the Defending Pokémon and all cards attached to it into his or her hand.,Fire:×2,Water:-20,Colorless__Colorless,,Yukiko Baba,It binds itself to trees on marshes. It attracts prey with its sweet-smelling drool and gulps them down.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,bw5-6,Leafeon,Pokémon,Grass,Dark Explorers,6,Rare,https://images.pokemontcg.io/bw5/6_hires.png,https://images.pokemontcg.io/bw5/6.png,90,,"[{""name"": ""Quick Attack"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 30 more damage.""}, {""name"": ""Energy Assist"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""Attach a basic Energy card from your discard pile to 1 of your Benched Pokémon.""}]",Quick Attack|Energy Assist,10+|40,"Flip a coin. If heads, this attack does 30 more damage.|Attach a basic Energy card from your discard pile to 1 of your Benched Pokémon.",Fire:×2,Water:-20,Colorless,Eevee,Ryo Ueda,"It basically does not fight. With cells similar to those of plants, it can perform photosynthesis.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,bw5-7,Dwebble,Pokémon,Grass,Dark Explorers,7,Common,https://images.pokemontcg.io/bw5/7_hires.png,https://images.pokemontcg.io/bw5/7.png,60,,"[{""name"": ""Beat"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Cut"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": """"}]",Beat|Cut,10|30,|,Fire:×2,,Colorless__Colorless,,Akira Komayama,"It makes a hole in a suitable rock. If that rock breaks, the Pokémon remains agitated until it locates a replacement.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,bw5-8,Crustle,Pokémon,Grass,Dark Explorers,8,Uncommon,https://images.pokemontcg.io/bw5/8_hires.png,https://images.pokemontcg.io/bw5/8.png,110,,"[{""name"": ""Cut"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}, {""name"": ""Heavy Bullet"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": ""Flip a coin. If heads, this attack does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Cut|Heavy Bullet,30|70,"|Flip a coin. If heads, this attack does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fire:×2,,Colorless__Colorless__Colorless,Dwebble,Ryo Ueda,"It possesses legs of enormous strength, enabling it to carry heavy slabs for many days, even when crossing arid land.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,bw5-9,Karrablast,Pokémon,Grass,Dark Explorers,9,Common,https://images.pokemontcg.io/bw5/9_hires.png,https://images.pokemontcg.io/bw5/9.png,60,,"[{""name"": ""Beat"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Reckless Charge"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""This Pokémon does 10 damage to itself.""}]",Beat|Reckless Charge,10|40,|This Pokémon does 10 damage to itself.,Fire:×2,,Colorless,,Kagemaru Himeno,These mysterious Pokémon evolve when they receive electrical stimulation while they are in the same place as Shelmet.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,bw5-10,Shelmet,Pokémon,Grass,Dark Explorers,10,Common,https://images.pokemontcg.io/bw5/10_hires.png,https://images.pokemontcg.io/bw5/10.png,60,,"[{""name"": ""Body Slam"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}]",Body Slam,20,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Fire:×2,,Colorless__Colorless__Colorless,,Shigenori Negishi,"When attacked, it defends itself by closing the lid of its shell. It can spit a sticky, poisonous liquid.",,,,,,,,,,,,,,,,,,,,,,,,,
