Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh3-1,Butterfree V,Pokémon,Grass,Darkness Ablaze,1,Rare Holo V,https://images.pokemontcg.io/swsh3/1_hires.png,https://images.pokemontcg.io/swsh3/1.png,190,,"[{""name"": ""Dizzying Poison"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Confused and Poisoned.""}, {""name"": ""Blasting Wind"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""130"", ""text"": """"}]",Dizzying Poison|Blasting Wind,|130,Your opponent's Active Pokémon is now Confused and Poisoned.|,Fire:×2,,Colorless,,Saki Hayashiro,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh3-2,Butterfree VMAX,Pokémon,Grass,Darkness Ablaze,2,Rare Holo VMAX,https://images.pokemontcg.io/swsh3/2_hires.png,https://images.pokemontcg.io/swsh3/2.png,300,,"[{""name"": ""G-Max Toxbreeze"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""150"", ""text"": ""Your opponent's Active Pokémon is now Confused and Poisoned.""}]",G-Max Toxbreeze,150,Your opponent's Active Pokémon is now Confused and Poisoned.,Fire:×2,,,Butterfree V,aky CG Works,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh3-3,Paras,Pokémon,Grass,Darkness Ablaze,3,Common,https://images.pokemontcg.io/swsh3/3_hires.png,https://images.pokemontcg.io/swsh3/3.png,60,,"[{""name"": ""Scratch"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Scratch,20,,Fire:×2,,Colorless,,Atsuko Nishida,"The mushrooms, known as tochukaso, are controlling the bug. Even if the bug bugs the mushrooms, they tell it to bug off.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh3-4,Parasect,Pokémon,Grass,Darkness Ablaze,4,Uncommon,https://images.pokemontcg.io/swsh3/4_hires.png,https://images.pokemontcg.io/swsh3/4.png,120,,"[{""name"": ""Mushroom Tackle"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}, {""name"": ""Solar Beam"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""110"", ""text"": """"}]",Mushroom Tackle|Solar Beam,30|110,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.|",Fire:×2,,Colorless__Colorless,Paras,Miki Tanaka,"The bug is mostly dead, with the mushroom on its back having become the main body. If the mushroom comes off, the bug stops moving.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh3-5,Carnivine,Pokémon,Grass,Darkness Ablaze,5,Uncommon,https://images.pokemontcg.io/swsh3/5_hires.png,https://images.pokemontcg.io/swsh3/5.png,90,,"[{""name"": ""Return"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""You may draw cards until you have 5 cards in your hand.""}, {""name"": ""Giga Drain"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.""}]",Return|Giga Drain,20|40,You may draw cards until you have 5 cards in your hand.|Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.,Fire:×2,,Colorless,,Masakazu Fukuda,It binds itself to trees in marshes. It attracts prey with its sweet-smelling drool and gulps them down.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh3-6,Pansage,Pokémon,Grass,Darkness Ablaze,6,Common,https://images.pokemontcg.io/swsh3/6_hires.png,https://images.pokemontcg.io/swsh3/6.png,60,,"[{""name"": ""Seed Bomb"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Bite"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Seed Bomb|Bite,10|20,|,Fire:×2,,Colorless,,Mina Nakai,It's good at finding berries and gathers them from all over. It's kind enough to share them with friends.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh3-7,Simisage,Pokémon,Grass,Darkness Ablaze,7,Uncommon,https://images.pokemontcg.io/swsh3/7_hires.png,https://images.pokemontcg.io/swsh3/7.png,100,,"[{""name"": ""Seed Bomb"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": """"}, {""name"": ""Giga Impact"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""110"", ""text"": ""During your next turn, this Pokémon can't attack.""}]",Seed Bomb|Giga Impact,30|110,"|During your next turn, this Pokémon can't attack.",Fire:×2,,Colorless,Pansage,Hasegawa Saki,"Ill tempered, it fights by swinging its barbed tail around wildly. The leaf growing on its head is very bitter.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh3-8,Karrablast,Pokémon,Grass,Darkness Ablaze,8,Common,https://images.pokemontcg.io/swsh3/8_hires.png,https://images.pokemontcg.io/swsh3/8.png,60,,"[{""name"": ""Continuous Headbutt"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20×"", ""text"": ""Flip a coin until you get tails. This attack does 20 damage for each heads.""}]",Continuous Headbutt,20×,Flip a coin until you get tails. This attack does 20 damage for each heads.,Fire:×2,,Colorless,,Mizue,Its strange physiology reacts to electrical energy in interesting ways. The presence of a Shelmet will cause this Pokémon to evolve.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh3-9,Shelmet,Pokémon,Grass,Darkness Ablaze,9,Common,https://images.pokemontcg.io/swsh3/9_hires.png,https://images.pokemontcg.io/swsh3/9.png,70,,"[{""name"": ""Spray Fluid"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Spray Fluid,10,,Fire:×2,,Colorless__Colorless__Colorless,,Megumi Mizutani,"When attacked, it tightly shuts the lid of its shell. This reaction fails to protect it from Karrablast, however, because they can still get into the shell.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh3-10,Accelgor,Pokémon,Grass,Darkness Ablaze,10,Rare,https://images.pokemontcg.io/swsh3/10_hires.png,https://images.pokemontcg.io/swsh3/10.png,90,,"[{""name"": ""Jet Headbutt"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""70"", ""text"": """"}]",Jet Headbutt,70,,Fire:×2,,,Shelmet,Shigenori Negishi,It moves with blinding speed and lobs poison at foes. Featuring Accelgor as a main character is a surefire way to make a movie or comic popular.,,,,,,,,,,,,,,,,,,,,,,,,,
