Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex11-1,Beedrill δ,Pokémon,Grass__Metal,Delta Species,1,Rare Holo,https://images.pokemontcg.io/ex11/1_hires.png,https://images.pokemontcg.io/ex11/1.png,90,"[{""name"": ""Final Sting"", ""text"": ""Once during your turn (before your attack), you may Knock Out Beedrill. If you do, choose 1 of your opponent's Defending Pokémon. That Pokémon is now Paralyzed and Poisoned. Put 2 damage counters instead of 1 on that Pokémon between turns. This power can't be used if Beedrill is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Super Slash"", ""cost"": [""Grass"", ""Metal"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""If the Defending Pokémon is an Evolved Pokémon, this attack does 50 damage plus 30 more damage.""}]",Super Slash,50+,"If the Defending Pokémon is an Evolved Pokémon, this attack does 50 damage plus 30 more damage.",Fire:×2,,,Kakuna,Masakazu Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,ex11-2,Crobat δ,Pokémon,Grass__Metal,Delta Species,2,Rare Holo,https://images.pokemontcg.io/ex11/2_hires.png,https://images.pokemontcg.io/ex11/2.png,90,,"[{""name"": ""Radar Jam"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Your opponent can't play any Trainer cards (except for Supporter cards) from his or her hand during your opponent's next turn.""}, {""name"": ""Target Attack"", ""cost"": [""Grass"", ""Metal"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon. This attack does 40 damage to that Pokémon. If that Pokémon already has damage counters on it, this attack does 60 damage instead. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Radar Jam|Target Attack,30|,"Your opponent can't play any Trainer cards (except for Supporter cards) from his or her hand during your opponent's next turn.|Choose 1 of your opponent's Pokémon. This attack does 40 damage to that Pokémon. If that Pokémon already has damage counters on it, this attack does 60 damage instead. (Don't apply Weakness and Resistance for Benched Pokémon.)",Psychic:×2,,,Golbat,Ryo Ueda,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,ex11-3,Dragonite δ,Pokémon,Lightning__Metal,Delta Species,3,Rare Holo,https://images.pokemontcg.io/ex11/3_hires.png,https://images.pokemontcg.io/ex11/3.png,100,"[{""name"": ""Delta Charge"", ""text"": ""Once during your turn (before your attack), you may attach a Lightning Energy card from your discard pile to 1 of your Benched Pokémon. This power can't be used if Dragonite is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Agility"", ""cost"": [""Lightning"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, prevent all effects of an attack, including damage, done to Dragonite during your opponent's next turn.""}, {""name"": ""Heavy Impact"", ""cost"": [""Lightning"", ""Metal"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""70"", ""text"": """"}]",Agility|Heavy Impact,30|70,"Flip a coin. If heads, prevent all effects of an attack, including damage, done to Dragonite during your opponent's next turn.|",Colorless:×2,Grass:-30|Fighting:-30,Colorless__Colorless,Dragonair,Ryo Ueda,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,ex11-4,Espeon δ,Pokémon,Psychic__Metal,Delta Species,4,Rare Holo,https://images.pokemontcg.io/ex11/4_hires.png,https://images.pokemontcg.io/ex11/4.png,70,"[{""name"": ""Delta Heal"", ""text"": ""Once during your turn (before your attack), you may remove 1 damage counter from each of your Pokémon that has δ on its card. You can't use more than 1 Delta Heal Poké-Power each turn. This power can't be used if Espeon is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Psyshock"", ""cost"": [""Psychic"", ""Metal""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}]",Psyshock,30,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Psychic:×2,,Colorless,Eevee,Ryo Ueda,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,ex11-5,Flareon δ,Pokémon,Fire__Metal,Delta Species,5,Rare Holo,https://images.pokemontcg.io/ex11/5_hires.png,https://images.pokemontcg.io/ex11/5.png,70,,"[{""name"": ""Delta Search"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Search your deck for a Holon Energy card and attach it to Flareon. Shuffle your deck afterward.""}, {""name"": ""Return Burn"", ""cost"": [""Fire"", ""Metal"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""You may return an Energy card attached to Flareon to your hand. If you do, the Defending Pokémon is now Burned.""}]",Delta Search|Return Burn,10|50,"Search your deck for a Holon Energy card and attach it to Flareon. Shuffle your deck afterward.|You may return an Energy card attached to Flareon to your hand. If you do, the Defending Pokémon is now Burned.",Water:×2,,Colorless,Eevee,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,ex11-6,Gardevoir δ,Pokémon,Psychic__Metal,Delta Species,6,Rare Holo,https://images.pokemontcg.io/ex11/6_hires.png,https://images.pokemontcg.io/ex11/6.png,100,"[{""name"": ""Energy Jump"", ""text"": ""Once during your turn (before your attack), you may move an Energy card attached to 1 of your Pokémon to another of your Pokémon. This power can't be used if Gardevoir is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Psychic Rage"", ""cost"": [""Metal"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon. This attack does 10 damage for each damage counter on Gardevoir to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Black Magic"", ""cost"": [""Psychic"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""10+"", ""text"": ""Does 10 damage plus 20 more damage times the number of your opponent's Benched Pokémon.""}]",Psychic Rage|Black Magic,|10+,Choose 1 of your opponent's Pokémon. This attack does 10 damage for each damage counter on Gardevoir to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|Does 10 damage plus 20 more damage times the number of your opponent's Benched Pokémon.,Psychic:×2,,Colorless__Colorless,Kirlia,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,ex11-7,Jolteon δ,Pokémon,Lightning__Metal,Delta Species,7,Rare Holo,https://images.pokemontcg.io/ex11/7_hires.png,https://images.pokemontcg.io/ex11/7.png,70,,"[{""name"": ""Delta Search"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Search your deck for a Holon Energy card and attach it to Jolteon. Shuffle your deck afterward.""}, {""name"": ""Return Spark"", ""cost"": [""Lightning"", ""Metal"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""You may return an Energy card attached to Jolteon to your hand. If you do, this attack does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Delta Search|Return Spark,10|50,"Search your deck for a Holon Energy card and attach it to Jolteon. Shuffle your deck afterward.|You may return an Energy card attached to Jolteon to your hand. If you do, this attack does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fighting:×2,Metal:-30,Colorless,Eevee,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,ex11-8,Latias δ,Pokémon,Lightning__Metal,Delta Species,8,Rare Holo,https://images.pokemontcg.io/ex11/8_hires.png,https://images.pokemontcg.io/ex11/8.png,70,"[{""name"": ""Delta Aura"", ""text"": ""If you have Latios or Latios ex in play, the attack cost of Latias's Extra Crush is now Lightning MetalColorless."", ""type"": ""Poké-Body""}]","[{""name"": ""Spiral Drain"", ""cost"": [""Metal"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Remove 2 damage counters fro Latias.""}, {""name"": ""Extra Crush"", ""cost"": [""Lightning"", ""Metal"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 5, ""damage"": ""80"", ""text"": ""If your opponent has no Pokémon-ex in play, this attack does nothing.""}]",Spiral Drain|Extra Crush,20|80,"Remove 2 damage counters fro Latias.|If your opponent has no Pokémon-ex in play, this attack does nothing.",Colorless:×2,Psychic:-30|Fighting:-30,Colorless,,Ryo Ueda,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,ex11-9,Latios δ,Pokémon,Lightning__Metal,Delta Species,9,Rare Holo,https://images.pokemontcg.io/ex11/9_hires.png,https://images.pokemontcg.io/ex11/9.png,80,"[{""name"": ""Delta Aura"", ""text"": ""If you have Latias or Latias ex in play, the attack cost of Latios's Psychic Force is now Lightning MetalColorless."", ""type"": ""Poké-Body""}]","[{""name"": ""Dragon Claw"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}, {""name"": ""Psychic Force"", ""cost"": [""Lightning"", ""Metal"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 5, ""damage"": ""80"", ""text"": ""If your opponent has no Stage 2 Evolved Pokémon in play, this attack does nothing.""}]",Dragon Claw|Psychic Force,20|80,"|If your opponent has no Stage 2 Evolved Pokémon in play, this attack does nothing.",Colorless:×2,Grass:-30|Fighting:-30,Colorless__Colorless,,Ryo Ueda,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,ex11-10,Marowak δ,Pokémon,Fighting__Metal,Delta Species,10,Rare Holo,https://images.pokemontcg.io/ex11/10_hires.png,https://images.pokemontcg.io/ex11/10.png,80,,"[{""name"": ""Energy Bone"", ""cost"": [""Fighting"", ""Metal""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Choose a number of your opponent's Pokémon up to the amount of Energy attached to Marowak. This attack does 20 damage to each of them.""}, {""name"": ""Metal Crusher"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""If the Defending Pokémon is Metal Pokémon, this attack's base damage is 90.""}]",Energy Bone|Metal Crusher,|50,"Choose a number of your opponent's Pokémon up to the amount of Energy attached to Marowak. This attack does 20 damage to each of them.|If the Defending Pokémon is Metal Pokémon, this attack's base damage is 90.",Grass:×2,,Colorless,Cubone,Hajime Kusajima,,,,,,,,,,,,,,,,,,,,,,,,,,
