Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex8-1,Altaria,Pokémon,Colorless,Deoxys,1,Rare Holo,https://images.pokemontcg.io/ex8/1_hires.png,https://images.pokemontcg.io/ex8/1.png,70,"[{""name"": ""Safeguard"", ""text"": ""Prevent all effects of attacks, including damage, done to Altaria by your opponent's Pokémon-ex."", ""type"": ""Poké-Body""}]","[{""name"": ""Double Wing Attack"", ""cost"": [""Lightning""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Does 20 Damage to each Defending Pokémon.""}, {""name"": ""Dive"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Double Wing Attack|Dive,|50,Does 20 Damage to each Defending Pokémon.|,Lightning:×2,Fighting:-30,Colorless,Swablu,Kyoko Umemoto,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,ex8-2,Beautifly,Pokémon,Grass,Deoxys,2,Rare Holo,https://images.pokemontcg.io/ex8/2_hires.png,https://images.pokemontcg.io/ex8/2.png,100,"[{""name"": ""Hunch"", ""text"": ""As long as Beautifly's remaining HP is 40 or less, Beautifly does 40 more damage to the Defending Pokémon (before applying Weakness and Resistance)."", ""type"": ""Poké-Body""}]","[{""name"": ""Luring Antenna"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Before doing damage, you may choose 1 of your opponent's Benched Pokémon and switch it with 1 of the Defending Pokémon. If you do, this attack does 20 damage to the new Defending Pokémon. Your opponent chooses the Defending Pokémon to switch.""}, {""name"": ""Cutting Wind"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Luring Antenna|Cutting Wind,20|50,"Before doing damage, you may choose 1 of your opponent's Benched Pokémon and switch it with 1 of the Defending Pokémon. If you do, this attack does 20 damage to the new Defending Pokémon. Your opponent chooses the Defending Pokémon to switch.|",Fire:×2,,Colorless,Silcoon,Kagemaru Himeno,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,ex8-3,Breloom,Pokémon,Fighting,Deoxys,3,Rare Holo,https://images.pokemontcg.io/ex8/3_hires.png,https://images.pokemontcg.io/ex8/3.png,80,,"[{""name"": ""Leaf Poison"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""If Breloom has any Grass Energy attached to it, the Defending Pokémon is now Poisoned.""}, {""name"": ""Hustle Punch"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70-"", ""text"": ""During your next turn, Hustle Punch attack's base damage is 50 instead of 70.""}]",Leaf Poison|Hustle Punch,20|70-,"If Breloom has any Grass Energy attached to it, the Defending Pokémon is now Poisoned.|During your next turn, Hustle Punch attack's base damage is 50 instead of 70.",Psychic:×2,,Colorless,Shroomish,Hajime Kusajima,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,ex8-4,Camerupt,Pokémon,Fire,Deoxys,4,Rare Holo,https://images.pokemontcg.io/ex8/4_hires.png,https://images.pokemontcg.io/ex8/4.png,90,,"[{""name"": ""Back Burner"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your discard pile for up to 2 basic Energy cards and attach them to your Pokémon in any way you like.""}, {""name"": ""Split Bomb"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""Choose 2 of your opponent's Pokémon. This attack does 30 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Back Burner|Split Bomb,|,Search your discard pile for up to 2 basic Energy cards and attach them to your Pokémon in any way you like.|Choose 2 of your opponent's Pokémon. This attack does 30 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokémon.),Water:×2,,Colorless__Colorless,Numel,Tomokazu Komiya,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,ex8-5,Claydol,Pokémon,Fighting,Deoxys,5,Rare Holo,https://images.pokemontcg.io/ex8/5_hires.png,https://images.pokemontcg.io/ex8/5.png,80,"[{""name"": ""Psychic Trace"", ""text"": ""Once during your turn (before your attack), if Claydol is your Active Pokémon, you may shuffle your hand into your deck. Then, draw a number of cards equal to the number of cards in your opponent's hand. This power can't be used if Claydol is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Ancient Mantra"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""If Claydol has any Psychic Energy attached to it, the Defending Pokémon is now Confused. If Claydol has any Fighting Energy attached to it, this attack does 20 damage plus 20 more damage.""}]",Ancient Mantra,20+,"If Claydol has any Psychic Energy attached to it, the Defending Pokémon is now Confused. If Claydol has any Fighting Energy attached to it, this attack does 20 damage plus 20 more damage.",Water:×2,,Colorless,Baltoy,Hajime Kusajima,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,ex8-6,Crawdaunt,Pokémon,Darkness,Deoxys,6,Rare Holo,https://images.pokemontcg.io/ex8/6_hires.png,https://images.pokemontcg.io/ex8/6.png,70,"[{""name"": ""Dark Protection"", ""text"": ""Any damage done to Crawdaunt by your opponent's attacks is reduced by 10 for each Darkness Energy attached to Crawdaunt (after applying Weakness and Resistance). You can't reduce more than 20 damage in this way."", ""type"": ""Poké-Body""}]","[{""name"": ""Bubblebeam"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}, {""name"": ""Cross-Cut"", ""cost"": [""Darkness"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""If the Defending Pokémon is an Evolved Pokémon, this attack does 40 damage plus 20 more damage.""}]",Bubblebeam|Cross-Cut,20|40+,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.|If the Defending Pokémon is an Evolved Pokémon, this attack does 40 damage plus 20 more damage.",Grass:×2,Psychic:-30,Colorless,Corphish,Tomoko Wakai,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,ex8-7,Dusclops,Pokémon,Psychic,Deoxys,7,Rare Holo,https://images.pokemontcg.io/ex8/7_hires.png,https://images.pokemontcg.io/ex8/7.png,70,,"[{""name"": ""Psychic Removal"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Flip 2 coins. If both of them are heads, discard all Energy attached to the Defending Pokémon.""}, {""name"": ""Powerful Hand"", ""cost"": [""Psychic"", ""Psychic"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""Count the number of cards in your hand. Put that many damage counters on the Defending Pokémon. You can't put more than 7 damage counters in this way.""}]",Psychic Removal|Powerful Hand,20|,"Flip 2 coins. If both of them are heads, discard all Energy attached to the Defending Pokémon.|Count the number of cards in your hand. Put that many damage counters on the Defending Pokémon. You can't put more than 7 damage counters in this way.",Darkness:×2,Fighting:-30,Colorless,Duskull,Tomoko Wakai,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,ex8-8,Gyarados,Pokémon,Water,Deoxys,8,Rare Holo,https://images.pokemontcg.io/ex8/8_hires.png,https://images.pokemontcg.io/ex8/8.png,90,,"[{""name"": ""Dragon Spark"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""This attack does 10 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Full Retaliation"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20×"", ""text"": ""Does 20 damage times the number of damage counters on all of your Magikarp.""}, {""name"": ""Pulverize"", ""cost"": [""Water"", ""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""50+"", ""text"": ""If the Defending Pokémon already has at least 2 damage counters on it, this attack does 50 damage plus 50 more damage.""}]",Dragon Spark|Full Retaliation|Pulverize,|20×|50+,"This attack does 10 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|Does 20 damage times the number of damage counters on all of your Magikarp.|If the Defending Pokémon already has at least 2 damage counters on it, this attack does 50 damage plus 50 more damage.",Lightning:×2,,Colorless__Colorless,Magikarp,Hisao Nakamura,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,ex8-9,Jirachi,Pokémon,Metal,Deoxys,9,Rare Holo,https://images.pokemontcg.io/ex8/9_hires.png,https://images.pokemontcg.io/ex8/9.png,60,"[{""name"": ""Wishing Star"", ""text"": ""Once during your turn (before your attack), if Jirachi is your Active Pokémon, you may look at the top 5 cards of your deck, choose 1 of them, and put it into your hand. Shuffle your deck afterward. Jirachi and your other Active Pokémon, if any, are now Asleep. This power can't be used if Jirachi is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Metallic Blow"", ""cost"": [""Metal"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""If the Defending Pokémon has any Poké-Bodies, this attack does 20 damage plus 30 more damage.""}]",Metallic Blow,20+,"If the Defending Pokémon has any Poké-Bodies, this attack does 20 damage plus 30 more damage.",Fire:×2,Grass:-30,Colorless,,Sumiyoshi Kizuki,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,ex8-10,Ludicolo,Pokémon,Water,Deoxys,10,Rare Holo,https://images.pokemontcg.io/ex8/10_hires.png,https://images.pokemontcg.io/ex8/10.png,100,"[{""name"": ""Swing Dance"", ""text"": ""Once during your turn (before your attack), you may draw a card. This power can't be used if Ludicolo is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Healing Steps"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""You may discard as many cards as you like from your hand. If you do, remove that many damage counters from Ludicolo.""}, {""name"": ""Circular Steps"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""10×"", ""text"": ""Does 10 damage times the number of Pokémon in play (both yours and your opponent's), excluding Ludicolo.""}]",Healing Steps|Circular Steps,30|10×,"You may discard as many cards as you like from your hand. If you do, remove that many damage counters from Ludicolo.|Does 10 damage times the number of Pokémon in play (both yours and your opponent's), excluding Ludicolo.",Lightning:×2,,Colorless__Colorless,Lombre,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
