Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv10-1,Ethan's Pinsir,Pokémon,Grass,Destined Rivals,1,Uncommon,https://images.pokemontcg.io/sv10/1_hires.png,https://images.pokemontcg.io/sv10/1.png,120,,"[{""name"": ""Vise Grip"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Rallying Horn"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70+"", ""text"": ""If any of your Ethan's Pokémon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 100 more damage.""}]",Vise Grip|Rallying Horn,20|70+,"|If any of your Ethan's Pokémon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 100 more damage.",Fire:×2,,Colorless__Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv10-2,Yanma,Pokémon,Grass,Destined Rivals,2,Common,https://images.pokemontcg.io/sv10/2_hires.png,https://images.pokemontcg.io/sv10/2.png,70,,"[{""name"": ""Whirlwind"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)""}, {""name"": ""Razor Wing"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Whirlwind|Razor Wing,|30,Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)|,Lightning:×2,Fighting:-30,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv10-3,Yanmega ex,Pokémon,Grass,Destined Rivals,3,Double Rare,https://images.pokemontcg.io/sv10/3_hires.png,https://images.pokemontcg.io/sv10/3.png,280,"[{""name"": ""Buzzing Boost"", ""text"": ""Once during your turn, when this Pokémon moves from your Bench to the Active Spot, you may search your deck for up to 3 Basic Grass Energy cards and attach them to this Pokémon. Then, shuffle your deck."", ""type"": ""Ability""}]","[{""name"": ""Jet Cyclone"", ""cost"": [""Grass"", ""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""210"", ""text"": ""Move 3 Energy from this Pokémon to 1 of your Benched Pokémon.""}]",Jet Cyclone,210,Move 3 Energy from this Pokémon to 1 of your Benched Pokémon.,Lightning:×2,Fighting:-30,Colorless,Yanma,,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv10-4,Pineco,Pokémon,Grass,Destined Rivals,4,Common,https://images.pokemontcg.io/sv10/4_hires.png,https://images.pokemontcg.io/sv10/4.png,70,,"[{""name"": ""Hang Down"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Hang Down,10,,Fire:×2,,Colorless__Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv10-5,Shroomish,Pokémon,Grass,Destined Rivals,5,Common,https://images.pokemontcg.io/sv10/5_hires.png,https://images.pokemontcg.io/sv10/5.png,60,,"[{""name"": ""Rolling Tackle"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Rolling Tackle,30,,Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv10-6,Breloom,Pokémon,Grass,Destined Rivals,6,Common,https://images.pokemontcg.io/sv10/6_hires.png,https://images.pokemontcg.io/sv10/6.png,120,,"[{""name"": ""Damage Rush"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""Flip a coin until you get tails. This attack does 50 more damage for each heads.""}, {""name"": ""Mega Drain"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""90"", ""text"": ""Heal 30 damage from this Pokémon.""}]",Damage Rush|Mega Drain,30+|90,Flip a coin until you get tails. This attack does 50 more damage for each heads.|Heal 30 damage from this Pokémon.,Fire:×2,,Colorless__Colorless,Shroomish,,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv10-7,Cynthia's Roselia,Pokémon,Grass,Destined Rivals,7,Common,https://images.pokemontcg.io/sv10/7_hires.png,https://images.pokemontcg.io/sv10/7.png,70,,"[{""name"": ""Spike Sting"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Spike Sting,20,,Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv10-8,Cynthia's Roserade,Pokémon,Grass,Destined Rivals,8,Rare,https://images.pokemontcg.io/sv10/8_hires.png,https://images.pokemontcg.io/sv10/8.png,130,"[{""name"": ""Cheer On to Glory"", ""text"": ""Attacks used by your Cynthia's Pokémon do 30 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance)."", ""type"": ""Ability""}]","[{""name"": ""Leaf Step"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": """"}]",Leaf Step,80,,Fire:×2,,Colorless,Cynthia's Roselia,,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv10-9,Mow Rotom,Pokémon,Grass,Destined Rivals,9,Common,https://images.pokemontcg.io/sv10/9_hires.png,https://images.pokemontcg.io/sv10/9.png,70,,"[{""name"": ""Trimming Mower"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Discard a Stadium in play.""}, {""name"": ""Gadget Show"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30×"", ""text"": ""This attack does 30 damage for each Pokémon Tool attached to all of your Pokémon.""}]",Trimming Mower|Gadget Show,20|30×,Discard a Stadium in play.|This attack does 30 damage for each Pokémon Tool attached to all of your Pokémon.,Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv10-10,Shaymin,Pokémon,Grass,Destined Rivals,10,Uncommon,https://images.pokemontcg.io/sv10/10_hires.png,https://images.pokemontcg.io/sv10/10.png,80,"[{""name"": ""Flower Curtain"", ""text"": ""Prevent all damage done to your Benched Pokémon that don't have a Rule Box by attacks from your opponent's Pokémon. (Pokémon ex, Pokémon V, etc. have Rule Boxes.)"", ""type"": ""Ability""}]","[{""name"": ""Smash Kick"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Smash Kick,30,,Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
