Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,det1-1,Bulbasaur,Pokémon,Grass,Detective Pikachu,1,Common,https://images.pokemontcg.io/det1/1_hires.png,https://images.pokemontcg.io/det1/1.png,60,,"[{""name"": ""Find a Friend"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Grass Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.""}]",Find a Friend,,"Search your deck for a Grass Pokémon, reveal it, and put it into your hand. Then, shuffle your deck.",Fire:×2,,Colorless,,MPC Film,A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,det1-2,Ludicolo,Pokémon,Grass,Detective Pikachu,2,Rare,https://images.pokemontcg.io/det1/2_hires.png,https://images.pokemontcg.io/det1/2.png,140,"[{""name"": ""Table Service"", ""text"": ""Once during your turn (before your attack), you may heal 30 damage from 1 of your Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Punch and Run"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": ""Switch this Pokémon with 1 of your Benched Pokémon.""}]",Punch and Run,70,Switch this Pokémon with 1 of your Benched Pokémon.,Fire:×2,,Colorless__Colorless__Colorless,Lombre,Framestore,"If it hears festive music, all its muscles fill with energy. It can't help breaking out into a dance.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,det1-3,Morelull,Pokémon,Grass,Detective Pikachu,3,Common,https://images.pokemontcg.io/det1/3_hires.png,https://images.pokemontcg.io/det1/3.png,50,,"[{""name"": ""Sleep Spore"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Your opponent's Active Pokémon is now Asleep.""}]",Sleep Spore,10,Your opponent's Active Pokémon is now Asleep.,Fire:×2,,Colorless,,MPC Film,"It scatters its shining spores around itself. Even though they're dangerous, nighttime tours of forests where Morelull live are popular.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,det1-4,Charmander,Pokémon,Fire,Detective Pikachu,4,Common,https://images.pokemontcg.io/det1/4_hires.png,https://images.pokemontcg.io/det1/4.png,60,,"[{""name"": ""Reckless Charge"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""This Pokémon does 10 damage to itself.""}]",Reckless Charge,20,This Pokémon does 10 damage to itself.,Water:×2,,Colorless,,MPC Film,"The flame on its tail indicates Charmander's life force. If it is healthy, the flame burns brightly.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,det1-5,Charizard,Pokémon,Fire,Detective Pikachu,5,Rare Ultra,https://images.pokemontcg.io/det1/5_hires.png,https://images.pokemontcg.io/det1/5.png,180,,"[{""name"": ""Slash"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": """"}, {""name"": ""Wild Tackle"", ""cost"": [""Fire"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""180"", ""text"": ""This Pokémon does 50 damage to itself.""}]",Slash|Wild Tackle,70|180,|This Pokémon does 50 damage to itself.,Water:×2,,Colorless__Colorless__Colorless,Charmeleon,Framestore,"When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,det1-6,Arcanine,Pokémon,Fire,Detective Pikachu,6,Rare,https://images.pokemontcg.io/det1/6_hires.png,https://images.pokemontcg.io/det1/6.png,120,"[{""name"": ""Security Guard"", ""text"": ""As long as this Pokémon is your Active Pokémon, all of your Pokémon take 30 less damage from your opponent's attacks (after applying Weakness and Resistance)."", ""type"": ""Ability""}]","[{""name"": ""Sharp Fang"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""90"", ""text"": """"}]",Sharp Fang,90,,Water:×2,,Colorless__Colorless__Colorless,Growlithe,MPC Film,Legends tell of its fighting alongside a general and conquering a whole country.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,det1-7,Psyduck,Pokémon,Water,Detective Pikachu,7,Common,https://images.pokemontcg.io/det1/7_hires.png,https://images.pokemontcg.io/det1/7.png,80,,"[{""name"": ""Panic"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""This Pokémon is now Confused.""}]",Panic,10,This Pokémon is now Confused.,Grass:×2,,Colorless__Colorless__Colorless,,Framestore,"Using psychokinesis gives it a headache, so it normally passes the time spacing out and doing as little as possible.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,det1-8,Magikarp,Pokémon,Water,Detective Pikachu,8,Common,https://images.pokemontcg.io/det1/8_hires.png,https://images.pokemontcg.io/det1/8.png,30,,"[{""name"": ""Hold Still"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal 10 damage from this Pokémon.""}]",Hold Still,,Heal 10 damage from this Pokémon.,Lightning:×2,,Colorless,,Framestore,"In the distant past, they were fairly strong, but they have become gradually weaker over time.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,det1-9,Greninja,Pokémon,Water,Detective Pikachu,9,Rare Ultra,https://images.pokemontcg.io/det1/9_hires.png,https://images.pokemontcg.io/det1/9.png,140,"[{""name"": ""Evasion Jutsu"", ""text"": ""If any damage is done to this Pokémon by attacks, flip a coin. If heads, prevent that damage."", ""type"": ""Ability""}]","[{""name"": ""Furious Shurikens"", ""cost"": [""Water"", ""Water""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""This attack does 50 damage to 2 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Furious Shurikens,,This attack does 50 damage to 2 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Grass:×2,,Colorless,Frogadier,MPC Film,"It creates throwing stars out of compressed water. When it spins them and throws them at high speed, these stars can split metal in two.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,det1-10,Detective Pikachu,Pokémon,Lightning,Detective Pikachu,10,Rare,https://images.pokemontcg.io/det1/10_hires.png,https://images.pokemontcg.io/det1/10.png,90,,"[{""name"": ""Scout"", ""cost"": [""Lightning""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent reveals their hand.""}, {""name"": ""Surprise Attack"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": ""Flip a coin. If tails, this attack does nothing.""}]",Scout|Surprise Attack,|80,"Your opponent reveals their hand.|Flip a coin. If tails, this attack does nothing.",Fighting:×2,Metal:-20,Colorless__Colorless,,MPC Film,He loves to show off his vast knowledge. This expressive Pikachu is like a middle-aged man.,,,,,,,,,,,,,,,,,,,,,,,,,
