Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,dp1-1,Dialga,Pokémon,Metal,Diamond & Pearl,1,Rare Holo,https://images.pokemontcg.io/dp1/1_hires.png,https://images.pokemontcg.io/dp1/1.png,90,,"[{""name"": ""Time Bellow"", ""cost"": [""Metal""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Draw a card.""}, {""name"": ""Flash Cannon"", ""cost"": [""Metal"", ""Metal"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""You may return all Energy cards attached to Dialga to your hand. If you do, remove the highest Stage Evolution card from the Defending Pokémon and shuffle that card into your opponent's deck.""}]",Time Bellow|Flash Cannon,10|40,"Draw a card.|You may return all Energy cards attached to Dialga to your hand. If you do, remove the highest Stage Evolution card from the Defending Pokémon and shuffle that card into your opponent's deck.",Fire:+20,Psychic:-20,Colorless__Colorless,,Nakaoka,It has the power to control time. It appears in Sinnoh-region myths as an ancient deity.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,dp1-2,Dusknoir,Pokémon,Psychic,Diamond & Pearl,2,Rare Holo,https://images.pokemontcg.io/dp1/2_hires.png,https://images.pokemontcg.io/dp1/2.png,120,"[{""name"": ""Dark Palm"", ""text"": ""Once during your turn (before your attack), if your opponent has 4 or more Benched Pokémon, you may choose 1 of them and shuffle that Pokémon and all cards attached to it into his or her deck. This power can't be used if Dusknoir if affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Hard Feelings"", ""cost"": [""Psychic"", ""Psychic"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""Put 5 damage counters on the Defending Pokémon. Then, count the number of Prize cards your opponent has taken and put that many damage counters on the Defending Pokémon.""}]",Hard Feelings,,"Put 5 damage counters on the Defending Pokémon. Then, count the number of Prize cards your opponent has taken and put that many damage counters on the Defending Pokémon.",Darkness:+30,Colorless:-20,Colorless__Colorless__Colorless,Dusclops,Takabon,The antenna on its head captures radio waves from the world of spirits that command it to take people there.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,dp1-3,Electivire,Pokémon,Lightning,Diamond & Pearl,3,Rare Holo,https://images.pokemontcg.io/dp1/3_hires.png,https://images.pokemontcg.io/dp1/3.png,100,"[{""name"": ""Intense Voltage"", ""text"": ""As often as you like during your turn (before your attack), if Elekid is anywhere under Electivire, you may move a Lightning Energy attached to your Pokémon to Electivire. This power can't be used if Electivire is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Giga Impact"", ""cost"": [""Lightning"", ""Lightning"", ""Lightning"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""60"", ""text"": ""You may discard all Lightning Energy attached to Electivire. If you do, this attack's base damage is 120 instead of 60.""}]",Giga Impact,60,"You may discard all Lightning Energy attached to Electivire. If you do, this attack's base damage is 120 instead of 60.",Fighting:+20,Metal:-20,Colorless__Colorless__Colorless,Electabuzz,Nakaoka,"It pushes the tips of its two tails against the foe, then lets loose with over 20,000 volts of power.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,dp1-4,Empoleon,Pokémon,Water,Diamond & Pearl,4,Rare Holo,https://images.pokemontcg.io/dp1/4_hires.png,https://images.pokemontcg.io/dp1/4.png,130,,"[{""name"": ""Ice Blade"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon. This attack does 40 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Aqua Jet"", ""cost"": [""Water"", ""Water"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": ""Flip a coin. If heads, this attack does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Ice Blade|Aqua Jet,|70,"Choose 1 of your opponent's Pokémon. This attack does 40 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|Flip a coin. If heads, this attack does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Lightning:+30,,Colorless__Colorless,Prinplup,Nakaoka,The three horns that extend from its beak attest to its power. The leader has the biggest horns.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,dp1-5,Infernape,Pokémon,Fire,Diamond & Pearl,5,Rare Holo,https://images.pokemontcg.io/dp1/5_hires.png,https://images.pokemontcg.io/dp1/5.png,100,,"[{""name"": ""Meteor Punch"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""30×"", ""text"": ""Flip a coin until you get tails. This attack does 30 damage times the number of heads.""}, {""name"": ""Flare Blitz"", ""cost"": [""Fire"", ""Fire""], ""convertedEnergyCost"": 2, ""damage"": ""90"", ""text"": ""Discard all Fire Energy attached to Infernape.""}]",Meteor Punch|Flare Blitz,30×|90,Flip a coin until you get tails. This attack does 30 damage times the number of heads.|Discard all Fire Energy attached to Infernape.,Water:+30,,,Monferno,Nakaoka,It uses a special kind of martial arts involving all its limbs. Its fire never goes out.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,dp1-6,Lucario,Pokémon,Fighting,Diamond & Pearl,6,Rare Holo,https://images.pokemontcg.io/dp1/6_hires.png,https://images.pokemontcg.io/dp1/6.png,90,,"[{""name"": ""Feint"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""This attack's damage isn't affected by Resistance.""}, {""name"": ""Aura Sphere"", ""cost"": [""Fighting"", ""Fighting""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""Does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Feint|Aura Sphere,30|40,This attack's damage isn't affected by Resistance.|Does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Psychic:+20,,Colorless,Riolu,Ken Sugimori,It has the ability to sense the auras of all things. It understands human speech.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,dp1-7,Luxray,Pokémon,Lightning,Diamond & Pearl,7,Rare Holo,https://images.pokemontcg.io/dp1/7_hires.png,https://images.pokemontcg.io/dp1/7.png,120,"[{""name"": ""Gleam Eyes"", ""text"": ""Once during your turn, when you play Luxray from your hand to evolve 1 of your Pokémon, you may look at your opponent's hand. If your opponent's Bench isn't full, choose 1 Basic Pokémon from your opponent's hand, and put it onto his or her Bench. Then, switch it with the Defending Pokémon."", ""type"": ""Poké-Power""}]","[{""name"": ""Lightning Star"", ""cost"": [""Lightning"", ""Lightning"", ""Lightning"", ""Lightning""], ""convertedEnergyCost"": 4, ""damage"": ""80"", ""text"": ""Move all Lightning Energy attached to Luxray to 1 of your Benched Pokémon. (Ignore this effect if you don't have any Benched Pokémon.)""}]",Lightning Star,80,Move all Lightning Energy attached to Luxray to 1 of your Benched Pokémon. (Ignore this effect if you don't have any Benched Pokémon.),Fighting:+30,Metal:-20,Colorless,Luxio,Mikiko Takeda,It has eyes that can see through anything. It spots and captures prey hiding behind objects.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,dp1-8,Magnezone,Pokémon,Metal,Diamond & Pearl,8,Rare Holo,https://images.pokemontcg.io/dp1/8_hires.png,https://images.pokemontcg.io/dp1/8.png,120,"[{""name"": ""Magnetize"", ""text"": ""If you have any Metal Energy attached to your Active Pokémon, the Retreat Cost for that Pokémon is 0."", ""type"": ""Poké-Body""}]","[{""name"": ""Metal Blast"", ""cost"": [""Metal"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""Does 50 damage plus 10 more damage for each Metal Energy attached to Magnezone.""}]",Metal Blast,50+,Does 50 damage plus 10 more damage for each Metal Energy attached to Magnezone.,Fire:+30,Psychic:-20,Colorless__Colorless__Colorless__Colorless,Magneton,Nakaoka,It evolved from exposure to a special magnetic field. Three units generate magnetism.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,dp1-9,Manaphy,Pokémon,Water,Diamond & Pearl,9,Rare Holo,https://images.pokemontcg.io/dp1/9_hires.png,https://images.pokemontcg.io/dp1/9.png,70,,"[{""name"": ""Call for Family"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Basic Pokémon and put it onto your Bench. Shuffle your deck afterward.""}, {""name"": ""Aqua Ring"", ""cost"": [""Water"", ""Water""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Switch Manaphy with 1 of your Benched Pokémon.""}]",Call for Family|Aqua Ring,|30,Search your deck for a Basic Pokémon and put it onto your Bench. Shuffle your deck afterward.|Switch Manaphy with 1 of your Benched Pokémon.,Lightning:+20,,Colorless,,Nakaoka,"Born on a cold seafloor, it will swim great distances to return to its birthplace.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,dp1-10,Mismagius,Pokémon,Psychic,Diamond & Pearl,10,Rare Holo,https://images.pokemontcg.io/dp1/10_hires.png,https://images.pokemontcg.io/dp1/10.png,90,,"[{""name"": ""Avenge"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Count the number of your Pokémon that have any damage counters on them. Put that many damage counters on the Defending Pokémon.""}, {""name"": ""Psywave"", ""cost"": [""Psychic"", ""Psychic"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30+"", ""text"": ""Does 30 damage plus 20 more damage for each Energy attached to the Defending Pokémon.""}]",Avenge|Psywave,|30+,Count the number of your Pokémon that have any damage counters on them. Put that many damage counters on the Defending Pokémon.|Does 30 damage plus 20 more damage for each Energy attached to the Defending Pokémon.,Darkness:+20,Colorless:-20,Colorless,Misdreavus,Mikiko Takeda,Its cries sound like incantations. Those hearing it are tormented by headaches and hallucinations.,,,,,,,,,,,,,,,,,,,,,,,,,
