Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,dc1-1,Team Magma's Numel,Pokémon,Fire,Double Crisis,1,Common,https://images.pokemontcg.io/dc1/1_hires.png,https://images.pokemontcg.io/dc1/1.png,70,,"[{""name"": ""Ember"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Discard an Energy attached to this Pokémon.""}]",Ember,30,Discard an Energy attached to this Pokémon.,Water:×2,,Colorless__Colorless,,Akira Komayama,"No matter how heavy the cargo, we can transport it to our destination with ease, thanks to Numel.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,dc1-2,Team Magma's Camerupt,Pokémon,Fire,Double Crisis,2,Rare Holo,https://images.pokemontcg.io/dc1/2_hires.png,https://images.pokemontcg.io/dc1/2.png,110,"[{""name"": ""Burning Draft"", ""text"": ""Once during your turn (before your attack), you may attach a Fighting or Fire Energy card from your discard pile to this Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Flame Ball"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Move a basic Energy from this Pokémon to 1 of your Benched Pokémon.""}]",Flame Ball,60,Move a basic Energy from this Pokémon to 1 of your Benched Pokémon.,Water:×2,,Colorless__Colorless__Colorless,Team Magma's Numel,Shin Nagasawa,"Camerupt, with its strength against fire, played a big role in rescuing team members.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,dc1-3,Team Aqua's Spheal,Pokémon,Water,Double Crisis,3,Common,https://images.pokemontcg.io/dc1/3_hires.png,https://images.pokemontcg.io/dc1/3.png,60,,"[{""name"": ""Water Gun"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Water Gun,10,,Metal:×2,,Colorless__Colorless,,Sanosuke Sakuma,Spheal's Water Gun can put out any fire. Flames used by opponents have no effect!,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,dc1-4,Team Aqua's Sealeo,Pokémon,Water,Double Crisis,4,Common,https://images.pokemontcg.io/dc1/4_hires.png,https://images.pokemontcg.io/dc1/4.png,90,,"[{""name"": ""Splatter"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""This attack does 20 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Hail Storm"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60+"", ""text"": ""If your opponent's Active Pokémon is a Team Magma Pokémon, this attack does 60 more damage.""}]",Splatter|Hail Storm,|60+,"This attack does 20 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|If your opponent's Active Pokémon is a Team Magma Pokémon, this attack does 60 more damage.",Metal:×2,,Colorless__Colorless__Colorless,Team Aqua's Spheal,Naoki Saito,It provides support by making paths of ice. It can win any battle as long as it's on ice.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,dc1-5,Team Aqua's Walrein,Pokémon,Water,Double Crisis,5,Rare Holo,https://images.pokemontcg.io/dc1/5_hires.png,https://images.pokemontcg.io/dc1/5.png,140,,"[{""name"": ""Power Blow"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""30×"", ""text"": ""This attack does 30 damage times the amount of Energy attached to this Pokémon.""}, {""name"": ""Dual Blizzard"", ""cost"": [""Water"", ""Water"", ""Water"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": """", ""text"": ""Discard 2 Water Energy attached to this Pokémon. This attack does 80 damage to 2 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Power Blow|Dual Blizzard,30×|,This attack does 30 damage times the amount of Energy attached to this Pokémon.|Discard 2 Water Energy attached to this Pokémon. This attack does 80 damage to 2 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Metal:×2,,Colorless__Colorless__Colorless__Colorless,Team Aqua's Sealeo,Hitoshi Ariga,"It's good at attacks that freeze opponents with a powerful cold snap. Then, it pulverizes a frozen foe with its sharp tusks!",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,dc1-6,Team Aqua's Kyogre-EX,Pokémon,Water,Double Crisis,6,Rare Ultra,https://images.pokemontcg.io/dc1/6_hires.png,https://images.pokemontcg.io/dc1/6.png,190,"[{""name"": ""Power Saver"", ""text"": ""If there are 4 or fewer Team Aqua Pokémon in play, this Pokémon can't attack."", ""type"": ""Ability""}]","[{""name"": ""Aqua Impact"", ""cost"": [""Water"", ""Water"", ""Water"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80+"", ""text"": ""This attack does 20 more damage for each Colorless in your opponent's Active Pokémon's Retreat Cost.""}]",Aqua Impact,80+,This attack does 20 more damage for each Colorless in your opponent's Active Pokémon's Retreat Cost.,Grass:×2,,Colorless__Colorless__Colorless__Colorless,,nagimiso,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,dc1-7,Team Aqua's Grimer,Pokémon,Psychic,Double Crisis,7,Common,https://images.pokemontcg.io/dc1/7_hires.png,https://images.pokemontcg.io/dc1/7.png,70,,"[{""name"": ""Pound"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Mud-Slap"", ""cost"": [""Psychic"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": """"}]",Pound|Mud-Slap,10|30,|,Psychic:×2,,Colorless__Colorless,,kawayoo,"Its flexible body, which allows it to squeeze into any cracks, comes in handy when invading enemy hideouts.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,dc1-8,Team Aqua's Muk,Pokémon,Psychic,Double Crisis,8,Rare Holo,https://images.pokemontcg.io/dc1/8_hires.png,https://images.pokemontcg.io/dc1/8.png,110,"[{""name"": ""Sludge Festival"", ""text"": ""The Retreat Cost of each Pokémon in play (except for Team Aqua Pokémon) is Colorless more."", ""type"": ""Ability""}]","[{""name"": ""Pester"", ""cost"": [""Psychic"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60+"", ""text"": ""If your opponent's Active Pokémon is affected by a Special Condition, this attack does 60 more damage.""}]",Pester,60+,"If your opponent's Active Pokémon is affected by a Special Condition, this attack does 60 more damage.",Psychic:×2,,Colorless__Colorless__Colorless,Team Aqua's Grimer,Kouki Saitou,"It immobilizes its opponents by wrapping them in its huge, poisonous body. It'll smoosh you, too!",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,dc1-9,Team Aqua's Seviper,Pokémon,Psychic,Double Crisis,9,Common,https://images.pokemontcg.io/dc1/9_hires.png,https://images.pokemontcg.io/dc1/9.png,90,,"[{""name"": ""Venomous Fang"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Poisoned.""}, {""name"": ""Venom Tail"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""If your opponent's Active Pokémon is affected by a Special Condition, discard an Energy attached to that Pokémon.""}]",Venomous Fang|Venom Tail,10|30,"Flip a coin. If heads, your opponent's Active Pokémon is now Poisoned.|If your opponent's Active Pokémon is affected by a Special Condition, discard an Energy attached to that Pokémon.",Psychic:×2,,Colorless,,Naoki Saito,Seviper's tail is a sharp blade. It can even poison you!,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,dc1-10,Team Magma's Baltoy,Pokémon,Psychic,Double Crisis,10,Common,https://images.pokemontcg.io/dc1/10_hires.png,https://images.pokemontcg.io/dc1/10.png,50,,"[{""name"": ""Telekinesis"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""This attack does 20 damage to 1 of your opponent's Pokémon. This attack's damage isn't affected by Weakness or Resistance.""}]",Telekinesis,,This attack does 20 damage to 1 of your opponent's Pokémon. This attack's damage isn't affected by Weakness or Resistance.,Psychic:×2,,Colorless,,Mitsuhiro Arita,They all cry out at once to let us know when they spot an enemy. It really helps out!,,,,,,,,,,,,,,,,,,,,,,,,,
