Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex15-1,Ampharos δ,Pokémon,Colorless,Dragon Frontiers,1,Rare Holo,https://images.pokemontcg.io/ex15/1_hires.png,https://images.pokemontcg.io/ex15/1.png,120,"[{""name"": ""Holon Veil"", ""text"": ""Treat each Basic Pokémon and Evolution card in your deck, in your discard pile, in your hand, and in play as a Pokémon that has δ on its card."", ""type"": ""Poké-Body""}]","[{""name"": ""Delta Circle"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""20+"", ""text"": ""Does 20 damage plus 10 more damage for each Pokémon you have in play that has δ on its card.""}]",Delta Circle,20+,Does 20 damage plus 10 more damage for each Pokémon you have in play that has δ on its card.,Fighting:×2,,Colorless__Colorless,Flaaffy,Kagemaru Himeno,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,ex15-2,Feraligatr δ,Pokémon,Lightning,Dragon Frontiers,2,Rare Holo,https://images.pokemontcg.io/ex15/2_hires.png,https://images.pokemontcg.io/ex15/2.png,120,"[{""name"": ""Battle Aura"", ""text"": ""Each of your Pokémon that has δ on its card does 10 more damage to the Defending Pokémon (before applying Weakness and Resistance)."", ""type"": ""Poké-Body""}]","[{""name"": ""Drag Off"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Before doing damage, you may choose 1 of your opponent's Benched Pokémon and switch it with 1 of the Defending Pokémon. Your opponent chooses the Defending Pokémon to switch.""}, {""name"": ""Sharp Fang"", ""cost"": [""Lightning"", ""Lightning"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Drag Off|Sharp Fang,20|60,"Before doing damage, you may choose 1 of your opponent's Benched Pokémon and switch it with 1 of the Defending Pokémon. Your opponent chooses the Defending Pokémon to switch.|",Lightning:×2,,Colorless__Colorless,Croconaw,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,ex15-3,Heracross δ,Pokémon,Fire,Dragon Frontiers,3,Rare Holo,https://images.pokemontcg.io/ex15/3_hires.png,https://images.pokemontcg.io/ex15/3.png,70,"[{""name"": ""Shining Horn"", ""text"": ""As long as Heracross is the only Pokémon you have in play, your opponent's Basic Pokémon can't attack."", ""type"": ""Poké-Body""}]","[{""name"": ""Dig Deep"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your discard pile for an Energy card, show it to your opponent, and put it into your hand.""}, {""name"": ""Extra Claws"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""If the Defending Pokémon is Pokémon-ex, this attack does 30 damage plus 20 more damage.""}]",Dig Deep|Extra Claws,|30+,"Search your discard pile for an Energy card, show it to your opponent, and put it into your hand.|If the Defending Pokémon is Pokémon-ex, this attack does 30 damage plus 20 more damage.",Fire:×2,,Colorless,,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,ex15-4,Meganium δ,Pokémon,Fighting,Dragon Frontiers,4,Rare Holo,https://images.pokemontcg.io/ex15/4_hires.png,https://images.pokemontcg.io/ex15/4.png,110,"[{""name"": ""Evolutionary Call"", ""text"": ""Once during your turn, when you play Meganium from your hand to evolve 1 of your Pokémon, you may search your deck for up to 3 in any combination of Basic Pokémon or Evolution cards. Show them to your opponent and put them into your hand. Shuffle your deck afterward."", ""type"": ""Poké-Power""}]","[{""name"": ""Delta Reduction"", ""cost"": [""Fighting"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""During your opponent's next turn, any damage done by attacks from the Defending Pokémon is reduced by 30 (before applying Weakness and Resistance).""}, {""name"": ""Mega Impact"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Delta Reduction|Mega Impact,40|60,"During your opponent's next turn, any damage done by attacks from the Defending Pokémon is reduced by 30 (before applying Weakness and Resistance).|",Fire:×2,Water:-30,Colorless__Colorless,Bayleef,Sumiyoshi Kizuki,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,ex15-5,Milotic δ,Pokémon,Fire,Dragon Frontiers,5,Rare Holo,https://images.pokemontcg.io/ex15/5_hires.png,https://images.pokemontcg.io/ex15/5.png,90,"[{""name"": ""Sharing"", ""text"": ""Once during your turn (before your attack), you may look at your opponent's hand. You may use the effect of a Supporter card you find there as the effect of this power. (The Supporter card remains in your opponent's hand.) You can't use more than 1 Sharing Poké-Power each turn. This power can't be used if Milotic is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Flare"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Flare,60,,Lightning:×2,,Colorless__Colorless,Feebas,Midori Harada,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,ex15-6,Nidoking δ,Pokémon,Darkness,Dragon Frontiers,6,Rare Holo,https://images.pokemontcg.io/ex15/6_hires.png,https://images.pokemontcg.io/ex15/6.png,120,,"[{""name"": ""Linear Attack"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon. This attack does 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Dark Horn"", ""cost"": [""Darkness"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""You may discard a Basic Pokémon or Evolution card from your hand. If you do, choose 1 of your opponent's Benched Pokémon and do 20 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Linear Attack|Dark Horn,|60,"Choose 1 of your opponent's Pokémon. This attack does 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|You may discard a Basic Pokémon or Evolution card from your hand. If you do, choose 1 of your opponent's Benched Pokémon and do 20 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Psychic:×2,,Colorless__Colorless__Colorless,Nidorino,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,ex15-7,Nidoqueen δ,Pokémon,Metal,Dragon Frontiers,7,Rare Holo,https://images.pokemontcg.io/ex15/7_hires.png,https://images.pokemontcg.io/ex15/7.png,100,"[{""name"": ""Invitation"", ""text"": ""Once during your turn (before your attack), you may search your deck for a Basic Pokémon or Evolution card, show it to your opponent, and put it into your hand. Shuffle your deck afterward. This power can't be used if Nidoqueen is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Vengeance"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30+"", ""text"": ""Does 30 damage plus 10 more damage for each Basic Pokémon and each Evolution card in your discard pile. You can't add more than 60 damage in this way.""}]",Vengeance,30+,Does 30 damage plus 10 more damage for each Basic Pokémon and each Evolution card in your discard pile. You can't add more than 60 damage in this way.,Psychic:×2,,Colorless__Colorless,Nidorina,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,ex15-8,Ninetales δ,Pokémon,Psychic,Dragon Frontiers,8,Rare Holo,https://images.pokemontcg.io/ex15/8_hires.png,https://images.pokemontcg.io/ex15/8.png,70,"[{""name"": ""Volunteer"", ""text"": ""Once during your turn (before your attack), you may remove 4 damage counters from Ninetales and discard Ninetales from Vulpix. If you do, search your deck for Ninetales or Ninetales ex and put it onto Vulpix (this counts as evolving Vulpix). Shuffle your deck afterward."", ""type"": ""Poké-Power""}]","[{""name"": ""Trick Tail"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Search your discard pile for an Energy card and attach it to 1 of your Pokémon.""}]",Trick Tail,30,Search your discard pile for an Energy card and attach it to 1 of your Pokémon.,Water:×2,,,Vulpix,Hajime Kusajima,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,ex15-9,Pinsir δ,Pokémon,Fighting,Dragon Frontiers,9,Rare Holo,https://images.pokemontcg.io/ex15/9_hires.png,https://images.pokemontcg.io/ex15/9.png,60,"[{""name"": ""Armor"", ""text"": ""If your opponent has 5 of more cards in his or her hand, any damage done to Pinsir by attacks is reduced by 30 (after applying Weakness and Resistance)."", ""type"": ""Poké-Body""}]","[{""name"": ""Delta Call"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Pokémon that has δ on its card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.""}, {""name"": ""Guillotine"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": """"}]",Delta Call|Guillotine,|40,"Search your deck for a Pokémon that has δ on its card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.|",Fire:×2,,Colorless,,Yukiko Baba,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,ex15-10,Snorlax δ,Pokémon,Grass,Dragon Frontiers,10,Rare Holo,https://images.pokemontcg.io/ex15/10_hires.png,https://images.pokemontcg.io/ex15/10.png,80,"[{""name"": ""Bedhead"", ""text"": ""As long as Snorlax remains Asleep between turns, put 2 damage counters on 1 of the Defending Pokémon."", ""type"": ""Poké-Body""}, {""name"": ""Dozing"", ""text"": ""Once during your turn (before your attack), if Snorlax is your Active Pokémon, you may remove 2 damage counters from Snorlax and Snorlax is now Asleep. This power can't be used if Snorlax is affected by a Special Condition."", ""type"": ""Poké-Power""}]",,,,,Fighting:×2,,Colorless__Colorless__Colorless,,Masakazu Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,ex15-11,Togetic δ,Pokémon,Water,Dragon Frontiers,11,Rare Holo,https://images.pokemontcg.io/ex15/11_hires.png,https://images.pokemontcg.io/ex15/11.png,60,,"[{""name"": ""Delta Copy"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Choose an attack on 1 of your opponent's Pokémon in play that has δ on its card. Delta Copy copies that attack except for its Energy cost. (You must still do anything else required for that attack.) Togetic performs that attack.""}, {""name"": ""Wave Splash"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Delta Copy|Wave Splash,|30,Choose an attack on 1 of your opponent's Pokémon in play that has δ on its card. Delta Copy copies that attack except for its Energy cost. (You must still do anything else required for that attack.) Togetic performs that attack.|,Lightning:×2,Fighting:-30,,Togepi,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,ex15-12,Typhlosion δ,Pokémon,Psychic,Dragon Frontiers,12,Rare Holo,https://images.pokemontcg.io/ex15/12_hires.png,https://images.pokemontcg.io/ex15/12.png,100,"[{""name"": ""Shady Move"", ""text"": ""Once during your turn (before your attack), if Typhlosion is your Active Pokémon, you may move 1 damage counter from either player's Pokémon to another Pokémon (yours or your opponent's). This power can't be used if Typhlosion is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Burning Ball"", ""cost"": [""Psychic"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""If Typhlosion has at least 2 Fire Energy attached to it, the Defending Pokémon is now Burned.""}]",Burning Ball,60,"If Typhlosion has at least 2 Fire Energy attached to it, the Defending Pokémon is now Burned.",Water:×2,,Colorless,Quilava,Hisao Nakamura,,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,ex15-13,Arbok δ,Pokémon,Fire,Dragon Frontiers,13,Rare,https://images.pokemontcg.io/ex15/13_hires.png,https://images.pokemontcg.io/ex15/13.png,80,,"[{""name"": ""Burning Venom"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""The Defending Pokémon is now Burned and Poisoned.""}, {""name"": ""Strangle"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""If the Defending Pokémon has δ on its card, this attack does 50 damage plus 30 more damage.""}]",Burning Venom|Strangle,|50+,"The Defending Pokémon is now Burned and Poisoned.|If the Defending Pokémon has δ on its card, this attack does 50 damage plus 30 more damage.",Psychic:×2,,Colorless,Ekans,Hisao Nakamura,,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,ex15-14,Cloyster δ,Pokémon,Fighting,Dragon Frontiers,14,Rare,https://images.pokemontcg.io/ex15/14_hires.png,https://images.pokemontcg.io/ex15/14.png,70,"[{""name"": ""Solid Shell"", ""text"": ""Prevent all effects of attacks, including damage, done by your opponent's Pokémon to each of your Benched Pokémon that has δ on its card."", ""type"": ""Poké-Body""}]","[{""name"": ""Grind"", ""cost"": [""Fighting""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Does 10 damage plus 10 more damage for each Energy attached to Cloyster.""}]",Grind,10+,Does 10 damage plus 10 more damage for each Energy attached to Cloyster.,Lightning:×2,,Colorless,Shellder,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,ex15-15,Dewgong δ,Pokémon,Colorless,Dragon Frontiers,15,Rare,https://images.pokemontcg.io/ex15/15_hires.png,https://images.pokemontcg.io/ex15/15.png,80,"[{""name"": ""Delta Protection"", ""text"": ""Any damage done to Dewgong by attacks from your opponent's Pokémon that has δ on its card is reduced by 40 (after applying Weakness and Resistance)."", ""type"": ""Poké-Body""}]","[{""name"": ""Ice Beam"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}, {""name"": ""Surge"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""If Dewgong has at least 2 Water Energy attached to it, this attack does 40 damage plus 20 more damage.""}]",Ice Beam|Surge,20|40+,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.|If Dewgong has at least 2 Water Energy attached to it, this attack does 40 damage plus 20 more damage.",Lightning:×2,,Colorless__Colorless,Seel,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
