Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm75-1,Charmander,Pokémon,Fire,Dragon Majesty,1,Common,https://images.pokemontcg.io/sm75/1_hires.png,https://images.pokemontcg.io/sm75/1.png,70,,"[{""name"": ""Fire Fang"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Your opponent's Active Pokémon is now Burned.""}]",Fire Fang,20,Your opponent's Active Pokémon is now Burned.,Water:×2,,Colorless__Colorless,,tetsuya koizumi,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sm75-2,Charmeleon,Pokémon,Fire,Dragon Majesty,2,Uncommon,https://images.pokemontcg.io/sm75/2_hires.png,https://images.pokemontcg.io/sm75/2.png,80,"[{""name"": ""Burning Fighter"", ""text"": ""When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may discard the top 5 cards of your deck. If any of those cards are Fire Energy cards, attach them to this Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Flamethrower"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": ""Discard an Energy from this Pokémon.""}]",Flamethrower,80,Discard an Energy from this Pokémon.,Water:×2,,Colorless__Colorless,Charmander,kodama,"When it swings its burning tail, it elevates the air temperature to unbearably high levels.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sm75-3,Charizard,Pokémon,Fire,Dragon Majesty,3,Rare Holo,https://images.pokemontcg.io/sm75/3_hires.png,https://images.pokemontcg.io/sm75/3.png,160,"[{""name"": ""Resolute Flame"", ""text"": ""This Pokémon's attacks do 30 more damage to your opponent's Active Pokémon for each of their Pokémon-GX and Pokémon-EX in play."", ""type"": ""Ability""}]","[{""name"": ""Fiery Blast"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""130"", ""text"": ""Discard an Energy from this Pokémon.""}]",Fiery Blast,130,Discard an Energy from this Pokémon.,Water:×2,,Colorless__Colorless,Charmeleon,Ryota Murayama,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sm75-4,Torchic,Pokémon,Fire,Dragon Majesty,4,Common,https://images.pokemontcg.io/sm75/4_hires.png,https://images.pokemontcg.io/sm75/4.png,60,,"[{""name"": ""Singe"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Burned.""}]",Singe,,"Flip a coin. If heads, your opponent's Active Pokémon is now Burned.",Water:×2,,Colorless,,Kouki Saitou,"A fire burns inside, so it feels very warm to hug. It launches fireballs of 1,800 degrees Fahrenheit.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sm75-5,Combusken,Pokémon,Fire,Dragon Majesty,5,Uncommon,https://images.pokemontcg.io/sm75/5_hires.png,https://images.pokemontcg.io/sm75/5.png,80,"[{""name"": ""Natural Cure"", ""text"": ""Whenever you attach an Energy card from your hand to this Pokémon, remove all Special Conditions from it."", ""type"": ""Ability""}]","[{""name"": ""Lunge"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""60"", ""text"": ""Flip a coin. If tails, this attack does nothing.""}]",Lunge,60,"Flip a coin. If tails, this attack does nothing.",Water:×2,,Colorless,Torchic,Ken Sugimori,"During a battle, the hot flame in its body increases. Its kicks have outstanding destructive power.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sm75-6,Blaziken,Pokémon,Fire,Dragon Majesty,6,Rare Holo,https://images.pokemontcg.io/sm75/6_hires.png,https://images.pokemontcg.io/sm75/6.png,150,"[{""name"": ""Firestarter"", ""text"": ""Once during your turn (before your attack), you may attach a Fire Energy card from your discard pile to 1 of your Benched Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Fire Stream"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""90"", ""text"": ""Discard a Fire Energy from this Pokémon. This attack does 20 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Fire Stream,90,Discard a Fire Energy from this Pokémon. This attack does 20 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Water:×2,,Colorless__Colorless,Combusken,Kouki Saitou,"When facing a tough foe, it looses flames from its wrists. Its powerful legs let it jump clear over buildings.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sm75-7,Victini ◇,Pokémon,Fire,Dragon Majesty,7,Rare Prism Star,https://images.pokemontcg.io/sm75/7_hires.png,https://images.pokemontcg.io/sm75/7.png,90,,"[{""name"": ""Infinity"", ""cost"": [""Fire"", ""Fire""], ""convertedEnergyCost"": 2, ""damage"": ""20×"", ""text"": ""This attack does 20 damage for each basic Energy card in your discard pile. Then, shuffle those cards into your deck.""}]",Infinity,20×,"This attack does 20 damage for each basic Energy card in your discard pile. Then, shuffle those cards into your deck.",Water:×2,,Colorless,,Shin Nagasawa,"When it shares the infinite energy it creates, that being's entire body will be overflowing with power.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sm75-8,Darumaka,Pokémon,Fire,Dragon Majesty,8,Common,https://images.pokemontcg.io/sm75/8_hires.png,https://images.pokemontcg.io/sm75/8.png,70,,"[{""name"": ""Damage Rush"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Flip a coin until you get tails. This attack does 30 more damage for each heads.""}]",Damage Rush,10+,Flip a coin until you get tails. This attack does 30 more damage for each heads.,Water:×2,,Colorless__Colorless,,Mitsuhiro Arita,"When it sleeps, it pulls its limbs into its body and its internal fire goes down to 1,100 degrees Fahrenheit.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sm75-9,Darmanitan,Pokémon,Fire,Dragon Majesty,9,Uncommon,https://images.pokemontcg.io/sm75/9_hires.png,https://images.pokemontcg.io/sm75/9.png,130,,"[{""name"": ""Heat Assist"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Attach up to 3 Fire Energy cards from your hand to your Pokémon in any way you like.""}, {""name"": ""Darmani-Hands"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30+"", ""text"": ""Flip 4 coins. This attack does 50 more damage for each heads.""}]",Heat Assist|Darmani-Hands,|30+,Attach up to 3 Fire Energy cards from your hand to your Pokémon in any way you like.|Flip 4 coins. This attack does 50 more damage for each heads.,Water:×2,,Colorless__Colorless,Darumaka,Masakazu Fukuda,"Its internal fire burns at 2,500 degrees Fahrenheit, making enough power that it can destroy a dump truck with one punch.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sm75-10,Heatmor,Pokémon,Fire,Dragon Majesty,10,Uncommon,https://images.pokemontcg.io/sm75/10_hires.png,https://images.pokemontcg.io/sm75/10.png,110,,"[{""name"": ""Singe"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Burned.""}, {""name"": ""Charring Breath"", ""cost"": [""Fire"", ""Fire""], ""convertedEnergyCost"": 2, ""damage"": ""120"", ""text"": ""If your opponent's Active Pokémon isn't Burned, this attack does nothing.""}]",Singe|Charring Breath,|120,"Your opponent's Active Pokémon is now Burned.|If your opponent's Active Pokémon isn't Burned, this attack does nothing.",Water:×2,,Colorless__Colorless,,Ken Sugimori,"It draws in air through its tail, transforms it into fire, and uses it like a tongue. It melts Durant and eats them.",,,,,,,,,,,,,,,,,,,,,,,,,
