Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,dv1-1,Dratini,Pokémon,Dragon,Dragon Vault,1,Rare Holo,https://images.pokemontcg.io/dv1/1_hires.png,https://images.pokemontcg.io/dv1/1.png,40,,"[{""name"": ""Wrap"", ""cost"": [""Grass"", ""Lightning""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}]",Wrap,20,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Dragon:×2,,Colorless,,Masakazu Fukuda,"It is called the ""Mirage Pokémon"" because so few have seen it. Its shed skin has been found.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,dv1-2,Dratini,Pokémon,Dragon,Dragon Vault,2,Rare Holo,https://images.pokemontcg.io/dv1/2_hires.png,https://images.pokemontcg.io/dv1/2.png,40,,"[{""name"": ""Hypnotic Gaze"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""The Defending Pokémon is now Asleep.""}, {""name"": ""Tail Whap"", ""cost"": [""Lightning""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Hypnotic Gaze|Tail Whap,|10,The Defending Pokémon is now Asleep.|,Dragon:×2,,Colorless,,Naoki Saito,"It is called the ""Mirage Pokémon"" because so few have seen it. Its shed skin has been found.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,dv1-3,Dragonair,Pokémon,Dragon,Dragon Vault,3,Rare Holo,https://images.pokemontcg.io/dv1/3_hires.png,https://images.pokemontcg.io/dv1/3.png,70,,"[{""name"": ""Tail Whap"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}, {""name"": ""Dragon Pulse"", ""cost"": [""Grass"", ""Lightning"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": ""Discard the top card of your deck.""}]",Tail Whap|Dragon Pulse,20|70,|Discard the top card of your deck.,Dragon:×2,,Colorless__Colorless,Dratini,Hajime Kusajima,"If its body takes on an aura, the weather changes instantly. It is said to live in seas and lakes.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,dv1-4,Dragonair,Pokémon,Dragon,Dragon Vault,4,Rare Holo,https://images.pokemontcg.io/dv1/4_hires.png,https://images.pokemontcg.io/dv1/4.png,70,,"[{""name"": ""Healing Melody"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal 10 damage from each of your Pokémon.""}, {""name"": ""Slam"", ""cost"": [""Lightning"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30×"", ""text"": ""Flip 2 coins. This attack does 30 damage times the number of heads.""}]",Healing Melody|Slam,|30×,Heal 10 damage from each of your Pokémon.|Flip 2 coins. This attack does 30 damage times the number of heads.,Dragon:×2,,Colorless__Colorless,Dratini,Kagemaru Himeno,"If its body takes on an aura, the weather changes instantly. It is said to live in seas and lakes.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,dv1-5,Dragonite,Pokémon,Dragon,Dragon Vault,5,Rare Holo,https://images.pokemontcg.io/dv1/5_hires.png,https://images.pokemontcg.io/dv1/5.png,150,,"[{""name"": ""Hyper Beam"", ""cost"": [""Lightning"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Flip a coin. If heads, discard an Energy attached to the Defending Pokémon.""}, {""name"": ""Hurricane Tail"", ""cost"": [""Grass"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""60×"", ""text"": ""Flip 4 coins. This attack does 60 damage times the number of heads.""}]",Hyper Beam|Hurricane Tail,50|60×,"Flip a coin. If heads, discard an Energy attached to the Defending Pokémon.|Flip 4 coins. This attack does 60 damage times the number of heads.",Dragon:×2,,Colorless__Colorless__Colorless,Dragonair,Mitsuhiro Arita,It is said to make its home somewhere in the sea. It guides crews of shipwrecks to shore.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,dv1-6,Bagon,Pokémon,Dragon,Dragon Vault,6,Rare Holo,https://images.pokemontcg.io/dv1/6_hires.png,https://images.pokemontcg.io/dv1/6.png,50,,"[{""name"": ""Headbutt"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Dragon Claw"", ""cost"": [""Fire"", ""Water""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Headbutt|Dragon Claw,10|20,|,Dragon:×2,,Colorless,,Kouki Saitou,"Dreaming of one day flying, it practices by leaping off cliffs every day.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,dv1-7,Shelgon,Pokémon,Dragon,Dragon Vault,7,Rare Holo,https://images.pokemontcg.io/dv1/7_hires.png,https://images.pokemontcg.io/dv1/7.png,80,,"[{""name"": ""Knock Away"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Rollout"", ""cost"": [""Fire"", ""Water"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Knock Away|Rollout,10+|50,"Flip a coin. If heads, this attack does 20 more damage.|",Dragon:×2,,Colorless__Colorless__Colorless,Bagon,Akira Komayama,"Within its rugged shell, its cells have begun changing. The shell peels off the instant it evolves.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,dv1-8,Salamence,Pokémon,Dragon,Dragon Vault,8,Rare Holo,https://images.pokemontcg.io/dv1/8_hires.png,https://images.pokemontcg.io/dv1/8.png,140,"[{""name"": ""Scornful Storm"", ""text"": ""Once during your turn (before your attack), you may have your opponent discard cards from his or her hand until he or she has 4 cards left in his or her hand."", ""type"": ""Ability""}]","[{""name"": ""Shred"", ""cost"": [""Fire"", ""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""90"", ""text"": ""This attack's damage isn't affected by any effects on the Defending Pokémon.""}]",Shred,90,This attack's damage isn't affected by any effects on the Defending Pokémon.,Dragon:×2,,Colorless__Colorless,Shelgon,BERUBURI,"As a result of its long-held dream of flying, its cellular structure changed, and wings grew out.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,dv1-9,Latias,Pokémon,Dragon,Dragon Vault,9,Rare Holo,https://images.pokemontcg.io/dv1/9_hires.png,https://images.pokemontcg.io/dv1/9.png,100,,"[{""name"": ""Energy Assist"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Attach a basic Energy card from your discard pile to 1 of your Benched Pokémon.""}, {""name"": ""Sky Heal"", ""cost"": [""Fire"", ""Psychic""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""If Latios is on your Bench, heal 20 damage from this Pokémon.""}]",Energy Assist|Sky Heal,|40,"Attach a basic Energy card from your discard pile to 1 of your Benched Pokémon.|If Latios is on your Bench, heal 20 damage from this Pokémon.",Dragon:×2,,Colorless,,Hideaki Hakozaki,Its body is covered in a down that can refract light in such a way that it becomes invisible.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,dv1-10,Latios,Pokémon,Dragon,Dragon Vault,10,Rare Holo,https://images.pokemontcg.io/dv1/10_hires.png,https://images.pokemontcg.io/dv1/10.png,100,,"[{""name"": ""Sky Blade"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""If Latias is on your Bench, this attack does 20 more damage.""}, {""name"": ""Speed Wing"", ""cost"": [""Psychic"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Sky Blade|Speed Wing,20+|60,"If Latias is on your Bench, this attack does 20 more damage.|",Dragon:×2,,Colorless,,Ryo Ueda,"A highly intelligent Pokémon. By folding back its wings in flight, it can overtake jet planes.",,,,,,,,,,,,,,,,,,,,,,,,,
