Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex3-1,Absol,Pokémon,Darkness,Dragon,1,Rare Holo,https://images.pokemontcg.io/ex3/1_hires.png,https://images.pokemontcg.io/ex3/1.png,70,,"[{""name"": ""Bad News"", ""cost"": [""Darkness""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""If the number of cards in your opponent's hand is at least 6, choose a number of cards there, without looking, until your opponent has 5 cards left. Have your opponent discard the cards you chose.""}, {""name"": ""Prize Count"", ""cost"": [""Darkness"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""If you have more Prize cards left than your opponent, this attack does 20 damage plus 20 more damage.""}]",Bad News|Prize Count,|20+,"If the number of cards in your opponent's hand is at least 6, choose a number of cards there, without looking, until your opponent has 5 cards left. Have your opponent discard the cards you chose.|If you have more Prize cards left than your opponent, this attack does 20 damage plus 20 more damage.",Fighting:×2,Psychic:-30,Colorless,,Naoyo Kimura,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,ex3-2,Altaria,Pokémon,Colorless,Dragon,2,Rare Holo,https://images.pokemontcg.io/ex3/2_hires.png,https://images.pokemontcg.io/ex3/2.png,80,,"[{""name"": ""Dragon Dance"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""During your next turn, if any of your current Active Pokémon does damage to any Defending Pokémon, this attack does 40 more damage (before applying Weakness and Resistance).""}, {""name"": ""Dragon Song"", ""cost"": [""Water"", ""Lightning""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Each Defending Pokémon is now Asleep.""}]",Dragon Dance|Dragon Song,|30,"During your next turn, if any of your current Active Pokémon does damage to any Defending Pokémon, this attack does 40 more damage (before applying Weakness and Resistance).|Each Defending Pokémon is now Asleep.",Colorless:×2,Grass:-30|Fighting:-30,Colorless,Swablu,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,ex3-3,Crawdaunt,Pokémon,Water,Dragon,3,Rare Holo,https://images.pokemontcg.io/ex3/3_hires.png,https://images.pokemontcg.io/ex3/3.png,80,"[{""name"": ""Power Pinchers"", ""text"": ""As long as Crawdaunt is your Active Pokémon, when any of your Active Pokémon does damage to the Defending Pokémon, the attack does 10 more damage (before applying Weakness and Resistance)."", ""type"": ""Poké-Body""}]","[{""name"": ""Guillotine"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Guillotine,50,,Lightning:×2,,Colorless__Colorless,Corphish,Hisao Nakamura,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,ex3-4,Flygon,Pokémon,Colorless,Dragon,4,Rare Holo,https://images.pokemontcg.io/ex3/4_hires.png,https://images.pokemontcg.io/ex3/4.png,120,,"[{""name"": ""Energy Shower"", ""cost"": [""Grass"", ""Lightning""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Attach any number of basic Energy cards from your hand to your Pokémon in any way you like.""}, {""name"": ""Rainbow Burn"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30+"", ""text"": ""Does 30 damage plus 10 more damage for each type of basic Energy card attached to Flygon.""}]",Energy Shower|Rainbow Burn,|30+,Attach any number of basic Energy cards from your hand to your Pokémon in any way you like.|Does 30 damage plus 10 more damage for each type of basic Energy card attached to Flygon.,Colorless:×2,Fire:-30|Lightning:-30,Colorless__Colorless,Vibrava,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,ex3-5,Golem,Pokémon,Fighting,Dragon,5,Rare Holo,https://images.pokemontcg.io/ex3/5_hires.png,https://images.pokemontcg.io/ex3/5.png,120,,"[{""name"": ""Rock Vengeance"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""20+"", ""text"": ""Does 20 damage plus 10 more damage for each damage counter on all of your Active Pokémon.""}, {""name"": ""Rock Slide"", ""cost"": [""Fighting"", ""Fighting"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 5, ""damage"": ""60"", ""text"": ""Does 20 damage to 2 of your opponent's Benched Pokémon (1 if there is only 1). (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Rock Vengeance|Rock Slide,20+|60,Does 20 damage plus 10 more damage for each damage counter on all of your Active Pokémon.|Does 20 damage to 2 of your opponent's Benched Pokémon (1 if there is only 1). (Don't apply Weakness and Resistance for Benched Pokémon.),Water:×2,,Colorless__Colorless__Colorless__Colorless,Graveler,Hisao Nakamura,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,ex3-6,Grumpig,Pokémon,Psychic,Dragon,6,Rare Holo,https://images.pokemontcg.io/ex3/6_hires.png,https://images.pokemontcg.io/ex3/6.png,80,,"[{""name"": ""Psychic Boom"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Does 20 damage plus 10 more damage for each Energy attached to the Defending Pokémon.""}, {""name"": ""Mind Trip"", ""cost"": [""Psychic"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""If Grumpig and the Defending Pokémon have the same amount of Energy attached to them, the Defending Pokémon is now Confused.""}]",Psychic Boom|Mind Trip,20+|50,"Does 20 damage plus 10 more damage for each Energy attached to the Defending Pokémon.|If Grumpig and the Defending Pokémon have the same amount of Energy attached to them, the Defending Pokémon is now Confused.",Psychic:×2,,Colorless,Spoink,Midori Harada,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,ex3-7,Minun,Pokémon,Lightning,Dragon,7,Rare Holo,https://images.pokemontcg.io/ex3/7_hires.png,https://images.pokemontcg.io/ex3/7.png,50,"[{""name"": ""Chain of Events"", ""text"": ""As long as Minun is your Active Pokémon, whenever your other Active Pokémon, if any, attacks, you may use Cheer On after the first attack (you still need the necessary Energy to use Cheer On). You can't use Cheer On more than once in this way even if your other Active Pokémon has the Chain of Events Poké-Body."", ""type"": ""Poké-Body""}]","[{""name"": ""Cheer On"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Remove 1 damage counter from each of your Pokémon (including Minun).""}, {""name"": ""Special Circuit"", ""cost"": [""Lightning"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon. This attack does 20 damage to that Pokémon. If you choose Pokémon that has a Poké-Power or Poké-Body, this attack does 40 damage instead. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Cheer On|Special Circuit,|,"Remove 1 damage counter from each of your Pokémon (including Minun).|Choose 1 of your opponent's Pokémon. This attack does 20 damage to that Pokémon. If you choose Pokémon that has a Poké-Power or Poké-Body, this attack does 40 damage instead. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fighting:×2,Metal:-30,Colorless,,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,ex3-8,Plusle,Pokémon,Lightning,Dragon,8,Rare Holo,https://images.pokemontcg.io/ex3/8_hires.png,https://images.pokemontcg.io/ex3/8.png,50,"[{""name"": ""Chain of Events"", ""text"": ""As long as Plusle is your Active Pokémon, whenever your other Active Pokémon, if any, attacks, you may use Cheer On after the first attack (you still need the necessary Energy to use Cheer On). You can't use Cheer On more than once in this way even if your other Active Pokémon has the Chain of Events Poké-Body."", ""type"": ""Poké-Body""}]","[{""name"": ""Cheer On"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Remove 1 damage counter from each of your Pokémon (including Plusle).""}, {""name"": ""Extra Circuit"", ""cost"": [""Lightning"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon. This attack does 20 damage to that Pokémon. If you choose Pokémon-ex, this attack does 40 damage instead. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Cheer On|Extra Circuit,|,"Remove 1 damage counter from each of your Pokémon (including Plusle).|Choose 1 of your opponent's Pokémon. This attack does 20 damage to that Pokémon. If you choose Pokémon-ex, this attack does 40 damage instead. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fighting:×2,Metal:-30,Colorless,,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,ex3-9,Roselia,Pokémon,Grass,Dragon,9,Rare Holo,https://images.pokemontcg.io/ex3/9_hires.png,https://images.pokemontcg.io/ex3/9.png,60,"[{""name"": ""Thick Skin"", ""text"": ""Roselia can't be affected by any Special Conditions."", ""type"": ""Poké-Body""}]","[{""name"": ""Speed Growth"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Attach up to 2 Grass Energy cards from your hand to your Pokémon in any way you like.""}, {""name"": ""Sleep Powder"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""The Defending Pokémon is now Asleep.""}]",Speed Growth|Sleep Powder,|10,Attach up to 2 Grass Energy cards from your hand to your Pokémon in any way you like.|The Defending Pokémon is now Asleep.,Fire:×2,,Colorless,,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,ex3-10,Salamence,Pokémon,Colorless,Dragon,10,Rare Holo,https://images.pokemontcg.io/ex3/10_hires.png,https://images.pokemontcg.io/ex3/10.png,120,"[{""name"": ""Dragon Wind"", ""text"": ""Once during your turn (before your attack), if Salamence is your Active Pokémon, you may switch 1 of your opponent's Benched Pokémon with 1 of the Defending Pokémon. Your opponent chooses the Defending Pokémon to switch. This power can't be used if Salamence is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Agility"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, prevent all effects of an attack, including damage, done to Salamence during your opponent's next turn.""}, {""name"": ""Dragon Claw"", ""cost"": [""Fire"", ""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""60"", ""text"": """"}]",Agility|Dragon Claw,20|60,"Flip a coin. If heads, prevent all effects of an attack, including damage, done to Salamence during your opponent's next turn.|",Colorless:×2,Fighting:-30|Fire:-30,Colorless__Colorless,Shelgon,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
