Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,bw6-1,Hoppip,Pokémon,Grass,Dragons Exalted,1,Common,https://images.pokemontcg.io/bw6/1_hires.png,https://images.pokemontcg.io/bw6/1.png,30,,"[{""name"": ""Flail Around"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Flip 3 coins. This attack does 10 damage times the number of heads.""}]",Flail Around,10×,Flip 3 coins. This attack does 10 damage times the number of heads.,Fire:×2,Water:-20,Colorless,,Kouki Saitou,"It drifts on winds. It is said that when Hoppip gather in fields and mountains, spring is on the way.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,bw6-2,Skiploom,Pokémon,Grass,Dragons Exalted,2,Uncommon,https://images.pokemontcg.io/bw6/2_hires.png,https://images.pokemontcg.io/bw6/2.png,60,,"[{""name"": ""Bullet Seed"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Flip 4 coins. This attack does 10 damage times the number of heads.""}]",Bullet Seed,10×,Flip 4 coins. This attack does 10 damage times the number of heads.,Fire:×2,Water:-20,,Hoppip,Suwama Chiaki,It blooms when the weather warms. It floats in the sky to soak up as much sunlight as possible.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,bw6-3,Jumpluff,Pokémon,Grass,Dragons Exalted,3,Rare,https://images.pokemontcg.io/bw6/3_hires.png,https://images.pokemontcg.io/bw6/3.png,90,"[{""name"": ""Leave It to the Wind"", ""text"": ""Once during your turn (before your attack), you may return this Pokémon and all cards attached to it to your hand."", ""type"": ""Ability""}]","[{""name"": ""Acrobatics"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20+"", ""text"": ""Flip 2 coins. This attack does 30 more damage for each heads.""}]",Acrobatics,20+,Flip 2 coins. This attack does 30 more damage for each heads.,Fire:×2,Water:-20,,Skiploom,Kagemaru Himeno,"Blown by the seasonal winds, it circles the globe, scattering cotton spores as it goes.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,bw6-4,Yanma,Pokémon,Grass,Dragons Exalted,4,Common,https://images.pokemontcg.io/bw6/4_hires.png,https://images.pokemontcg.io/bw6/4.png,70,,"[{""name"": ""Whirlwind"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Your opponent switches the Defending Pokémon with 1 of his or her Benched Pokémon.""}]",Whirlwind,20,Your opponent switches the Defending Pokémon with 1 of his or her Benched Pokémon.,Lightning:×2,Fighting:-20,Colorless,,Yukiko Baba,It can hover in one spot by flapping its wings at high speed. It flits about to guard its territory.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,bw6-5,Yanmega,Pokémon,Grass,Dragons Exalted,5,Rare,https://images.pokemontcg.io/bw6/5_hires.png,https://images.pokemontcg.io/bw6/5.png,100,,"[{""name"": ""Agility"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.""}, {""name"": ""Cutting Wind"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": """"}]",Agility|Cutting Wind,30|70,"Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.|",Lightning:×2,Fighting:-20,,Yanma,Naoki Saito,Its jaw power is incredible. It is adept at biting apart foes while flying by at high speed.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,bw6-6,Wurmple,Pokémon,Grass,Dragons Exalted,6,Common,https://images.pokemontcg.io/bw6/6_hires.png,https://images.pokemontcg.io/bw6/6.png,60,,"[{""name"": ""Sleep Poison"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Asleep and Poisoned.""}]",Sleep Poison,,"Flip a coin. If heads, the Defending Pokémon is now Asleep and Poisoned.",Fire:×2,,Colorless,,Kouki Saitou,"Often targeted by bird Pokémon, it desperately resists by releasing poison from its tail spikes.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,bw6-7,Silcoon,Pokémon,Grass,Dragons Exalted,7,Uncommon,https://images.pokemontcg.io/bw6/7_hires.png,https://images.pokemontcg.io/bw6/7.png,80,,"[{""name"": ""Harden"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""During your opponent's next turn, if this Pokémon would be damaged by an attack, prevent that attack's damage done to this Pokémon if that damage is 60 or less.""}, {""name"": ""Bug Bite"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": """"}]",Harden|Bug Bite,|40,"During your opponent's next turn, if this Pokémon would be damaged by an attack, prevent that attack's damage done to this Pokémon if that damage is 60 or less.|",Fire:×2,,Colorless__Colorless__Colorless,Wurmple,Naoki Saito,It wraps silk around the branches of a tree. It drinks rainwater on its silk while awaiting evolution.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,bw6-8,Beautifly,Pokémon,Grass,Dragons Exalted,8,Rare,https://images.pokemontcg.io/bw6/8_hires.png,https://images.pokemontcg.io/bw6/8.png,120,,"[{""name"": ""Triple Energy"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for 3 different types of basic Energy cards and attach them to your Pokémon in any way you like. Shuffle your deck afterward.""}, {""name"": ""Drainpour"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""Heal 40 damage from each of your Benched Pokémon.""}]",Triple Energy|Drainpour,|40,Search your deck for 3 different types of basic Energy cards and attach them to your Pokémon in any way you like. Shuffle your deck afterward.|Heal 40 damage from each of your Benched Pokémon.,Fire:×2,,Colorless,Silcoon,Akira Komayama,"Despite its looks, it is aggressive. It jabs with its long, thin mouth if disturbed while collecting pollen.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,bw6-9,Cascoon,Pokémon,Grass,Dragons Exalted,9,Uncommon,https://images.pokemontcg.io/bw6/9_hires.png,https://images.pokemontcg.io/bw6/9.png,80,,"[{""name"": ""Tangle Drag"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Switch 1 of your opponent's Benched Pokémon with the Defending Pokémon.""}, {""name"": ""Spiral Drain"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Heal 20 damage from this Pokémon.""}]",Tangle Drag|Spiral Drain,|,Switch 1 of your opponent's Benched Pokémon with the Defending Pokémon.|Heal 20 damage from this Pokémon.,Fire:×2,,Colorless__Colorless__Colorless,Wurmple,match,"It never forgets any attack it endured while in the cocoon. After evolution, it seeks payback.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,bw6-10,Nincada,Pokémon,Grass,Dragons Exalted,10,Common,https://images.pokemontcg.io/bw6/10_hires.png,https://images.pokemontcg.io/bw6/10.png,40,,"[{""name"": ""Dig"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.""}]",Dig,10,"Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.",Fire:×2,,Colorless,,MAHOU,"It grows underground, sensing its surroundings using antennae instead of its virtually blind eyes.",,,,,,,,,,,,,,,,,,,,,,,,,
