Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,tk2b-1,Arcanine,Pokémon,Fire,EX Trainer Kit 2 Minun,1,,https://images.pokemontcg.io/tk2b/1_hires.png,https://images.pokemontcg.io/tk2b/1.png,90,,"[{""name"": ""Flare"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Heat Tackle"", ""cost"": [""Fire"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""70"", ""text"": ""Arcanine does 10 damage to itself.""}]",Flare|Heat Tackle,20|70,|Arcanine does 10 damage to itself.,Water:×2,,Colorless__Colorless,Growlithe,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,tk2b-2,Charmander,Pokémon,Fire,EX Trainer Kit 2 Minun,2,,https://images.pokemontcg.io/tk2b/2_hires.png,https://images.pokemontcg.io/tk2b/2.png,50,,"[{""name"": ""Headbutt"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Slash"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Headbutt|Slash,10|20,|,Water:×2,,Colorless,,Midori Harada,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,tk2b-3,Charmeleon,Pokémon,Fire,EX Trainer Kit 2 Minun,3,Uncommon,https://images.pokemontcg.io/tk2b/3_hires.png,https://images.pokemontcg.io/tk2b/3.png,70,,"[{""name"": ""Flare"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}, {""name"": ""Damage Burn"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""If the Defending Pokémon already has any damage counters on it, this attack does 40 damage plus 20 more damage.""}]",Flare|Damage Burn,30|40+,"|If the Defending Pokémon already has any damage counters on it, this attack does 40 damage plus 20 more damage.",Water:×2,,Colorless,Charmander,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,tk2b-4,Growlithe,Pokémon,Fire,EX Trainer Kit 2 Minun,4,,https://images.pokemontcg.io/tk2b/4_hires.png,https://images.pokemontcg.io/tk2b/4.png,60,,"[{""name"": ""Bite"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Flame Tail"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": """"}]",Bite|Flame Tail,10|40,|,Water:×2,,Colorless__Colorless,,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,tk2b-5,Mareep,Pokémon,Lightning,EX Trainer Kit 2 Minun,5,,https://images.pokemontcg.io/tk2b/5_hires.png,https://images.pokemontcg.io/tk2b/5.png,50,,"[{""name"": ""Minor Errand-Running"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a basic Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.""}, {""name"": ""Quick Attack"", ""cost"": [""Lightning"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 10 damage plus 10 more damage.""}]",Minor Errand-Running|Quick Attack,|10+,"Search your deck for a basic Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.|Flip a coin. If heads, this attack does 10 damage plus 10 more damage.",Fighting:×2,,Colorless,,Naoyo Kimura,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,tk2b-6,Minun,Pokémon,Lightning,EX Trainer Kit 2 Minun,6,,https://images.pokemontcg.io/tk2b/6_hires.png,https://images.pokemontcg.io/tk2b/6.png,60,,"[{""name"": ""Drawup Power"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for an Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.""}, {""name"": ""Front Spark"", ""cost"": [""Lightning"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Does 10 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Drawup Power|Front Spark,|20,"Search your deck for an Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.|Does 10 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fighting:×2,Metal:-30,Colorless,,Katsura Tabata,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,tk2b-7,Vulpix,Pokémon,Fire,EX Trainer Kit 2 Minun,7,,https://images.pokemontcg.io/tk2b/7_hires.png,https://images.pokemontcg.io/tk2b/7.png,50,,"[{""name"": ""Bite"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Firebreathing"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Flip a coin. If heads, this attack does 20 damage plus 10 more damage.""}]",Bite|Firebreathing,10|20+,"|Flip a coin. If heads, this attack does 20 damage plus 10 more damage.",Water:×2,,Colorless,,Midori Harada,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,tk2b-8,Celio's Network,Trainer,,EX Trainer Kit 2 Minun,8,,https://images.pokemontcg.io/tk2b/8_hires.png,https://images.pokemontcg.io/tk2b/8.png,,,,,,,,,,,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,tk2b-9,Energy Search,Trainer,,EX Trainer Kit 2 Minun,9,,https://images.pokemontcg.io/tk2b/9_hires.png,https://images.pokemontcg.io/tk2b/9.png,,,,,,,,,,,Kai Ishikawa,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,tk2b-10,Potion,Trainer,,EX Trainer Kit 2 Minun,10,,https://images.pokemontcg.io/tk2b/10_hires.png,https://images.pokemontcg.io/tk2b/10.png,,,,,,,,,,,Keiji Kinebuchi,,,,,,,,,,,,,,,,,,,,,,,,,,
