Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,tk2a-1,Beldum,Pokémon,Psychic,EX Trainer Kit 2 Plusle,1,,https://images.pokemontcg.io/tk2a/1_hires.png,https://images.pokemontcg.io/tk2a/1.png,50,,"[{""name"": ""Call for Family"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Basic Pokémon and put it onto your Bench. Shuffle your deck afterward.""}, {""name"": ""Metal Ball"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Put 1 damage counter on the Defending Pokémon.""}]",Call for Family|Metal Ball,|,Search your deck for a Basic Pokémon and put it onto your Bench. Shuffle your deck afterward.|Put 1 damage counter on the Defending Pokémon.,Psychic:×2,,Colorless,,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,tk2a-2,Electrike,Pokémon,Lightning,EX Trainer Kit 2 Plusle,2,,https://images.pokemontcg.io/tk2a/2_hires.png,https://images.pokemontcg.io/tk2a/2.png,50,,"[{""name"": ""Recharge"", ""cost"": [""Lightning""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Lightning Energy card and attach it to Electrike. Shuffle your deck afterward.""}, {""name"": ""Quick Attack"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 10 damage plus 20 more damage.""}]",Recharge|Quick Attack,|10+,"Search your deck for a Lightning Energy card and attach it to Electrike. Shuffle your deck afterward.|Flip a coin. If heads, this attack does 10 damage plus 20 more damage.",Fighting:×2,,Colorless,,Hiroki Fuchino,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,tk2a-3,Grumpig,Pokémon,Psychic,EX Trainer Kit 2 Plusle,3,,https://images.pokemontcg.io/tk2a/3_hires.png,https://images.pokemontcg.io/tk2a/3.png,70,,"[{""name"": ""Snap Tail"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon. This attack does 10 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Psypunch"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": """"}]",Snap Tail|Psypunch,|40,Choose 1 of your opponent's Pokémon. This attack does 10 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|,Psychic:×2,,Colorless,Spoink,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,tk2a-4,Meowth,Pokémon,Colorless,EX Trainer Kit 2 Plusle,4,,https://images.pokemontcg.io/tk2a/4_hires.png,https://images.pokemontcg.io/tk2a/4.png,50,,"[{""name"": ""Collect"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw a card.""}, {""name"": ""Cat Kick"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Collect|Cat Kick,|20,Draw a card.|,Fighting:×2,,Colorless,,Masakazu Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,tk2a-5,Metang,Pokémon,Psychic,EX Trainer Kit 2 Plusle,5,,https://images.pokemontcg.io/tk2a/5_hires.png,https://images.pokemontcg.io/tk2a/5.png,80,,"[{""name"": ""Psychic Boom"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Does 10 damage plus 10 more damage for each Energy attached to the Defending Pokémon.""}, {""name"": ""Quick Blow"", ""cost"": [""Psychic"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""Flip a coin. If heads, this attack does 40 damage plus 20 more damage.""}]",Psychic Boom|Quick Blow,10+|40+,"Does 10 damage plus 10 more damage for each Energy attached to the Defending Pokémon.|Flip a coin. If heads, this attack does 40 damage plus 20 more damage.",Psychic:×2,,Colorless__Colorless,Beldum,Hisao Nakamura,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,tk2a-6,Plusle,Pokémon,Lightning,EX Trainer Kit 2 Plusle,6,,https://images.pokemontcg.io/tk2a/6_hires.png,https://images.pokemontcg.io/tk2a/6.png,60,,"[{""name"": ""Pickup Power"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your discard pile for an Energy card, show it to your opponent, and put it in your hand""}, {""name"": ""Rear Spark"", ""cost"": [""Lightning"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10"", ""text"": ""Does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Pickup Power|Rear Spark,|10,"Search your discard pile for an Energy card, show it to your opponent, and put it in your hand|Does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fighting:×2,Metal:-30,Colorless,,Katsura Tabata,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,tk2a-7,Spoink,Pokémon,Psychic,EX Trainer Kit 2 Plusle,7,,https://images.pokemontcg.io/tk2a/7_hires.png,https://images.pokemontcg.io/tk2a/7.png,50,,"[{""name"": ""Knock Away"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 10 damage plus 10 more damage.""}]",Knock Away,10+,"Flip a coin. If heads, this attack does 10 damage plus 10 more damage.",Psychic:×2,,Colorless,,Kagemaru Himeno,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,tk2a-8,Energy Search,Trainer,,EX Trainer Kit 2 Plusle,8,,https://images.pokemontcg.io/tk2a/8_hires.png,https://images.pokemontcg.io/tk2a/8.png,,,,,,,,,,,Kai Ishikawa,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,tk2a-9,Potion,Trainer,,EX Trainer Kit 2 Plusle,9,,https://images.pokemontcg.io/tk2a/9_hires.png,https://images.pokemontcg.io/tk2a/9.png,,,,,,,,,,,Keiji Kinebuchi,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,tk2a-10,Professor Cozmo's Discovery,Trainer,,EX Trainer Kit 2 Plusle,10,,https://images.pokemontcg.io/tk2a/10_hires.png,https://images.pokemontcg.io/tk2a/10.png,,,,,,,,,,,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,tk2a-11,Lightning Energy,Energy,,EX Trainer Kit 2 Plusle,11,,https://images.pokemontcg.io/tk2a/11_hires.png,https://images.pokemontcg.io/tk2a/11.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,tk2a-12,Psychic Energy,Energy,,EX Trainer Kit 2 Plusle,12,,https://images.pokemontcg.io/tk2a/12_hires.png,https://images.pokemontcg.io/tk2a/12.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
