Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,tk1a-1,Bagon,Pokémon,Colorless,EX Trainer Kit Latias,1,,https://images.pokemontcg.io/tk1a/1_hires.png,https://images.pokemontcg.io/tk1a/1.png,40,,"[{""name"": ""Headbutt"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Flare"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Headbutt|Flare,10|20,|,,,Colorless,,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,tk1a-2,Combusken,Pokémon,Fire,EX Trainer Kit Latias,2,,https://images.pokemontcg.io/tk1a/2_hires.png,https://images.pokemontcg.io/tk1a/2.png,70,,"[{""name"": ""Flare"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Double Kick"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40×"", ""text"": ""Flip 2 coins. This attack does 40 damage times the number of heads.""}]",Flare|Double Kick,20|40×,|Flip 2 coins. This attack does 40 damage times the number of heads.,Water:×2,,Colorless,Torchic,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,tk1a-3,Delcatty,Pokémon,Colorless,EX Trainer Kit Latias,3,,https://images.pokemontcg.io/tk1a/3_hires.png,https://images.pokemontcg.io/tk1a/3.png,80,,"[{""name"": ""Scratch"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}, {""name"": ""Ultra Energy Source"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""10×"", ""text"": ""Does 10 damage times the number of basic Energy cards attached to all of the Active Pokémon (both yours and your opponent's).""}]",Scratch|Ultra Energy Source,30|10×,|Does 10 damage times the number of basic Energy cards attached to all of the Active Pokémon (both yours and your opponent's).,Fighting:×2,,Colorless,Skitty,Midori Harada,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,tk1a-4,Latias,Pokémon,Colorless,EX Trainer Kit Latias,4,,https://images.pokemontcg.io/tk1a/4_hires.png,https://images.pokemontcg.io/tk1a/4.png,70,,"[{""name"": ""Dragon Dew"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Remove 1 damage counter from 1 of your Pokémon""}, {""name"": ""Heat Blast"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": """"}]",Dragon Dew|Heat Blast,10|40,Remove 1 damage counter from 1 of your Pokémon|,Psychic:×2,,Colorless,,Nakaoka,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,tk1a-5,Numel,Pokémon,Fire,EX Trainer Kit Latias,5,,https://images.pokemontcg.io/tk1a/5_hires.png,https://images.pokemontcg.io/tk1a/5.png,40,,"[{""name"": ""Firebreathing"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 10 damage plus 10 more damage.""}, {""name"": ""Tackle"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Firebreathing|Tackle,10+|20,"Flip a coin. If heads, this attack does 10 damage plus 10 more damage.|",Water:×2,,Colorless,,Yuka Morii,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,tk1a-6,Skitty,Pokémon,Colorless,EX Trainer Kit Latias,6,,https://images.pokemontcg.io/tk1a/6_hires.png,https://images.pokemontcg.io/tk1a/6.png,50,,"[{""name"": ""Tackle"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Lunge"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Flip a coin. If tails, this attack does nothing.""}]",Tackle|Lunge,10|30,"|Flip a coin. If tails, this attack does nothing.",Fighting:×2,,Colorless,,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,tk1a-7,Torchic,Pokémon,Fire,EX Trainer Kit Latias,7,,https://images.pokemontcg.io/tk1a/7_hires.png,https://images.pokemontcg.io/tk1a/7.png,50,,"[{""name"": ""Firebreathing"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Flip a coin. If heads, this attack does 20 damage plus 20 more damage.""}]",Firebreathing,20+,"Flip a coin. If heads, this attack does 20 damage plus 20 more damage.",Water:×2,,Colorless,,Hironobu Yoshida,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,tk1a-8,Potion,Trainer,,EX Trainer Kit Latias,8,,https://images.pokemontcg.io/tk1a/8_hires.png,https://images.pokemontcg.io/tk1a/8.png,,,,,,,,,,,Keiji Kinebuchi,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,tk1a-9,Energy Search,Trainer,,EX Trainer Kit Latias,9,,https://images.pokemontcg.io/tk1a/9_hires.png,https://images.pokemontcg.io/tk1a/9.png,,,,,,,,,,,Kai Ishikawa,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,tk1a-10,Fire Energy,Energy,,EX Trainer Kit Latias,10,,https://images.pokemontcg.io/tk1a/10_hires.png,https://images.pokemontcg.io/tk1a/10.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
