Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,tk1b-1,Electrike,Pokémon,Lightning,EX Trainer Kit Latios,1,,https://images.pokemontcg.io/tk1b/1_hires.png,https://images.pokemontcg.io/tk1b/1.png,50,,"[{""name"": ""Headbutt"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Headbutt,10,,Fighting:×2,Metal:-30,Colorless,,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,tk1b-2,Latios,Pokémon,Colorless,EX Trainer Kit Latios,2,,https://images.pokemontcg.io/tk1b/2_hires.png,https://images.pokemontcg.io/tk1b/2.png,80,,"[{""name"": ""Gather Energy"", ""cost"": [""Lightning"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, search your deck for a basic Energy card and attach it to 1 of your Pokémon. Shuffle your deck afterward.""}, {""name"": ""Dragon Claw"", ""cost"": [""Lightning"", ""Lightning"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": """"}]",Gather Energy|Dragon Claw,20|40,"Flip a coin. If heads, search your deck for a basic Energy card and attach it to 1 of your Pokémon. Shuffle your deck afterward.|",Psychic:×2,,Colorless,,Kyoko Koizumi,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,tk1b-3,Linoone,Pokémon,Colorless,EX Trainer Kit Latios,3,,https://images.pokemontcg.io/tk1b/3_hires.png,https://images.pokemontcg.io/tk1b/3.png,70,,"[{""name"": ""Seek Out"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for up to 2 cards and put them into your hand. Shuffle your deck afterward.""}, {""name"": ""Continuous Headbutt"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40×"", ""text"": ""Flip a coin until you get tails. This attack does 40 damage times the number of heads.""}]",Seek Out|Continuous Headbutt,|40×,Search your deck for up to 2 cards and put them into your hand. Shuffle your deck afterward.|Flip a coin until you get tails. This attack does 40 damage times the number of heads.,Fighting:×2,,Colorless,Zigzagoon,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,tk1b-4,Magnemite,Pokémon,Lightning,EX Trainer Kit Latios,4,,https://images.pokemontcg.io/tk1b/4_hires.png,https://images.pokemontcg.io/tk1b/4.png,40,,"[{""name"": ""Rollout"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Hook"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Rollout|Hook,10|20,|,Fighting:×2,Metal:-30,Colorless,,Tomokazu Komiya,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,tk1b-5,Magneton,Pokémon,Lightning,EX Trainer Kit Latios,5,,https://images.pokemontcg.io/tk1b/5_hires.png,https://images.pokemontcg.io/tk1b/5.png,80,,"[{""name"": ""Ram"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}, {""name"": ""Triple Smash"", ""cost"": [""Lightning"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""20+"", ""text"": ""Flip 3 coins. This attack does 20 damage plus 20 more damage for each heads.""}]",Ram|Triple Smash,20|20+,|Flip 3 coins. This attack does 20 damage plus 20 more damage for each heads.,Fighting:×2,,Colorless,Magnemite,Kyoko Umemoto,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,tk1b-6,Pikachu,Pokémon,Lightning,EX Trainer Kit Latios,6,,https://images.pokemontcg.io/tk1b/6_hires.png,https://images.pokemontcg.io/tk1b/6.png,50,,"[{""name"": ""Scratch"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Pika Bolt"", ""cost"": [""Lightning"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": """"}]",Scratch|Pika Bolt,10|40,|,Fighting:×2,,Colorless,,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,tk1b-7,Zigzagoon,Pokémon,Colorless,EX Trainer Kit Latios,7,,https://images.pokemontcg.io/tk1b/7_hires.png,https://images.pokemontcg.io/tk1b/7.png,40,,"[{""name"": ""Fury Swipes"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Flip 3 coins. This attack does 10 damage times the number of heads.""}]",Fury Swipes,10×,Flip 3 coins. This attack does 10 damage times the number of heads.,Fighting:×2,,Colorless,,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,tk1b-8,Potion,Trainer,,EX Trainer Kit Latios,8,,https://images.pokemontcg.io/tk1b/8_hires.png,https://images.pokemontcg.io/tk1b/8.png,,,,,,,,,,,Keiji Kinebuchi,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,tk1b-9,Energy Search,Trainer,,EX Trainer Kit Latios,9,,https://images.pokemontcg.io/tk1b/9_hires.png,https://images.pokemontcg.io/tk1b/9.png,,,,,,,,,,,Kai Ishikawa,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,tk1b-10,Lightning Energy,Energy,,EX Trainer Kit Latios,10,,https://images.pokemontcg.io/tk1b/10_hires.png,https://images.pokemontcg.io/tk1b/10.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
