Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex9-1,Blaziken,Pokémon,Fire,Emerald,1,Rare Holo,https://images.pokemontcg.io/ex9/1_hires.png,https://images.pokemontcg.io/ex9/1.png,110,"[{""name"": ""Blaze"", ""text"": ""As long as Blaziken's remaining HP is 40 or less, Blaziken does 40 more damage to the Defending Pokémon (before applying Weakness and Resistance)."", ""type"": ""Poké-Body""}]","[{""name"": ""Searing Flame"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""The Defending Pokémon is now Burned.""}, {""name"": ""Damage Burn"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""If the Defending Pokémon already has any damage counters on it, this attack does 50 damage plus 20 more damage.""}]",Searing Flame|Damage Burn,10|50+,"The Defending Pokémon is now Burned.|If the Defending Pokémon already has any damage counters on it, this attack does 50 damage plus 20 more damage.",Water:×2,,Colorless__Colorless,Combusken,Midori Harada,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,ex9-2,Deoxys,Pokémon,Psychic,Emerald,2,Rare Holo,https://images.pokemontcg.io/ex9/2_hires.png,https://images.pokemontcg.io/ex9/2.png,70,"[{""name"": ""Form Change"", ""text"": ""Once during your turn (before your attack), you may search your deck for another Deoxys and switch it with Deoxys. (Any cards attached to Deoxys, damage counters, Special Conditions, and effects on it are now on the new Pokémon.) If you do, put Deoxys on top of your deck. Shuffle your deck afterward. You can't use more than 1 Form Change Poké-Power each turn."", ""type"": ""Poké-Power""}]","[{""name"": ""Swift"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""This attack's damage isn't affected by Weakness, Resistance, Poké-Power, Poké-Bodies, or any other effects on the Defending Pokémon.""}]",Swift,30,"This attack's damage isn't affected by Weakness, Resistance, Poké-Power, Poké-Bodies, or any other effects on the Defending Pokémon.",Psychic:×2,,Colorless,,Hironobu Yoshida,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,ex9-3,Exploud,Pokémon,Colorless,Emerald,3,Rare Holo,https://images.pokemontcg.io/ex9/3_hires.png,https://images.pokemontcg.io/ex9/3.png,120,,"[{""name"": ""Collect"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw 3 cards.""}, {""name"": ""Body Slam"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}, {""name"": ""Hyper Voice"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}, {""name"": ""Mega Throw"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""60+"", ""text"": ""If the Defending Pokémon is Pokémon-ex, this attack does 60 damage plus 40 more damage.""}]",Collect|Body Slam|Hyper Voice|Mega Throw,|30|50|60+,"Draw 3 cards.|Flip a coin. If heads, the Defending Pokémon is now Paralyzed.||If the Defending Pokémon is Pokémon-ex, this attack does 60 damage plus 40 more damage.",Fighting:×2,,Colorless__Colorless,Loudred,Hajime Kusajima,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,ex9-4,Gardevoir,Pokémon,Psychic,Emerald,4,Rare Holo,https://images.pokemontcg.io/ex9/4_hires.png,https://images.pokemontcg.io/ex9/4.png,100,"[{""name"": ""Heal Dance"", ""text"": ""Once during your turn (before your attack), you may remove 2 damage counters from 1 of your Pokémon. You can't use more than 1 Heal Dance Poké-Power each turn. This power can't be used if Gardevoir is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Psypunch"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}, {""name"": ""Mind Shock"", ""cost"": [""Psychic"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""60"", ""text"": ""This attack's damage isn't affected by Weakness or Resistance.""}]",Psypunch|Mind Shock,30|60,|This attack's damage isn't affected by Weakness or Resistance.,Psychic:×2,,Colorless__Colorless,Kirlia,Kagemaru Himeno,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,ex9-5,Groudon,Pokémon,Fighting,Emerald,5,Rare Holo,https://images.pokemontcg.io/ex9/5_hires.png,https://images.pokemontcg.io/ex9/5.png,80,,"[{""name"": ""Slash"", ""cost"": [""Fighting""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Rock Tumble"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""This attack's damage isn't affected by Resistance.""}]",Slash|Rock Tumble,10|40,|This attack's damage isn't affected by Resistance.,Water:×2,,Colorless,,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,ex9-6,Kyogre,Pokémon,Water,Emerald,6,Rare Holo,https://images.pokemontcg.io/ex9/6_hires.png,https://images.pokemontcg.io/ex9/6.png,80,,"[{""name"": ""Ram"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Aqua Sonic"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""This attack's damage isn't affected by Resistance.""}]",Ram|Aqua Sonic,10|40,|This attack's damage isn't affected by Resistance.,Lightning:×2,,Colorless__Colorless,,Masakazu Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,ex9-7,Manectric,Pokémon,Lightning,Emerald,7,Rare Holo,https://images.pokemontcg.io/ex9/7_hires.png,https://images.pokemontcg.io/ex9/7.png,80,,"[{""name"": ""Swift"", ""cost"": [""Lightning"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on the Defending Pokémon.""}, {""name"": ""Tail Shock"", ""cost"": [""Lightning"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""Does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Swift|Tail Shock,20|40,"This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on the Defending Pokémon.|Does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fighting:×2,Metal:-30,Colorless,Electrike,Masakazu Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,ex9-8,Milotic,Pokémon,Water,Emerald,8,Rare Holo,https://images.pokemontcg.io/ex9/8_hires.png,https://images.pokemontcg.io/ex9/8.png,90,,"[{""name"": ""Surf"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Super Hypno Wave"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Asleep.""}]",Surf|Super Hypno Wave,20|50,"|Flip a coin. If heads, the Defending Pokémon is now Asleep.",Lightning:×2,,Colorless__Colorless,Feebas,Kagemaru Himeno,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,ex9-9,Rayquaza,Pokémon,Colorless,Emerald,9,Rare Holo,https://images.pokemontcg.io/ex9/9_hires.png,https://images.pokemontcg.io/ex9/9.png,80,,"[{""name"": ""Dragon Dance"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""During your next turn, if any of your current Active Pokémon does damage to any Defending Pokémon, the attack does 30 more damage (before applying Weakness and Resistance).""}, {""name"": ""Dragon Claw"", ""cost"": [""Fire"", ""Lightning"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": """"}]",Dragon Dance|Dragon Claw,|40,"During your next turn, if any of your current Active Pokémon does damage to any Defending Pokémon, the attack does 30 more damage (before applying Weakness and Resistance).|",Colorless:×2,,Colorless__Colorless,,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,ex9-10,Sceptile,Pokémon,Grass,Emerald,10,Rare Holo,https://images.pokemontcg.io/ex9/10_hires.png,https://images.pokemontcg.io/ex9/10.png,100,"[{""name"": ""Green Essence"", ""text"": ""As long as Sceptile is in play, each of your Active Pokémon that has Grass Energy attached to it can't be affected by any Special Conditions."", ""type"": ""Poké-Body""}]","[{""name"": ""Razor Leaf"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": """"}, {""name"": ""Swift"", ""cost"": [""Grass"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""60"", ""text"": ""This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on the Defending Pokémon.""}]",Razor Leaf|Swift,30|60,"|This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on the Defending Pokémon.",Fire:×2,Water:-30,Colorless__Colorless,Grovyle,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
