Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,bw2-1,Pansage,Pokémon,Grass,Emerging Powers,1,Common,https://images.pokemontcg.io/bw2/1_hires.png,https://images.pokemontcg.io/bw2/1.png,70,,"[{""name"": ""Collect"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw a card.""}, {""name"": ""Scratch"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Collect|Scratch,|20,Draw a card.|,Fire:×2,Water:-20,Colorless,,Kouki Saitou,This Pokémon dwells deep in the forest. Eating a leaf from its head whisks weariness away as if by magic.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,bw2-2,Simisage,Pokémon,Grass,Emerging Powers,2,Rare,https://images.pokemontcg.io/bw2/2_hires.png,https://images.pokemontcg.io/bw2/2.png,90,,"[{""name"": ""Fire's Power"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""If this Pokémon has any Fire Energy attached to it, the Defending Pokémon is now Burned.""}, {""name"": ""Seed Bomb"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Fire's Power|Seed Bomb,30|60,"If this Pokémon has any Fire Energy attached to it, the Defending Pokémon is now Burned.|",Fire:×2,Water:-20,Colorless__Colorless,Pansage,match,"Ill tempered, it fights by swinging its barbed tail around wildly. The leaf growing on its head is very bitter.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,bw2-3,Sewaddle,Pokémon,Grass,Emerging Powers,3,Common,https://images.pokemontcg.io/bw2/3_hires.png,https://images.pokemontcg.io/bw2/3.png,40,,"[{""name"": ""Tackle"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""String Shot"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}]",Tackle|String Shot,10|,"|Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Fire:×2,,Colorless,,Kagemaru Himeno,Leavanny dress it in clothes they made for it when it hatched. It hides its head in its hood while it is sleeping.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,bw2-4,Sewaddle,Pokémon,Grass,Emerging Powers,4,Common,https://images.pokemontcg.io/bw2/4_hires.png,https://images.pokemontcg.io/bw2/4.png,50,,"[{""name"": ""Gnaw"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Razor Leaf"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Gnaw|Razor Leaf,10|20,|,Fire:×2,,Colorless,,Naoki Saito,This Pokémon makes clothes for itself. It chews up leaves and sews them with sticky thread extruded from its mouth.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,bw2-5,Swadloon,Pokémon,Grass,Emerging Powers,5,Uncommon,https://images.pokemontcg.io/bw2/5_hires.png,https://images.pokemontcg.io/bw2/5.png,80,,"[{""name"": ""Gnaw"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Double Razor Leaf"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50×"", ""text"": ""Flip 2 coins. This attack does 50 damage times the number of heads.""}]",Gnaw|Double Razor Leaf,20|50×,|Flip 2 coins. This attack does 50 damage times the number of heads.,Fire:×2,,Colorless,Sewaddle,Naoki Saito,"It protects itself from the cold by wrapping up in leaves. It stays on the move, eating leaves in forests.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,bw2-6,Swadloon,Pokémon,Grass,Emerging Powers,6,Uncommon,https://images.pokemontcg.io/bw2/6_hires.png,https://images.pokemontcg.io/bw2/6.png,70,,"[{""name"": ""Grass Cocooning"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal 40 damage from this Pokémon.""}, {""name"": ""Razor Leaf"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Grass Cocooning|Razor Leaf,|20,Heal 40 damage from this Pokémon.|,Fire:×2,,Colorless__Colorless,Sewaddle,MAHOU,Forests where Swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,bw2-7,Leavanny,Pokémon,Grass,Emerging Powers,7,Rare,https://images.pokemontcg.io/bw2/7_hires.png,https://images.pokemontcg.io/bw2/7.png,130,,"[{""name"": ""Nurturing"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Choose 1 of your Pokémon. Search your deck for a card that evolves from that Pokémon and put it onto that Pokémon. (This counts as evolving that Pokémon.) Shuffle your deck afterward.""}, {""name"": ""X-Scissor"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""Flip a coin. If heads, this attack does 50 more damage.""}]",Nurturing|X-Scissor,|30+,"Choose 1 of your Pokémon. Search your deck for a card that evolves from that Pokémon and put it onto that Pokémon. (This counts as evolving that Pokémon.) Shuffle your deck afterward.|Flip a coin. If heads, this attack does 50 more damage.",Fire:×2,,Colorless,Swadloon,Kouki Saitou,"Upon finding a small Pokémon, it weaves clothing for it from leaves, using the cutters on its arms and sticky silk.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,bw2-8,Leavanny,Pokémon,Grass,Emerging Powers,8,Rare,https://images.pokemontcg.io/bw2/8_hires.png,https://images.pokemontcg.io/bw2/8.png,130,,"[{""name"": ""Slash"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": """"}, {""name"": ""Triple Cutter"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60×"", ""text"": ""Flip 3 coins. This attack does 60 damage times the number of heads.""}]",Slash|Triple Cutter,30|60×,|Flip 3 coins. This attack does 60 damage times the number of heads.,Fire:×2,,Colorless,Swadloon,Masakazu Fukuda,It keeps its eggs warm with heat from fermenting leaves. It also uses leaves to make warm wrappings for Sewaddle.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,bw2-9,Cottonee,Pokémon,Grass,Emerging Powers,9,Common,https://images.pokemontcg.io/bw2/9_hires.png,https://images.pokemontcg.io/bw2/9.png,40,,"[{""name"": ""Absorb"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Heal 10 damage from this Pokémon.""}]",Absorb,10,Heal 10 damage from this Pokémon.,Fire:×2,Water:-20,Colorless,,Atsuko Nishida,"They go wherever the wind takes them. On rainy days, their bodies are heavier, so they take shelter beneath big trees.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,bw2-10,Cottonee,Pokémon,Grass,Emerging Powers,10,Common,https://images.pokemontcg.io/bw2/10_hires.png,https://images.pokemontcg.io/bw2/10.png,50,,"[{""name"": ""Cotton Guard"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""During your opponent's next turn, any damage done to this Pokémon by attacks is reduced by 10 (after applying Weakness and Resistance).""}]",Cotton Guard,10,"During your opponent's next turn, any damage done to this Pokémon by attacks is reduced by 10 (after applying Weakness and Resistance).",Fire:×2,Water:-20,Colorless,,Kagemaru Himeno,"When attacked, it escapes by shooting cotton from its body. The cotton serves as a decoy to distract the attacker.",,,,,,,,,,,,,,,,,,,,,,,,,
