Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,xy12-1,Venusaur-EX,Pokémon,Grass,Evolutions,1,Rare Holo EX,https://images.pokemontcg.io/xy12/1_hires.png,https://images.pokemontcg.io/xy12/1.png,180,,"[{""name"": ""Poison Powder"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Your opponent's Active Pokémon is now Poisoned.""}, {""name"": ""Jungle Hammer"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""90"", ""text"": ""Heal 30 damage from this Pokémon.""}]",Poison Powder|Jungle Hammer,60|90,Your opponent's Active Pokémon is now Poisoned.|Heal 30 damage from this Pokémon.,Fire:×2,,Colorless__Colorless__Colorless__Colorless,,Eske Yoshinob,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,xy12-2,M Venusaur-EX,Pokémon,Grass,Evolutions,2,Rare Holo EX,https://images.pokemontcg.io/xy12/2_hires.png,https://images.pokemontcg.io/xy12/2.png,230,,"[{""name"": ""Crisis Vine"", ""cost"": [""Grass"", ""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""120"", ""text"": ""Your opponent's Active Pokémon is now Paralyzed and Poisoned.""}]",Crisis Vine,120,Your opponent's Active Pokémon is now Paralyzed and Poisoned.,Fire:×2,,Colorless__Colorless__Colorless__Colorless,Venusaur-EX,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,xy12-3,Caterpie,Pokémon,Grass,Evolutions,3,Common,https://images.pokemontcg.io/xy12/3_hires.png,https://images.pokemontcg.io/xy12/3.png,40,,"[{""name"": ""String Shot"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}]",String Shot,10,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Fire:×2,,Colorless,,Ken Sugimori,"It is covered with a green skin. When it grows, it sheds the skin, covers itself with silk, and becomes a cocoon.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,xy12-4,Metapod,Pokémon,Grass,Evolutions,4,Uncommon,https://images.pokemontcg.io/xy12/4_hires.png,https://images.pokemontcg.io/xy12/4.png,70,,"[{""name"": ""Stiffen"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""During your opponent's next turn, any damage done to this Pokémon by attacks is reduced by 40 (after applying Weakness and Resistance).""}, {""name"": ""Stun Spore"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}]",Stiffen|Stun Spore,|20,"During your opponent's next turn, any damage done to this Pokémon by attacks is reduced by 40 (after applying Weakness and Resistance).|Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Fire:×2,,Colorless__Colorless,Caterpie,Ken Sugimori,"Even though it is encased in a sturdy shell, the body inside is tender. It can't withstand a harsh attack.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,xy12-5,Weedle,Pokémon,Grass,Evolutions,5,Common,https://images.pokemontcg.io/xy12/5_hires.png,https://images.pokemontcg.io/xy12/5.png,40,,"[{""name"": ""Poison Sting"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Poisoned.""}]",Poison Sting,10,"Flip a coin. If heads, your opponent's Active Pokémon is now Poisoned.",Fire:×2,,Colorless,,Mitsuhiro Arita,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,xy12-6,Kakuna,Pokémon,Grass,Evolutions,6,Uncommon,https://images.pokemontcg.io/xy12/6_hires.png,https://images.pokemontcg.io/xy12/6.png,80,,"[{""name"": ""Stiffen"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""During your opponent's next turn, any damage done to this Pokémon by attacks is reduced by 40 (after applying Weakness and Resistance).""}, {""name"": ""Poison Powder"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Poisoned.""}]",Stiffen|Poison Powder,|20,"During your opponent's next turn, any damage done to this Pokémon by attacks is reduced by 40 (after applying Weakness and Resistance).|Flip a coin. If heads, your opponent's Active Pokémon is now Poisoned.",Fire:×2,,Colorless__Colorless,Weedle,Keiji Kinebuchi,This Pokémon is in a temporary stage while making its body. It is almost completely unable to move on its own.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,xy12-7,Beedrill,Pokémon,Grass,Evolutions,7,Rare,https://images.pokemontcg.io/xy12/7_hires.png,https://images.pokemontcg.io/xy12/7.png,120,,"[{""name"": ""Poison Sting"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Your opponent's Active Pokémon is now Poisoned.""}, {""name"": ""Swarming Sting"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""This attack does 40 damage times the number of Beedrill you have in play to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Poison Sting|Swarming Sting,30|,Your opponent's Active Pokémon is now Poisoned.|This attack does 40 damage times the number of Beedrill you have in play to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Fire:×2,,,Kakuna,Ken Sugimori,"May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,xy12-8,Tangela,Pokémon,Grass,Evolutions,8,Common,https://images.pokemontcg.io/xy12/8_hires.png,https://images.pokemontcg.io/xy12/8.png,80,,"[{""name"": ""Bind"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}, {""name"": ""Poison Powder"", ""cost"": [""Grass"", ""Grass"", ""Grass""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""Your opponent's Active Pokémon is now Poisoned.""}]",Bind|Poison Powder,20|30,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.|Your opponent's Active Pokémon is now Poisoned.",Fire:×2,,Colorless__Colorless,,Mitsuhiro Arita,Blue plant vines cloak the Pokémon's identity in a tangled mass. It entangles anything that gets close.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,xy12-9,Charmander,Pokémon,Fire,Evolutions,9,Common,https://images.pokemontcg.io/xy12/9_hires.png,https://images.pokemontcg.io/xy12/9.png,60,,"[{""name"": ""Scratch"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Ember"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Discard a Fire Energy attached to this Pokémon.""}]",Scratch|Ember,10|30,|Discard a Fire Energy attached to this Pokémon.,Water:×2,,Colorless,,Mitsuhiro Arita,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,xy12-10,Charmeleon,Pokémon,Fire,Evolutions,10,Uncommon,https://images.pokemontcg.io/xy12/10_hires.png,https://images.pokemontcg.io/xy12/10.png,80,,"[{""name"": ""Slash"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}, {""name"": ""Flamethrower"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""90"", ""text"": ""Discard a Fire Energy attached to this Pokémon.""}]",Slash|Flamethrower,50|90,|Discard a Fire Energy attached to this Pokémon.,Water:×2,,Colorless,Charmander,Mitsuhiro Arita,It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws.,,,,,,,,,,,,,,,,,,,,,,,,,
