Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ecard1-1,Alakazam,Pokémon,Psychic,Expedition Base Set,1,Rare Holo,https://images.pokemontcg.io/ecard1/1_hires.png,https://images.pokemontcg.io/ecard1/1.png,100,"[{""name"": ""Psymimic"", ""text"": ""Once during your turn, instead of Alakazam's normal attack, you may choose 1 of your opponent's Pokémon's attacks. Alakazam copies that attack including its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. (No matter what type that Pokémon is, Alakazam's type is still Psychic.) This power can't be used if Alakazam is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Syncroblast"", ""cost"": [""Psychic"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": ""If Alakazam and the Defending Pokémon don't have the same number of Energy cards attached to them, this attack's base damage is 20 instead of 80.""}]",Syncroblast,80,"If Alakazam and the Defending Pokémon don't have the same number of Energy cards attached to them, this attack's base damage is 20 instead of 80.",Psychic:×2,,Colorless__Colorless,Kadabra,Hajime Kusajima,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,ecard1-2,Ampharos,Pokémon,Lightning,Expedition Base Set,2,Rare Holo,https://images.pokemontcg.io/ecard1/2_hires.png,https://images.pokemontcg.io/ecard1/2.png,100,"[{""name"": ""Energy Connect"", ""text"": ""As often as you like during your turn (before your attack), you may take a basic Energy card attached to 1 of your Benched Pokémon and attach it to your Active Pokémon. This power can't be used if Ampharos is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Lightning Strike"", ""cost"": [""Lightning"", ""Lightning"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""40"", ""text"": ""You may discard all Lightning Energy cards attached to Ampharos. If you do, this attack's base damage is 80 instead of 40.""}]",Lightning Strike,40,"You may discard all Lightning Energy cards attached to Ampharos. If you do, this attack's base damage is 80 instead of 40.",Fighting:×2,,Colorless__Colorless,Flaaffy,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,ecard1-3,Arbok,Pokémon,Grass,Expedition Base Set,3,Rare Holo,https://images.pokemontcg.io/ecard1/3_hires.png,https://images.pokemontcg.io/ecard1/3.png,70,,"[{""name"": ""Poison Spray"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""The Defending Pokémon is now Poisoned.""}, {""name"": ""Poison Reaction"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""If the Defending Pokémon is Poisoned, this attack does 20 damage plus 20 more damage.""}]",Poison Spray|Poison Reaction,|20+,"The Defending Pokémon is now Poisoned.|If the Defending Pokémon is Poisoned, this attack does 20 damage plus 20 more damage.",Psychic:×2,,Colorless,Ekans,Kyoko Umemoto,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,ecard1-4,Blastoise,Pokémon,Water,Expedition Base Set,4,Rare Holo,https://images.pokemontcg.io/ecard1/4_hires.png,https://images.pokemontcg.io/ecard1/4.png,100,"[{""name"": ""Jet Stream"", ""text"": ""Once during your turn (before your attack), if Blastoise is your Active Pokémon, you may flip a coin. If heads, discard an Energy card attached to Blastoise, if any. Then, if there are any Energy cards attached to the Defending Pokémon, choose 1 of them and discard it. This power can't be used if Blastoise is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Energy Cannon"", ""cost"": [""Water"", ""Water"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""Does 40 damage plus 10 more damage for each Energy attached to Blastoise but not used to pay for this attack's Energy Cost. You can't add more than 20 damage in this way.""}]",Energy Cannon,40+,Does 40 damage plus 10 more damage for each Energy attached to Blastoise but not used to pay for this attack's Energy Cost. You can't add more than 20 damage in this way.,Lightning:×2,,Colorless__Colorless,Wartortle,Kimiya Masago,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,ecard1-5,Butterfree,Pokémon,Grass,Expedition Base Set,5,Rare Holo,https://images.pokemontcg.io/ecard1/5_hires.png,https://images.pokemontcg.io/ecard1/5.png,80,"[{""name"": ""Miraculous Powder"", ""text"": ""Once during your turn (before your attack), you may remove all Special Conditions from your Active Pokémon. This power can't be used if Butterfree is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Spiral Drain"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""Flip a coin. If heads, remove 2 damage counters from Butterfree.""}]",Spiral Drain,40,"Flip a coin. If heads, remove 2 damage counters from Butterfree.",Fire:×2,,,Metapod,Sumiyoshi Kizuki,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,ecard1-6,Charizard,Pokémon,Fire,Expedition Base Set,6,Rare Holo,https://images.pokemontcg.io/ecard1/6_hires.png,https://images.pokemontcg.io/ecard1/6.png,120,"[{""name"": ""Burning Energy"", ""text"": ""Once during your turn (before your attack), you may turn all basic Energy attached to all of your Pokémon into Fire Energy for the rest of the turn. This power can't be used if Charizard is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Scorching Whirlwind"", ""cost"": [""Fire"", ""Fire"", ""Fire"", ""Fire""], ""convertedEnergyCost"": 4, ""damage"": ""120"", ""text"": ""Flip 2 coins. If 1 of them is tails, discard 2 Energy cards attached to Charizard. If both are tails, discard all Energy cards attached to Charizard.""}]",Scorching Whirlwind,120,"Flip 2 coins. If 1 of them is tails, discard 2 Energy cards attached to Charizard. If both are tails, discard all Energy cards attached to Charizard.",Water:×2,,Colorless__Colorless__Colorless,Charmeleon,Hiromichi Sugiyama,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,ecard1-7,Clefable,Pokémon,Colorless,Expedition Base Set,7,Rare Holo,https://images.pokemontcg.io/ecard1/7_hires.png,https://images.pokemontcg.io/ecard1/7.png,70,"[{""name"": ""Moonlight"", ""text"": ""Once during your turn (before your attack), you may put a card from your hand back on your deck. If you do, search your deck for a basic Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward. This power can't be used if Clefable is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Doubleslap"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20×"", ""text"": ""Flip 2 coins. This attack does 20 times the number of heads.""}]",Doubleslap,20×,Flip 2 coins. This attack does 20 times the number of heads.,Fighting:×2,,Colorless,Clefairy,Kagemaru Himeno,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,ecard1-8,Cloyster,Pokémon,Water,Expedition Base Set,8,Rare Holo,https://images.pokemontcg.io/ecard1/8_hires.png,https://images.pokemontcg.io/ecard1/8.png,80,,"[{""name"": ""Lick"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}, {""name"": ""Auto Fire"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""20×"", ""text"": ""Flip 4 coins. This attack does 20 damage times the number of heads.""}]",Lick|Auto Fire,10|20×,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.|Flip 4 coins. This attack does 20 damage times the number of heads.",Metal:×2,,Colorless__Colorless,Shellder,Kyoko Umemoto,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,ecard1-9,Dragonite,Pokémon,Colorless,Expedition Base Set,9,Rare Holo,https://images.pokemontcg.io/ecard1/9_hires.png,https://images.pokemontcg.io/ecard1/9.png,100,"[{""name"": ""Tailwind"", ""text"": ""Once during your turn (before your attack), if Dragonite is on your Bench, you may reduce your Active Pokémon's Retreat Cost to 0."", ""type"": ""Poké-Power""}]","[{""name"": ""Dragon Tail"", ""cost"": [""Lightning"", ""Water"", ""Fighting""], ""convertedEnergyCost"": 3, ""damage"": ""40×"", ""text"": ""Flip 2 coins. This attack does 40 damage times the number of heads.""}]",Dragon Tail,40×,Flip 2 coins. This attack does 40 damage times the number of heads.,,,Colorless__Colorless,Dragonair,Kagemaru Himeno,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,ecard1-10,Dugtrio,Pokémon,Fighting,Expedition Base Set,10,Rare Holo,https://images.pokemontcg.io/ecard1/10_hires.png,https://images.pokemontcg.io/ecard1/10.png,70,,"[{""name"": ""Mud Slap"", ""cost"": [""Fighting""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Magnitude"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""Does 10 damage to each Benched Pokémon (yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Mud Slap|Magnitude,20|40,|Does 10 damage to each Benched Pokémon (yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pokémon.),Grass:×2,Lightning:-30,Colorless,Diglett,Masako Yamashita,,,,,,,,,,,,,,,,,,,,,,,,,,
