Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,xy10-1,Shuckle,Pokémon,Grass,Fates Collide,1,Uncommon,https://images.pokemontcg.io/xy10/1_hires.png,https://images.pokemontcg.io/xy10/1.png,80,,"[{""name"": ""Hide a Berry"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw 2 cards. Then, put a card from your hand on the bottom of your deck.""}, {""name"": ""Wrap"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}]",Hide a Berry|Wrap,|30,"Draw 2 cards. Then, put a card from your hand on the bottom of your deck.|Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Fire:×2,,Colorless,,sui,"It stores Berries inside its shell. To avoid attacks, it hides beneath rocks and remains completely still.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,xy10-2,Burmy,Pokémon,Grass,Fates Collide,2,Common,https://images.pokemontcg.io/xy10/2_hires.png,https://images.pokemontcg.io/xy10/2.png,60,,"[{""name"": ""Hang Down"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Hang Down,10,,Fire:×2,,Colorless,,Kouki Saitou,"If its cloak is broken in battle, it quickly remakes the cloak with materials nearby.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,xy10-3,Wormadam,Pokémon,Grass,Fates Collide,3,Uncommon,https://images.pokemontcg.io/xy10/3_hires.png,https://images.pokemontcg.io/xy10/3.png,120,,"[{""name"": ""Solar Ray"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Heal 20 damage from each of your Pokémon.""}, {""name"": ""Leaf Cutter"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60+"", ""text"": ""Flip a coin. If heads, this attack does 30 more damage.""}]",Solar Ray|Leaf Cutter,20|60+,"Heal 20 damage from each of your Pokémon.|Flip a coin. If heads, this attack does 30 more damage.",Fire:×2,,Colorless__Colorless,Burmy,kawayoo,"When Burmy evolved, its cloak became a part of this Pokémon's body. The cloak is never shed.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,xy10-4,Mothim,Pokémon,Grass,Fates Collide,4,Rare,https://images.pokemontcg.io/xy10/4_hires.png,https://images.pokemontcg.io/xy10/4.png,90,"[{""name"": ""Wormadam First"", ""text"": ""As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your Wormadam to another of your Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Gust"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Gust,60,,Lightning:×2,Fighting:-20,,Burmy,MAHOU,It flutters around at night and steals honey from the Combee hive.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,xy10-5,Snivy,Pokémon,Grass,Fates Collide,5,Common,https://images.pokemontcg.io/xy10/5_hires.png,https://images.pokemontcg.io/xy10/5.png,60,,"[{""name"": ""Blot"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Heal 10 damage from this Pokémon.""}]",Blot,10,Heal 10 damage from this Pokémon.,Fire:×2,,Colorless,,Atsuko Nishida,"They photosynthesize by bathing their tails in sunlight. When they are not feeling well, their tails droop.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,xy10-6,Servine,Pokémon,Grass,Fates Collide,6,Uncommon,https://images.pokemontcg.io/xy10/6_hires.png,https://images.pokemontcg.io/xy10/6.png,70,"[{""name"": ""Serpentine Strangle"", ""text"": ""When you play this Pokémon from your hand to evolve 1 of your Pokémon, you may flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed."", ""type"": ""Ability""}]","[{""name"": ""Vine Whip"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Vine Whip,20,,Fire:×2,,Colorless,Snivy,Sumiyoshi Kizuki,"When it gets dirty, its leaves can't be used in photosynthesis, so it always keeps itself clean.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,xy10-7,Serperior,Pokémon,Grass,Fates Collide,7,Rare,https://images.pokemontcg.io/xy10/7_hires.png,https://images.pokemontcg.io/xy10/7.png,140,,"[{""name"": ""Coil"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""40"", ""text"": ""During your next turn, this Pokémon's attacks do 60 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance).""}, {""name"": ""Slashing Strike"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""80"", ""text"": ""This Pokémon can't use Slashing Strike during your next turn.""}]",Coil|Slashing Strike,40|80,"During your next turn, this Pokémon's attacks do 60 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance).|This Pokémon can't use Slashing Strike during your next turn.",Fire:×2,,Colorless__Colorless,Servine,You Iribi,It can stop its opponents' movements with just a glare. It takes in solar energy and boosts it internally.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,xy10-8,Deerling,Pokémon,Grass,Fates Collide,8,Common,https://images.pokemontcg.io/xy10/8_hires.png,https://images.pokemontcg.io/xy10/8.png,60,,"[{""name"": ""Find a Friend"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Pokémon, reveal it, and put it into your hand. Shuffle your deck afterward.""}]",Find a Friend,,"Search your deck for a Pokémon, reveal it, and put it into your hand. Shuffle your deck afterward.",Fire:×2,,Colorless,,Kanako Eo,The turning of the seasons changes the color and scent of this Pokémon's fur. People use it to mark the seasons.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,xy10-9,Moltres,Pokémon,Fire,Fates Collide,9,Rare,https://images.pokemontcg.io/xy10/9_hires.png,https://images.pokemontcg.io/xy10/9.png,120,,"[{""name"": ""Combustion"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Flying Flare"", ""cost"": [""Fire"", ""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80+"", ""text"": ""You may do 40 more damage. If you do, this Pokémon does 20 damage to itself.""}]",Combustion|Flying Flare,20|80+,"|You may do 40 more damage. If you do, this Pokémon does 20 damage to itself.",Water:×2,Fighting:-20,Colorless,,OOYAMA,One of the legendary bird Pokémon. It is said that its appearance indicates the coming of spring.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,xy10-10,Fennekin,Pokémon,Fire,Fates Collide,10,Common,https://images.pokemontcg.io/xy10/10_hires.png,https://images.pokemontcg.io/xy10/10.png,60,,"[{""name"": ""Will-O-Wisp"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Tail Whip"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Flip a coin. If heads, the Defending Pokémon can't attack during your opponent's next turn.""}]",Will-O-Wisp|Tail Whip,10|,"|Flip a coin. If heads, the Defending Pokémon can't attack during your opponent's next turn.",Water:×2,,Colorless,,Akira Komayama,"As it walks, it munches on a twig in place of a snack. It intimidates opponents by puffing hot air out of its ears.",,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,xy10-11,Fennekin,Pokémon,Fire,Fates Collide,11,Common,https://images.pokemontcg.io/xy10/11_hires.png,https://images.pokemontcg.io/xy10/11.png,50,,"[{""name"": ""Invite Out"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, switch 1 of your opponent's Benched Pokémon with his or her Active Pokémon.""}]",Invite Out,,"Flip a coin. If heads, switch 1 of your opponent's Benched Pokémon with his or her Active Pokémon.",Water:×2,,Colorless,,kirisAki,"As it walks, it munches on a twig in place of a snack. It intimidates opponents by puffing hot air out of its ears.",,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,xy10-12,Braixen,Pokémon,Fire,Fates Collide,12,Uncommon,https://images.pokemontcg.io/xy10/12_hires.png,https://images.pokemontcg.io/xy10/12.png,80,,"[{""name"": ""Destructive Flame"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, discard an Energy attached to your opponent's Active Pokémon.""}, {""name"": ""Crackling Ribbon"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Destructive Flame|Crackling Ribbon,20|30,"Flip a coin. If heads, discard an Energy attached to your opponent's Active Pokémon.|",Water:×2,,Colorless,Fennekin,kirisAki,"When the twig is plucked from its tail, friction sets the twig alight. The flame is used to send signals to its allies.",,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,xy10-13,Delphox,Pokémon,Fire,Fates Collide,13,Rare Holo,https://images.pokemontcg.io/xy10/13_hires.png,https://images.pokemontcg.io/xy10/13.png,140,,"[{""name"": ""Flickering Flames"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""40"", ""text"": ""Your opponent's Active Pokémon is now Asleep.""}, {""name"": ""Psystorm"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""20×"", ""text"": ""This attack does 20 damage times the amount of Energy attached to all Pokémon in play.""}]",Flickering Flames|Psystorm,40|20×,Your opponent's Active Pokémon is now Asleep.|This attack does 20 damage times the amount of Energy attached to all Pokémon in play.,Water:×2,,Colorless__Colorless,Braixen,Kagemaru Himeno,"Using psychic power, it generates a fiery vortex of 5,400 degree Fahrenheit, incinerating foes swept into this whirl of flame.",,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,xy10-14,Delphox BREAK,Pokémon,Fire,Fates Collide,14,Rare BREAK,https://images.pokemontcg.io/xy10/14_hires.png,https://images.pokemontcg.io/xy10/14.png,180,"[{""name"": ""Flare Witch"", ""text"": ""Once during your turn (before your attack), you may search your deck for a Fire Energy card and attach it to 1 of your Pokémon. Shuffle your deck afterward."", ""type"": ""Ability""}]",,,,,,,,Delphox,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,xy10-15,Seel,Pokémon,Water,Fates Collide,15,Common,https://images.pokemontcg.io/xy10/15_hires.png,https://images.pokemontcg.io/xy10/15.png,80,,"[{""name"": ""Icy Snow"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Icy Snow,10,,Metal:×2,,Colorless__Colorless,,Hasuno,"Covered with light blue fur, its hide is thick and tough. It is active in bitter cold of -40 degrees Fahrenheit.",,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,xy10-16,Dewgong,Pokémon,Water,Fates Collide,16,Uncommon,https://images.pokemontcg.io/xy10/16_hires.png,https://images.pokemontcg.io/xy10/16.png,120,,"[{""name"": ""Freezing Breath"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed. If tails, your opponent's Active Pokémon is now Asleep.""}, {""name"": ""Aurora Beam"", ""cost"": [""Water"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""100"", ""text"": """"}]",Freezing Breath|Aurora Beam,20|100,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed. If tails, your opponent's Active Pokémon is now Asleep.|",Metal:×2,,Colorless__Colorless__Colorless,Seel,Naoyo Kimura,"Its streamlined body has little drag in water. The colder the temperature, the friskier it gets.",,,,,,,,,,,,,,,,,,,,,,,,,
016.jpg,xy10-17,Omanyte,Pokémon,Water,Fates Collide,17,Uncommon,https://images.pokemontcg.io/xy10/17_hires.png,https://images.pokemontcg.io/xy10/17.png,80,,"[{""name"": ""Water Gun"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": """"}]",Water Gun,30,,Grass:×2,,Colorless__Colorless,Helix Fossil Omanyte,Shigenori Negishi,"Revived from an ancient fossil, this Pokémon uses air stored in its shell to sink and rise in water.",,,,,,,,,,,,,,,,,,,,,,,,,
017.jpg,xy10-18,Omastar,Pokémon,Water,Fates Collide,18,Rare,https://images.pokemontcg.io/xy10/18_hires.png,https://images.pokemontcg.io/xy10/18.png,120,"[{""name"": ""Restoring Beam"", ""text"": ""Once during your turn (before your attack), you may search your deck for a Restored Pokémon and put it onto your Bench. Shuffle your deck afterward."", ""type"": ""Ability""}]","[{""name"": ""Spinning Attack"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""60"", ""text"": """"}]",Spinning Attack,60,,Grass:×2,,Colorless__Colorless,Omanyte,Hasuno,"Once wrapped around its prey, it never lets go. It eats the prey by tearing at it with sharp fangs.",,,,,,,,,,,,,,,,,,,,,,,,,
018.jpg,xy10-19,Omastar BREAK,Pokémon,Water,Fates Collide,19,Rare BREAK,https://images.pokemontcg.io/xy10/19_hires.png,https://images.pokemontcg.io/xy10/19.png,140,"[{""name"": ""Dangerous Tentacle"", ""text"": ""Once during your turn (before your attack), you may switch 1 of your opponent's Benched Pokémon-EX with his or her Active Pokémon."", ""type"": ""Ability""}]",,,,,,,,Omastar,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
019.jpg,xy10-20,Glaceon-EX,Pokémon,Water,Fates Collide,20,Rare Holo EX,https://images.pokemontcg.io/xy10/20_hires.png,https://images.pokemontcg.io/xy10/20.png,170,,"[{""name"": ""Second Bite"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""This attack does 10 more damage for each damage counter on your opponent's Active Pokémon.""}, {""name"": ""Crystal Ray"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": ""During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Evolution Pokémon.""}]",Second Bite|Crystal Ray,20+|70,"This attack does 10 more damage for each damage counter on your opponent's Active Pokémon.|During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Evolution Pokémon.",Metal:×2,,Colorless__Colorless,,Ayaka Yoshida,,,,,,,,,,,,,,,,,,,,,,,,,,
020.jpg,xy10-21,White Kyurem,Pokémon,Water,Fates Collide,21,Rare Holo,https://images.pokemontcg.io/xy10/21_hires.png,https://images.pokemontcg.io/xy10/21.png,130,,"[{""name"": ""Burning Icicles"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""If this Pokémon has any Fire Energy attached to it, this attack does 20 damage to 2 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Blizzard Burn"", ""cost"": [""Water"", ""Water"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""130"", ""text"": ""This Pokémon can't attack during your next turn.""}]",Burning Icicles|Blizzard Burn,40|130,"If this Pokémon has any Fire Energy attached to it, this attack does 20 damage to 2 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|This Pokémon can't attack during your next turn.",Metal:×2,,Colorless__Colorless__Colorless,,kawayoo,"It generates a powerful, freezing energy inside itself, but its body became frozen when the energy leaked out.",,,,,,,,,,,,,,,,,,,,,,,,,
