Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex6-1,Beedrill,Pokémon,Grass,FireRed & LeafGreen,1,Rare Holo,https://images.pokemontcg.io/ex6/1_hires.png,https://images.pokemontcg.io/ex6/1.png,90,,"[{""name"": ""Poison Sting"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""The Defending Pokémon is now Poisoned.""}, {""name"": ""Link Needle"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""This attack does 50 damage plus 30 more damage for each Beedrill (excluding this one) you have in play.""}]",Poison Sting|Link Needle,20|50+,The Defending Pokémon is now Poisoned.|This attack does 50 damage plus 30 more damage for each Beedrill (excluding this one) you have in play.,Fire:×2,,,Kakuna,Hajime Kusajima,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,ex6-2,Butterfree,Pokémon,Grass,FireRed & LeafGreen,2,Rare Holo,https://images.pokemontcg.io/ex6/2_hires.png,https://images.pokemontcg.io/ex6/2.png,100,"[{""name"": ""Sooth Dust"", ""text"": ""As long as Butterfree is your Active Pokémon, remove 1 damage counter from each of your Pokémon between turns."", ""type"": ""Poké-Body""}]","[{""name"": ""Whirlwind"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Your opponent switches the Defending Pokémon with 1 of his or her Benched Pokémon.""}, {""name"": ""Gust"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Whirlwind|Gust,30|50,Your opponent switches the Defending Pokémon with 1 of his or her Benched Pokémon.|,Lightning:×2,Fighting:-30,,Metapod,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,ex6-3,Dewgong,Pokémon,Water,FireRed & LeafGreen,3,Rare Holo,https://images.pokemontcg.io/ex6/3_hires.png,https://images.pokemontcg.io/ex6/3.png,80,"[{""name"": ""Safeguard"", ""text"": ""Prevent all effects of attacks, including damage, done to Dewgong by your opponent's Pokémon-ex."", ""type"": ""Poké-Body""}]","[{""name"": ""Cold Breath"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""The Defending Pokémon is now Asleep.""}, {""name"": ""Aurora Beam"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": """"}]",Cold Breath|Aurora Beam,10|40,The Defending Pokémon is now Asleep.|,Metal:×2,,Colorless__Colorless,Seel,Toshinao Aoki,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,ex6-4,Ditto,Pokémon,Colorless,FireRed & LeafGreen,4,Rare Holo,https://images.pokemontcg.io/ex6/4_hires.png,https://images.pokemontcg.io/ex6/4.png,60,"[{""name"": ""Form Variation"", ""text"": ""Once during your turn (before your attack), you may search your discard pile for a Basic Pokémon (excluding Pokémon-ex and Ditto) and switch it with Ditto. (Any cards attached to Ditto, damage counters, Special Conditions, and effects on it are now on the new Pokémon.) Place Ditto in the discard pile."", ""type"": ""Poké-Power""}]","[{""name"": ""Energy Ball"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Does 10 damage plus 10 more damage for each Energy attached to Ditto but not used to pay for this attack's Energy cost. You can't add more then 20 damage in this way.""}]",Energy Ball,10+,Does 10 damage plus 10 more damage for each Energy attached to Ditto but not used to pay for this attack's Energy cost. You can't add more then 20 damage in this way.,Fighting:×2,,Colorless,,Miki Tanaka,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,ex6-5,Exeggutor,Pokémon,Psychic,FireRed & LeafGreen,5,Rare Holo,https://images.pokemontcg.io/ex6/5_hires.png,https://images.pokemontcg.io/ex6/5.png,80,,"[{""name"": ""Psychic Exchange"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Shuffle your hand into your deck. Draw up to 8 cards.""}, {""name"": ""Big Eggsplosion"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40×"", ""text"": ""Flip a coin for each Energy attached to Exeggutor. This attack does 40 damage times the number of heads.""}]",Psychic Exchange|Big Eggsplosion,|40×,Shuffle your hand into your deck. Draw up to 8 cards.|Flip a coin for each Energy attached to Exeggutor. This attack does 40 damage times the number of heads.,Psychic:×2,,Colorless__Colorless,Exeggcute,Tomokazu Komiya,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,ex6-6,Kangaskhan,Pokémon,Colorless,FireRed & LeafGreen,6,Rare Holo,https://images.pokemontcg.io/ex6/6_hires.png,https://images.pokemontcg.io/ex6/6.png,80,,"[{""name"": ""Fetch"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw a card.""}, {""name"": ""Headbutt"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}, {""name"": ""One-Two Punch"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30+"", ""text"": ""Flip a coin. If heads, this attack does 30 damage plus 20 more damage.""}]",Fetch|Headbutt|One-Two Punch,|20|30+,"Draw a card.||Flip a coin. If heads, this attack does 30 damage plus 20 more damage.",Fighting:×2,,Colorless__Colorless,,Naoyo Kimura,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,ex6-7,Marowak,Pokémon,Fighting,FireRed & LeafGreen,7,Rare Holo,https://images.pokemontcg.io/ex6/7_hires.png,https://images.pokemontcg.io/ex6/7.png,80,,"[{""name"": ""Linear Attack"", ""cost"": [""Fighting"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon. This attack does 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Vengeance"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30+"", ""text"": ""Does 30 damage plus 10 more damage for each Basic Pokémon and each Evolution card in your discard pile. You can't add more than 60 damage in this way.""}]",Linear Attack|Vengeance,|30+,Choose 1 of your opponent's Pokémon. This attack does 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|Does 30 damage plus 10 more damage for each Basic Pokémon and each Evolution card in your discard pile. You can't add more than 60 damage in this way.,Grass:×2,,Colorless,Cubone,Aya Kusube,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,ex6-8,Nidoking,Pokémon,Fighting,FireRed & LeafGreen,8,Rare Holo,https://images.pokemontcg.io/ex6/8_hires.png,https://images.pokemontcg.io/ex6/8.png,120,"[{""name"": ""Power Gene"", ""text"": ""As long as Nidoking is in play, your attacks by Nidoran ♀, Nidorina, Nidoqueen, Nidoran ♂, and Nidorino do 10 more damage to the Defending Pokémon."", ""type"": ""Poké-Body""}]","[{""name"": ""Earth Poison"", ""cost"": [""Fighting"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""If the Defending Pokémon already has any damage counters on it, the Defending Pokémon is now Poisoned.""}, {""name"": ""Bound Crush"", ""cost"": [""Fighting"", ""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon. This attack does 60 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) Nidoking can't use Bound Crush during your next turn.""}]",Earth Poison|Bound Crush,40|,"If the Defending Pokémon already has any damage counters on it, the Defending Pokémon is now Poisoned.|Choose 1 of your opponent's Pokémon. This attack does 60 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) Nidoking can't use Bound Crush during your next turn.",Water:×2,,Colorless__Colorless__Colorless,Nidorino,Hisao Nakamura,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,ex6-9,Nidoqueen,Pokémon,Fighting,FireRed & LeafGreen,9,Rare Holo,https://images.pokemontcg.io/ex6/9_hires.png,https://images.pokemontcg.io/ex6/9.png,120,"[{""name"": ""Family Bonds"", ""text"": ""As long as Nidoqueen is in play, the Retreat Cost for Nidoran ♀, Nidorina, Nidoran ♂, Nidorino and Nidoking is 0."", ""type"": ""Poké-Body""}]","[{""name"": ""Toxic"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""The Defending Pokémon is now Poisoned. Put 2 damage counters instead of 1 on the Defending Pokémon between turns.""}, {""name"": ""Power Lariat"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""Does 40 damage plus 10 more damage for each Evolved Pokémon you have in play.""}]",Toxic|Power Lariat,|40+,The Defending Pokémon is now Poisoned. Put 2 damage counters instead of 1 on the Defending Pokémon between turns.|Does 40 damage plus 10 more damage for each Evolved Pokémon you have in play.,Grass:×2,,Colorless__Colorless,Nidorina,Naoyo Kimura,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,ex6-10,Pidgeot,Pokémon,Colorless,FireRed & LeafGreen,10,Rare Holo,https://images.pokemontcg.io/ex6/10_hires.png,https://images.pokemontcg.io/ex6/10.png,100,"[{""name"": ""Quick Search"", ""text"": ""Once during your turn (before your attack), you may choose any 1 card from your deck and put it into your hand. Shuffle your deck afterward. You can't use more than 1 Quick Search Poké-Power each turn. This power can't be used if Pidgeot is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Clutch"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""The Defending Pokémon can't retreat until the end of your opponent's next turn.""}]",Clutch,40,The Defending Pokémon can't retreat until the end of your opponent's next turn.,Lightning:×2,Fighting:-30,,Pidgeotto,Midori Harada,,,,,,,,,,,,,,,,,,,,,,,,,,
