Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,xy2-1,Caterpie,Pokémon,Grass,Flashfire,1,Common,https://images.pokemontcg.io/xy2/1_hires.png,https://images.pokemontcg.io/xy2/1.png,40,"[{""name"": ""Adaptive Evolution"", ""text"": ""This Pokémon can evolve during your first turn or the turn you play it."", ""type"": ""Ability""}]","[{""name"": ""Bug Bite"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Bug Bite,10,,Fire:×2,,Colorless,,Sumiyoshi Kizuki,"For protection, it releases a horrible stench from the antennae on its head to drive away enemies.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,xy2-2,Metapod,Pokémon,Grass,Flashfire,2,Uncommon,https://images.pokemontcg.io/xy2/2_hires.png,https://images.pokemontcg.io/xy2/2.png,70,"[{""name"": ""Adaptive Evolution"", ""text"": ""This Pokémon can evolve during your first turn or the turn you play it."", ""type"": ""Ability""}]","[{""name"": ""Harden"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""During your opponent's next turn, if this Pokémon would be damaged by an attack, prevent that attack's damage done to this Pokémon if that damage is 60 or less.""}]",Harden,,"During your opponent's next turn, if this Pokémon would be damaged by an attack, prevent that attack's damage done to this Pokémon if that damage is 60 or less.",Fire:×2,,Colorless__Colorless,Caterpie,kawayoo,A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,xy2-3,Butterfree,Pokémon,Grass,Flashfire,3,Rare,https://images.pokemontcg.io/xy2/3_hires.png,https://images.pokemontcg.io/xy2/3.png,130,,"[{""name"": ""Quiver Dance"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a basic Energy card and attach it to this Pokémon. Shuffle your deck afterward. If you attached Energy in this way, heal 40 damage from this Pokémon.""}, {""name"": ""Gust"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": """"}]",Quiver Dance|Gust,|70,"Search your deck for a basic Energy card and attach it to this Pokémon. Shuffle your deck afterward. If you attached Energy in this way, heal 40 damage from this Pokémon.|",Lightning:×2,Fighting:-20,Colorless,Metapod,sui,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,xy2-4,Pineco,Pokémon,Grass,Flashfire,4,Common,https://images.pokemontcg.io/xy2/4_hires.png,https://images.pokemontcg.io/xy2/4.png,60,,"[{""name"": ""Ram"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Ram,20,,Fire:×2,,Colorless__Colorless,,Suwama Chiaki,It likes to make its shell thicker by adding layers of tree bark. The additional weight doesn't bother it.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,xy2-5,Seedot,Pokémon,Grass,Flashfire,5,Common,https://images.pokemontcg.io/xy2/5_hires.png,https://images.pokemontcg.io/xy2/5.png,50,,"[{""name"": ""Call for Family"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Basic Pokémon and put it onto your Bench. Shuffle your deck afterward.""}]",Call for Family,,Search your deck for a Basic Pokémon and put it onto your Bench. Shuffle your deck afterward.,Fire:×2,,Colorless,,Naoyo Kimura,It attaches itself to a tree branch using the top of its head. Strong winds can sometimes make it fall.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,xy2-6,Nuzleaf,Pokémon,Grass,Flashfire,6,Uncommon,https://images.pokemontcg.io/xy2/6_hires.png,https://images.pokemontcg.io/xy2/6.png,80,,"[{""name"": ""Razor Leaf"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Cut"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": """"}]",Razor Leaf|Cut,20|40,|,Fire:×2,,Colorless,Seedot,Midori Harada,The sound of its grass flute makes its listeners uneasy. It lives deep in forests.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,xy2-7,Shiftry,Pokémon,Grass,Flashfire,7,Rare Holo,https://images.pokemontcg.io/xy2/7_hires.png,https://images.pokemontcg.io/xy2/7.png,140,"[{""name"": ""Leaf Draw"", ""text"": ""Once during your turn (before your attack), you may discard a Grass Energy card from your hand. If you do, draw 3 cards."", ""type"": ""Ability""}]","[{""name"": ""Deranged Dance"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""20×"", ""text"": ""This attack does 20 damage times the number of Benched Pokémon (both yours and your opponent's).""}]",Deranged Dance,20×,This attack does 20 damage times the number of Benched Pokémon (both yours and your opponent's).,Fire:×2,,Colorless__Colorless,Nuzleaf,Kouki Saitou,A Pokémon that was feared as a forest guardian. It can read the foe's mind and take preemptive action.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,xy2-8,Roselia,Pokémon,Grass,Flashfire,8,Common,https://images.pokemontcg.io/xy2/8_hires.png,https://images.pokemontcg.io/xy2/8.png,60,,"[{""name"": ""Sleep Powder"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Asleep.""}, {""name"": ""Cut"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Sleep Powder|Cut,10|20,"Flip a coin. If heads, your opponent's Active Pokémon is now Asleep.|",Fire:×2,,Colorless,,kirisAki,"It uses the different poisons in each hand separately when it attacks. The stronger its aroma, the healthier it is.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,xy2-9,Roserade,Pokémon,Grass,Flashfire,9,Uncommon,https://images.pokemontcg.io/xy2/9_hires.png,https://images.pokemontcg.io/xy2/9.png,90,,"[{""name"": ""Whiplash"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin until you get tails. For each heads, discard an Energy attached to your opponent's Active Pokémon.""}, {""name"": ""Mega Drain"", ""cost"": [""Grass"", ""Grass"", ""Grass""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": ""Heal 20 damage from this Pokémon.""}]",Whiplash|Mega Drain,|70,"Flip a coin until you get tails. For each heads, discard an Energy attached to your opponent's Active Pokémon.|Heal 20 damage from this Pokémon.",Fire:×2,,Colorless,Roselia,Masakazu Fukuda,"Luring prey with a sweet scent, it uses poison whips on its arms to poison, bind, and finish off the prey.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,xy2-10,Maractus,Pokémon,Grass,Flashfire,10,Uncommon,https://images.pokemontcg.io/xy2/10_hires.png,https://images.pokemontcg.io/xy2/10.png,90,,"[{""name"": ""Exciting Shake"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""During your next turn, flip 6 coins instead of 2 for this Pokémon's Prickly Needles attack.""}, {""name"": ""Prickly Needles"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20×"", ""text"": ""Flip 2 coins. This attack does 20 damage times the number of heads.""}]",Exciting Shake|Prickly Needles,|20×,"During your next turn, flip 6 coins instead of 2 for this Pokémon's Prickly Needles attack.|Flip 2 coins. This attack does 20 damage times the number of heads.",Fire:×2,,Colorless,,match,It uses an up-tempo song and dance to drive away the bird Pokémon that prey on its flower seeds.,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,xy2-11,Charizard-EX,Pokémon,Fire,Flashfire,11,Rare Holo EX,https://images.pokemontcg.io/xy2/11_hires.png,https://images.pokemontcg.io/xy2/11.png,180,,"[{""name"": ""Stoke"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, search your deck for up to 3 basic Energy cards and attach them to this Pokémon. Shuffle your deck afterward.""}, {""name"": ""Fire Blast"", ""cost"": [""Fire"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""120"", ""text"": ""Discard an Energy attached to this Pokémon.""}]",Stoke|Fire Blast,|120,"Flip a coin. If heads, search your deck for up to 3 basic Energy cards and attach them to this Pokémon. Shuffle your deck afterward.|Discard an Energy attached to this Pokémon.",Water:×2,,Colorless__Colorless,,Eske Yoshinob,,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,xy2-12,Charizard-EX,Pokémon,Fire,Flashfire,12,Rare Holo EX,https://images.pokemontcg.io/xy2/12_hires.png,https://images.pokemontcg.io/xy2/12.png,180,,"[{""name"": ""Wing Attack"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}, {""name"": ""Combustion Blast"", ""cost"": [""Fire"", ""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""150"", ""text"": ""This Pokémon can't use Combustion Blast during your next turn.""}]",Wing Attack|Combustion Blast,60|150,|This Pokémon can't use Combustion Blast during your next turn.,Water:×2,,Colorless__Colorless,,PLANETA,,,,,,,,,,,,,,,,,,,,,,,,,,
