Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm6-1,Exeggcute,Pokémon,Grass,Forbidden Light,1,Common,https://images.pokemontcg.io/sm6/1_hires.png,https://images.pokemontcg.io/sm6/1.png,40,,"[{""name"": ""Multiply"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for Exeggcute and put it onto your Bench. Then, shuffle your deck.""}]",Multiply,,"Search your deck for Exeggcute and put it onto your Bench. Then, shuffle your deck.",Fire:×2,,Colorless,,Yuka Morii,"Six of them together form a full-fledged Pokémon. It's often hunted by Crabrawler, but uses psychokinesis to drive it off.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sm6-2,Alolan Exeggutor,Pokémon,Grass,Forbidden Light,2,Rare,https://images.pokemontcg.io/sm6/2_hires.png,https://images.pokemontcg.io/sm6/2.png,160,,"[{""name"": ""Tropical Shake"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20+"", ""text"": ""This attack does 20 more damage for each type of basic Energy card in your discard pile. You can't add more than 100 damage in this way.""}]",Tropical Shake,20+,This attack does 20 more damage for each type of basic Energy card in your discard pile. You can't add more than 100 damage in this way.,Fire:×2,,Colorless__Colorless__Colorless,Exeggcute,Satoshi Shirai,"As it grew taller and taller, it outgrew its reliance on psychic powers, while within it awakened the power of the sleeping dragon.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sm6-2a,Alolan Exeggutor,Pokémon,Grass,Forbidden Light,2a,Rare,https://images.pokemontcg.io/sm6/2a_hires.png,https://images.pokemontcg.io/sm6/2a.png,160,,"[{""name"": ""Tropical Shake"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20+"", ""text"": ""This attack does 20 more damage for each type of basic Energy card in your discard pile. You can't add more than 100 damage in this way.""}]",Tropical Shake,20+,This attack does 20 more damage for each type of basic Energy card in your discard pile. You can't add more than 100 damage in this way.,Fire:×2,,Colorless__Colorless__Colorless,Exeggcute,kawayoo,"As it grew taller and taller, it outgrew its reliance on psychic powers, while within it awakened the power of the sleeping dragon.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sm6-3,Snover,Pokémon,Grass,Forbidden Light,3,Common,https://images.pokemontcg.io/sm6/3_hires.png,https://images.pokemontcg.io/sm6/3.png,80,,"[{""name"": ""Ice Shard"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""If your opponent's Active Pokémon is a Fighting Pokémon, this attack does 40 more damage.""}]",Ice Shard,20+,"If your opponent's Active Pokémon is a Fighting Pokémon, this attack does 40 more damage.",Fire:×2,,Colorless__Colorless__Colorless,,match,"In the spring, it grows berries with the texture of frozen treats around its belly.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sm6-4,Abomasnow,Pokémon,Grass,Forbidden Light,4,Rare,https://images.pokemontcg.io/sm6/4_hires.png,https://images.pokemontcg.io/sm6/4.png,130,"[{""name"": ""Blessings of the Frost"", ""text"": ""When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may attach a Grass Energy card from your discard pile to 1 of your Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Hypno Hammer"", ""cost"": [""Grass"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80"", ""text"": ""Your opponent's Active Pokémon is now Asleep.""}]",Hypno Hammer,80,Your opponent's Active Pokémon is now Asleep.,Fire:×2,,Colorless__Colorless__Colorless,Snover,Masakazu Fukuda,It lives a quiet life on mountains that are perpetually covered in snow. It hides itself by whipping up blizzards.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sm6-5,Scatterbug,Pokémon,Grass,Forbidden Light,5,Common,https://images.pokemontcg.io/sm6/5_hires.png,https://images.pokemontcg.io/sm6/5.png,30,"[{""name"": ""Abnormal Outbreak"", ""text"": ""You can use this Ability only if you go second. Once during your first turn (before your attack), you may search your deck for a Spewpa and a Vivillon, reveal them, and put them into your hand. Then, shuffle your deck."", ""type"": ""Ability""}]","[{""name"": ""Tackle"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10"", ""text"": """"}]",Tackle,10,,Fire:×2,,Colorless,,kirisAki,"The powder that covers its body regulates its temperature, so it can live in any region or climate.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sm6-6,Scatterbug,Pokémon,Grass,Forbidden Light,6,Common,https://images.pokemontcg.io/sm6/6_hires.png,https://images.pokemontcg.io/sm6/6.png,40,,"[{""name"": ""Ultra Evolution"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, search your deck for Vivillon and put it onto this Scatterbug to evolve it. Then, shuffle your deck.""}]",Ultra Evolution,,"Flip a coin. If heads, search your deck for Vivillon and put it onto this Scatterbug to evolve it. Then, shuffle your deck.",Fire:×2,,Colorless,,Ken Sugimori,"The powder that covers its body regulates its temperature, so it can live in any region or climate.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sm6-7,Spewpa,Pokémon,Grass,Forbidden Light,7,Uncommon,https://images.pokemontcg.io/sm6/7_hires.png,https://images.pokemontcg.io/sm6/7.png,70,,"[{""name"": ""String Shot"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}]",String Shot,20,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Fire:×2,,Colorless__Colorless,Scatterbug,Miki Tanaka,"The beaks of birds can't begin to scratch its stalwart body. To defend itself, it spews powder.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sm6-8,Vivillon,Pokémon,Grass,Forbidden Light,8,Rare,https://images.pokemontcg.io/sm6/8_hires.png,https://images.pokemontcg.io/sm6/8.png,130,,"[{""name"": ""Vivid Powder"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""50"", ""text"": ""Your opponent's Active Pokémon is now Asleep and Poisoned.""}]",Vivid Powder,50,Your opponent's Active Pokémon is now Asleep and Poisoned.,Lightning:×2,Fighting:-20,Colorless,Spewpa,Akira Komayama,The patterns on this Pokémon's wings depend on the climate and topography of its habitat. It scatters colorful scales.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sm6-9,Skiddo,Pokémon,Grass,Forbidden Light,9,Common,https://images.pokemontcg.io/sm6/9_hires.png,https://images.pokemontcg.io/sm6/9.png,70,,"[{""name"": ""Growth"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Attach a Grass Energy card from your hand to this Pokémon.""}, {""name"": ""Razor Leaf"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": """"}]",Growth|Razor Leaf,|40,Attach a Grass Energy card from your hand to this Pokémon.|,Fire:×2,,Colorless__Colorless,,Suwama Chiaki,"If it has sunshine and water, it doesn't need to eat, because it can generate energy from the leaves on its back.",,,,,,,,,,,,,,,,,,,,,,,,,
