Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,xy3-1,Bellsprout,Pokémon,Grass,Furious Fists,1,Common,https://images.pokemontcg.io/xy3/1_hires.png,https://images.pokemontcg.io/xy3/1.png,50,,"[{""name"": ""Vine Whip"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Knock Off"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Discard a random card from your opponent's hand.""}]",Vine Whip|Knock Off,10|,|Discard a random card from your opponent's hand.,Fire:×2,,Colorless,,Kanako Eo,"Even though its body is extremely skinny, it is blindingly fast when catching its prey.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,xy3-2,Weepinbell,Pokémon,Grass,Furious Fists,2,Uncommon,https://images.pokemontcg.io/xy3/2_hires.png,https://images.pokemontcg.io/xy3/2.png,80,,"[{""name"": ""Vine Whip"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}, {""name"": ""Spit Poison"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""Your opponent's Active Pokémon is now Poisoned.""}]",Vine Whip|Spit Poison,20|40,|Your opponent's Active Pokémon is now Poisoned.,Fire:×2,,Colorless__Colorless,Bellsprout,Mizue,The leafy parts act as cutters for slashing foes. It spits a fluid that dissolves everything.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,xy3-3,Victreebel,Pokémon,Grass,Furious Fists,3,Rare Holo,https://images.pokemontcg.io/xy3/3_hires.png,https://images.pokemontcg.io/xy3/3.png,130,"[{""name"": ""Wafting Scent"", ""text"": ""Once during your turn (before your attack), you may discard a Grass Energy attached to this Pokémon. If you do, your opponent's Active Pokémon is now Confused and Poisoned."", ""type"": ""Ability""}]","[{""name"": ""Spiral Drain"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Heal 30 damage from this Pokémon.""}]",Spiral Drain,60,Heal 30 damage from this Pokémon.,Fire:×2,,Colorless__Colorless,Weepinbell,Sanosuke Sakuma,"Said to live in huge colonies deep in jungles, although no one has ever returned from there.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,xy3-4,Heracross-EX,Pokémon,Grass,Furious Fists,4,Rare Holo EX,https://images.pokemontcg.io/xy3/4_hires.png,https://images.pokemontcg.io/xy3/4.png,170,,"[{""name"": ""Guard Press"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""During your opponent's next turn, any damage done to this Pokémon by attacks is reduced by 20 (after applying Weakness and Resistance).""}, {""name"": ""Giga Power"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80+"", ""text"": ""You may do 40 more damage. If you do, this Pokémon does 20 damage to itself. | When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.""}]",Guard Press|Giga Power,40|80+,"During your opponent's next turn, any damage done to this Pokémon by attacks is reduced by 20 (after applying Weakness and Resistance).|You may do 40 more damage. If you do, this Pokémon does 20 damage to itself. | When a Pokémon-EX has been Knocked Out, your opponent takes 2 Prize cards.",Fire:×2,,Colorless__Colorless__Colorless,,Eske Yoshinob,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,xy3-5,M Heracross-EX,Pokémon,Grass,Furious Fists,5,Rare Holo EX,https://images.pokemontcg.io/xy3/5_hires.png,https://images.pokemontcg.io/xy3/5.png,220,,"[{""name"": ""Big Bang Horn"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""180-"", ""text"": ""This attack does 180 damage minus 10 damage for each damage counter on this Pokémon.""}]",Big Bang Horn,180-,This attack does 180 damage minus 10 damage for each damage counter on this Pokémon.,Fire:×2,,Colorless__Colorless__Colorless,Heracross-EX,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,xy3-6,Shroomish,Pokémon,Grass,Furious Fists,6,Common,https://images.pokemontcg.io/xy3/6_hires.png,https://images.pokemontcg.io/xy3/6.png,60,,"[{""name"": ""Tackle"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Tackle,10,,Fire:×2,,Colorless,,Kyoko Umemoto,It prefers damp places. By day it remains still in the forest shade. It releases toxic powder from its head.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,xy3-7,Leafeon,Pokémon,Grass,Furious Fists,7,Rare,https://images.pokemontcg.io/xy3/7_hires.png,https://images.pokemontcg.io/xy3/7.png,90,,"[{""name"": ""Soothing Scent"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Your opponent's Active Pokémon is now Asleep.""}, {""name"": ""Magical Leaf"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""Flip a coin. If heads, this attack does 30 more damage and heal 30 damage from this Pokémon.""}]",Soothing Scent|Magical Leaf,30|50+,"Your opponent's Active Pokémon is now Asleep.|Flip a coin. If heads, this attack does 30 more damage and heal 30 damage from this Pokémon.",Fire:×2,,Colorless,Eevee,Naoyo Kimura,"When you see Leafeon asleep in a patch of sunshine, you'll know it is using photosynthesis to produce clean air.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,xy3-8,Shelmet,Pokémon,Grass,Furious Fists,8,Common,https://images.pokemontcg.io/xy3/8_hires.png,https://images.pokemontcg.io/xy3/8.png,60,,"[{""name"": ""Jump On"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 10 more damage.""}]",Jump On,10+,"Flip a coin. If heads, this attack does 10 more damage.",Fire:×2,,Colorless__Colorless__Colorless,,sui,"When it and Karrablast are together, and both receive electrical stimulation, they both evolve.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,xy3-9,Accelgor,Pokémon,Grass,Furious Fists,9,Uncommon,https://images.pokemontcg.io/xy3/9_hires.png,https://images.pokemontcg.io/xy3/9.png,90,,"[{""name"": ""Raid"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20+"", ""text"": ""If this Pokémon evolved from Shelmet during this turn, this attack does 40 more damage.""}, {""name"": ""Afterimage Strike"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""If any damage is done to this Pokémon by attacks during your opponent's next turn, flip a coin. If heads, prevent that damage.""}]",Raid|Afterimage Strike,20+|40,"If this Pokémon evolved from Shelmet during this turn, this attack does 40 more damage.|If any damage is done to this Pokémon by attacks during your opponent's next turn, flip a coin. If heads, prevent that damage.",Fire:×2,,,Shelmet,Shin Nagasawa,"Having removed its heavy shell, it becomes very light and can fight with ninja-like movements.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,xy3-10,Magmar,Pokémon,Fire,Furious Fists,10,Common,https://images.pokemontcg.io/xy3/10_hires.png,https://images.pokemontcg.io/xy3/10.png,80,,"[{""name"": ""Ram"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Ember"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Discard a Fire Energy attached to this Pokémon.""}]",Ram|Ember,10|30,|Discard a Fire Energy attached to this Pokémon.,Water:×2,,Colorless__Colorless,,MAHOU,"Found near the mouth of a volcano. This fire-breather's body temperature is nearly 2,200 degrees Fahrenheit.",,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,xy3-11,Magmortar,Pokémon,Fire,Furious Fists,11,Rare,https://images.pokemontcg.io/xy3/11_hires.png,https://images.pokemontcg.io/xy3/11.png,120,,"[{""name"": ""Flame Charge"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Search your deck for a Fire Energy card and attach it to this Pokémon. Shuffle your deck afterward.""}, {""name"": ""Twin Bursts"", ""cost"": [""Fire"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80+"", ""text"": ""If Electivire is on your Bench, this attack does 80 more damage.""}]",Flame Charge|Twin Bursts,30|80+,"Search your deck for a Fire Energy card and attach it to this Pokémon. Shuffle your deck afterward.|If Electivire is on your Bench, this attack does 80 more damage.",Water:×2,,Colorless__Colorless__Colorless,Magmar,PLANETA,"It blasts fireballs of over 3,600 degrees Fahrenheit from the ends of its arms. It lives in volcanic craters.",,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,xy3-12,Torchic,Pokémon,Fire,Furious Fists,12,Common,https://images.pokemontcg.io/xy3/12_hires.png,https://images.pokemontcg.io/xy3/12.png,60,,"[{""name"": ""Quick Attack"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 30 more damage.""}]",Quick Attack,10+,"Flip a coin. If heads, this attack does 30 more damage.",Water:×2,,Colorless,,Sanosuke Sakuma,It has a flame sac inside its belly that perpetually burns. It feels warm if it is hugged.,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,xy3-13,Combusken,Pokémon,Fire,Furious Fists,13,Uncommon,https://images.pokemontcg.io/xy3/13_hires.png,https://images.pokemontcg.io/xy3/13.png,80,,"[{""name"": ""Slash"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}, {""name"": ""Midair Strike"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""Flip a coin. If heads, this attack does 20 more damage.""}]",Slash|Midair Strike,30|50+,"|Flip a coin. If heads, this attack does 20 more damage.",Water:×2,,Colorless,Torchic,Shin Nagasawa,Its kicking mastery lets it loose 10 kicks per second. It emits sharp cries to intimidate foes.,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,xy3-14,Blaziken,Pokémon,Fire,Furious Fists,14,Rare Holo,https://images.pokemontcg.io/xy3/14_hires.png,https://images.pokemontcg.io/xy3/14.png,140,,"[{""name"": ""Clutch"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": ""The Defending Pokémon can't retreat during your opponent's next turn.""}, {""name"": ""Burning Shot"", ""cost"": [""Fire"", ""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": """", ""text"": ""Discard 2 Energy attached to this Pokémon. This attack does 150 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Clutch|Burning Shot,50|,The Defending Pokémon can't retreat during your opponent's next turn.|Discard 2 Energy attached to this Pokémon. This attack does 150 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Water:×2,,Colorless__Colorless,Combusken,PLANETA,It can clear a 30-story building in a leap. Its fiery punches scorch its foes.,,,,,,,,,,,,,,,,,,,,,,,,,
