Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh8-1,Caterpie,Pokémon,Grass,Fusion Strike,1,Common,https://images.pokemontcg.io/swsh8/1_hires.png,https://images.pokemontcg.io/swsh8/1.png,50,,"[{""name"": ""Flock"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Caterpie and put it onto your Bench. Then, shuffle your deck.""}, {""name"": ""Bug Bite"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Flock|Bug Bite,|10,"Search your deck for a Caterpie and put it onto your Bench. Then, shuffle your deck.|",Fire:×2,,Colorless,,Mitsuhiro Arita,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh8-2,Metapod,Pokémon,Grass,Fusion Strike,2,Uncommon,https://images.pokemontcg.io/swsh8/2_hires.png,https://images.pokemontcg.io/swsh8/2.png,80,"[{""name"": ""Exoskeleton"", ""text"": ""This Pokémon takes 20 less damage from attacks (after applying Weakness and Resistance)."", ""type"": ""Ability""}]","[{""name"": ""Ram"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Ram,10,,Fire:×2,,Colorless__Colorless__Colorless,Caterpie,Saya Tsuruta,"Even though it is encased in a sturdy shell, the body inside is tender. It can't withstand a harsh attack.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh8-3,Butterfree,Pokémon,Grass,Fusion Strike,3,Rare Holo,https://images.pokemontcg.io/swsh8/3_hires.png,https://images.pokemontcg.io/swsh8/3.png,120,"[{""name"": ""Tricolored Scales"", ""text"": ""When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may make your opponent's Active Pokémon Burned, Confused, and Poisoned."", ""type"": ""Ability""}]","[{""name"": ""Gust"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""90"", ""text"": """"}]",Gust,90,,Fire:×2,,Colorless,Metapod,ryoma uratsuka,It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh8-4,Shroomish,Pokémon,Grass,Fusion Strike,4,Common,https://images.pokemontcg.io/swsh8/4_hires.png,https://images.pokemontcg.io/swsh8/4.png,60,,"[{""name"": ""Tackle"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Seed Bomb"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Tackle|Seed Bomb,10|20,|,Fire:×2,,Colorless,,Naoyo Kimura,It spouts poison spores from the top of its head. These spores cause pain all over if inhaled.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh8-5,Breloom,Pokémon,Grass,Fusion Strike,5,Uncommon,https://images.pokemontcg.io/swsh8/5_hires.png,https://images.pokemontcg.io/swsh8/5.png,120,,"[{""name"": ""Headbutt"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": """"}, {""name"": ""Impact Blow"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""150"", ""text"": ""During your next turn, this Pokémon can't use Impact Blow.""}]",Headbutt|Impact Blow,30|150,"|During your next turn, this Pokémon can't use Impact Blow.",Fire:×2,,Colorless__Colorless,Shroomish,Yukiko Baba,It scatters poisonous spores and throws powerful punches while its foe is hampered by inhaled spores.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh8-6,Breloom V,Pokémon,Grass,Fusion Strike,6,Rare Holo V,https://images.pokemontcg.io/swsh8/6_hires.png,https://images.pokemontcg.io/swsh8/6.png,210,,"[{""name"": ""Counter"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""If this Pokémon was damaged by an attack during your opponent's last turn, this attack does that much more damage.""}, {""name"": ""Mach Cross"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""140"", ""text"": """"}]",Counter|Mach Cross,20+|140,"If this Pokémon was damaged by an attack during your opponent's last turn, this attack does that much more damage.|",Fire:×2,,Colorless__Colorless,,PLANETA Mochizuki,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh8-7,Pansage,Pokémon,Grass,Fusion Strike,7,Common,https://images.pokemontcg.io/swsh8/7_hires.png,https://images.pokemontcg.io/swsh8/7.png,60,,"[{""name"": ""Scratch"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Scratch,20,,Fire:×2,,Colorless,,Nagomi Nijo,It's good at finding berries and gathers them from all over. It's kind enough to share them with friends.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh8-8,Simisage,Pokémon,Grass,Fusion Strike,8,Uncommon,https://images.pokemontcg.io/swsh8/8_hires.png,https://images.pokemontcg.io/swsh8/8.png,100,,"[{""name"": ""Return"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""You may draw cards until you have 6 cards in your hand.""}, {""name"": ""Whip Smash"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""70"", ""text"": """"}]",Return|Whip Smash,30|70,You may draw cards until you have 6 cards in your hand.|,Fire:×2,,Colorless,Pansage,Akira Komayama,"Ill tempered, it fights by swinging its barbed tail around wildly. The leaf growing on its head is very bitter.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh8-9,Sewaddle,Pokémon,Grass,Fusion Strike,9,Common,https://images.pokemontcg.io/swsh8/9_hires.png,https://images.pokemontcg.io/swsh8/9.png,50,,"[{""name"": ""Grass Munch"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Discard a Grass Energy from your opponent's Active Pokémon.""}]",Grass Munch,10,Discard a Grass Energy from your opponent's Active Pokémon.,Fire:×2,,Colorless,,Akira Komayama,"Since this Pokémon makes its own clothes out of leaves, it is a popular mascot for fashion designers.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh8-10,Swadloon,Pokémon,Grass,Fusion Strike,10,Uncommon,https://images.pokemontcg.io/swsh8/10_hires.png,https://images.pokemontcg.io/swsh8/10.png,80,,"[{""name"": ""Trip Over"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Seed Bomb"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Trip Over|Seed Bomb,10+|60,"Flip a coin. If heads, this attack does 20 more damage.|",Fire:×2,,Colorless__Colorless,Sewaddle,0313,"It protects itself from the cold by wrapping up in leaves. It stays on the move, eating leaves in forests.",,,,,,,,,,,,,,,,,,,,,,,,,
