Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,g1-1,Venusaur-EX,Pokémon,Grass,Generations,1,Rare Holo EX,https://images.pokemontcg.io/g1/1_hires.png,https://images.pokemontcg.io/g1/1.png,180,,"[{""name"": ""Frog Hop"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""Flip a coin. If heads, this attack does 40 more damage.""}, {""name"": ""Poison Impact"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80"", ""text"": ""Your opponent's Active Pokémon is now Asleep and Poisoned.""}]",Frog Hop|Poison Impact,40+|80,"Flip a coin. If heads, this attack does 40 more damage.|Your opponent's Active Pokémon is now Asleep and Poisoned.",Fire:×2,,Colorless__Colorless__Colorless__Colorless,,Eske Yoshinob,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,g1-2,M Venusaur-EX,Pokémon,Grass,Generations,2,Rare Holo EX,https://images.pokemontcg.io/g1/2_hires.png,https://images.pokemontcg.io/g1/2.png,230,,"[{""name"": ""Bloom Buster"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""130"", ""text"": ""Flip a coin. If heads, this attack does 30 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Bloom Buster,130,"Flip a coin. If heads, this attack does 30 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fire:×2,,Colorless__Colorless__Colorless__Colorless,Venusaur-EX,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,g1-3,Caterpie,Pokémon,Grass,Generations,3,Common,https://images.pokemontcg.io/g1/3_hires.png,https://images.pokemontcg.io/g1/3.png,40,"[{""name"": ""Adaptive Evolution"", ""text"": ""This Pokémon can evolve during your first turn or the turn you play it."", ""type"": ""Ability""}]","[{""name"": ""Bug Bite"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Bug Bite,10,,Fire:×2,,Colorless,,Sumiyoshi Kizuki,"For protection, it releases a horrible stench from the antennae on its head to drive away enemies.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,g1-4,Metapod,Pokémon,Grass,Generations,4,Uncommon,https://images.pokemontcg.io/g1/4_hires.png,https://images.pokemontcg.io/g1/4.png,70,"[{""name"": ""Adaptive Evolution"", ""text"": ""This Pokémon can evolve during your first turn or the turn you play it."", ""type"": ""Ability""}]","[{""name"": ""Harden"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""During your opponent's next turn, if this Pokémon would be damaged by an attack, prevent that attack's damage done to this Pokémon if that damage is 60 or less.""}]",Harden,,"During your opponent's next turn, if this Pokémon would be damaged by an attack, prevent that attack's damage done to this Pokémon if that damage is 60 or less.",Fire:×2,,Colorless__Colorless,Caterpie,kawayoo,A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,g1-5,Butterfree,Pokémon,Grass,Generations,5,Rare Holo,https://images.pokemontcg.io/g1/5_hires.png,https://images.pokemontcg.io/g1/5.png,130,,"[{""name"": ""Quiver Dance"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a basic Energy card and attach it to this Pokémon. Shuffle your deck afterward. If you attached Energy in this way, heal 40 damage from this Pokémon.""}, {""name"": ""Gust"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": """"}]",Quiver Dance|Gust,|70,"Search your deck for a basic Energy card and attach it to this Pokémon. Shuffle your deck afterward. If you attached Energy in this way, heal 40 damage from this Pokémon.|",Lightning:×2,Fighting:-20,Colorless,Metapod,miki kudo,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,g1-6,Paras,Pokémon,Grass,Generations,6,Common,https://images.pokemontcg.io/g1/6_hires.png,https://images.pokemontcg.io/g1/6.png,60,,"[{""name"": ""Blot"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Heal 10 damage from this Pokémon.""}]",Blot,10,Heal 10 damage from this Pokémon.,Fire:×2,,Colorless,,Aya Kusube,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,g1-7,Parasect,Pokémon,Grass,Generations,7,Rare,https://images.pokemontcg.io/g1/7_hires.png,https://images.pokemontcg.io/g1/7.png,100,,"[{""name"": ""Colorful Spores"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Choose 3 of your Pokémon. For each of those Pokémon, search your deck for a different type of basic Energy card and attach it to that Pokémon. Shuffle your deck afterward.""}, {""name"": ""X-Scissor"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""Flip a coin. If heads, this attack does 30 more damage.""}]",Colorful Spores|X-Scissor,|30+,"Choose 3 of your Pokémon. For each of those Pokémon, search your deck for a different type of basic Energy card and attach it to that Pokémon. Shuffle your deck afterward.|Flip a coin. If heads, this attack does 30 more damage.",Fire:×2,,Colorless__Colorless,Paras,Sumiyoshi Kizuki,"The larger the mushroom on its back grows, the stronger the mushroom spores it scatters.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,g1-8,Tangela,Pokémon,Grass,Generations,8,Common,https://images.pokemontcg.io/g1/8_hires.png,https://images.pokemontcg.io/g1/8.png,80,,"[{""name"": ""Absorb"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Heal 20 damage from this Pokémon.""}, {""name"": ""Vine Whip"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": """"}]",Absorb|Vine Whip,20|30,Heal 20 damage from this Pokémon.|,Fire:×2,,Colorless__Colorless,,match,It tangles any moving thing with its vines. Their subtle shaking is ticklish if you get ensnared.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,g1-9,Pinsir,Pokémon,Grass,Generations,9,Rare,https://images.pokemontcg.io/g1/9_hires.png,https://images.pokemontcg.io/g1/9.png,100,,"[{""name"": ""Overhead Throw"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""This attack does 20 damage to 1 of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Heavy Suplex"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""This attack does 20 more damage for each Colorless in your opponent's Active Pokémon's Retreat Cost.""}]",Overhead Throw|Heavy Suplex,30|40+,This attack does 20 damage to 1 of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|This attack does 20 more damage for each Colorless in your opponent's Active Pokémon's Retreat Cost.,Fire:×2,,Colorless__Colorless,,Satoshi Shirai,"It swings its long antlers wildly to attack. During cold periods, it hides deep in forests.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,g1-10,Leafeon-EX,Pokémon,Grass,Generations,10,Rare Holo EX,https://images.pokemontcg.io/g1/10_hires.png,https://images.pokemontcg.io/g1/10.png,170,,"[{""name"": ""Leaf Blade"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""Flip a coin. If heads, this attack does 30 more damage.""}, {""name"": ""Nature's Breath"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""90+"", ""text"": ""If there is any Stadium card in play, this attack does 30 more damage and heal 30 damage from this Pokémon.""}]",Leaf Blade|Nature's Breath,30+|90+,"Flip a coin. If heads, this attack does 30 more damage.|If there is any Stadium card in play, this attack does 30 more damage and heal 30 damage from this Pokémon.",Fire:×2,,Colorless__Colorless,,Naoki Saito,,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,g1-11,Charizard-EX,Pokémon,Fire,Generations,11,Rare Holo EX,https://images.pokemontcg.io/g1/11_hires.png,https://images.pokemontcg.io/g1/11.png,180,,"[{""name"": ""Flame Cloak"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Attach a Fire Energy card from your discard pile to this Pokémon.""}, {""name"": ""Burning Breath"", ""cost"": [""Fire"", ""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80+"", ""text"": ""Flip 2 coins. This attack does 40 more damage for each heads.""}]",Flame Cloak|Burning Breath,30|80+,Attach a Fire Energy card from your discard pile to this Pokémon.|Flip 2 coins. This attack does 40 more damage for each heads.,Water:×2,,Colorless__Colorless,,Eske Yoshinob,,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,g1-12,M Charizard-EX,Pokémon,Fire,Generations,12,Rare Holo EX,https://images.pokemontcg.io/g1/12_hires.png,https://images.pokemontcg.io/g1/12.png,220,,"[{""name"": ""Heat Typhoon"", ""cost"": [""Fire"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""100+"", ""text"": ""Flip a coin for each Fire Energy attached to this Pokémon. This attack does 50 more damage for each heads.""}]",Heat Typhoon,100+,Flip a coin for each Fire Energy attached to this Pokémon. This attack does 50 more damage for each heads.,Water:×2,,Colorless__Colorless__Colorless,Charizard-EX,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,g1-13,Ninetales-EX,Pokémon,Fire,Generations,13,Rare Holo EX,https://images.pokemontcg.io/g1/13_hires.png,https://images.pokemontcg.io/g1/13.png,170,,"[{""name"": ""Flare Bonus"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Discard a Fire Energy card from your hand. If you do, draw 3 cards.""}, {""name"": ""Fire Blast"", ""cost"": [""Fire"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""130"", ""text"": ""Flip a coin. If tails, discard a Fire Energy attached to this Pokémon.""}]",Flare Bonus|Fire Blast,|130,"Discard a Fire Energy card from your hand. If you do, draw 3 cards.|Flip a coin. If tails, discard a Fire Energy attached to this Pokémon.",Water:×2,,Colorless,,Eske Yoshinob,,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,g1-14,Ponyta,Pokémon,Fire,Generations,14,Common,https://images.pokemontcg.io/g1/14_hires.png,https://images.pokemontcg.io/g1/14.png,60,,"[{""name"": ""Agility"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.""}, {""name"": ""Flame Tail"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Agility|Flame Tail,10|20,"Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.|",Water:×2,,Colorless,,Tomokazu Komiya,"As a newborn, it can barely stand. However, through galloping, its legs are made tougher and faster.",,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,g1-15,Rapidash,Pokémon,Fire,Generations,15,Rare,https://images.pokemontcg.io/g1/15_hires.png,https://images.pokemontcg.io/g1/15.png,90,,"[{""name"": ""Agility"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.""}, {""name"": ""Overrun"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""This attack does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Agility|Overrun,20|40,"Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.|This attack does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Water:×2,,,Ponyta,DemizuPosuka,"Very competitive, this Pokémon will chase anything that moves fast in the hopes of racing it.",,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,g1-16,Magmar,Pokémon,Fire,Generations,16,Common,https://images.pokemontcg.io/g1/16_hires.png,https://images.pokemontcg.io/g1/16.png,80,,"[{""name"": ""Ram"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Ember"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Discard a Fire Energy attached to this Pokémon.""}]",Ram|Ember,10|30,|Discard a Fire Energy attached to this Pokémon.,Water:×2,,Colorless__Colorless,,Hideki Ishikawa,"Found near the mouth of a volcano. This fire-breather's body temperature is nearly 2,200 degrees Fahrenheit.",,,,,,,,,,,,,,,,,,,,,,,,,
