Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,dp4-1,Blaziken,Pokémon,Fire,Great Encounters,1,Rare Holo,https://images.pokemontcg.io/dp4/1_hires.png,https://images.pokemontcg.io/dp4/1.png,130,,"[{""name"": ""Fire Dance"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Search your discard pile for a Fire Energy card and attach it to 1 of your Pokémon.""}, {""name"": ""Flame Kick"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""Discard 2 Fire Energy attached to Blaziken. This attack does 80 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Fire Dance|Flame Kick,30|,Search your discard pile for a Fire Energy card and attach it to 1 of your Pokémon.|Discard 2 Fire Energy attached to Blaziken. This attack does 80 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Water:+30,,Colorless,Combusken,Kagemaru Himeno,"Flames spout from its wrists, enveloping its knuckles. Its punches scorch its foes.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,dp4-2,Cresselia,Pokémon,Psychic,Great Encounters,2,Rare Holo,https://images.pokemontcg.io/dp4/2_hires.png,https://images.pokemontcg.io/dp4/2.png,80,,"[{""name"": ""Moon Twinkle"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""If there is any Stadium card in play, remove 2 damage counters from Cresselia.""}, {""name"": ""Lunar Dance"", ""cost"": [""Psychic"", ""Psychic"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""You may discard 2 Energy attached to Cresselia. If you do, remove all damage counters from 1 of your Benched Pokémon.""}]",Moon Twinkle|Lunar Dance,10|50,"If there is any Stadium card in play, remove 2 damage counters from Cresselia.|You may discard 2 Energy attached to Cresselia. If you do, remove all damage counters from 1 of your Benched Pokémon.",Psychic:+20,,Colorless,,Ryo Ueda,Shiny particles are released from its wings like a veil. It is said to represent the crescent moon.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,dp4-3,Darkrai,Pokémon,Darkness,Great Encounters,3,Rare Holo,https://images.pokemontcg.io/dp4/3_hires.png,https://images.pokemontcg.io/dp4/3.png,70,,"[{""name"": ""Reach Over"", ""cost"": [], ""convertedEnergyCost"": 0, ""damage"": """", ""text"": ""Search your deck for an Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.""}, {""name"": ""Darkness Pursuit"", ""cost"": [""Darkness"", ""Darkness"", ""Darkness""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""If the Defending Pokémon is Cresselia, this attack's base damage is 100.""}]",Reach Over|Darkness Pursuit,|50,"Search your deck for an Energy card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.|If the Defending Pokémon is Cresselia, this attack's base damage is 100.",Fighting:+20,Psychic:-20,Colorless,,Masakazu Fukuda,It can lull people to sleep and make them dream. It is active during nights of the new moon.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,dp4-4,Darkrai,Pokémon,Darkness,Great Encounters,4,Rare Holo,https://images.pokemontcg.io/dp4/4_hires.png,https://images.pokemontcg.io/dp4/4.png,80,,"[{""name"": ""Darkness Roar"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""You may have your opponent switch the Defending Pokémon with 1 or his or her Benched Pokémon.""}, {""name"": ""Sleep Hole"", ""cost"": [""Darkness"", ""Darkness"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""If the Defending Pokémon is Asleep, this attack does 40 damage plus 40 more damage. If the Defending Pokémon is not Asleep, that Pokémon is now Asleep.""}]",Darkness Roar|Sleep Hole,10|40+,"You may have your opponent switch the Defending Pokémon with 1 or his or her Benched Pokémon.|If the Defending Pokémon is Asleep, this attack does 40 damage plus 40 more damage. If the Defending Pokémon is not Asleep, that Pokémon is now Asleep.",Fighting:+20,Psychic:-20,Colorless,,Ryo Ueda,It can lull people to sleep and make them dream. It is active during nights of the new moon.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,dp4-5,Pachirisu,Pokémon,Lightning,Great Encounters,5,Rare Holo,https://images.pokemontcg.io/dp4/5_hires.png,https://images.pokemontcg.io/dp4/5.png,70,,"[{""name"": ""Call for Family"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for up to 3 Basic Pokémon and put them onto your Bench. Shuffle your deck afterward.""}, {""name"": ""Smash Short"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""If the Defending Pokémon has a Pokémon Tool card attached to it, this attack does 10 damage plus 30 more damage. Discard that Pokémon Tool card, look at your opponent's hand, and discard any Pokémon Tool cards of the same name you find there.""}]",Call for Family|Smash Short,|10+,"Search your deck for up to 3 Basic Pokémon and put them onto your Bench. Shuffle your deck afterward.|If the Defending Pokémon has a Pokémon Tool card attached to it, this attack does 10 damage plus 30 more damage. Discard that Pokémon Tool card, look at your opponent's hand, and discard any Pokémon Tool cards of the same name you find there.",Fighting:+20,Metal:-20,Colorless,,Hironobu Yoshida,It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,dp4-6,Porygon-Z,Pokémon,Colorless,Great Encounters,6,Rare Holo,https://images.pokemontcg.io/dp4/6_hires.png,https://images.pokemontcg.io/dp4/6.png,110,"[{""name"": ""Conversion"", ""text"": ""Once during your turn (before your attack), you may discard a basic Energy card from your hand. Porygon-Z is the same type as that Energy Card until the end of your turn. This power can't be used if Porygon-Z is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Tri Attack"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40×"", ""text"": ""Flip 3 coins. This attack does 40 damage times the number of heads.""}]",Tri Attack,40×,Flip 3 coins. This attack does 40 damage times the number of heads.,Fighting:+30,,Colorless__Colorless,Porygon2,Kent Kanetsuna,"Additional software was installed to make it a better Pokémon. It began acting oddly, however.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,dp4-7,Rotom,Pokémon,Lightning,Great Encounters,7,Rare Holo,https://images.pokemontcg.io/dp4/7_hires.png,https://images.pokemontcg.io/dp4/7.png,70,,"[{""name"": ""Astonish"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Choose 1 card from your opponent's hand without looking. Look at that card you chose, then have your opponent shuffle that card into his or her deck.""}, {""name"": ""Telebeam"", ""cost"": [""Lightning"", ""Lightning""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""Flip a coin. If heads, this attack does 30 damage plus 30 more damage and the Defending Pokémon is now Paralyzed.""}]",Astonish|Telebeam,20|30+,"Choose 1 card from your opponent's hand without looking. Look at that card you chose, then have your opponent shuffle that card into his or her deck.|Flip a coin. If heads, this attack does 30 damage plus 30 more damage and the Defending Pokémon is now Paralyzed.",Darkness:+20,Colorless:-20,Colorless,,Daisuke Ito,Its body is composed of plasma. It is known to infiltrate electronic devices and wreak havoc.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,dp4-8,Sceptile,Pokémon,Grass,Great Encounters,8,Rare Holo,https://images.pokemontcg.io/dp4/8_hires.png,https://images.pokemontcg.io/dp4/8.png,100,"[{""name"": ""Wild Growth"", ""text"": ""Each basic Grass Energy card attached to your Grass Pokémon provides GrassGrass Energy instead. You can't use more than 1 Wild Growth Poké-Body each turn."", ""type"": ""Poké-Body""}]","[{""name"": ""Leaf Blade"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""50+"", ""text"": ""Flip a coin. If heads, this attack does 50 damage plus 20 more damage.""}]",Leaf Blade,50+,"Flip a coin. If heads, this attack does 50 damage plus 20 more damage.",Fire:+30,Water:-20,Colorless__Colorless__Colorless,Grovyle,Masakazu Fukuda,The leaves that grow on its arms can slice down thick trees. It is without peer in jungle combat.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,dp4-9,Swampert,Pokémon,Water,Great Encounters,9,Rare Holo,https://images.pokemontcg.io/dp4/9_hires.png,https://images.pokemontcg.io/dp4/9.png,130,"[{""name"": ""Wash Out"", ""text"": ""As often as you like during your turn (before your attack), you may move a Water or Fighting Energy attached to 1 of your Benched Pokémon to your Active Pokémon. This power can't be used if Swampert is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Hammer Arm"", ""cost"": [""Water"", ""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80"", ""text"": ""Discard the top card from your opponent's deck.""}]",Hammer Arm,80,Discard the top card from your opponent's deck.,Grass:+30,,Colorless__Colorless,Marshtomp,Kouki Saitou,It can swim while towing a large ship. It bashes down foes with a swing of its thick arms.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,dp4-10,Tangrowth,Pokémon,Grass,Great Encounters,10,Rare Holo,https://images.pokemontcg.io/dp4/10_hires.png,https://images.pokemontcg.io/dp4/10.png,110,,"[{""name"": ""Power Whip"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon. This attack does 10 damage for each basic Energy card attached to Tangrowth to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Stick and Absorb"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""60"", ""text"": ""Remove 3 damage counters from Tangrowth. The Defending Pokémon can't retreat during your opponent's next turn.""}]",Power Whip|Stick and Absorb,|60,Choose 1 of your opponent's Pokémon. This attack does 10 damage for each basic Energy card attached to Tangrowth to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|Remove 3 damage counters from Tangrowth. The Defending Pokémon can't retreat during your opponent's next turn.,Fire:+30,Water:-20,Colorless__Colorless,Tangela,Kent Kanetsuna,It ensnares prey by extending arms made of vines. Losing arms to predators does not trouble it.,,,,,,,,,,,,,,,,,,,,,,,,,
