Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm2-1,Bellsprout,Pokémon,Grass,Guardians Rising,1,Common,https://images.pokemontcg.io/sm2/1_hires.png,https://images.pokemontcg.io/sm2/1.png,60,,"[{""name"": ""Vine Whip"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Vine Whip,30,,Fire:×2,,Colorless,,Aya Kusube,"Even though its body is extremely skinny, it is blindingly fast when catching its prey.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sm2-2,Weepinbell,Pokémon,Grass,Guardians Rising,2,Uncommon,https://images.pokemontcg.io/sm2/2_hires.png,https://images.pokemontcg.io/sm2/2.png,80,,"[{""name"": ""Muddy Acid"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon.""}]",Muddy Acid,40,"Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon.",Fire:×2,,Colorless__Colorless,Bellsprout,Mina Nakai,The leafy parts act as cutters for slashing foes. It spits a fluid that dissolves everything.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sm2-3,Victreebel,Pokémon,Grass,Guardians Rising,3,Rare,https://images.pokemontcg.io/sm2/3_hires.png,https://images.pokemontcg.io/sm2/3.png,140,,"[{""name"": ""Pollen Hazard"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Your opponent's Active Pokémon is now Burned, Confused, and Poisoned.""}, {""name"": ""Stick and Absorb"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": ""Heal 20 damage from this Pokémon. The Defending Pokémon can't retreat during your opponent's next turn.""}]",Pollen Hazard|Stick and Absorb,20|80,"Your opponent's Active Pokémon is now Burned, Confused, and Poisoned.|Heal 20 damage from this Pokémon. The Defending Pokémon can't retreat during your opponent's next turn.",Fire:×2,,Colorless__Colorless,Weepinbell,TOKIYA,"Said to live in huge colonies deep in jungles, although no one has ever returned from there.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sm2-4,Petilil,Pokémon,Grass,Guardians Rising,4,Common,https://images.pokemontcg.io/sm2/4_hires.png,https://images.pokemontcg.io/sm2/4.png,50,,"[{""name"": ""Blot"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Heal 10 damage from this Pokémon.""}]",Blot,10,Heal 10 damage from this Pokémon.,Fire:×2,,Colorless,,Naoki Saito,"Although the leaves on its head are bitter enough to cause dizziness, they provide relief from weariness—even more so when boiled.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sm2-5,Lilligant,Pokémon,Grass,Guardians Rising,5,Rare,https://images.pokemontcg.io/sm2/5_hires.png,https://images.pokemontcg.io/sm2/5.png,90,,"[{""name"": ""Petal Blizzard"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""This attack does 10 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Petal Dance"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40×"", ""text"": ""Flip 3 coins. This attack does 40 damage for each heads. This Pokémon is now Confused.""}]",Petal Blizzard|Petal Dance,|40×,This attack does 10 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|Flip 3 coins. This attack does 40 damage for each heads. This Pokémon is now Confused.,Fire:×2,,Colorless,Petilil,You Iribi,"No matter how much time and money is spent raising it, its flowers are the most beautiful when they bloom in the wild.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sm2-6,Phantump,Pokémon,Grass,Guardians Rising,6,Common,https://images.pokemontcg.io/sm2/6_hires.png,https://images.pokemontcg.io/sm2/6.png,60,,"[{""name"": ""Tackle"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Confuse Ray"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Confused.""}]",Tackle|Confuse Ray,10|,|Your opponent's Active Pokémon is now Confused.,Fire:×2,,Colorless__Colorless,,Sanosuke Sakuma,These Pokémon are stumps possessed by the spirits of children who died in the forest. Their cries sound like eerie screams.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sm2-7,Trevenant,Pokémon,Grass,Guardians Rising,7,Rare,https://images.pokemontcg.io/sm2/7_hires.png,https://images.pokemontcg.io/sm2/7.png,120,,"[{""name"": ""Poltergeist"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30×"", ""text"": ""Your opponent reveals their hand. This attack does 30 damage for each Trainer card you find there.""}, {""name"": ""Horn Leech"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""90"", ""text"": ""Heal 30 damage from this Pokémon.""}]",Poltergeist|Horn Leech,30×|90,Your opponent reveals their hand. This attack does 30 damage for each Trainer card you find there.|Heal 30 damage from this Pokémon.,Fire:×2,,Colorless__Colorless,Phantump,Hiroyuki Yamamoto,"This Pokémon is said to devour anyone daring to ravage the forest. To the creatures dwelling in the forest, it offers great kindness.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sm2-8,Wimpod,Pokémon,Grass,Guardians Rising,8,Common,https://images.pokemontcg.io/sm2/8_hires.png,https://images.pokemontcg.io/sm2/8.png,70,,"[{""name"": ""Scamper Away"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Shuffle this Pokémon and all cards attached to it into your deck.""}, {""name"": ""Ram"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Scamper Away|Ram,|10,Shuffle this Pokémon and all cards attached to it into your deck.|,Fire:×2,,Colorless__Colorless,,match,"This Pokémon is a coward. As it desperately dashes off, the flailing of its many legs leaves a sparkling clean path in its wake.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sm2-9,Golisopod,Pokémon,Grass,Guardians Rising,9,Rare Holo,https://images.pokemontcg.io/sm2/9_hires.png,https://images.pokemontcg.io/sm2/9.png,130,"[{""name"": ""Armor"", ""text"": ""This Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance)."", ""type"": ""Ability""}]","[{""name"": ""Resolute Claws"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80+"", ""text"": ""If your opponent's Active Pokémon is a Pokémon-GX or a Pokémon-EX, this attack does 70 more damage (before applying Weakness and Resistance).""}]",Resolute Claws,80+,"If your opponent's Active Pokémon is a Pokémon-GX or a Pokémon-EX, this attack does 70 more damage (before applying Weakness and Resistance).",Fire:×2,,Colorless__Colorless,Wimpod,Kouki Saitou,"With a flashing slash of its giant sharp claws, it cleaves seawater—or even air—right in two.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sm2-10,Victini,Pokémon,Fire,Guardians Rising,10,Rare Holo,https://images.pokemontcg.io/sm2/10_hires.png,https://images.pokemontcg.io/sm2/10.png,70,"[{""name"": ""Victory Star"", ""text"": ""Once during your turn, after you flip any coins for an attack, you may ignore all results of those coin flips and begin flipping those coins again. You can't use more than 1 Victory Star Ability each turn."", ""type"": ""Ability""}]","[{""name"": ""V-Flame"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": """"}]",V-Flame,50,,Water:×2,,Colorless,,kodama,"This Pokémon brings victory. It is said that Trainers with Victini always win, regardless of the type of encounter.",,,,,,,,,,,,,,,,,,,,,,,,,
