Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,gym2-1,Blaine's Arcanine,Pokémon,Fire,Gym Challenge,1,Rare Holo,https://images.pokemontcg.io/gym2/1_hires.png,https://images.pokemontcg.io/gym2/1.png,90,,"[{""name"": ""Heat Tackle"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""Blaine's Arcanine does 10 damage to itself.""}, {""name"": ""Firestorm"", ""cost"": [""Fire"", ""Fire"", ""Fire"", ""Fire""], ""convertedEnergyCost"": 4, ""damage"": ""120"", ""text"": ""Discard 3 Fire Energy cards attached to Blaine's Arcanine in order to use this attack.""}]",Heat Tackle|Firestorm,40|120,Blaine's Arcanine does 10 damage to itself.|Discard 3 Fire Energy cards attached to Blaine's Arcanine in order to use this attack.,Water:×2,,Colorless__Colorless__Colorless,Blaine's Growlithe,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,gym2-2,Blaine's Charizard,Pokémon,Fire,Gym Challenge,2,Rare Holo,https://images.pokemontcg.io/gym2/2_hires.png,https://images.pokemontcg.io/gym2/2.png,100,,"[{""name"": ""Roaring Flames"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""20+"", ""text"": ""Discard all Fire Energy cards attached to Blaine's Charizard. If all Energy cards attached to Blaine's Charizard provide 2 Fire Energy, discard all of them. This attack does 20 damage plus 20 more damage for each Fire Energy discarded in this way.""}, {""name"": ""Flame Jet"", ""cost"": [""Fire"", ""Fire""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Flip a coin. If heads, choose 1 of your opponent's Pokémon. This attack does 40 damage to that Pokémon. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)""}]",Roaring Flames|Flame Jet,20+|,"Discard all Fire Energy cards attached to Blaine's Charizard. If all Energy cards attached to Blaine's Charizard provide 2 Fire Energy, discard all of them. This attack does 20 damage plus 20 more damage for each Fire Energy discarded in this way.|Flip a coin. If heads, choose 1 of your opponent's Pokémon. This attack does 40 damage to that Pokémon. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)",Water:×2,Fighting:-30,Colorless__Colorless__Colorless,Blaine's Charmeleon,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,gym2-3,Brock's Ninetales,Pokémon,Fire,Gym Challenge,3,Rare Holo,https://images.pokemontcg.io/gym2/3_hires.png,https://images.pokemontcg.io/gym2/3.png,70,"[{""name"": ""Shapeshift"", ""text"": ""Once during your turn (before your attack), you may attach an Evolution card from your hand to Brock's Ninetales. (This doesn't count as evolving Brock's Ninetales.) Treat Brock's Ninetales as if it were that Pokémon instead. It can't evolve, devolve, or use the Pokémon Power of that Pokémon. During your turn, you may discard the Evolution card attached to Brock's Ninetales. This power can't be used if Brock's Ninetales is Asleep, Confused, or Paralyzed. If Brock's Ninetales becomes Asleep, Confused, or Paralyzed, discard all Evolution cards attached to it."", ""type"": ""Pokémon Power""}]","[{""name"": ""Will-o'-the-wisp"", ""cost"": [""Fire"", ""Fire""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Will-o'-the-wisp,30,,Water:×2,,Colorless,Brock's Vulpix,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,gym2-4,Erika's Venusaur,Pokémon,Grass,Gym Challenge,4,Rare Holo,https://images.pokemontcg.io/gym2/4_hires.png,https://images.pokemontcg.io/gym2/4.png,90,,"[{""name"": ""Growth"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, you may attach up to 2 Grass Energy cards from your hand to Erika's Venusaur.""}, {""name"": ""Wide Solarbeam"", ""cost"": [""Grass"", ""Grass"", ""Grass"", ""Grass""], ""convertedEnergyCost"": 4, ""damage"": ""20"", ""text"": ""If your opponent has any Benched Pokémon, choose 2 of them (or 1 if he or she only has 1). This attack does 20 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Growth|Wide Solarbeam,|20,"Flip a coin. If heads, you may attach up to 2 Grass Energy cards from your hand to Erika's Venusaur.|If your opponent has any Benched Pokémon, choose 2 of them (or 1 if he or she only has 1). This attack does 20 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fire:×2,,Colorless__Colorless,Erika's Ivysaur,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,gym2-5,Giovanni's Gyarados,Pokémon,Water,Gym Challenge,5,Rare Holo,https://images.pokemontcg.io/gym2/5_hires.png,https://images.pokemontcg.io/gym2/5.png,90,,"[{""name"": ""Summon Storm"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip 2 coins. If both of them are heads, this attack does 20 damage to each other Pokémon (even your own). Don't apply Weakness and Resistance for this attack.""}, {""name"": ""Dragon Tornado"", ""cost"": [""Water"", ""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""40"", ""text"": ""Unless this attack Knocks Out the Defending Pokémon, choose 1 of your opponent's Benched Pokémon and switch it with the Defending Pokémon.""}]",Summon Storm|Dragon Tornado,|40,"Flip 2 coins. If both of them are heads, this attack does 20 damage to each other Pokémon (even your own). Don't apply Weakness and Resistance for this attack.|Unless this attack Knocks Out the Defending Pokémon, choose 1 of your opponent's Benched Pokémon and switch it with the Defending Pokémon.",Grass:×2,Fighting:-30,Colorless__Colorless__Colorless,Giovanni's Magikarp,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,gym2-6,Giovanni's Machamp,Pokémon,Fighting,Gym Challenge,6,Rare Holo,https://images.pokemontcg.io/gym2/6_hires.png,https://images.pokemontcg.io/gym2/6.png,100,"[{""name"": ""Fortitude"", ""text"": ""If Giovanni's Machamp would be Knocked Out by an opponent's attack, flip a coin. If heads, Giovanni's Machamp is not Knocked Out and its remaining HP become 10 instead. This power can't be used if Giovanni's Machamp is already Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]","[{""name"": ""Hurricane Punch"", ""cost"": [""Fighting"", ""Fighting"", ""Fighting"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""30×"", ""text"": ""Flip 4 coins. This attack does 30 damage times the number of heads.""}]",Hurricane Punch,30×,Flip 4 coins. This attack does 30 damage times the number of heads.,Psychic:×2,,Colorless__Colorless__Colorless,Giovanni's Machoke,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,gym2-7,Giovanni's Nidoking,Pokémon,Grass,Gym Challenge,7,Rare Holo,https://images.pokemontcg.io/gym2/7_hires.png,https://images.pokemontcg.io/gym2/7.png,120,,"[{""name"": ""Intimidate"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""If the Defending Pokémon's maximum HP is 50 or less, it can't attack Giovanni's Nidoking during your opponent's next turn. (Benching or evolving either Pokémon ends this effect.)""}, {""name"": ""Tumbling Attack"", ""cost"": [""Grass"", ""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""40+"", ""text"": ""Flip a coin. If heads, this attack does 40 damage plus 30 more damage; if tails, this attack does 40 damage.""}]",Intimidate|Tumbling Attack,|40+,"If the Defending Pokémon's maximum HP is 50 or less, it can't attack Giovanni's Nidoking during your opponent's next turn. (Benching or evolving either Pokémon ends this effect.)|Flip a coin. If heads, this attack does 40 damage plus 30 more damage; if tails, this attack does 40 damage.",Psychic:×2,,Colorless__Colorless__Colorless,Giovanni's Nidorino,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,gym2-8,Giovanni's Persian,Pokémon,Colorless,Gym Challenge,8,Rare Holo,https://images.pokemontcg.io/gym2/8_hires.png,https://images.pokemontcg.io/gym2/8.png,60,"[{""name"": ""Call the Boss"", ""text"": ""When you play Giovanni's Persian from your hand, you may search your deck for the Trainer card named Giovanni, show it to your opponent, and put it into your hand. Shuffle your deck afterward."", ""type"": ""Pokémon Power""}]","[{""name"": ""Ambush"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""20+"", ""text"": ""Flip a coin. If heads, this attack does 20 damage plus 20 more damage; if tails, this attack does 20 damage.""}]",Ambush,20+,"Flip a coin. If heads, this attack does 20 damage plus 20 more damage; if tails, this attack does 20 damage.",Fighting:×2,Psychic:-30,,Giovanni's Meowth,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,gym2-9,Koga's Beedrill,Pokémon,Grass,Gym Challenge,9,Rare Holo,https://images.pokemontcg.io/gym2/9_hires.png,https://images.pokemontcg.io/gym2/9.png,80,,"[{""name"": ""Nerve Poison"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed and Poisoned.""}, {""name"": ""Hyper Needle"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": ""Flip a coin. If tails, this attack does nothing. Either way, you can't use this attack again as long as Koga's Beedrill stays in play (even putting Koga's Beedrill on the Bench won't let you use it again).""}]",Nerve Poison|Hyper Needle,20|70,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed and Poisoned.|Flip a coin. If tails, this attack does nothing. Either way, you can't use this attack again as long as Koga's Beedrill stays in play (even putting Koga's Beedrill on the Bench won't let you use it again).",Fire:×2,Fighting:-30,,Koga's Kakuna,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,gym2-10,Koga's Ditto,Pokémon,Colorless,Gym Challenge,10,Rare Holo,https://images.pokemontcg.io/gym2/10_hires.png,https://images.pokemontcg.io/gym2/10.png,40,,"[{""name"": ""Giant Growth"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, Koga's Ditto's maximum HP is now 80 and Koga's Ditto's Pound attack's base damage is 30 instead of 10. (Benching Koga's Ditto ends this effect.)""}, {""name"": ""Pound"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Giant Growth|Pound,|10,"Flip a coin. If heads, Koga's Ditto's maximum HP is now 80 and Koga's Ditto's Pound attack's base damage is 30 instead of 10. (Benching Koga's Ditto ends this effect.)|",Fighting:×2,Psychic:-30,Colorless,,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
