Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,hsp-HGSS01,Ho-Oh,Pokémon,Fire,HGSS Black Star Promos,HGSS01,Promo,https://images.pokemontcg.io/hsp/HGSS01_hires.png,https://images.pokemontcg.io/hsp/HGSS01.png,80,,"[{""name"": ""Combustion"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Sacred Fire"", ""cost"": [""Fire"", ""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": """", ""text"": ""Flip a coin. If heads, choose 1 of your opponent's Pokémon. This attack does 80 damage to that Pokémon. This attack's damage isn't affected by Weakness or Resistance.""}]",Combustion|Sacred Fire,20|,"|Flip a coin. If heads, choose 1 of your opponent's Pokémon. This attack does 80 damage to that Pokémon. This attack's damage isn't affected by Weakness or Resistance.",Water:×2,Fighting:-20,Colorless__Colorless__Colorless,,Takashi Yamaguchi,A legend says that its body glows in seven colors. A rainbow is said to form behind when it flies.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,hsp-HGSS02,Lugia,Pokémon,Water,HGSS Black Star Promos,HGSS02,Promo,https://images.pokemontcg.io/hsp/HGSS02_hires.png,https://images.pokemontcg.io/hsp/HGSS02.png,90,,"[{""name"": ""Wave Splash"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Aeroblast"", ""cost"": [""Water"", ""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""50+"", ""text"": ""Flip 2 coins. This attack does 50 damage plus 20 more damage for each heads.""}]",Wave Splash|Aeroblast,20|50+,|Flip 2 coins. This attack does 50 damage plus 20 more damage for each heads.,Lightning:×2,Fighting:-20,Colorless__Colorless,,Takashi Yamaguchi,It is said that it quietly spends its time deep at the bottom of the sea because its powers are too strong.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,hsp-HGSS03,Pikachu,Pokémon,Lightning,HGSS Black Star Promos,HGSS03,Promo,https://images.pokemontcg.io/hsp/HGSS03_hires.png,https://images.pokemontcg.io/hsp/HGSS03.png,70,,"[{""name"": ""Recharge"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, search your deck for a Lightning Energy card and attach it to Pikachu. Shuffle your deck afterward.""}, {""name"": ""Thunderbolt"", ""cost"": [""Lightning"", ""Lightning"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""100"", ""text"": ""Discard all Energy attached to Pikachu.""}]",Recharge|Thunderbolt,|100,"Flip a coin. If heads, search your deck for a Lightning Energy card and attach it to Pikachu. Shuffle your deck afterward.|Discard all Energy attached to Pikachu.",Fighting:+10,Metal:-20,Colorless,,Kanako Eo,It occasionally uses an electric shock to recharge a fellow Pikachu that is in a weakened state.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,hsp-HGSS04,Wobbuffet,Pokémon,Psychic,HGSS Black Star Promos,HGSS04,Promo,https://images.pokemontcg.io/hsp/HGSS04_hires.png,https://images.pokemontcg.io/hsp/HGSS04.png,90,"[{""name"": ""Tenacious Bind"", ""text"": ""As long as Wobbuffet is your Active Pokémon, your opponent's Active Pokémon's Retreat Cost is ColorlessColorless more."", ""type"": ""Poké-Body""}]","[{""name"": ""Trip Over"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Flip a coin. If heads, this attack does 20 damage plus 30 more damage.""}]",Trip Over,20+,"Flip a coin. If heads, this attack does 20 damage plus 30 more damage.",Psychic:×2,,Colorless__Colorless__Colorless,,match,"To keep its pitch-black tail hidden, it lives quietly in the darkness. It is never first to attack.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,hsp-HGSS05,Hoothoot,Pokémon,Colorless,HGSS Black Star Promos,HGSS05,Promo,https://images.pokemontcg.io/hsp/HGSS05_hires.png,https://images.pokemontcg.io/hsp/HGSS05.png,50,"[{""name"": ""Insomnia"", ""text"": ""Hoothoot can't be Asleep."", ""type"": ""Poké-Body""}]","[{""name"": ""Peck"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Peck,10,,Lightning:×2,Fighting:-20,Colorless,,Masakazu Fukuda,"It has a perfect sense of time. Whatever happens, it keeps rhythm by precisely tilting its head in time.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,hsp-HGSS06,Noctowl,Pokémon,Colorless,HGSS Black Star Promos,HGSS06,Promo,https://images.pokemontcg.io/hsp/HGSS06_hires.png,https://images.pokemontcg.io/hsp/HGSS06.png,90,"[{""name"": ""Night Scope"", ""text"": ""Once during your turn (before your attack), you may look at your opponent's hand. This power can't be used if Noctowl is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Hypnoblast"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""The Defending Pokémon is now Asleep.""}]",Hypnoblast,30,The Defending Pokémon is now Asleep.,Lightning:×2,Fighting:-20,Colorless,Hoothoot,Masakazu Fukuda,"When it needs to think, it rotates its head 180 degrees to sharpen its intellectual power.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,hsp-HGSS07,Feraligatr,Pokémon,Water,HGSS Black Star Promos,HGSS07,Promo,https://images.pokemontcg.io/hsp/HGSS07_hires.png,https://images.pokemontcg.io/hsp/HGSS07.png,140,"[{""name"": ""Rain Dance"", ""text"": ""As often as you like during your turn (before your attack), you may attach a Water Energy from your hand to 1 of your Water Pokémon. This power can't be used if Feraligatr is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Hydro Crunch"", ""cost"": [""Water"", ""Water"", ""Water"", ""Water""], ""convertedEnergyCost"": 4, ""damage"": ""60+"", ""text"": ""Does 60 damage plus 10 more damage for each damage counter on the Defending Pokémon.""}]",Hydro Crunch,60+,Does 60 damage plus 10 more damage for each damage counter on the Defending Pokémon.,Grass:×2,,Colorless__Colorless__Colorless,Croconaw,Kent Kanetsuna,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,hsp-HGSS08,Meganium,Pokémon,Grass,HGSS Black Star Promos,HGSS08,Promo,https://images.pokemontcg.io/hsp/HGSS08_hires.png,https://images.pokemontcg.io/hsp/HGSS08.png,150,"[{""name"": ""Leaf Trans"", ""text"": ""As often as you like during your turn (before your attack), you may move a Grass Energy attached to 1 of your Pokémon to another of your Pokémon. This power can't be used if Meganium is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Solarbeam"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80"", ""text"": """"}]",Solarbeam,80,,Fire:×2,Water:-20,Colorless__Colorless,Bayleef,Noriko Hotta,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,hsp-HGSS09,Typhlosion,Pokémon,Fire,HGSS Black Star Promos,HGSS09,Promo,https://images.pokemontcg.io/hsp/HGSS09_hires.png,https://images.pokemontcg.io/hsp/HGSS09.png,140,"[{""name"": ""Afterburner"", ""text"": ""Once during your turn (before your attack), you may search your discard pile for a Fire Energy card and attach it to 1 of your Pokémon. If you do, put 1 damage counter on that Pokémon. This power can't be used if Typhlosion is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Flare Destroy"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": ""Discard an Energy card attached to Typhlosion and discard an Energy card attached to the Defending Pokémon.""}]",Flare Destroy,70,Discard an Energy card attached to Typhlosion and discard an Energy card attached to the Defending Pokémon.,Water:×2,,Colorless__Colorless,Quilava,Wataru Kawahara,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,hsp-HGSS10,Latias,Pokémon,Colorless,HGSS Black Star Promos,HGSS10,Promo,https://images.pokemontcg.io/hsp/HGSS10_hires.png,https://images.pokemontcg.io/hsp/HGSS10.png,80,,"[{""name"": ""Energy Assist"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Search your discard pile for a basic Energy card and attach it to 1 of your Benched Pokémon.""}, {""name"": ""Infinite Wind"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""If Latios is on your Bench, remove 2 damage counters from each of your Benched Pokémon.""}]",Energy Assist|Infinite Wind,10|40,"Search your discard pile for a basic Energy card and attach it to 1 of your Benched Pokémon.|If Latios is on your Bench, remove 2 damage counters from each of your Benched Pokémon.",Colorless:×2,,Colorless,,Wataru Kawahara,It communicates using telepathy. Its body is covered in down that refracts light to make it invisible.,,,,,,,,,,,,,,,,,,,,,,,,,
