Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,hgss4-1,Aggron,Pokémon,Metal,HS—Triumphant,1,Rare Holo,https://images.pokemontcg.io/hgss4/1_hires.png,https://images.pokemontcg.io/hgss4/1.png,140,,"[{""name"": ""Second Strike"", ""cost"": [""Metal"", ""Metal"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""If the Defending Pokémon already has any damage counters on it, this attack does 40 damage plus 40 more damage.""}, {""name"": ""Guard Claw"", ""cost"": [""Metal"", ""Metal"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""60"", ""text"": ""During your opponent's next turn, any damage done to Aggron by attacks is reduced by 20 (after applying Weakness and Resistance).""}]",Second Strike|Guard Claw,40|60,"If the Defending Pokémon already has any damage counters on it, this attack does 40 damage plus 40 more damage.|During your opponent's next turn, any damage done to Aggron by attacks is reduced by 20 (after applying Weakness and Resistance).",Fire:×2,Psychic:-20,Colorless__Colorless__Colorless__Colorless,Lairon,Kagemaru Himeno,You can tell its age by the length of its iron horns. It claims an entire mountain as its territory.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,hgss4-2,Altaria,Pokémon,Colorless,HS—Triumphant,2,Rare Holo,https://images.pokemontcg.io/hgss4/2_hires.png,https://images.pokemontcg.io/hgss4/2.png,90,,"[{""name"": ""Midnight Eyes"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""The Defending Pokémon is now Asleep.""}, {""name"": ""Stadium Power"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""If there is any Stadium card in play, this attack does 40 damage plus 30 more damage.""}]",Midnight Eyes|Stadium Power,20|40+,"The Defending Pokémon is now Asleep.|If there is any Stadium card in play, this attack does 40 damage plus 30 more damage.",Colorless:×2,Fighting:-20,,Swablu,Ryo Ueda,It flies gracefully through the sky. Its melodic humming makes you feel like you're in a dream.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,hgss4-3,Celebi,Pokémon,Psychic,HS—Triumphant,3,Rare Holo,https://images.pokemontcg.io/hgss4/3_hires.png,https://images.pokemontcg.io/hgss4/3.png,70,,"[{""name"": ""Future Sight"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Look at the top 5 cards of either player's deck and put them back on top of that player's deck in any order.""}, {""name"": ""Leaf Bind"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}]",Future Sight|Leaf Bind,|30,"Look at the top 5 cards of either player's deck and put them back on top of that player's deck in any order.|Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Psychic:×2,,Colorless,,Shin Nagasawa,This Pokémon wanders across time. Grass and trees flourish in the forests in which it has appeared.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,hgss4-4,Drapion,Pokémon,Darkness,HS—Triumphant,4,Rare Holo,https://images.pokemontcg.io/hgss4/4_hires.png,https://images.pokemontcg.io/hgss4/4.png,100,,"[{""name"": ""Toxic Fang"", ""cost"": [""Darkness"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Poisoned. Put 2 damage counters instead of 1 on that Pokémon between turns.""}, {""name"": ""Land Crush"", ""cost"": [""Darkness"", ""Darkness"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80"", ""text"": """"}]",Toxic Fang|Land Crush,40|80,"Flip a coin. If heads, the Defending Pokémon is now Poisoned. Put 2 damage counters instead of 1 on that Pokémon between turns.|",Fighting:×2,Psychic:-20,Colorless__Colorless__Colorless,Skorupi,Sumiyoshi Kizuki,It attacks people and Pokémon that cross the desert. This has only furthered its bad reputation.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,hgss4-5,Mamoswine,Pokémon,Water,HS—Triumphant,5,Rare Holo,https://images.pokemontcg.io/hgss4/5_hires.png,https://images.pokemontcg.io/hgss4/5.png,140,,"[{""name"": ""Icy Wind"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""The Defending Pokémon is now Asleep.""}, {""name"": ""Snowstorm"", ""cost"": [""Water"", ""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""70"", ""text"": ""Does 20 damage to each of your opponent's Benched Pokémon that has any damage counters on it. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Icy Wind|Snowstorm,40|70,The Defending Pokémon is now Asleep.|Does 20 damage to each of your opponent's Benched Pokémon that has any damage counters on it. (Don't apply Weakness and Resistance for Benched Pokémon.),Metal:×2,,Colorless__Colorless__Colorless__Colorless,Piloswine,Kagemaru Himeno,"A frozen Mamoswine was dug from ice dating back 10,000 years. This Pokémon has been around a long, long, long time.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,hgss4-6,Nidoking,Pokémon,Fighting,HS—Triumphant,6,Rare Holo,https://images.pokemontcg.io/hgss4/6_hires.png,https://images.pokemontcg.io/hgss4/6.png,140,"[{""name"": ""Pheromone Stamina"", ""text"": ""Nidoking gets +20 HP for each Nidoqueen you have in play."", ""type"": ""Poké-Body""}]","[{""name"": ""Venomous Horn"", ""cost"": [""Fighting"", ""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80"", ""text"": ""The Defending Pokémon is now Poisoned.""}]",Venomous Horn,80,The Defending Pokémon is now Poisoned.,Water:×2,Lightning:-20,Colorless__Colorless__Colorless,Nidorino,match,"Its tail is thick and powerful. If it binds an enemy, it can render the victim helpless quite easily.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,hgss4-7,Porygon-Z,Pokémon,Colorless,HS—Triumphant,7,Rare Holo,https://images.pokemontcg.io/hgss4/7_hires.png,https://images.pokemontcg.io/hgss4/7.png,110,"[{""name"": ""Dimension Transfer"", ""text"": ""Once during your turn (before your attack), you may flip a coin. If heads, search your discard pile for a Trainer card, show it to your opponent, and put it on top of your deck. This power can't be used if Porygon-Z is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Suspicious Beam β"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": ""If Porygon-Z has no Rainbow Energy attached to it, Porygon-Z does 20 damage to itself and Porygon-Z is now Confused.""}]",Suspicious Beam β,80,"If Porygon-Z has no Rainbow Energy attached to it, Porygon-Z does 20 damage to itself and Porygon-Z is now Confused.",Fighting:×2,,Colorless__Colorless,Porygon2,Kouki Saitou,Its programming was modified to enable it to travel through alien dimensions. Seems there might have been an error…,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,hgss4-8,Rapidash,Pokémon,Fire,HS—Triumphant,8,Rare Holo,https://images.pokemontcg.io/hgss4/8_hires.png,https://images.pokemontcg.io/hgss4/8.png,90,"[{""name"": ""Fiery Spirit"", ""text"": ""Rapidash can't be Confused."", ""type"": ""Poké-Body""}]","[{""name"": ""Ring of Fire"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""The Defending Pokémon is now Burned and can't retreat during your opponent's next turn.""}]",Ring of Fire,50,The Defending Pokémon is now Burned and can't retreat during your opponent's next turn.,Water:×2,,Colorless,Ponyta,Kyoko Umemoto,"At full gallop, its four hooves barely touch the ground because it moves so incredibly fast.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,hgss4-9,Solrock,Pokémon,Fighting,HS—Triumphant,9,Rare Holo,https://images.pokemontcg.io/hgss4/9_hires.png,https://images.pokemontcg.io/hgss4/9.png,70,"[{""name"": ""Heal Block"", ""text"": ""If you have Lunatone in play, damage counters can't be removed from any Pokémon (both yours and your opponent's). (Damage counters can still be moved.)"", ""type"": ""Poké-Body""}]","[{""name"": ""Sun Flash"", ""cost"": [""Fighting""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.""}]",Sun Flash,20,"If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.",Grass:×2,,Colorless,,Kouki Saitou,"When it rotates itself, it gives off light similar to the sun, thus blinding its foes.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,hgss4-10,Spiritomb,Pokémon,Psychic,HS—Triumphant,10,Rare Holo,https://images.pokemontcg.io/hgss4/10_hires.png,https://images.pokemontcg.io/hgss4/10.png,60,"[{""name"": ""Spooky Whirlpool"", ""text"": ""Once during your turn, when you put Spiritomb from your hand onto your Bench, you may use this power. Your opponent shuffles his or her hand into his or her deck and draws 6 cards."", ""type"": ""Poké-Power""}]","[{""name"": ""Color Tag"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Choose Grass Fire Water Lightning Psychic Fighting Darkness Metal or Colorless type. Put 1 damage counter on each Pokémon your opponent has in play of the type you chose.""}]",Color Tag,,Choose Grass Fire Water Lightning Psychic Fighting Darkness Metal or Colorless type. Put 1 damage counter on each Pokémon your opponent has in play of the type you chose.,,Colorless:-20,Colorless,,Shizurow,It was formed by uniting 108 spirits. It has been bound to the Odd Keystone to keep it from doing any mischief.,,,,,,,,,,,,,,,,,,,,,,,,,
