Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,hgss3-1,Bellossom,Pokémon,Grass,HS—Undaunted,1,Rare Holo,https://images.pokemontcg.io/hgss3/1_hires.png,https://images.pokemontcg.io/hgss3/1.png,110,"[{""name"": ""Hustle Step"", ""text"": ""Once during your turn (before your attack), you may remove 1 damage counter from each of your Pokémon. This power can't be used if Bellossom is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Dance 'til Dawn"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30×"", ""text"": ""Flip 3 coins. This attack does 30 damage times the number of heads. Bellossom is now Asleep.""}]",Dance 'til Dawn,30×,Flip 3 coins. This attack does 30 damage times the number of heads. Bellossom is now Asleep.,Fire:×2,Water:-20,Colorless,Gloom,Mitsuhiro Arita,Bellossom gather at times and seem to dance. They say that the dance is a ritual to summon the sun.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,hgss3-2,Espeon,Pokémon,Psychic,HS—Undaunted,2,Rare Holo,https://images.pokemontcg.io/hgss3/2_hires.png,https://images.pokemontcg.io/hgss3/2.png,90,,"[{""name"": ""Solar Suggestion"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Move up to 4 damage counters from any of your Pokémon to any of your opponent's Pokémon in any way you like.""}, {""name"": ""Psybeam"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Confused.""}]",Solar Suggestion|Psybeam,|30,"Move up to 4 damage counters from any of your Pokémon to any of your opponent's Pokémon in any way you like.|Flip a coin. If heads, the Defending Pokémon is now Confused.",Psychic:×2,,Colorless,Eevee,match,It uses the fine hair that covers its body to sense air currents and predict its enemy's actions.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,hgss3-3,Forretress,Pokémon,Metal,HS—Undaunted,3,Rare Holo,https://images.pokemontcg.io/hgss3/3_hires.png,https://images.pokemontcg.io/hgss3/3.png,90,,"[{""name"": ""Mirror Shot"", ""cost"": [""Metal"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, this attack does nothing.""}, {""name"": ""Everyone Explode Now"", ""cost"": [""Metal"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30×"", ""text"": ""Does 30 damage times the number of Pineco and Forretress you have in play. This attack does 30 damage to each of your Pineco and Forretress in play.""}]",Mirror Shot|Everyone Explode Now,30|30×,"If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, this attack does nothing.|Does 30 damage times the number of Pineco and Forretress you have in play. This attack does 30 damage to each of your Pineco and Forretress in play.",Fire:×2,Psychic:-20,Colorless__Colorless__Colorless,Pineco,Kyoko Umemoto,Its entire body is shielded by a steel-hard shell. What lurks inside this shell is a total mystery.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,hgss3-4,Gliscor,Pokémon,Fighting,HS—Undaunted,4,Rare Holo,https://images.pokemontcg.io/hgss3/4_hires.png,https://images.pokemontcg.io/hgss3/4.png,90,,"[{""name"": ""Ninja Fang"", ""cost"": [""Fighting""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""If, before Gliscor does damage, the Defending Pokémon has no damage counters on it and is then damaged by this attack (after applying Weakness and Resistance), the Defending Pokémon is now Paralyzed.""}, {""name"": ""Poison Jab"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""The Defending Pokémon is now Poisoned.""}]",Ninja Fang|Poison Jab,30|50,"If, before Gliscor does damage, the Defending Pokémon has no damage counters on it and is then damaged by this attack (after applying Weakness and Resistance), the Defending Pokémon is now Paralyzed.|The Defending Pokémon is now Poisoned.",Water:×2,Lightning:-20,Colorless,Gligar,Naoki Saito,Its flight is soundless. It uses its lengthy tail to carry off its prey… Then its elongated fangs do the rest.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,hgss3-5,Houndoom,Pokémon,Darkness,HS—Undaunted,5,Rare Holo,https://images.pokemontcg.io/hgss3/5_hires.png,https://images.pokemontcg.io/hgss3/5.png,90,,"[{""name"": ""Fire Counterattack"", ""cost"": [""Darkness""], ""convertedEnergyCost"": 1, ""damage"": ""20+"", ""text"": ""If your opponent has any Fighting Pokémon in play, this attack does 20 damage plus 60 more damage.""}, {""name"": ""Dark Roar"", ""cost"": [""Darkness"", ""Darkness""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": ""Your opponent discards a card from his or her hand.""}]",Fire Counterattack|Dark Roar,20+|50,"If your opponent has any Fighting Pokémon in play, this attack does 20 damage plus 60 more damage.|Your opponent discards a card from his or her hand.",Fighting:×2,Psychic:-20,Colorless,Houndour,Kagemaru Himeno,"Upon hearing its eerie howls, other Pokémon get the shivers and head straight back to their nests.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,hgss3-6,Magcargo,Pokémon,Fire,HS—Undaunted,6,Rare Holo,https://images.pokemontcg.io/hgss3/6_hires.png,https://images.pokemontcg.io/hgss3/6.png,100,,"[{""name"": ""Searing Flame"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""The Defending Pokémon is now Burned.""}, {""name"": ""Lava Flow"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60+"", ""text"": ""You may discard any number of Fire Energy cards attached to Magcargo. If you do , this attack does 60 damage plus 20 more damage for each Fire Energy card you discarded.""}]",Searing Flame|Lava Flow,20|60+,"The Defending Pokémon is now Burned.|You may discard any number of Fire Energy cards attached to Magcargo. If you do , this attack does 60 damage plus 20 more damage for each Fire Energy card you discarded.",Water:×2,,Colorless__Colorless__Colorless,Slugma,Yuka Morii,Its brittle shell occasionally spouts intense flames that circulate throughout its body.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,hgss3-7,Scizor,Pokémon,Metal,HS—Undaunted,7,Rare Holo,https://images.pokemontcg.io/hgss3/7_hires.png,https://images.pokemontcg.io/hgss3/7.png,90,,"[{""name"": ""Cut"", ""cost"": [""Metal"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": """"}, {""name"": ""Metal Claw"", ""cost"": [""Metal"", ""Metal"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": """"}]",Cut|Metal Claw,50|80,|,Fire:×2,Psychic:-20,Colorless,Scyther,Kent Kanetsuna/Direc. Shinji Higuchi,Its wings are not used for flying. They are flapped at high speed to adjust its body temperature.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,hgss3-8,Smeargle,Pokémon,Colorless,HS—Undaunted,8,Rare Holo,https://images.pokemontcg.io/hgss3/8_hires.png,https://images.pokemontcg.io/hgss3/8.png,70,"[{""name"": ""Portrait"", ""text"": ""Once during your turn (before your attack), if Smeargle is your Active Pokémon, you may look at your opponent's hand. If you do, choose a Supporter card you find there and use the effect of that card as the effect of this power. This power can't be used if Smeargle is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Tail Rap"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20×"", ""text"": ""Flip 2 coins. This attack does 20 damage times the number of heads.""}]",Tail Rap,20×,Flip 2 coins. This attack does 20 damage times the number of heads.,Fighting:×2,,Colorless,,Midori Harada,"Once it becomes an adult, it has a tendency to let its comrades plant footprints on its back.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,hgss3-9,Togekiss,Pokémon,Colorless,HS—Undaunted,9,Rare Holo,https://images.pokemontcg.io/hgss3/9_hires.png,https://images.pokemontcg.io/hgss3/9.png,120,,"[{""name"": ""Blessed Wings"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Remove all damage counters from each of your Pokémon. Shuffle Togekiss and all cards attached to it back into your deck.""}, {""name"": ""Air Cutter"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": ""Flip a coin. If tails, this attack does nothing.""}]",Blessed Wings|Air Cutter,|80,"Remove all damage counters from each of your Pokémon. Shuffle Togekiss and all cards attached to it back into your deck.|Flip a coin. If tails, this attack does nothing.",Lightning:×2,Fighting:-20,Colorless,Togetic,Atsuko Nishida,"As everyone knows, it visits peaceful regions, bringing them gifts of kindness and sweet blessings.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,hgss3-10,Umbreon,Pokémon,Darkness,HS—Undaunted,10,Rare Holo,https://images.pokemontcg.io/hgss3/10_hires.png,https://images.pokemontcg.io/hgss3/10.png,90,,"[{""name"": ""Moonlight Fang"", ""cost"": [""Darkness""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""During your opponent's next turn, prevent all effects, including damage, done to Umbreon by attacks from your opponent's Pokémon that has any Poké-Powers or Poké-Bodies.""}, {""name"": ""Quick Blow"", ""cost"": [""Darkness"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""Flip a coin. If heads, this attack does 30 damage plus 30 damage.""}]",Moonlight Fang|Quick Blow,30|30+,"During your opponent's next turn, prevent all effects, including damage, done to Umbreon by attacks from your opponent's Pokémon that has any Poké-Powers or Poké-Bodies.|Flip a coin. If heads, this attack does 30 damage plus 30 damage.",Fighting:×2,Psychic:-20,Colorless,Eevee,Mitsuhiro Arita,"When agitated, this Pokémon protects itself by spraying poisonous sweat from its pores.",,,,,,,,,,,,,,,,,,,,,,,,,
