Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,hgss1-1,Arcanine,Pokémon,Fire,HeartGold & SoulSilver,1,Rare Holo,https://images.pokemontcg.io/hgss1/1_hires.png,https://images.pokemontcg.io/hgss1/1.png,110,,"[{""name"": ""Sharp Fang"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": """"}, {""name"": ""Fire Mane"", ""cost"": [""Fire"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""90"", ""text"": """"}]",Sharp Fang|Fire Mane,50|90,|,Water:×2,,Colorless__Colorless,Growlithe,Naoki Saito,This legendary Chinese Pokémon is considered magnificent. Many people are enchanted by its grand mane.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,hgss1-2,Azumarill,Pokémon,Water,HeartGold & SoulSilver,2,Rare Holo,https://images.pokemontcg.io/hgss1/2_hires.png,https://images.pokemontcg.io/hgss1/2.png,90,,"[{""name"": ""Waterfall"", ""cost"": [""Water"", ""Water""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": """"}, {""name"": ""Bubblebeam"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}]",Waterfall|Bubblebeam,40|60,"|Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Lightning:×2,,Colorless__Colorless,Marill,Kouki Saitou,"When it plays in water, it rolls up its elongated ears to prevent their insides from getting wet.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,hgss1-3,Clefable,Pokémon,Colorless,HeartGold & SoulSilver,3,Rare Holo,https://images.pokemontcg.io/hgss1/3_hires.png,https://images.pokemontcg.io/hgss1/3.png,80,,"[{""name"": ""Fairy Power"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Return 1 of your Pokémon and all cards attached to it to your hand.""}, {""name"": ""Moon Impact"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": """"}]",Fairy Power|Moon Impact,|40,Return 1 of your Pokémon and all cards attached to it to your hand.|,Fighting:×2,,Colorless,Clefairy,Masakazu Fukuda,"With its acute hearing, it can pick up sounds from far away. It usually hides in quiet places.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,hgss1-4,Gyarados,Pokémon,Water,HeartGold & SoulSilver,4,Rare Holo,https://images.pokemontcg.io/hgss1/4_hires.png,https://images.pokemontcg.io/hgss1/4.png,130,,"[{""name"": ""Hydro Splash"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}, {""name"": ""Hyper Beam"", ""cost"": [""Water"", ""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80"", ""text"": ""Discard an Energy card attached to the Defending Pokémon.""}]",Hydro Splash|Hyper Beam,50|80,|Discard an Energy card attached to the Defending Pokémon.,Lightning:×2,Fighting:-20,Colorless__Colorless__Colorless,Magikarp,Mitsuhiro Arita,"Once it appears, it goes on a rampage. It remains enraged until it demolishes everything around it.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,hgss1-5,Hitmontop,Pokémon,Fighting,HeartGold & SoulSilver,5,Rare Holo,https://images.pokemontcg.io/hgss1/5_hires.png,https://images.pokemontcg.io/hgss1/5.png,60,,"[{""name"": ""Triple Kick"", ""cost"": [""Fighting""], ""convertedEnergyCost"": 1, ""damage"": ""20×"", ""text"": ""Flip 3 coins. This attack does 20 damage times the number of heads.""}, {""name"": ""Close Combat"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""During your opponent's next turn, any damage done to Hitmontop by attacks is increased by 20 (after applying Weakness and Resistance).""}]",Triple Kick|Close Combat,20×|60,"Flip 3 coins. This attack does 20 damage times the number of heads.|During your opponent's next turn, any damage done to Hitmontop by attacks is increased by 20 (after applying Weakness and Resistance).",Psychic:×2,,Colorless,,Ken Sugimori,"It launches kicks while spinning. If it spins at high speed, it may bore its way into the ground.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,hgss1-6,Jumpluff,Pokémon,Grass,HeartGold & SoulSilver,6,Rare Holo,https://images.pokemontcg.io/hgss1/6_hires.png,https://images.pokemontcg.io/hgss1/6.png,90,,"[{""name"": ""Mass Attack"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Does 10 damage times the number of Pokémon in play (both yours and your opponent's).""}, {""name"": ""Leaf Guard"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""During your opponent's next turn, any damage done to Jumpluff by attacks is reduced by 30 (after applying Weakness and Resistance).""}]",Mass Attack|Leaf Guard,10×|30,"Does 10 damage times the number of Pokémon in play (both yours and your opponent's).|During your opponent's next turn, any damage done to Jumpluff by attacks is reduced by 30 (after applying Weakness and Resistance).",Fire:×2,Fighting:-20,,Skiploom,sui,"Once it catches the wind, it deftly controls its cotton-puff spores—it can even float around the world.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,hgss1-7,Ninetales,Pokémon,Fire,HeartGold & SoulSilver,7,Rare Holo,https://images.pokemontcg.io/hgss1/7_hires.png,https://images.pokemontcg.io/hgss1/7.png,90,"[{""name"": ""Roast Reveal"", ""text"": ""Once during your turn (before your attack), you may discard a Fire Energy card from your hand. If you do, draw 3 cards. This power can't be used if Ninetales is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Will-o'-the-wisp"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Will-o'-the-wisp,60,,Water:×2,,Colorless,Vulpix,TOKIYA,"Its nine beautiful tails are filled with a wondrous energy that could keep it alive for 1,000 years.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,hgss1-8,Noctowl,Pokémon,Colorless,HeartGold & SoulSilver,8,Rare Holo,https://images.pokemontcg.io/hgss1/8_hires.png,https://images.pokemontcg.io/hgss1/8.png,90,"[{""name"": ""Night Sight"", ""text"": ""Once during your turn (before your attack), you may draw a card. This power can't be used if Noctowl is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Extrasensory"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""If you have the same number of cards in your hand as your opponent, this attack does 40 damage plus 40 more damage.""}]",Extrasensory,40+,"If you have the same number of cards in your hand as your opponent, this attack does 40 damage plus 40 more damage.",Lightning:×2,Fighting:-20,Colorless,Hoothoot,Suwama Chiaki,Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,hgss1-9,Quagsire,Pokémon,Water,HeartGold & SoulSilver,9,Rare Holo,https://images.pokemontcg.io/hgss1/9_hires.png,https://images.pokemontcg.io/hgss1/9.png,100,,"[{""name"": ""Muddy Water"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""Does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Mud Shot"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""60"", ""text"": """"}]",Muddy Water|Mud Shot,40|60,Does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|,Grass:×2,Lightning:-20,Colorless__Colorless__Colorless,Wooper,match,"Due to its relaxed and carefree attitude, it often bumps its head on boulders and boat hulls as it swims.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,hgss1-10,Raichu,Pokémon,Lightning,HeartGold & SoulSilver,10,Rare Holo,https://images.pokemontcg.io/hgss1/10_hires.png,https://images.pokemontcg.io/hgss1/10.png,90,,"[{""name"": ""Iron Tail"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""30×"", ""text"": ""Flip a coin until you get tails. This attack does 30 damage times the number of heads.""}, {""name"": ""Thunderbolt"", ""cost"": [""Lightning"", ""Lightning""], ""convertedEnergyCost"": 2, ""damage"": ""100"", ""text"": ""Discard all Energy attached to Raichu.""}]",Iron Tail|Thunderbolt,30×|100,Flip a coin until you get tails. This attack does 30 damage times the number of heads.|Discard all Energy attached to Raichu.,Fighting:×2,Metal:-20,,Pikachu,match,"If the electric pouches in its cheeks become fully charged, both ears will stand straight up.",,,,,,,,,,,,,,,,,,,,,,,,,
